time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactivePower;BusPDR_BUS_ReactiveCurrent;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_InjectedActiveCurrent;Wind_Turbine_GEN_InjectedReactiveCurrent;Wind_Turbine_GEN_AVRSetpointPu;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;Wind_Turbine_GEN_NetworkFrequencyPu;Wind_Turbine_GEN_InjectedCurrent;NetworkFrequencyPu
0.0;1.0443136188135822;0.7499415929398204;0.7182359933768059;-1.6683865385113378e-05;5.920724456389391e-06;9.99747911937736;0.7220892584337444;-0.09245701184850581;1.0451371259925453;1.0446680192543845;1.0000934693400174;0.7273169373117144;1.0002263606638833
0.0;1.0443118643036784;0.7499428920406347;0.7182400732411848;-1.7131589377643636e-05;6.094534977893672e-06;9.997402741200418;0.7220991741209094;-0.09245701100991385;1.0451405497158153;1.0446528351187712;1.0000939207865598;0.7273064630049059;1.0002347870509711
0.1;1.0443101390639495;0.7499441531792762;0.718244110029092;-1.75863757279929e-05;6.273348050164622e-06;9.997325679853821;0.7221092614105453;-0.09245701018125474;1.0451438909565898;1.044637455819808;1.000094519448291;0.7272958755176084;1.0002433312088135
0.2;1.0443084470114776;0.7499453731436899;0.7182480936865644;-1.804802305437101e-05;6.457242809790377e-06;9.997247996100505;0.7221195171419067;-0.09245700936424764;1.0451471402357406;1.0446218894765347;1.0000952739726234;0.7272851827112682;1.0002519895461206
0.4;1.0443067926864436;0.7499465488773919;0.7182520137534248;-1.8516306164006342e-05;6.6462929523548255e-06;9.997169753715179;0.72212993758313;-0.09245700856057187;1.0451502875064167;1.0446061444876626;1.000096193021487;0.7272743929938932;1.0002607581436394
0.8;1.0443051810689268;0.7499476774950945;0.7182558593304498;-1.899097479374509e-05;6.840566479015189e-06;9.997091020122582;0.7221405184339372;-0.09245700777184118;1.045153322126212;1.044590229559061;1.0000972853564418;0.7272635154298953;1.0002696327626697
1.6;1.044303617434168;0.749948756241194;0.7182596190665751;-1.9471752894394982e-05;7.040125023244385e-06;9.997011867093605;0.7221512548275908;-0.09245700699961405;1.0451562329143627;1.044574153744224;1.0000985598223657;0.7272525598276267;1.0002786089359956
2.6;1.0443021073408874;0.7499497824064283;0.7182632812056285;-1.995833525640772e-05;7.245023312910669e-06;9.996932371041757;0.7221621413407769;-0.09245700624541695;1.0451590081971684;1.0445579264988187;1.0001000253156775;0.7272415367255395;1.0002876820104047
3.6;1.044300656563142;0.7499507532302354;0.7182668336123159;-2.045038367663408e-05;7.455307397081971e-06;9.996852613246872;0.7221731719961;-0.09245700551075742;1.045161635783054;1.0445415577907264;1.0001016908070335;0.7272304573353927;1.0002968470550901
4.6;1.0442992709299728;0.7499516658505597;0.7182702637056134;-2.0947525204909824e-05;7.671011422860062e-06;9.99677268028058;0.7221843402050862;-0.09245700479714308;1.0451641028718557;1.0445250581941834;1.0001035653633668;0.7272193335363972;1.0003060987505192
5.6;1.0442979562776866;0.7499525173457776;0.7182735583288116;-2.144935191203149e-05;7.892156777062268e-06;9.996692664073024;0.7221956386991178;-0.0924570041061084;1.0451663959825586;1.044508438875839;1.0001056581593961;0.7272081779368854;1.000315431366821
6.6;1.0442967185520227;0.7499533048142318;0.7182767036355255;-2.1955421106878167e-05;8.118753896525668e-06;9.99661266159231;0.7222070595457641;-0.09245700343923859;1.045168500948597;1.0444917116170644;1.0001079784668736;0.7271970039596005;1.000324838774834
7.6;1.0442955639312754;0.749954025436267;0.7182796850324629;-2.246525611636322e-05;8.350802325556361e-06;9.99653277487596;0.7222185941858761;-0.09245700279818612;1.045170402925911;1.0444748889682438;1.0001105356069138;0.7271858259231225;1.0003343144228676
8.6;1.0442944989129568;0.7499546765140739;0.7182824871607987;-2.2978347174216586e-05;8.588289552703124e-06;9.996453111479049;0.7222302333730749;-0.09245700218467362;1.0451720863721392;1.0444579843719357;1.000113338926178;0.7271746591217321;1.0003438513161926
9.6;1.0442935303621277;0.7499552554359946;0.7182850938771713;-2.3494150322568736e-05;8.831191909755506e-06;9.996373784692894;0.7222419670468875;-0.0924570016004876;1.0451735349937104;1.0444410121241443;1.0001163978367904;0.7271635198771189;1.0003534420014262
10.6;1.044292665546545;0.7499557595580576;0.7182874882280516;-2.4012085167939097e-05;9.079475642474906e-06;9.996294913614726;0.7222537842554053;-0.09245700104746288;1.0451747316645346;1.0444239872517613;1.0001197218802393;0.7271524255485102;1.000363078489283
11.6;1.0442919121873409;0.7499561861193369;0.7182896524478206;-2.4531533940166525e-05;9.333094762224038e-06;9.99621662388378;0.7222656731691508;-0.09245700052746761;1.0451756583266316;1.0444069254845085;1.00012332076164;0.7271413945387991;1.0003727521587256
12.6;1.0442912785064777;0.7499565322385713;0.7182915679929186;-2.5051839699640876e-05;9.591986174273486e-06;9.996139048899638;0.7222776210946645;-0.09245700004241465;1.0451762959057043;1.0443898433779728;1.000127204343547;0.7271304463203658;1.0003824537460906
13.6;1.0442907732210907;0.7499567949162549;0.7182932156058479;-2.557230149987599e-05;9.856066519656416e-06;9.996062330641356;0.7222896144262364;-0.0924569995942777;1.0451766243144185;1.0443727584728018;1.0001313826457257;0.7271196014769621;1.0003921733541217
14.6;1.0442904054969653;0.7499569710103913;0.7182945753674809;-2.609216992735061e-05;1.0125234246606726e-05;9.995986620162054;0.7223016385852161;-0.09245699918508975;1.0451766225297772;1.0443556893804395;1.0001358658971216;0.7271088817259046;1.0004019003381428
15.6;1.0442901849685007;0.7499570572118668;0.7182956266715762;-2.6610646135295446e-05;1.039937350366266e-05;9.995912078067033;0.7223136779687431;-0.0924569988169469;1.0451762686301402;1.0443386558239962;1.0001406646025868;0.7270983098945503;1.0004116231315419
16.6;1.0442901218159721;0.7499570500137097;0.7182963481443511;-2.712688148162918e-05;1.0678354555647203e-05;9.99583887462842;0.7223257159037324;-0.09245699849201765;1.0451755397350806;1.044321678705545;1.0001457895306027;0.7270879099069234;1.0004213291862465
17.6;1.0442902267693832;0.7499569456860008;0.7182967175810264;-2.7639973968839178e-05;1.0962032206374314e-05;9.995767189521224;0.7223377346270167;-0.09245699821254676;1.0451744118589819;1.0443047801573704;1.0001512516121067;0.7270777068811972;1.0004310049883793
18.6;1.0442905111000889;0.7499567402803364;0.7182967119160601;-2.814896222977579e-05;1.125024544120971e-05;9.995697211959502;0.7223497152869937;-0.09245699798085631;1.0451728597793823;1.044287983512232;1.0001570619048648;0.7270677273384432;1.0004406360023614
19.6;1.0442909867121;0.7499564296369202;0.7182963072092833;-2.8652820069813153e-05;1.1542816794145509e-05;9.99562914162355;0.7223616379300404;-0.09245699779933876;1.045170857057827;1.0442713132948898;1.0001632317419784;0.7270579993731043;1.0004502066191938
19.999996;1.044291666221103;0.7499560094148983;0.7182954786238557;-2.9150453121257347e-05;1.1839550683371766e-05;9.99556318953275;0.7223734814521315;-0.09245699767045763;1.0451683760830626;1.0442547953735286;1.0001697728875638;0.7270485527017463;1.0004597002014772
19.999996;1.0442925629453639;0.7499554751698098;0.7182942003509046;-2.964069702508252e-05;1.214023318569983e-05;9.995499578316956;0.7223852235387962;-0.09245699759676508;1.0660533879128617;1.0442384571707155;1.0001766974868087;0.7270394186517928;1.000469099077683
20.000078;1.0442936879073015;0.7499548223479269;0.7182924460307242;-3.0122254964197603e-05;1.2444593672020833e-05;9.995438541969987;0.7223968409884088;-0.09245699758034287;1.0660498638975973;1.0442223285612235;1.0001840163728881;0.7270306294504125;1.0004783844201521
20.000161;1.0442950399719135;0.7499540447826852;0.7182901900836784;-3.059352891380022e-05;1.2752224181019576e-05;9.99538032242876;0.7224083109965812;-0.09245699762152434;1.0660457832550072;1.0442064415310193;1.0001917341446578;0.7270222161188962;1.0004875350723708
20.000326;1.044296597744549;0.7499531310250896;0.7182874093587166;-3.105256960955386e-05;1.3062624749680647e-05;9.995325161410475;0.722419612172726;-0.09245699771898405;1.0660411436764388;1.0441908220009515;1.0001998453359573;0.7270142079494611;1.0004965255674871
20.000656;1.0442983262584065;0.749952063424812;0.7182840867140634;-3.149723909556903e-05;1.3375353855328563e-05;9.995273293278268;0.7224307246959666;-0.09245699787176247;1.0660359635098875;1.0441754802243495;1.0002083353337208;0.727006637902957;1.0005053268216073
20.001316;1.0443001941653771;0.7499508241440986;0.7182802170610979;-3.192518969185667e-05;1.3689963283514248e-05;9.995224935897728;0.7224416326512494;-0.09245699808038006;1.0660302714823089;1.0441604180398052;1.0002171809514802;0.7269995490491074;1.0005139074282108
20.002635;1.044302188565858;0.7499494022542629;0.7182758110226134;-3.233366858160032e-05;1.4005817303732558e-05;9.995180261530933;0.7224523261456964;-0.0924579983456109;1.066024094212004;1.0441456454082632;1.0002263489412444;0.7269931184098641;1.0005222324737133
20.005274;1.0443043156595169;0.7499475634463503;0.7182706743703986;-3.1700650022340104e-05;1.529778794047552e-05;9.99513935396787;0.7224627963052225;-0.09246299866670175;1.0660174551928363;1.0441311837403302;1.0002357962696116;0.7269877751560073;1.0005302664766524
20.010553;1.0443077800929164;0.7499469479104092;0.7182655988367622;-2.8231819002168914e-05;1.9280148141948427e-05;9.995102181866704;0.7224730284279066;-0.09248099904150564;1.0660103846684466;1.0441180604930154;1.0002454733015655;0.726984708194399;1.0005379782907313
20.015831;1.044313339183508;0.7499476236257515;0.7182601859906872;-2.0744163982327957e-05;2.708170891676401e-05;9.99506860605057;0.7224820029343012;-0.09250699946761895;1.0660029249105327;1.044107306995989;1.000255327258779;0.7269823363062834;1.000545337672205
20.021109;1.044320014794842;0.7499496563742918;0.7182552349552397;-7.828374332242802e-06;4.0047698221680795e-05;9.995038424025147;0.7224916990861507;-0.09253899994186048;1.0659951247432413;1.0440979581996805;1.0002653021845245;0.7269824303803238;1.0005523108883763
20.026387;1.0443278064697419;0.7499522309198895;0.7182500374935964;9.270605482369169e-06;5.69822579622001e-05;9.99501140388403;0.722500095743762;-0.09257400045940282;1.0659870313264437;1.0440910532853156;1.0002753429516371;0.7269826556125212;1.0005588661486253
20.031666;1.0443369356277796;0.7499554813858451;0.7182446508970276;3.125607659741777e-05;7.855560649909821e-05;9.994987255246977;0.7225071756620643;-0.09261000101382635;1.0659786847291781;1.0440856344437741;1.0002854092632942;0.7269827830739586;1.0005649804236507
20.036944;1.0443481645003256;0.7499591462691392;0.7182383856667602;5.602359483630822e-05;0.00010275063530243412;9.994965604668225;0.7225139314361807;-0.09264600159731573;1.0659701166713835;1.0440827435427826;1.000295484564321;0.7269837050316795;1.000570639593707
20.0475;1.0443699701088989;0.7499710351174089;0.7182329680030677;0.00011478283406519537;0.00015944538951859444;9.994946059837709;0.7225143633324036;-0.09271500220314143;1.0659613550906792;1.0440904195329372;1.0003055718161877;0.7269836993962515;1.000575839666964
20.058057;1.0443924929073256;0.7499785904295951;0.7182232156549272;0.00017745342630470695;0.0002198399350686327;9.994928307704466;0.722511473098949;-0.09277900283023643;1.0659524301314849;1.044101694255224;1.0003156866479168;0.7269809227410771;1.0005805933879035
20.068613;1.044417162013886;0.7499833067359131;0.7182096206268735;0.00024324127929645003;0.0002831743576017962;9.994912150475812;0.7225042595182224;-0.09283900348569239;1.0659433738177182;1.0441135899071587;1.0003258507573793;0.7269745182022225;1.0005849337910075
20.07917;1.0444427895896424;0.7499858338881041;0.7181936437313705;0.00030979358437209346;0.0003471979932334145;9.994897470074886;0.7224947145327179;-0.09289700418424329;1.0659342160190939;1.04412712410317;1.0003360832642;0.7269667229466634;1.0005889068481568
20.089726;1.0444684085204181;0.7499857445349962;0.7181755392567507;0.00037624704695665847;0.0004110867254656657;9.99488415643017;0.7224818244413508;-0.09295500494544187;1.0659249840756988;1.0441413204901815;1.0003463949469102;0.7269567932530693;1.000592556965707
20.100283;1.0444942563928545;0.7499832503390159;0.7181553242419365;0.0004433005779950823;0.0004755112566387699;9.994872031493411;0.7224685769206233;-0.09301300578969732;1.0659157056923718;1.0441572194552378;1.0003567864219258;0.726947699823485;1.0005959186466484
20.121396;1.0445437726796185;0.7499815404731127;0.7181199076349457;0.0005822692076001475;0.0006087286000915493;9.994860807610298;0.7224309649887781;-0.09313500673507456;1.0659064099778153;1.0441978794908024;1.0003672505276684;0.7269238304655847;1.000599018614134
20.142509;1.0445952949610842;0.7499793262119668;0.7180829214958508;0.0007230979238540929;0.0007436805461966922;9.99485012658304;0.7223909840370977;-0.09326200779477516;1.0658971258320136;1.044241364495593;1.0003777809742715;0.726899479110423;1.0006018790509976
20.163622;1.0446482959837298;0.7499755512213264;0.7180437096204642;0.0008704019416942965;0.0008847863257953781;9.994839669275429;0.7223486267884089;-0.09339200897539535;1.0658878804288503;1.0442877299946787;1.000388375993422;0.7268744020004954;1.000604520585606
20.184735;1.0447033129812249;0.749971852062588;0.7180034771763157;0.0010218327371383533;0.0010297987675224524;9.994829229458249;0.7223038817357208;-0.09352401027645348;1.0658786972650325;1.0443360196521252;1.0003990309316644;0.7268484881178057;1.000606970168699
20.205848;1.044759587092604;0.7499671180776628;0.7179616984388164;0.0011759790656694202;0.0011773692485645573;9.99481869772214;0.7222577355850145;-0.09365901169090898;1.065869595507306;1.0443862671828112;1.0004097311007636;0.7268228732955667;1.0006092641218658
20.248074;1.044869798151579;0.7499605502092217;0.7178814398740384;0.0014913667131938198;0.0014791410380895122;9.994808015728726;0.7221541767266922;-0.09393101320729852;1.0658605918241697;1.044494496569831;1.0004204528866303;0.7267593189547014;1.0006114380928761
20.2903;1.044982011948168;0.7499520911787271;0.7177983593636076;0.0018147824753525065;0.0017885093675000683;9.994797171299265;0.7220471978099163;-0.0942090148125538;1.0658516982890736;1.044607718869646;1.0004311737559601;0.7266945431801173;1.0006135186393736
20.332526;1.0450971922836403;0.7499439070052362;0.7177138844197235;0.002144264553559868;0.0021035924816070668;9.994786241396932;0.721935797797292;-0.09449101649286423;1.0658429184234695;1.0447229283209725;1.0004418805871744;0.7266272800770649;1.0006155271198274
20.374752;1.0452147874332183;0.7499329989478903;0.7176255293877236;0.0024786465246349064;0.002423272108197406;9.994775374112619;0.721821983465685;-0.09477701823363185;1.0658342510545875;1.0448421034599689;1.0004525648805649;0.7265594948370245;1.0006174837374833
