time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_InjectedActiveCurrent;Wind_Turbine_GEN_InjectedReactiveCurrent;Wind_Turbine_GEN_AVRSetpointPu;Wind_Turbine_GEN_NetworkFrequencyPu;Wind_Turbine_GEN_InjectedCurrent;NetworkFrequencyPu
0.000000000;1.044e+00;8.333e-01;-6.552e-07;7.979e-01;-6.273e-07;1.051e+00;1.000e+01;8.083e-01;-2.061e-02;1.039e+00;1.000e+00;8.085e-01;1.000e+00
0.000001000;1.044e+00;8.333e-01;-6.552e-07;7.979e-01;-6.273e-07;1.051e+00;1.000e+01;8.083e-01;-2.061e-02;1.039e+00;1.000e+00;8.085e-01;1.000e+00
0.000002000;1.044e+00;8.333e-01;-6.552e-07;7.979e-01;-6.273e-07;1.051e+00;1.000e+01;8.083e-01;-2.061e-02;1.039e+00;1.000e+00;8.085e-01;1.000e+00
0.000004000;1.044e+00;8.333e-01;-6.552e-07;7.979e-01;-6.273e-07;1.051e+00;1.000e+01;8.083e-01;-2.061e-02;1.039e+00;1.000e+00;8.085e-01;1.000e+00
0.000008000;1.044e+00;8.333e-01;-6.552e-07;7.979e-01;-6.273e-07;1.051e+00;1.000e+01;8.083e-01;-2.061e-02;1.039e+00;1.000e+00;8.085e-01;1.000e+00
0.000016000;1.044e+00;8.333e-01;-6.552e-07;7.979e-01;-6.273e-07;1.051e+00;1.000e+01;8.083e-01;-2.061e-02;1.039e+00;1.000e+00;8.085e-01;1.000e+00
0.000032000;1.044e+00;8.333e-01;-6.552e-07;7.979e-01;-6.273e-07;1.051e+00;1.000e+01;8.083e-01;-2.061e-02;1.039e+00;1.000e+00;8.085e-01;1.000e+00
0.000064000;1.044e+00;8.333e-01;-6.552e-07;7.979e-01;-6.273e-07;1.051e+00;1.000e+01;8.083e-01;-2.061e-02;1.039e+00;1.000e+00;8.085e-01;1.000e+00
0.000128000;1.044e+00;8.333e-01;-6.552e-07;7.979e-01;-6.273e-07;1.051e+00;1.000e+01;8.083e-01;-2.061e-02;1.039e+00;1.000e+00;8.085e-01;1.000e+00
0.000256000;1.044e+00;8.333e-01;-6.552e-07;7.979e-01;-6.273e-07;1.051e+00;1.000e+01;8.083e-01;-2.061e-02;1.039e+00;1.000e+00;8.085e-01;1.000e+00
