time;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_Voltage;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;Wind_Turbine_GEN_InjectedCurrent;NetworkFrequencyPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_InjectedActiveCurrent;Wind_Turbine_GEN_InjectedReactiveCurrent;Wind_Turbine_GEN_AVRSetpointPu;Wind_Turbine_GEN_NetworkFrequencyPu
0.0;0.717133;0.000998;0.9992878302616319;0.9997915127875411;0.727675466016273;1.0;10.0;0.727471;-0.017249;1.044912;1.0
0.0;0.717133;0.000998;0.9992878302616319;0.9997915127875411;0.727675466016273;1.0;10.0;0.727471;-0.017249;1.044912;1.0
2e-06;0.717132;0.000995;0.9992878302616319;0.9997915127875411;0.727675466016273;1.0;10.0;0.727471;-0.017249;1.044912;1.0
4e-06;0.717132;0.000991;0.9992878302616319;0.9997915127875411;0.7276754423127113;1.0;10.0;0.727471;-0.017248;1.044912;1.0
8e-06;0.717132;0.000985;0.9992878302616319;0.9997905144083934;0.7276754423127113;1.0;10.0;0.727471;-0.017248;1.044912;1.0
1.6e-05;0.717132;0.000971;0.9992868310280086;0.999789516029249;0.7276754423127113;1.0;10.0;0.727471;-0.017248;1.044912;1.0
3.2e-05;0.717131;0.000944;0.999284832560767;0.9997875192709699;0.7276754186105231;1.0;10.0;0.727471;-0.017247;1.044912;1.0
6.4e-05;0.717129;0.000892;0.9992818348599157;0.9997835257544505;0.7276753949097083;1.0;10.0;0.727471;-0.017246;1.044912;1.0
0.000128;0.717127;0.000792;0.9992767995490539;0.9997755387215672;0.7276763709294125;1.0;10.0;0.727472;-0.017245;1.044912;1.0
0.000256;0.717125;0.000613;0.9992668072126684;0.9997615614145204;0.7276803935052807;1.0;10.0;0.727476;-0.017246;1.044912;1.0
0.000384;0.717127;0.000459;0.9992588133436702;0.9997495808661288;0.72768651033601;1.0;10.0;0.727482;-0.017251;1.044912;1.0
0.000513;0.717132;0.000328;0.9992518578521633;0.9997385986971794;0.7276957449387759;1.0;10.0;0.727491;-0.017261;1.044912;1.0
0.000595;0.717136;0.000254;0.9992478609179005;0.9997326653400898;0.7277029565035447;1.0;10.0;0.727498;-0.01727;1.044912;1.0
0.000595;0.717136;0.000254;0.9992478609179005;0.9997326653400898;0.7277029565035447;1.0;10.0;0.727498;-0.01727;1.044912;1.0
0.000597;0.717136;0.000252;0.9992468616843387;0.9997326653400898;0.7277029565035447;1.0;10.0;0.727498;-0.01727;1.044912;1.0
0.0006;0.717136;0.00025;0.9992468616843387;0.9997326653400898;0.7277029802364423;1.0;10.0;0.727498;-0.017271;1.044912;1.0
0.000605;0.717137;0.000246;0.9992468616843387;0.9997326653400898;0.7277039799547615;1.0;10.0;0.727499;-0.017271;1.044912;1.0
0.000614;0.717137;0.000238;0.9992468616843387;0.9997316669611901;0.7277050034072874;1.0;10.0;0.7275;-0.017272;1.044912;1.0
0.000634;0.717139;0.000222;0.9992458624507784;0.9997306685822938;0.7277060743363353;1.0;10.0;0.727501;-0.017275;1.044912;1.0
0.000647;0.71714;0.000212;0.9992448632172196;0.9997296702034005;0.7277081212532948;1.0;10.0;0.727503;-0.017277;1.044912;1.0
0.000647;0.71714;0.000212;0.9992448632172196;0.9997296702034005;0.7277081212532948;1.0;10.0;0.727503;-0.017277;1.044912;1.0
0.00065;0.71714;0.00021;0.9992448632172196;0.9997296702034005;0.7277081212532948;1.0;10.0;0.727503;-0.017277;1.044912;1.0
0.000652;0.71714;0.000208;0.9992448632172196;0.9997296702034005;0.7277081212532948;1.0;10.0;0.727503;-0.017277;1.044912;1.0
0.000657;0.717141;0.000204;0.9992448632172196;0.9997286718245105;0.7277091447137379;1.0;10.0;0.727504;-0.017278;1.044912;1.0
0.000667;0.717141;0.000196;0.9992438639836624;0.9997286718245105;0.7277101681754901;1.0;10.0;0.727505;-0.017279;1.044912;1.0
0.000687;0.717143;0.000181;0.9992438639836624;0.9997266750667405;0.7277122388506325;1.0;10.0;0.727507;-0.017282;1.044912;1.0
0.000727;0.717146;0.000153;0.9992418655165525;0.9997246783089832;0.7277163802368338;1.0;10.0;0.727511;-0.017288;1.044912;1.0
0.000806;0.717154;0.000101;0.9992389069611932;0.9997207417119043;0.7277256628702878;1.0;10.0;0.72752;-0.0173;1.044912;1.0
0.000965;0.717173;1.3e-05;0.9992339499401529;0.9997138669009249;0.7277473707139037;1.0;10.0;0.727541;-0.01733;1.044912;1.0
0.001124;0.717195;-5.3e-05;0.9992309913873769;0.9997089319296891;0.7277721981842945;1.0;10.0;0.727565;-0.017365;1.044912;1.0
0.001283;0.717222;-9.9e-05;0.9992280719855703;0.9997051091882045;0.7278011456943442;1.0;10.0;0.727593;-0.017405;1.044912;1.0
0.001442;0.717253;-0.000129;0.9992261126697001;0.9997022279068902;0.7278332143259196;1.0;10.0;0.727624;-0.01745;1.044912;1.0
0.00176;0.717326;-0.000147;0.999225270049752;0.999700572736657;0.7279066945295942;1.0;10.0;0.727695;-0.017554;1.044912;1.0
0.002047;0.717404;-0.000121;0.9992264650718575;0.9997029111140969;0.7279842849567565;1.0;10.0;0.72777;-0.017662;1.044912;1.0
0.002333;0.717493;-6.4e-05;0.9992296194193805;0.9997073032267995;0.7280712300125586;1.0;10.0;0.727854;-0.017784;1.044912;1.0
0.002619;0.717592;2e-05;0.999233851352625;0.9997137490927089;0.7281674626746241;1.0;10.0;0.727947;-0.017917;1.044912;1.0
0.002905;0.717701;0.000127;0.999239082552319;0.9997221917697936;0.72827298873568;1.0;10.0;0.728049;-0.018061;1.044912;1.0
0.003191;0.717819;0.000251;0.9992453130177794;0.9997317468201157;0.7283877894535301;1.0;10.0;0.72816;-0.018215;1.044912;1.0
0.003478;0.717946;0.000391;0.9992535811679636;0.9997423003354413;0.7285098463082019;1.0;10.0;0.728278;-0.018378;1.044912;1.0
0.003764;0.718081;0.000545;0.9992608501312357;0.9997548506889076;0.7286401647699638;1.0;10.0;0.728404;-0.01855;1.044912;1.0
0.004336;0.718373;0.000883;0.9992794635361021;0.9997811210590046;0.7289224824252576;1.0;10.0;0.728677;-0.018916;1.044912;1.0
0.004909;0.718694;0.001256;0.9992991548580435;0.9998095027053904;0.7292316820167648;1.0;10.0;0.728976;-0.019309;1.044912;1.0
0.005481;0.719039;0.001655;0.999319884952261;0.9998410511916381;0.7295656705033482;1.0;10.0;0.729299;-0.019724;1.044912;1.0
0.006054;0.719407;0.002076;0.9993426531000266;0.9998735987358602;0.7299214015310143;1.0;10.0;0.729643;-0.020158;1.044912;1.0
0.006626;0.719794;0.002513;0.9993654608980641;0.9999073166779009;0.7302967947930485;1.0;10.0;0.730006;-0.020607;1.044912;1.0
0.007199;0.7202;0.002962;0.999389307633917;0.9999430893455887;0.7306898191141026;1.0;10.0;0.730386;-0.021069;1.044912;1.0
0.007771;0.72062;0.00342;0.9994131941419425;0.9999779217262749;0.7310983507586376;1.0;10.0;0.730781;-0.021539;1.044912;1.0
0.008344;0.721055;0.003884;0.9994371204883277;1.0000138106426333;0.7315204043702404;1.0;10.0;0.731189;-0.022017;1.044912;1.0
0.008916;0.721501;0.004353;0.9994620465920654;1.0000507561849048;0.7319538719516415;1.0;10.0;0.731608;-0.022499;1.044912;1.0
0.009488;0.721957;0.004824;0.9994870126244763;1.0000867617292013;0.7323986972496606;1.0;10.0;0.732038;-0.022983;1.044912;1.0
0.01004;0.722404;0.005277;0.999510940590447;1.0001227111194906;0.7328343169380102;1.0;10.0;0.732459;-0.023451;1.044912;1.0
0.01004;0.722404;0.005277;0.999510940590447;1.0001227111194906;0.7328343169380102;1.0;10.0;0.732459;-0.023451;1.044912;1.0
0.010044;0.722408;0.005281;0.999510940590447;1.0001227684289564;0.7328384108962903;1.0;10.0;0.732463;-0.023454;1.044912;1.0
0.010049;0.722411;0.005284;0.9995109800122258;1.0001227684289564;0.7328415373871761;1.0;10.0;0.732466;-0.023458;1.044912;1.0
0.010057;0.722418;0.005292;0.9995109800122258;1.0001238240957966;0.7328487899184934;1.0;10.0;0.732473;-0.023466;1.044912;1.0
0.010075;0.722433;0.005306;0.9995120186576048;1.0001248797635223;0.7328632631876154;1.0;10.0;0.732487;-0.023481;1.044912;1.0
0.010111;0.722462;0.005336;0.9995140565264703;1.0001269911016302;0.7328912111063961;1.0;10.0;0.732514;-0.023511;1.044912;1.0
0.010182;0.722521;0.005394;0.9995172118983244;1.0001312711064483;0.732949141539848;1.0;10.0;0.73257;-0.023572;1.044912;1.0
0.010325;0.722638;0.005511;0.9995224445954177;1.0001407722120923;0.7330629531384054;1.0;10.0;0.73268;-0.023692;1.044912;1.0
0.01061;0.722874;0.005745;0.9995349479798092;1.0001587762840458;0.733293695435192;1.0;10.0;0.732903;-0.023934;1.044912;1.0
0.01118;0.723349;0.006211;0.9995599552187954;1.0001949000519847;0.7337572708988988;1.0;10.0;0.733351;-0.024414;1.044912;1.0
0.012321;0.724309;0.007128;0.9996079731399705;1.0002660956725467;0.7346978825639829;1.0;10.0;0.73426;-0.025362;1.044912;1.0
0.013462;0.725278;0.008021;0.9996540347150108;1.0003354146934917;0.7356478084334922;1.0;10.0;0.735178;-0.026287;1.044912;1.0
0.014602;0.726249;0.008885;0.9996990996995045;1.000401686445;0.7366007790228027;1.0;10.0;0.736099;-0.027184;1.044912;1.0
0.015743;0.727214;0.009716;0.9997431680991873;1.0004659667504938;0.7375504677633932;1.0;10.0;0.737017;-0.028047;1.044912;1.0
0.016884;0.728169;0.010511;0.9997842017725624;1.0005271995623108;0.7384916825564117;1.0;10.0;0.737927;-0.028874;1.044912;1.0
0.018024;0.729109;0.011266;0.9998231997948437;1.000585442513032;0.7394191891072344;1.0;10.0;0.738824;-0.029662;1.044912;1.0
0.019165;0.730031;0.011981;0.999860162029171;1.0006415203183405;0.7403297875312056;1.0;10.0;0.739705;-0.030409;1.044912;1.0
0.020306;0.730932;0.012656;0.9998950883412719;1.000692553317451;0.7412203617777915;1.0;10.0;0.740567;-0.031115;1.044912;1.0
0.021446;0.731809;0.01329;0.9999279785994589;1.0007414782974673;0.7420878034633099;1.0;10.0;0.741407;-0.03178;1.044912;1.0
0.022587;0.732661;0.013884;0.9999588326746257;1.000787296572054;0.7429320525122065;1.0;10.0;0.742225;-0.032405;1.044912;1.0
0.023728;0.733486;0.01444;0.9999866112328705;1.0008300077885355;0.7437489740564353;1.0;10.0;0.743017;-0.032989;1.044912;1.0
0.024868;0.734283;0.014957;1.0000133124218897;1.0008696116043287;0.7445406567280259;1.0;10.0;0.743785;-0.033536;1.044912;1.0
0.026009;0.735052;0.015438;1.0000379768888779;1.000907105988363;0.7453029837924977;1.0;10.0;0.744525;-0.034045;1.044912;1.0
0.02715;0.735792;0.015885;1.0000605643904774;1.0009404356953515;0.7460389734618427;1.0;10.0;0.74524;-0.034518;1.044912;1.0
0.02829;0.736503;0.016299;1.0000821140616405;1.0009726535150698;0.7467457071138741;1.0;10.0;0.745927;-0.034958;1.044912;1.0
0.029431;0.737185;0.016681;1.000101586396602;1.0010017625483982;0.7474241784455464;1.0;10.0;0.746587;-0.035366;1.044912;1.0
0.030572;0.73784;0.017034;1.00011902142545;1.00102876079811;0.7480753871703039;1.0;10.0;0.747221;-0.035743;1.044912;1.0
0.031712;0.738466;0.01736;1.000135377966403;1.0010535894586263;0.7486984373217297;1.0;10.0;0.747828;-0.036092;1.044912;1.0
0.032853;0.739065;0.01766;1.0001506961278384;1.0010763066844606;0.7492943418156846;1.0;10.0;0.748409;-0.036414;1.044912;1.0
0.033994;0.739637;0.017936;1.0001639362944457;1.0010969708280013;0.7498651656644679;1.0;10.0;0.748966;-0.036711;1.044912;1.0
0.035134;0.740183;0.018189;1.000177137025237;1.0011164627419729;0.7504089839774041;1.0;10.0;0.749497;-0.036985;1.044912;1.0
0.037416;0.741202;0.018637;1.000199382677274;1.001150108069714;0.7514239082601777;1.0;10.0;0.750489;-0.037472;1.044912;1.0
0.039469;0.742038;0.018979;1.0002161902998772;1.0011759483886935;0.7522575669609445;1.0;10.0;0.751305;-0.037845;1.044912;1.0
0.041522;0.742803;0.019271;1.000229880830402;1.0011974466707352;0.7530208726841507;1.0;10.0;0.752053;-0.038167;1.044912;1.0
0.043575;0.743501;0.01952;1.0002424117227784;1.0012166573349648;0.7537180211577802;1.0;10.0;0.752737;-0.038443;1.044912;1.0
0.045629;0.744139;0.019733;1.0002528239325297;1.0012326402894585;0.7543533248557999;1.0;10.0;0.753361;-0.03868;1.044912;1.0
0.045902;0.744219;0.019759;1.0002539854277013;1.0012339923114877;0.7544337083408985;1.0;10.0;0.75344;-0.038709;1.044912;1.0
0.045902;0.744219;0.019759;1.0002539854277013;1.0012339923114877;0.7544337083408985;1.0;10.0;0.75344;-0.038709;1.044912;1.0
0.045917;0.744223;0.01976;1.0002539854277013;1.0012339923114877;0.7544388043744834;1.0;10.0;0.753445;-0.038711;1.044912;1.0
0.045932;0.744228;0.019762;1.0002540260098933;1.0012340512752251;0.7544428504167828;1.0;10.0;0.753449;-0.038712;1.044912;1.0
0.045961;0.744236;0.019764;1.0002540260098933;1.0012350495353226;0.7544509938186841;1.0;10.0;0.753457;-0.038715;1.044912;1.0
0.046019;0.744253;0.01977;1.0002540665930832;1.0012351674656659;0.7544682793312122;1.0;10.0;0.753474;-0.038721;1.044912;1.0
0.046136;0.744287;0.01978;1.00025514693852;1.0012352853999902;0.7545018517790397;1.0;10.0;0.753507;-0.038733;1.044912;1.0
0.046369;0.744354;0.019801;1.0002552686999453;1.0012376357458803;0.7545679984156497;1.0;10.0;0.753572;-0.038757;1.044912;1.0
0.046836;0.744486;0.019842;1.0002575917922343;1.001240222053629;0.7547001905478758;1.0;10.0;0.753702;-0.038803;1.044912;1.0
0.047769;0.744741;0.01992;1.0002611577668103;1.0012463932184725;0.754955335307328;1.0;10.0;0.753953;-0.03889;1.044912;1.0
0.049635;0.745221;0.02006;1.0002682090184611;1.0012566221129326;0.755433912514523;1.0;10.0;0.754424;-0.039049;1.044912;1.0
0.051501;0.745661;0.020182;1.0002731812644983;1.0012656769254602;0.7558735276440101;1.0;10.0;0.754857;-0.039188;1.044912;1.0
0.053367;0.746065;0.020289;1.0002780727122833;1.0012735573523353;0.7562773761960622;1.0;10.0;0.755255;-0.039311;1.044912;1.0
0.055233;0.746436;0.020383;1.0002828832310386;1.0012802631156772;0.7566485004293605;1.0;10.0;0.755621;-0.039419;1.044912;1.0
0.057099;0.746777;0.020465;1.0002866542511701;1.0012858531248707;0.7569880508706857;1.0;10.0;0.755956;-0.039515;1.044912;1.0
0.058966;0.747089;0.020539;1.000289344980741;1.001291325471763;0.757300071105239;1.0;10.0;0.756264;-0.0396;1.044912;1.0
0.060832;0.747375;0.020604;1.0002929536590768;1.001296620799751;0.7575867128837463;1.0;10.0;0.756547;-0.039677;1.044912;1.0
0.062698;0.747638;0.020663;1.0002955633896413;1.0013008591252681;0.7578490256277961;1.0;10.0;0.756806;-0.039747;1.044912;1.0
0.06643;0.748104;0.020767;1.0002995803782984;1.0013080424889236;0.7583147973744149;1.0;10.0;0.757266;-0.039869;1.044912;1.0
0.069789;0.748462;0.020848;1.0003033531029475;1.0013136952748625;0.758671309079235;1.0;10.0;0.757618;-0.039964;1.044912;1.0
0.073148;0.748769;0.020921;1.0003070445263293;1.0013191115528555;0.7589793148617425;1.0;10.0;0.757922;-0.040048;1.044912;1.0
0.076508;0.749035;0.020988;1.0003096553817723;1.0013243503760407;0.7592450682961331;1.0;10.0;0.758184;-0.040126;1.044912;1.0
0.079867;0.749266;0.021051;1.000313143057213;1.0013284133215234;0.7594746129404195;1.0;10.0;0.75841;-0.040199;1.044912;1.0
