;time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_AVRSetpointPu;Wind_Turbine_GEN_InjectedActiveCurrent;Wind_Turbine_GEN_InjectedReactiveCurrent;Wind_Turbine_GEN_InjectedCurrent
0;0.000e+00;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+01;8.335e-01;1.045e+00;7.977e-01;-1.490e-02;7.979e-01
1;1.000e-06;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+01;8.335e-01;1.045e+00;7.977e-01;-1.490e-02;7.979e-01
2;2.000e-06;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+01;8.335e-01;1.045e+00;7.977e-01;-1.490e-02;7.979e-01
3;4.000e-06;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+01;8.335e-01;1.045e+00;7.977e-01;-1.490e-02;7.979e-01
4;8.000e-06;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+01;8.335e-01;1.045e+00;7.977e-01;-1.490e-02;7.979e-01
5;1.600e-05;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+01;8.335e-01;1.045e+00;7.977e-01;-1.490e-02;7.979e-01
6;3.200e-05;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+01;8.335e-01;1.045e+00;7.977e-01;-1.490e-02;7.979e-01
7;6.400e-05;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+01;8.335e-01;1.045e+00;7.977e-01;-1.490e-02;7.979e-01
8;1.280e-04;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+01;8.335e-01;1.045e+00;7.977e-01;-1.490e-02;7.979e-01
9;2.560e-04;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+01;8.335e-01;1.045e+00;7.977e-01;-1.490e-02;7.979e-01
10;5.120e-04;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+01;8.335e-01;1.045e+00;7.977e-01;-1.490e-02;7.979e-01
11;7.680e-04;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+01;8.335e-01;1.045e+00;7.977e-01;-1.490e-02;7.979e-01
12;1.280e-03;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+01;8.335e-01;1.045e+00;7.977e-01;-1.490e-02;7.979e-01
13;1.792e-03;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+01;8.335e-01;1.045e+00;7.977e-01;-1.490e-02;7.979e-01
14;2.304e-03;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+01;8.335e-01;1.045e+00;7.977e-01;-1.490e-02;7.979e-01
15;2.816e-03;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+01;8.335e-01;1.045e+00;7.977e-01;-1.490e-02;7.979e-01
16;3.328e-03;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+01;8.335e-01;1.045e+00;7.977e-01;-1.490e-02;7.979e-01
17;3.840e-03;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+01;8.335e-01;1.045e+00;7.977e-01;-1.490e-02;7.979e-01
18;4.352e-03;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+01;8.335e-01;1.045e+00;7.977e-01;-1.490e-02;7.979e-01
19;4.864e-03;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+01;8.335e-01;1.045e+00;7.977e-01;-1.490e-02;7.979e-01
20;5.376e-03;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+01;8.335e-01;1.045e+00;7.977e-01;-1.490e-02;7.979e-01
21;5.888e-03;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+01;8.335e-01;1.045e+00;7.977e-01;-1.490e-02;7.979e-01
22;6.912e-03;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+01;8.335e-01;1.045e+00;7.977e-01;-1.490e-02;7.979e-01
23;7.834e-03;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+01;8.335e-01;1.045e+00;7.977e-01;-1.490e-02;7.979e-01
24;8.755e-03;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+01;8.335e-01;1.045e+00;7.977e-01;-1.490e-02;7.979e-01
25;9.677e-03;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+01;8.335e-01;1.045e+00;7.977e-01;-1.490e-02;7.979e-01
26;1.060e-02;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+01;8.335e-01;1.045e+00;7.977e-01;-1.490e-02;7.979e-01
27;1.152e-02;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+01;8.335e-01;1.045e+00;7.977e-01;-1.490e-02;7.979e-01
28;1.244e-02;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+01;8.335e-01;1.045e+00;7.977e-01;-1.490e-02;7.979e-01
29;1.336e-02;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+01;8.335e-01;1.045e+00;7.977e-01;-1.490e-02;7.979e-01
30;1.429e-02;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+01;8.335e-01;1.045e+00;7.977e-01;-1.490e-02;7.979e-01
31;1.521e-02;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+01;8.335e-01;1.045e+00;7.977e-01;-1.490e-02;7.979e-01
32;1.613e-02;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+01;8.335e-01;1.045e+00;7.977e-01;-1.490e-02;7.979e-01
33;1.705e-02;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+01;8.335e-01;1.045e+00;7.977e-01;-1.490e-02;7.979e-01
34;1.889e-02;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+01;8.335e-01;1.045e+00;7.977e-01;-1.490e-02;7.979e-01
35;2.055e-02;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+01;8.335e-01;1.045e+00;7.977e-01;-1.490e-02;7.979e-01
36;2.221e-02;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+01;8.335e-01;1.045e+00;7.977e-01;-1.490e-02;7.979e-01
37;2.387e-02;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+01;8.335e-01;1.045e+00;7.977e-01;-1.490e-02;7.979e-01
38;2.553e-02;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+01;8.335e-01;1.045e+00;7.977e-01;-1.490e-02;7.979e-01
39;2.719e-02;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+01;8.335e-01;1.045e+00;7.977e-01;-1.490e-02;7.979e-01
40;2.885e-02;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+01;8.335e-01;1.045e+00;7.977e-01;-1.490e-02;7.979e-01
41;3.051e-02;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+01;8.335e-01;1.045e+00;7.977e-01;-1.490e-02;7.979e-01
