time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine1_GEN_MagnitudeControlledByAVRPu;Wind_Turbine2_GEN_MagnitudeControlledByAVRPu;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr1_XFMR_Tap;StepUp_Xfmr2_XFMR_Tap;Wind_Turbine1_GEN_InjectedActiveCurrent;Wind_Turbine1_GEN_InjectedReactiveCurrent;Wind_Turbine1_GEN_AVRSetpointPu;Wind_Turbine1_GEN_NetworkFrequencyPu;Wind_Turbine2_GEN_InjectedActiveCurrent;Wind_Turbine2_GEN_InjectedReactiveCurrent;Wind_Turbine2_GEN_AVRSetpointPu;Wind_Turbine2_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.000000000;1.044e+00;4.167e-01;-5.581e-07;3.989e-01;-5.871e-07;1.047e+00;1.047e+00;1.044e+00;7.500e-01;-1.063e-06;1.000e+01;1.000e+01;4.042e-01;-6.511e-03;1.047e+00;5.000e+01;4.042e-01;-6.511e-03;1.047e+00;5.000e+01;5.000e+01
19.989998000;1.045e+00;4.167e-01;-5.280e-07;3.989e-01;-7.117e-07;1.047e+00;1.047e+00;1.045e+00;7.501e-01;-1.005e-06;1.000e+01;1.000e+01;4.042e-01;-6.511e-03;1.047e+00;5.000e+01;4.042e-01;-6.511e-03;1.047e+00;5.000e+01;5.000e+01
19.990004000;1.044e+00;4.166e-01;-5.298e-07;3.989e-01;-7.350e-07;1.047e+00;1.047e+00;1.044e+00;7.499e-01;-1.000e-06;1.000e+01;1.000e+01;4.042e-01;-6.511e-03;1.047e+00;5.000e+01;4.042e-01;-6.511e-03;1.047e+00;5.000e+01;5.000e+01
19.990060000;1.041e+00;4.154e-01;-1.090e-06;3.989e-01;-1.315e-06;1.044e+00;1.044e+00;1.041e+00;7.478e-01;-1.993e-06;1.000e+01;1.000e+01;4.042e-01;-6.511e-03;1.047e+00;5.000e+01;4.042e-01;-6.511e-03;1.047e+00;5.000e+01;5.000e+01
19.990649000;1.011e+00;4.032e-01;-1.945e-05;3.989e-01;-1.982e-05;1.013e+00;1.013e+00;1.011e+00;7.257e-01;-3.498e-05;1.000e+01;1.000e+01;4.042e-01;-6.525e-03;1.047e+00;5.004e+01;4.042e-01;-6.525e-03;1.047e+00;5.004e+01;5.004e+01
19.990905000;9.972e-01;3.978e-01;-2.390e-05;3.989e-01;-2.459e-05;9.995e-01;9.995e-01;9.972e-01;7.161e-01;-4.298e-05;1.000e+01;1.000e+01;4.042e-01;-6.547e-03;1.047e+00;5.005e+01;4.042e-01;-6.547e-03;1.047e+00;5.005e+01;5.005e+01
19.991161000;9.839e-01;3.925e-01;-1.891e-05;3.990e-01;-1.987e-05;9.861e-01;9.861e-01;9.839e-01;7.066e-01;-3.398e-05;1.000e+01;1.000e+01;4.042e-01;-6.584e-03;1.047e+00;5.005e+01;4.042e-01;-6.584e-03;1.047e+00;5.005e+01;5.005e+01
19.994053000;8.330e-01;3.332e-01;1.505e-03;4.000e-01;1.805e-03;8.356e-01;8.356e-01;8.330e-01;5.997e-01;2.709e-03;1.000e+01;1.000e+01;4.052e-01;-9.004e-03;1.047e+00;5.010e+01;4.052e-01;-9.004e-03;1.047e+00;5.010e+01;5.010e+01
19.994514000;8.089e-01;3.238e-01;2.065e-03;4.003e-01;2.550e-03;8.117e-01;8.117e-01;8.089e-01;5.829e-01;3.717e-03;1.000e+01;1.000e+01;4.056e-01;-9.874e-03;1.047e+00;5.011e+01;4.056e-01;-9.874e-03;1.047e+00;5.011e+01;5.011e+01
19.997211000;6.682e-01;2.702e-01;7.143e-03;4.043e-01;1.068e-02;6.726e-01;6.726e-01;6.682e-01;4.863e-01;1.286e-02;1.000e+01;1.000e+01;4.094e-01;-1.893e-02;1.047e+00;5.015e+01;4.094e-01;-1.893e-02;1.047e+00;5.015e+01;5.015e+01
