time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine1_GEN_MagnitudeControlledByAVRPu;Wind_Turbine2_GEN_MagnitudeControlledByAVRPu;Wind_Turbine1_GEN_UPuInjTerminal;Wind_Turbine1_GEN_IpInjTerminal;Wind_Turbine1_GEN_IqInjTerminal;Wind_Turbine2_GEN_UPuInjTerminal;Wind_Turbine2_GEN_IpInjTerminal;Wind_Turbine2_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr1_XFMR_Tap;StepUp_Xfmr2_XFMR_Tap;Wind_Turbine1_GEN_AVRSetpointPu;Wind_Turbine1_GEN_NetworkFrequencyPu;Wind_Turbine2_GEN_AVRSetpointPu;Wind_Turbine2_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.000000000;1.044e+00;4.167e-01;-2.222e-01;3.989e-01;-2.128e-01;9.751e-01;9.751e-01;1.039e+00;2.031e-01;-1.031e-01;1.039e+00;2.031e-01;-1.031e-01;1.044e+00;7.500e-01;-4.000e-01;1.000e+01;1.000e+01;9.751e-01;5.000e+01;9.751e-01;5.000e+01;5.000e+01
19.989996000;1.044e+00;4.166e-01;-2.222e-01;3.989e-01;-2.128e-01;9.751e-01;9.751e-01;1.039e+00;2.031e-01;-1.031e-01;1.039e+00;2.031e-01;-1.031e-01;1.044e+00;7.500e-01;-4.000e-01;1.000e+01;1.000e+01;9.751e-01;5.000e+01;9.751e-01;5.000e+01;5.000e+01
19.990000000;1.044e+00;4.167e-01;-2.222e-01;3.989e-01;-2.128e-01;9.751e-01;9.751e-01;1.039e+00;2.031e-01;-1.031e-01;1.039e+00;2.031e-01;-1.031e-01;1.044e+00;7.500e-01;-4.000e-01;1.000e+01;1.000e+01;9.751e-01;5.000e+01;9.751e-01;5.000e+01;5.000e+01
19.990004000;1.044e+00;4.167e-01;-2.222e-01;3.989e-01;-2.128e-01;9.752e-01;9.752e-01;1.039e+00;2.031e-01;-1.031e-01;1.039e+00;2.031e-01;-1.031e-01;1.044e+00;7.500e-01;-4.000e-01;1.000e+01;1.000e+01;9.751e-01;5.000e+01;9.751e-01;5.000e+01;5.000e+01
19.990252000;1.048e+00;4.180e-01;-2.229e-01;3.989e-01;-2.128e-01;9.782e-01;9.782e-01;1.043e+00;2.031e-01;-1.031e-01;1.043e+00;2.031e-01;-1.031e-01;1.048e+00;7.523e-01;-4.012e-01;1.000e+01;1.000e+01;9.751e-01;5.000e+01;9.751e-01;5.000e+01;5.000e+01
19.990508000;1.051e+00;4.193e-01;-2.236e-01;3.989e-01;-2.127e-01;9.812e-01;9.812e-01;1.046e+00;2.031e-01;-1.031e-01;1.046e+00;2.031e-01;-1.031e-01;1.051e+00;7.547e-01;-4.024e-01;1.000e+01;1.000e+01;9.751e-01;4.999e+01;9.751e-01;4.999e+01;4.999e+01
19.991588000;1.065e+00;4.248e-01;-2.264e-01;3.989e-01;-2.126e-01;9.942e-01;9.942e-01;1.060e+00;2.031e-01;-1.031e-01;1.060e+00;2.031e-01;-1.031e-01;1.065e+00;7.646e-01;-4.075e-01;1.000e+01;1.000e+01;9.751e-01;4.999e+01;9.751e-01;4.999e+01;4.999e+01
19.991844000;1.068e+00;4.261e-01;-2.270e-01;3.989e-01;-2.126e-01;9.973e-01;9.973e-01;1.063e+00;2.031e-01;-1.030e-01;1.063e+00;2.031e-01;-1.030e-01;1.068e+00;7.669e-01;-4.086e-01;1.000e+01;1.000e+01;9.751e-01;4.998e+01;9.751e-01;4.998e+01;4.998e+01
19.993124000;1.084e+00;4.325e-01;-2.303e-01;3.989e-01;-2.124e-01;1.013e+00;1.013e+00;1.079e+00;2.031e-01;-1.030e-01;1.079e+00;2.031e-01;-1.030e-01;1.084e+00;7.786e-01;-4.145e-01;1.000e+01;1.000e+01;9.751e-01;4.998e+01;9.751e-01;4.998e+01;4.998e+01
19.993380000;1.088e+00;4.338e-01;-2.309e-01;3.989e-01;-2.123e-01;1.016e+00;1.016e+00;1.083e+00;2.030e-01;-1.030e-01;1.083e+00;2.030e-01;-1.030e-01;1.088e+00;7.809e-01;-4.157e-01;1.000e+01;1.000e+01;9.751e-01;4.998e+01;9.751e-01;4.998e+01;4.998e+01
