time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine1_GEN_MagnitudeControlledByAVRPu;Wind_Turbine2_GEN_MagnitudeControlledByAVRPu;Wind_Turbine1_GEN_UPuInjTerminal;Wind_Turbine1_GEN_IpInjTerminal;Wind_Turbine1_GEN_IqInjTerminal;Wind_Turbine2_GEN_UPuInjTerminal;Wind_Turbine2_GEN_IpInjTerminal;Wind_Turbine2_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr1_XFMR_Tap;StepUp_Xfmr2_XFMR_Tap;Wind_Turbine1_GEN_AVRSetpointPu;Wind_Turbine1_GEN_NetworkFrequencyPu;Wind_Turbine2_GEN_AVRSetpointPu;Wind_Turbine2_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.000000000;1.044e+00;4.167e-01;2.222e-01;3.989e-01;2.128e-01;1.119e+00;1.119e+00;1.050e+00;2.011e-01;1.096e-01;1.050e+00;2.011e-01;1.096e-01;1.044e+00;7.500e-01;4.000e-01;1.000e+01;1.000e+01;1.119e+00;5.000e+01;1.119e+00;5.000e+01;5.000e+01
19.989996000;1.044e+00;4.166e-01;2.222e-01;3.989e-01;2.128e-01;1.119e+00;1.119e+00;1.050e+00;2.011e-01;1.096e-01;1.050e+00;2.011e-01;1.096e-01;1.044e+00;7.500e-01;4.000e-01;1.000e+01;1.000e+01;1.119e+00;5.000e+01;1.119e+00;5.000e+01;5.000e+01
19.990004000;1.044e+00;4.167e-01;2.222e-01;3.989e-01;2.128e-01;1.119e+00;1.119e+00;1.050e+00;2.011e-01;1.096e-01;1.050e+00;2.011e-01;1.096e-01;1.044e+00;7.500e-01;4.000e-01;1.000e+01;1.000e+01;1.119e+00;5.000e+01;1.119e+00;5.000e+01;5.000e+01
19.990028000;1.045e+00;4.168e-01;2.223e-01;3.989e-01;2.128e-01;1.119e+00;1.119e+00;1.050e+00;2.011e-01;1.096e-01;1.050e+00;2.011e-01;1.096e-01;1.045e+00;7.503e-01;4.001e-01;1.000e+01;1.000e+01;1.119e+00;5.000e+01;1.119e+00;5.000e+01;5.000e+01
19.990252000;1.048e+00;4.180e-01;2.229e-01;3.989e-01;2.128e-01;1.122e+00;1.122e+00;1.053e+00;2.011e-01;1.096e-01;1.053e+00;2.011e-01;1.096e-01;1.048e+00;7.523e-01;4.012e-01;1.000e+01;1.000e+01;1.119e+00;5.000e+01;1.119e+00;5.000e+01;5.000e+01
19.990372000;1.049e+00;4.186e-01;2.232e-01;3.989e-01;2.128e-01;1.124e+00;1.124e+00;1.055e+00;2.011e-01;1.096e-01;1.055e+00;2.011e-01;1.096e-01;1.049e+00;7.534e-01;4.018e-01;1.000e+01;1.000e+01;1.119e+00;4.999e+01;1.119e+00;4.999e+01;4.999e+01
19.990500000;1.051e+00;4.192e-01;2.236e-01;3.989e-01;2.128e-01;1.126e+00;1.126e+00;1.056e+00;2.011e-01;1.096e-01;1.056e+00;2.011e-01;1.096e-01;1.051e+00;7.546e-01;4.024e-01;1.000e+01;1.000e+01;1.119e+00;4.999e+01;1.119e+00;4.999e+01;4.999e+01
19.991026000;1.058e+00;4.219e-01;2.249e-01;3.989e-01;2.127e-01;1.133e+00;1.133e+00;1.063e+00;2.011e-01;1.096e-01;1.063e+00;2.011e-01;1.096e-01;1.058e+00;7.594e-01;4.049e-01;1.000e+01;1.000e+01;1.119e+00;4.999e+01;1.119e+00;4.999e+01;4.999e+01
19.991538000;1.064e+00;4.245e-01;2.262e-01;3.989e-01;2.126e-01;1.140e+00;1.140e+00;1.070e+00;2.011e-01;1.095e-01;1.070e+00;2.011e-01;1.095e-01;1.064e+00;7.640e-01;4.072e-01;1.000e+01;1.000e+01;1.119e+00;4.999e+01;1.119e+00;4.999e+01;4.999e+01
19.991794000;1.067e+00;4.258e-01;2.269e-01;3.989e-01;2.125e-01;1.143e+00;1.143e+00;1.073e+00;2.011e-01;1.095e-01;1.073e+00;2.011e-01;1.095e-01;1.067e+00;7.664e-01;4.083e-01;1.000e+01;1.000e+01;1.119e+00;4.998e+01;1.119e+00;4.998e+01;4.998e+01
