time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine1_GEN_MagnitudeControlledByAVRPu;Wind_Turbine2_GEN_MagnitudeControlledByAVRPu;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr1_XFMR_Tap;StepUp_Xfmr2_XFMR_Tap;Wind_Turbine1_GEN_InjectedActiveCurrent;Wind_Turbine1_GEN_InjectedReactiveCurrent;Wind_Turbine1_GEN_AVRSetpointPu;Wind_Turbine1_GEN_NetworkFrequencyPu;Wind_Turbine2_GEN_InjectedActiveCurrent;Wind_Turbine2_GEN_InjectedReactiveCurrent;Wind_Turbine2_GEN_AVRSetpointPu;Wind_Turbine2_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.000000000;1.044e+00;4.167e-01;4.167e-02;3.989e-01;3.989e-02;1.060e+00;1.060e+00;1.044e+00;7.500e-01;7.500e-02;1.000e+01;1.000e+01;4.038e-01;-4.639e-02;1.060e+00;5.000e+01;4.038e-01;-4.639e-02;1.060e+00;5.000e+01;5.000e+01
0.020024000;1.044e+00;4.167e-01;4.152e-02;3.989e-01;3.976e-02;1.060e+00;1.060e+00;1.044e+00;7.500e-01;7.474e-02;1.000e+01;1.000e+01;4.038e-01;-4.626e-02;1.060e+00;5.000e+01;4.038e-01;-4.626e-02;1.060e+00;5.000e+01;5.000e+01
0.021024000;1.044e+00;4.166e-01;4.151e-02;3.989e-01;3.975e-02;1.060e+00;1.060e+00;1.044e+00;7.500e-01;7.472e-02;1.000e+01;1.000e+01;4.038e-01;-4.625e-02;1.060e+00;5.000e+01;4.038e-01;-4.625e-02;1.060e+00;5.000e+01;5.000e+01
0.031024000;1.044e+00;4.166e-01;4.139e-02;3.989e-01;3.964e-02;1.060e+00;1.060e+00;1.044e+00;7.500e-01;7.451e-02;1.000e+01;1.000e+01;4.038e-01;-4.614e-02;1.060e+00;5.000e+01;4.038e-01;-4.614e-02;1.060e+00;5.000e+01;5.000e+01
0.032024000;1.044e+00;4.166e-01;4.138e-02;3.989e-01;3.962e-02;1.060e+00;1.060e+00;1.044e+00;7.499e-01;7.449e-02;1.000e+01;1.000e+01;4.038e-01;-4.613e-02;1.060e+00;5.000e+01;4.038e-01;-4.613e-02;1.060e+00;5.000e+01;5.000e+01
0.042024000;1.044e+00;4.166e-01;4.126e-02;3.989e-01;3.951e-02;1.060e+00;1.060e+00;1.044e+00;7.499e-01;7.427e-02;1.000e+01;1.000e+01;4.038e-01;-4.601e-02;1.060e+00;5.000e+01;4.038e-01;-4.601e-02;1.060e+00;5.000e+01;5.000e+01
0.043024000;1.044e+00;4.166e-01;4.125e-02;3.990e-01;3.950e-02;1.060e+00;1.060e+00;1.044e+00;7.499e-01;7.424e-02;1.000e+01;1.000e+01;4.039e-01;-4.600e-02;1.060e+00;5.000e+01;4.039e-01;-4.600e-02;1.060e+00;5.000e+01;5.000e+01
0.095024000;1.044e+00;4.166e-01;4.055e-02;3.990e-01;3.884e-02;1.060e+00;1.060e+00;1.044e+00;7.499e-01;7.299e-02;1.000e+01;1.000e+01;4.039e-01;-4.534e-02;1.060e+00;5.000e+01;4.039e-01;-4.534e-02;1.060e+00;5.000e+01;5.000e+01
0.096024000;1.044e+00;4.166e-01;4.054e-02;3.990e-01;3.882e-02;1.059e+00;1.059e+00;1.044e+00;7.499e-01;7.297e-02;1.000e+01;1.000e+01;4.039e-01;-4.533e-02;1.060e+00;5.000e+01;4.039e-01;-4.533e-02;1.060e+00;5.000e+01;5.000e+01
0.108024000;1.044e+00;4.166e-01;4.037e-02;3.990e-01;3.866e-02;1.059e+00;1.059e+00;1.044e+00;7.499e-01;7.266e-02;1.000e+01;1.000e+01;4.039e-01;-4.517e-02;1.060e+00;5.000e+01;4.039e-01;-4.517e-02;1.060e+00;5.000e+01;5.000e+01
