;time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;InfiniteBus_BUS_NetworkFrequencyPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_AVRSetpointPu;NetworkFrequencyPu
0;0.000e+00;9.922e-01;4.167e-01;-4.444e-01;4.199e-01;-4.479e-01;9.814e-01;1.000e+00;1.000e+01;4.168e-01;-4.352e-01;-4.352e-01;1.000e+00
1;0.000e+00;9.922e-01;4.167e-01;-4.444e-01;4.199e-01;-4.479e-01;9.814e-01;1.000e+00;1.000e+01;4.168e-01;-4.352e-01;-4.352e-01;1.000e+00
2;1.000e-06;9.922e-01;4.167e-01;-4.444e-01;4.199e-01;-4.479e-01;9.814e-01;1.000e+00;1.000e+01;4.168e-01;-4.352e-01;-4.352e-01;1.000e+00
3;2.000e-06;9.922e-01;4.167e-01;-4.444e-01;4.199e-01;-4.479e-01;9.814e-01;1.000e+00;1.000e+01;4.168e-01;-4.352e-01;-4.352e-01;1.000e+00
4;4.000e-06;9.922e-01;4.167e-01;-4.444e-01;4.199e-01;-4.479e-01;9.814e-01;1.000e+00;1.000e+01;4.168e-01;-4.352e-01;-4.352e-01;1.000e+00
5;8.000e-06;9.922e-01;4.167e-01;-4.444e-01;4.199e-01;-4.479e-01;9.814e-01;1.000e+00;1.000e+01;4.168e-01;-4.352e-01;-4.352e-01;1.000e+00
6;1.600e-05;9.922e-01;4.167e-01;-4.444e-01;4.199e-01;-4.479e-01;9.814e-01;1.000e+00;1.000e+01;4.168e-01;-4.352e-01;-4.352e-01;1.000e+00
7;3.200e-05;9.922e-01;4.167e-01;-4.444e-01;4.199e-01;-4.479e-01;9.814e-01;1.000e+00;1.000e+01;4.168e-01;-4.352e-01;-4.352e-01;1.000e+00
8;6.400e-05;9.922e-01;4.167e-01;-4.444e-01;4.199e-01;-4.479e-01;9.814e-01;1.000e+00;1.000e+01;4.168e-01;-4.352e-01;-4.352e-01;1.000e+00
9;1.280e-04;9.922e-01;4.167e-01;-4.444e-01;4.199e-01;-4.479e-01;9.814e-01;1.000e+00;1.000e+01;4.168e-01;-4.352e-01;-4.352e-01;1.000e+00
10;2.560e-04;9.922e-01;4.167e-01;-4.444e-01;4.199e-01;-4.479e-01;9.814e-01;1.000e+00;1.000e+01;4.168e-01;-4.352e-01;-4.352e-01;1.000e+00
11;5.120e-04;9.922e-01;4.167e-01;-4.444e-01;4.199e-01;-4.479e-01;9.814e-01;1.000e+00;1.000e+01;4.168e-01;-4.352e-01;-4.352e-01;1.000e+00
12;1.024e-03;9.922e-01;4.167e-01;-4.444e-01;4.199e-01;-4.479e-01;9.814e-01;1.000e+00;1.000e+01;4.168e-01;-4.352e-01;-4.352e-01;1.000e+00
13;2.048e-03;9.922e-01;4.167e-01;-4.444e-01;4.199e-01;-4.479e-01;9.814e-01;1.000e+00;1.000e+01;4.168e-01;-4.352e-01;-4.352e-01;1.000e+00
14;4.096e-03;9.922e-01;4.167e-01;-4.444e-01;4.199e-01;-4.479e-01;9.814e-01;1.000e+00;1.000e+01;4.168e-01;-4.352e-01;-4.352e-01;1.000e+00
15;8.192e-03;9.922e-01;4.167e-01;-4.444e-01;4.199e-01;-4.479e-01;9.814e-01;1.000e+00;1.000e+01;4.168e-01;-4.352e-01;-4.352e-01;1.000e+00
16;1.638e-02;9.922e-01;4.167e-01;-4.444e-01;4.199e-01;-4.479e-01;9.814e-01;1.000e+00;1.000e+01;4.168e-01;-4.352e-01;-4.352e-01;1.000e+00
17;2.638e-02;9.922e-01;4.167e-01;-4.444e-01;4.199e-01;-4.479e-01;9.814e-01;1.000e+00;1.000e+01;4.168e-01;-4.352e-01;-4.352e-01;1.000e+00
18;3.638e-02;9.922e-01;4.167e-01;-4.444e-01;4.199e-01;-4.479e-01;9.814e-01;1.000e+00;1.000e+01;4.168e-01;-4.352e-01;-4.352e-01;1.000e+00
19;4.638e-02;9.922e-01;4.167e-01;-4.444e-01;4.199e-01;-4.479e-01;9.814e-01;1.000e+00;1.000e+01;4.168e-01;-4.352e-01;-4.352e-01;1.000e+00
20;5.638e-02;9.922e-01;4.167e-01;-4.444e-01;4.199e-01;-4.479e-01;9.814e-01;1.000e+00;1.000e+01;4.168e-01;-4.352e-01;-4.352e-01;1.000e+00
21;6.638e-02;9.922e-01;4.167e-01;-4.444e-01;4.199e-01;-4.479e-01;9.814e-01;1.000e+00;1.000e+01;4.168e-01;-4.352e-01;-4.352e-01;1.000e+00
22;7.638e-02;9.922e-01;4.167e-01;-4.444e-01;4.199e-01;-4.479e-01;9.814e-01;1.000e+00;1.000e+01;4.168e-01;-4.352e-01;-4.352e-01;1.000e+00
23;8.638e-02;9.922e-01;4.167e-01;-4.444e-01;4.199e-01;-4.479e-01;9.814e-01;1.000e+00;1.000e+01;4.168e-01;-4.352e-01;-4.352e-01;1.000e+00
24;9.638e-02;9.922e-01;4.167e-01;-4.444e-01;4.199e-01;-4.479e-01;9.814e-01;1.000e+00;1.000e+01;4.168e-01;-4.352e-01;-4.352e-01;1.000e+00
25;1.064e-01;9.922e-01;4.167e-01;-4.444e-01;4.199e-01;-4.479e-01;9.814e-01;1.000e+00;1.000e+01;4.168e-01;-4.352e-01;-4.352e-01;1.000e+00
26;1.164e-01;9.922e-01;4.167e-01;-4.444e-01;4.199e-01;-4.479e-01;9.814e-01;1.000e+00;1.000e+01;4.168e-01;-4.352e-01;-4.352e-01;1.000e+00
27;1.264e-01;9.922e-01;4.167e-01;-4.444e-01;4.199e-01;-4.479e-01;9.814e-01;1.000e+00;1.000e+01;4.168e-01;-4.352e-01;-4.352e-01;1.000e+00
28;1.364e-01;9.922e-01;4.167e-01;-4.444e-01;4.199e-01;-4.479e-01;9.814e-01;1.000e+00;1.000e+01;4.168e-01;-4.352e-01;-4.352e-01;1.000e+00
29;1.464e-01;9.922e-01;4.167e-01;-4.444e-01;4.199e-01;-4.479e-01;9.814e-01;1.000e+00;1.000e+01;4.168e-01;-4.352e-01;-4.352e-01;1.000e+00
