time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;Wind_Turbine_GEN_UPuInjTerminal;Wind_Turbine_GEN_IpInjTerminal;Wind_Turbine_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_AVRSetpointPu;Wind_Turbine_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.000000000;1.044e+00;8.333e-01;8.333e-02;7.979e-01;7.979e-02;1.078e+00;1.069e+00;7.902e-01;1.910e-01;1.044e+00;7.500e-01;7.500e-02;1.000e+01;1.078e+00;5.000e+01;5.000e+01
0.000768000;1.044e+00;8.332e-01;8.331e-02;7.978e-01;7.977e-02;1.078e+00;1.069e+00;7.901e-01;1.910e-01;1.044e+00;7.499e-01;7.498e-02;1.000e+01;1.078e+00;5.000e+01;5.000e+01
0.001024000;1.044e+00;8.332e-01;8.330e-02;7.977e-01;7.975e-02;1.078e+00;1.069e+00;7.901e-01;1.910e-01;1.044e+00;7.498e-01;7.497e-02;1.000e+01;1.078e+00;4.999e+01;4.999e+01
0.001280000;1.044e+00;8.331e-01;8.328e-02;7.976e-01;7.973e-02;1.078e+00;1.069e+00;7.900e-01;1.909e-01;1.044e+00;7.498e-01;7.495e-02;1.000e+01;1.078e+00;4.999e+01;4.999e+01
0.001536000;1.044e+00;8.329e-01;8.325e-02;7.975e-01;7.971e-02;1.078e+00;1.069e+00;7.899e-01;1.909e-01;1.044e+00;7.496e-01;7.493e-02;1.000e+01;1.078e+00;4.999e+01;4.999e+01
0.001792000;1.044e+00;8.328e-01;8.322e-02;7.973e-01;7.968e-02;1.078e+00;1.069e+00;7.897e-01;1.908e-01;1.044e+00;7.495e-01;7.490e-02;1.000e+01;1.078e+00;4.998e+01;4.998e+01
0.002048000;1.044e+00;8.326e-01;8.318e-02;7.971e-01;7.964e-02;1.078e+00;1.069e+00;7.895e-01;1.907e-01;1.044e+00;7.493e-01;7.487e-02;1.000e+01;1.078e+00;4.998e+01;4.998e+01
0.002304000;1.044e+00;8.324e-01;8.314e-02;7.969e-01;7.960e-02;1.078e+00;1.069e+00;7.893e-01;1.906e-01;1.044e+00;7.491e-01;7.483e-02;1.000e+01;1.078e+00;4.997e+01;4.997e+01
0.002560000;1.044e+00;8.321e-01;8.310e-02;7.967e-01;7.956e-02;1.078e+00;1.069e+00;7.891e-01;1.905e-01;1.044e+00;7.489e-01;7.479e-02;1.000e+01;1.078e+00;4.997e+01;4.997e+01
0.002816000;1.044e+00;8.319e-01;8.305e-02;7.964e-01;7.951e-02;1.078e+00;1.069e+00;7.889e-01;1.904e-01;1.044e+00;7.487e-01;7.475e-02;1.000e+01;1.078e+00;4.996e+01;4.996e+01
0.003328000;1.044e+00;8.312e-01;8.294e-02;7.958e-01;7.941e-02;1.078e+00;1.069e+00;7.883e-01;1.901e-01;1.044e+00;7.481e-01;7.465e-02;1.000e+01;1.078e+00;4.995e+01;4.995e+01
0.003789000;1.045e+00;8.305e-01;8.283e-02;7.951e-01;7.930e-02;1.078e+00;1.069e+00;7.877e-01;1.898e-01;1.045e+00;7.475e-01;7.454e-02;1.000e+01;1.078e+00;4.994e+01;4.994e+01
0.004250000;1.045e+00;8.298e-01;8.270e-02;7.944e-01;7.918e-02;1.078e+00;1.069e+00;7.870e-01;1.895e-01;1.045e+00;7.468e-01;7.443e-02;1.000e+01;1.078e+00;4.993e+01;4.993e+01
0.004710000;1.045e+00;8.289e-01;8.257e-02;7.936e-01;7.904e-02;1.078e+00;1.069e+00;7.862e-01;1.892e-01;1.045e+00;7.460e-01;7.431e-02;1.000e+01;1.078e+00;4.992e+01;4.992e+01
0.005632000;1.045e+00;8.270e-01;8.227e-02;7.916e-01;7.876e-02;1.078e+00;1.069e+00;7.844e-01;1.884e-01;1.045e+00;7.443e-01;7.405e-02;1.000e+01;1.078e+00;4.990e+01;4.990e+01
0.006093000;1.045e+00;8.259e-01;8.212e-02;7.906e-01;7.861e-02;1.078e+00;1.069e+00;7.833e-01;1.880e-01;1.045e+00;7.433e-01;7.391e-02;1.000e+01;1.078e+00;4.989e+01;4.989e+01
0.006713000;1.045e+00;8.243e-01;8.190e-02;7.890e-01;7.840e-02;1.078e+00;1.069e+00;7.819e-01;1.874e-01;1.045e+00;7.419e-01;7.371e-02;1.000e+01;1.078e+00;4.988e+01;4.988e+01
0.006729000;1.045e+00;8.243e-01;8.190e-02;7.890e-01;7.839e-02;1.078e+00;1.069e+00;7.818e-01;1.873e-01;1.045e+00;7.418e-01;7.371e-02;1.000e+01;1.078e+00;4.988e+01;4.988e+01
0.006761000;1.045e+00;8.242e-01;8.189e-02;7.889e-01;7.838e-02;1.078e+00;1.069e+00;7.818e-01;1.873e-01;1.045e+00;7.418e-01;7.370e-02;1.000e+01;1.078e+00;4.987e+01;4.987e+01
0.006953000;1.045e+00;8.237e-01;8.182e-02;7.884e-01;7.831e-02;1.078e+00;1.069e+00;7.813e-01;1.871e-01;1.045e+00;7.413e-01;7.364e-02;1.000e+01;1.078e+00;4.987e+01;4.987e+01
0.007209000;1.045e+00;8.230e-01;8.173e-02;7.877e-01;7.822e-02;1.078e+00;1.069e+00;7.806e-01;1.868e-01;1.045e+00;7.407e-01;7.355e-02;1.000e+01;1.078e+00;4.987e+01;4.987e+01
0.007721000;1.045e+00;8.215e-01;8.155e-02;7.863e-01;7.805e-02;1.078e+00;1.069e+00;7.793e-01;1.863e-01;1.045e+00;7.394e-01;7.339e-02;1.000e+01;1.078e+00;4.986e+01;4.986e+01
0.008745000;1.045e+00;8.185e-01;8.119e-02;7.833e-01;7.770e-02;1.078e+00;1.069e+00;7.765e-01;1.852e-01;1.045e+00;7.366e-01;7.307e-02;1.000e+01;1.078e+00;4.984e+01;4.984e+01
0.009257000;1.045e+00;8.169e-01;8.102e-02;7.817e-01;7.753e-02;1.078e+00;1.069e+00;7.750e-01;1.846e-01;1.045e+00;7.352e-01;7.292e-02;1.000e+01;1.078e+00;4.984e+01;4.984e+01
0.009769000;1.045e+00;8.153e-01;8.086e-02;7.801e-01;7.736e-02;1.078e+00;1.069e+00;7.735e-01;1.840e-01;1.045e+00;7.338e-01;7.277e-02;1.000e+01;1.078e+00;4.983e+01;4.983e+01
