time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;InfiniteBus_BUS_NetworkFrequencyPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_AVRSetpointPu;NetworkFrequencyPu
0.000000000;1.044e+00;8.333e-01;-1.112e-06;7.979e-01;-1.059e-06;1.045e+00;1.044e+00;7.500e-01;-9.912e-07;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;5.000e+01
0.000512000;1.044e+00;8.333e-01;-7.779e-06;7.978e-01;-7.444e-06;1.045e+00;1.044e+00;7.500e-01;-6.993e-06;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;5.000e+01
0.000768000;1.044e+00;8.333e-01;-1.556e-05;7.978e-01;-1.489e-05;1.045e+00;1.044e+00;7.499e-01;-1.399e-05;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;5.000e+01
0.001024000;1.044e+00;8.332e-01;-2.778e-05;7.977e-01;-2.660e-05;1.045e+00;1.044e+00;7.499e-01;-2.499e-05;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;5.000e+01
0.001536000;1.044e+00;8.330e-01;-6.222e-05;7.976e-01;-5.957e-05;1.045e+00;1.044e+00;7.497e-01;-5.599e-05;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;5.000e+01
0.001792000;1.044e+00;8.329e-01;-8.556e-05;7.974e-01;-8.191e-05;1.045e+00;1.044e+00;7.496e-01;-7.699e-05;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;5.000e+01
0.002048000;1.044e+00;8.327e-01;-1.122e-04;7.973e-01;-1.074e-04;1.045e+00;1.044e+00;7.495e-01;-1.010e-04;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;5.000e+01
0.002560000;1.044e+00;8.324e-01;-1.767e-04;7.969e-01;-1.691e-04;1.045e+00;1.044e+00;7.491e-01;-1.590e-04;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;5.000e+01
0.003021000;1.044e+00;8.319e-01;-2.467e-04;7.965e-01;-2.362e-04;1.045e+00;1.044e+00;7.487e-01;-2.220e-04;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;5.000e+01
0.003942000;1.044e+00;8.308e-01;-4.178e-04;7.954e-01;-4.000e-04;1.045e+00;1.044e+00;7.478e-01;-3.760e-04;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;5.000e+01
0.004403000;1.045e+00;8.302e-01;-5.178e-04;7.948e-01;-4.957e-04;1.045e+00;1.045e+00;7.472e-01;-4.660e-04;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;5.000e+01
0.004864000;1.045e+00;8.294e-01;-6.267e-04;7.941e-01;-6.000e-04;1.045e+00;1.045e+00;7.465e-01;-5.640e-04;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;5.000e+01
0.005786000;1.045e+00;8.277e-01;-8.644e-04;7.924e-01;-8.276e-04;1.045e+00;1.045e+00;7.450e-01;-7.780e-04;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;5.000e+01
0.006246000;1.045e+00;8.268e-01;-9.911e-04;7.915e-01;-9.488e-04;1.045e+00;1.045e+00;7.441e-01;-8.920e-04;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;5.000e+01
0.006707000;1.045e+00;8.258e-01;-1.122e-03;7.905e-01;-1.074e-03;1.045e+00;1.045e+00;7.432e-01;-1.010e-03;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;5.000e+01
0.008090000;1.045e+00;8.224e-01;-1.529e-03;7.872e-01;-1.463e-03;1.045e+00;1.045e+00;7.402e-01;-1.376e-03;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;5.000e+01
0.009011000;1.045e+00;8.200e-01;-1.800e-03;7.848e-01;-1.723e-03;1.045e+00;1.045e+00;7.380e-01;-1.620e-03;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;5.000e+01
0.009472000;1.045e+00;8.187e-01;-1.932e-03;7.836e-01;-1.849e-03;1.045e+00;1.045e+00;7.369e-01;-1.739e-03;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;5.000e+01
0.010394000;1.045e+00;8.161e-01;-2.188e-03;7.810e-01;-2.094e-03;1.045e+00;1.045e+00;7.345e-01;-1.969e-03;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;5.000e+01
0.010854000;1.045e+00;8.148e-01;-2.309e-03;7.797e-01;-2.209e-03;1.045e+00;1.045e+00;7.334e-01;-2.078e-03;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;5.000e+01
0.011315000;1.045e+00;8.135e-01;-2.426e-03;7.784e-01;-2.321e-03;1.045e+00;1.045e+00;7.322e-01;-2.183e-03;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;5.000e+01
0.011776000;1.045e+00;8.122e-01;-2.536e-03;7.771e-01;-2.426e-03;1.046e+00;1.045e+00;7.310e-01;-2.282e-03;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;5.000e+01
0.012237000;1.045e+00;8.109e-01;-2.640e-03;7.757e-01;-2.526e-03;1.046e+00;1.045e+00;7.298e-01;-2.376e-03;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;5.000e+01
0.013158000;1.045e+00;8.082e-01;-2.829e-03;7.731e-01;-2.706e-03;1.046e+00;1.045e+00;7.274e-01;-2.546e-03;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;5.000e+01
0.013619000;1.045e+00;8.069e-01;-2.912e-03;7.718e-01;-2.786e-03;1.046e+00;1.045e+00;7.262e-01;-2.621e-03;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;5.000e+01
0.014080000;1.046e+00;8.056e-01;-2.988e-03;7.705e-01;-2.858e-03;1.046e+00;1.046e+00;7.251e-01;-2.689e-03;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;5.000e+01
0.014541000;1.046e+00;8.044e-01;-3.057e-03;7.693e-01;-2.923e-03;1.046e+00;1.046e+00;7.239e-01;-2.751e-03;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;5.000e+01
0.015002000;1.046e+00;8.031e-01;-3.118e-03;7.680e-01;-2.981e-03;1.046e+00;1.046e+00;7.228e-01;-2.806e-03;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;5.000e+01
0.015923000;1.046e+00;8.007e-01;-3.216e-03;7.655e-01;-3.075e-03;1.046e+00;1.046e+00;7.206e-01;-2.894e-03;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;5.000e+01
0.016384000;1.046e+00;7.995e-01;-3.253e-03;7.643e-01;-3.110e-03;1.046e+00;1.046e+00;7.195e-01;-2.928e-03;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;5.000e+01
0.016845000;1.046e+00;7.983e-01;-3.283e-03;7.632e-01;-3.139e-03;1.046e+00;1.046e+00;7.185e-01;-2.955e-03;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;5.000e+01
0.017306000;1.046e+00;7.972e-01;-3.306e-03;7.620e-01;-3.160e-03;1.046e+00;1.046e+00;7.174e-01;-2.975e-03;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;5.000e+01
0.017766000;1.046e+00;7.960e-01;-3.321e-03;7.609e-01;-3.174e-03;1.046e+00;1.046e+00;7.164e-01;-2.989e-03;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;5.000e+01
0.018227000;1.046e+00;7.950e-01;-3.329e-03;7.598e-01;-3.182e-03;1.047e+00;1.046e+00;7.155e-01;-2.996e-03;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;5.000e+01
0.018688000;1.046e+00;7.939e-01;-3.329e-03;7.587e-01;-3.181e-03;1.047e+00;1.046e+00;7.145e-01;-2.996e-03;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;5.000e+01
0.019610000;1.047e+00;7.919e-01;-3.311e-03;7.566e-01;-3.164e-03;1.047e+00;1.047e+00;7.127e-01;-2.980e-03;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;5.000e+01
0.020439000;1.047e+00;7.901e-01;-3.274e-03;7.549e-01;-3.128e-03;1.047e+00;1.047e+00;7.111e-01;-2.947e-03;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;5.000e+01
0.021268000;1.047e+00;7.885e-01;-3.218e-03;7.532e-01;-3.074e-03;1.047e+00;1.047e+00;7.096e-01;-2.896e-03;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;5.000e+01
0.022098000;1.047e+00;7.869e-01;-3.146e-03;7.516e-01;-3.004e-03;1.047e+00;1.047e+00;7.082e-01;-2.831e-03;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;5.000e+01
0.022927000;1.047e+00;7.855e-01;-3.058e-03;7.501e-01;-2.920e-03;1.047e+00;1.047e+00;7.069e-01;-2.752e-03;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;5.000e+01
0.023757000;1.047e+00;7.841e-01;-2.958e-03;7.486e-01;-2.824e-03;1.048e+00;1.047e+00;7.057e-01;-2.662e-03;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;5.000e+01
0.024586000;1.047e+00;7.827e-01;-2.846e-03;7.473e-01;-2.717e-03;1.048e+00;1.047e+00;7.045e-01;-2.561e-03;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;5.000e+01
0.025416000;1.048e+00;7.815e-01;-2.723e-03;7.460e-01;-2.600e-03;1.048e+00;1.048e+00;7.033e-01;-2.451e-03;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;5.000e+01
