;time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_AVRSetpointPu;Wind_Turbine_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0;0.000e+00;1.044e+00;8.333e-01;2.815e-07;7.979e-01;2.695e-07;1.051e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
1;1.000e-06;1.044e+00;8.333e-01;2.815e-07;7.979e-01;2.695e-07;1.051e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
2;2.000e-06;1.044e+00;8.333e-01;2.815e-07;7.979e-01;2.695e-07;1.051e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
3;4.000e-06;1.044e+00;8.333e-01;2.815e-07;7.979e-01;2.695e-07;1.051e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
4;8.000e-06;1.044e+00;8.333e-01;2.815e-07;7.979e-01;2.695e-07;1.051e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
5;1.600e-05;1.044e+00;8.333e-01;2.815e-07;7.979e-01;2.695e-07;1.051e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
6;3.200e-05;1.044e+00;8.333e-01;4.215e-17;7.979e-01;4.035e-17;1.051e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
7;6.400e-05;1.044e+00;8.333e-01;4.215e-17;7.979e-01;4.035e-17;1.051e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
8;1.280e-04;1.044e+00;8.333e-01;-1.056e-06;7.979e-01;-1.011e-06;1.051e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
9;2.560e-04;1.044e+00;8.333e-01;-2.516e-06;7.979e-01;-2.409e-06;1.051e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
10;5.120e-04;1.044e+00;8.333e-01;-7.898e-06;7.978e-01;-7.562e-06;1.051e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
11;1.024e-03;1.044e+00;8.332e-01;-3.679e-05;7.977e-01;-3.523e-05;1.051e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
12;2.048e-03;1.044e+00;8.326e-01;-1.495e-04;7.971e-01;-1.431e-04;1.051e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
13;3.072e-03;1.044e+00;8.315e-01;-3.335e-04;7.961e-01;-3.193e-04;1.051e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
14;4.096e-03;1.045e+00;8.300e-01;-5.817e-04;7.946e-01;-5.569e-04;1.051e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
15;6.144e-03;1.045e+00;8.258e-01;-1.195e-03;7.905e-01;-1.144e-03;1.051e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
16;8.192e-03;1.045e+00;8.203e-01;-1.888e-03;7.851e-01;-1.807e-03;1.051e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
17;1.024e-02;1.045e+00;8.141e-01;-2.559e-03;7.789e-01;-2.449e-03;1.051e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
18;1.229e-02;1.046e+00;8.076e-01;-3.121e-03;7.724e-01;-2.986e-03;1.051e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
19;1.434e-02;1.046e+00;8.011e-01;-3.527e-03;7.660e-01;-3.372e-03;1.051e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
20;1.638e-02;1.046e+00;7.950e-01;-3.752e-03;7.599e-01;-3.586e-03;1.052e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
21;1.843e-02;1.047e+00;7.895e-01;-3.802e-03;7.542e-01;-3.632e-03;1.052e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
22;2.048e-02;1.047e+00;7.845e-01;-3.691e-03;7.492e-01;-3.525e-03;1.052e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
23;2.253e-02;1.048e+00;7.801e-01;-3.454e-03;7.447e-01;-3.298e-03;1.053e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
24;2.458e-02;1.048e+00;7.763e-01;-3.123e-03;7.407e-01;-2.980e-03;1.053e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
25;2.662e-02;1.048e+00;7.729e-01;-2.726e-03;7.372e-01;-2.600e-03;1.054e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
26;2.867e-02;1.049e+00;7.699e-01;-2.296e-03;7.341e-01;-2.190e-03;1.054e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
27;3.277e-02;1.049e+00;7.648e-01;-1.444e-03;7.288e-01;-1.376e-03;1.055e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
28;3.686e-02;1.050e+00;7.607e-01;-6.660e-04;7.245e-01;-6.343e-04;1.056e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
29;4.096e-02;1.050e+00;7.573e-01;-2.693e-05;7.209e-01;-2.563e-05;1.056e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
30;4.506e-02;1.051e+00;7.544e-01;4.447e-04;7.179e-01;4.232e-04;1.057e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
31;4.514e-02;1.051e+00;7.543e-01;4.528e-04;7.178e-01;4.309e-04;1.057e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
32;4.515e-02;1.051e+00;7.543e-01;4.507e-04;7.178e-01;4.289e-04;1.057e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
33;4.515e-02;1.051e+00;7.543e-01;4.518e-04;7.178e-01;4.300e-04;1.057e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
34;4.515e-02;1.051e+00;7.543e-01;4.512e-04;7.178e-01;4.294e-04;1.057e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
35;4.515e-02;1.051e+00;7.543e-01;4.522e-04;7.178e-01;4.304e-04;1.057e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
36;4.516e-02;1.051e+00;7.543e-01;4.519e-04;7.178e-01;4.301e-04;1.057e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
37;4.518e-02;1.051e+00;7.543e-01;4.541e-04;7.178e-01;4.321e-04;1.057e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
38;4.521e-02;1.051e+00;7.543e-01;4.574e-04;7.178e-01;4.353e-04;1.057e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
39;4.527e-02;1.051e+00;7.542e-01;4.624e-04;7.178e-01;4.400e-04;1.057e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
40;4.540e-02;1.051e+00;7.541e-01;4.758e-04;7.177e-01;4.528e-04;1.057e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
41;4.566e-02;1.051e+00;7.540e-01;4.970e-04;7.175e-01;4.729e-04;1.057e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
42;4.617e-02;1.051e+00;7.536e-01;5.416e-04;7.172e-01;5.154e-04;1.057e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
43;4.719e-02;1.051e+00;7.530e-01;6.204e-04;7.165e-01;5.904e-04;1.057e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
44;4.924e-02;1.051e+00;7.518e-01;7.470e-04;7.153e-01;7.107e-04;1.057e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
45;5.334e-02;1.051e+00;7.497e-01;8.932e-04;7.132e-01;8.497e-04;1.058e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
46;5.743e-02;1.051e+00;7.479e-01;9.162e-04;7.113e-01;8.714e-04;1.058e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
47;6.153e-02;1.051e+00;7.464e-01;8.458e-04;7.098e-01;8.044e-04;1.058e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
48;6.563e-02;1.052e+00;7.451e-01;7.081e-04;7.085e-01;6.734e-04;1.058e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
49;6.972e-02;1.052e+00;7.440e-01;5.305e-04;7.075e-01;5.045e-04;1.058e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
50;7.791e-02;1.052e+00;7.422e-01;1.491e-04;7.058e-01;1.418e-04;1.058e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
51;8.611e-02;1.052e+00;7.410e-01;-2.083e-04;7.047e-01;-1.981e-04;1.057e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
52;9.348e-02;1.052e+00;7.402e-01;-4.738e-04;7.040e-01;-4.506e-04;1.057e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
53;1.008e-01;1.051e+00;7.397e-01;-6.705e-04;7.035e-01;-6.377e-04;1.057e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
54;1.075e-01;1.051e+00;7.394e-01;-7.951e-04;7.032e-01;-7.562e-04;1.057e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
55;1.141e-01;1.051e+00;7.392e-01;-8.838e-04;7.030e-01;-8.406e-04;1.057e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
56;1.208e-01;1.051e+00;7.390e-01;-9.481e-04;7.029e-01;-9.017e-04;1.057e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
57;1.274e-01;1.051e+00;7.389e-01;-1.002e-03;7.028e-01;-9.528e-04;1.057e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
58;1.340e-01;1.051e+00;7.388e-01;-1.056e-03;7.027e-01;-1.004e-03;1.057e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
59;1.440e-01;1.051e+00;7.387e-01;-1.144e-03;7.026e-01;-1.088e-03;1.057e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
60;1.540e-01;1.051e+00;7.387e-01;-1.245e-03;7.026e-01;-1.184e-03;1.057e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
61;1.640e-01;1.051e+00;7.387e-01;-1.357e-03;7.026e-01;-1.291e-03;1.057e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
62;1.740e-01;1.051e+00;7.386e-01;-1.478e-03;7.026e-01;-1.406e-03;1.057e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
63;1.840e-01;1.051e+00;7.386e-01;-1.603e-03;7.026e-01;-1.525e-03;1.057e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
64;1.940e-01;1.051e+00;7.386e-01;-1.727e-03;7.026e-01;-1.643e-03;1.057e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
65;2.040e-01;1.051e+00;7.386e-01;-1.851e-03;7.026e-01;-1.761e-03;1.056e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
66;2.140e-01;1.051e+00;7.386e-01;-1.974e-03;7.027e-01;-1.878e-03;1.056e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
67;2.240e-01;1.051e+00;7.386e-01;-2.097e-03;7.027e-01;-1.995e-03;1.056e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
68;2.340e-01;1.051e+00;7.386e-01;-2.220e-03;7.027e-01;-2.112e-03;1.056e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
69;2.440e-01;1.051e+00;7.386e-01;-2.343e-03;7.027e-01;-2.229e-03;1.056e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
70;2.540e-01;1.051e+00;7.386e-01;-2.467e-03;7.028e-01;-2.347e-03;1.056e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
71;2.640e-01;1.051e+00;7.386e-01;-2.593e-03;7.028e-01;-2.467e-03;1.056e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
72;2.740e-01;1.051e+00;7.386e-01;-2.719e-03;7.028e-01;-2.587e-03;1.056e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
73;2.840e-01;1.051e+00;7.386e-01;-2.845e-03;7.028e-01;-2.707e-03;1.056e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
74;2.940e-01;1.051e+00;7.386e-01;-2.971e-03;7.029e-01;-2.827e-03;1.056e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
75;3.040e-01;1.051e+00;7.386e-01;-3.098e-03;7.029e-01;-2.949e-03;1.056e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
76;3.140e-01;1.051e+00;7.386e-01;-3.226e-03;7.029e-01;-3.070e-03;1.056e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
77;3.240e-01;1.051e+00;7.386e-01;-3.354e-03;7.030e-01;-3.192e-03;1.055e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
78;3.340e-01;1.051e+00;7.386e-01;-3.480e-03;7.030e-01;-3.313e-03;1.055e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
79;3.440e-01;1.051e+00;7.386e-01;-3.608e-03;7.030e-01;-3.435e-03;1.055e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
80;3.540e-01;1.051e+00;7.386e-01;-3.737e-03;7.030e-01;-3.557e-03;1.055e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
81;3.640e-01;1.051e+00;7.386e-01;-3.864e-03;7.031e-01;-3.678e-03;1.055e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
82;3.740e-01;1.050e+00;7.386e-01;-3.991e-03;7.031e-01;-3.800e-03;1.055e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
83;3.840e-01;1.050e+00;7.386e-01;-4.121e-03;7.031e-01;-3.923e-03;1.055e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
84;3.940e-01;1.050e+00;7.386e-01;-4.248e-03;7.032e-01;-4.045e-03;1.055e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
85;4.040e-01;1.050e+00;7.386e-01;-4.377e-03;7.032e-01;-4.168e-03;1.055e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
86;4.140e-01;1.050e+00;7.386e-01;-4.505e-03;7.032e-01;-4.290e-03;1.055e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
87;4.240e-01;1.050e+00;7.386e-01;-4.634e-03;7.032e-01;-4.412e-03;1.055e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
88;4.340e-01;1.050e+00;7.386e-01;-4.763e-03;7.033e-01;-4.535e-03;1.055e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
89;4.440e-01;1.050e+00;7.386e-01;-4.891e-03;7.033e-01;-4.657e-03;1.054e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
90;4.540e-01;1.050e+00;7.386e-01;-5.020e-03;7.033e-01;-4.780e-03;1.054e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
91;4.640e-01;1.050e+00;7.386e-01;-5.148e-03;7.033e-01;-4.902e-03;1.054e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
92;4.740e-01;1.050e+00;7.386e-01;-5.276e-03;7.034e-01;-5.024e-03;1.054e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
93;4.840e-01;1.050e+00;7.386e-01;-5.404e-03;7.034e-01;-5.147e-03;1.054e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
94;4.940e-01;1.050e+00;7.386e-01;-5.532e-03;7.034e-01;-5.269e-03;1.054e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
95;5.040e-01;1.050e+00;7.386e-01;-5.661e-03;7.035e-01;-5.392e-03;1.054e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
96;5.140e-01;1.050e+00;7.386e-01;-5.788e-03;7.035e-01;-5.513e-03;1.054e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
97;5.240e-01;1.050e+00;7.386e-01;-5.916e-03;7.035e-01;-5.635e-03;1.054e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
98;5.340e-01;1.050e+00;7.386e-01;-6.045e-03;7.035e-01;-5.758e-03;1.054e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
99;5.440e-01;1.050e+00;7.386e-01;-6.172e-03;7.036e-01;-5.880e-03;1.054e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
100;5.540e-01;1.050e+00;7.386e-01;-6.300e-03;7.036e-01;-6.001e-03;1.054e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
101;5.640e-01;1.050e+00;7.386e-01;-6.428e-03;7.036e-01;-6.123e-03;1.053e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
102;5.719e-01;1.050e+00;7.386e-01;-6.529e-03;7.037e-01;-6.220e-03;1.053e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
103;5.719e-01;1.050e+00;7.386e-01;-6.529e-03;7.037e-01;-6.220e-03;1.053e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
104;5.719e-01;1.050e+00;7.386e-01;-6.529e-03;7.037e-01;-6.220e-03;1.053e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
105;5.719e-01;1.050e+00;7.386e-01;-6.529e-03;7.037e-01;-6.220e-03;1.053e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
106;5.719e-01;1.050e+00;7.386e-01;-6.529e-03;7.037e-01;-6.220e-03;1.053e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
107;5.720e-01;1.050e+00;7.386e-01;-6.529e-03;7.037e-01;-6.220e-03;1.053e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
108;5.720e-01;1.050e+00;7.386e-01;-6.529e-03;7.037e-01;-6.220e-03;1.053e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
109;5.720e-01;1.050e+00;7.386e-01;-6.529e-03;7.037e-01;-6.220e-03;1.053e+00;1.000e+01;1.039e+00;1.000e+00;1.000e+00
