;time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_AVRSetpointPu
0;0.000e+00;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
1;1.000e-06;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
2;2.000e-06;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
3;4.000e-06;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
4;8.000e-06;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
5;1.600e-05;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
6;3.200e-05;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
7;6.400e-05;1.044e+00;8.333e-01;-6.899e-08;7.979e-01;-6.605e-08;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
8;1.280e-04;1.044e+00;8.333e-01;-4.179e-07;7.979e-01;-4.001e-07;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
9;2.560e-04;1.044e+00;8.333e-01;-1.710e-06;7.979e-01;-1.638e-06;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
10;5.120e-04;1.044e+00;8.333e-01;-6.812e-06;7.978e-01;-6.522e-06;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
11;1.024e-03;1.044e+00;8.332e-01;-2.685e-05;7.977e-01;-2.570e-05;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
12;2.048e-03;1.044e+00;8.327e-01;-1.111e-04;7.973e-01;-1.064e-04;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
13;3.072e-03;1.044e+00;8.319e-01;-2.519e-04;7.965e-01;-2.412e-04;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
14;4.096e-03;1.044e+00;8.306e-01;-4.442e-04;7.952e-01;-4.253e-04;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
15;5.120e-03;1.045e+00;8.290e-01;-6.792e-04;7.937e-01;-6.503e-04;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
16;6.144e-03;1.045e+00;8.270e-01;-9.496e-04;7.917e-01;-9.091e-04;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
17;8.192e-03;1.045e+00;8.223e-01;-1.525e-03;7.871e-01;-1.460e-03;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
18;1.024e-02;1.045e+00;8.169e-01;-2.101e-03;7.817e-01;-2.011e-03;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
19;1.229e-02;1.045e+00;8.111e-01;-2.608e-03;7.759e-01;-2.495e-03;1.046e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
20;1.434e-02;1.046e+00;8.053e-01;-2.998e-03;7.702e-01;-2.867e-03;1.046e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
21;1.638e-02;1.046e+00;7.997e-01;-3.246e-03;7.646e-01;-3.104e-03;1.046e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
22;1.843e-02;1.046e+00;7.946e-01;-3.348e-03;7.595e-01;-3.200e-03;1.047e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
23;2.048e-02;1.047e+00;7.901e-01;-3.312e-03;7.549e-01;-3.164e-03;1.047e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
24;2.253e-02;1.047e+00;7.861e-01;-3.159e-03;7.508e-01;-3.017e-03;1.047e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
25;2.458e-02;1.047e+00;7.826e-01;-2.913e-03;7.472e-01;-2.781e-03;1.048e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
