;time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu
0;0.000e+00;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+01;8.335e-01;1.401e-02
1;1.000e-06;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+01;8.335e-01;1.401e-02
2;2.000e-06;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+01;8.335e-01;1.401e-02
3;4.000e-06;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+01;8.335e-01;1.401e-02
4;8.000e-06;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+01;8.335e-01;1.401e-02
5;1.600e-05;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+01;8.335e-01;1.401e-02
6;3.200e-05;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+01;8.335e-01;1.401e-02
7;6.400e-05;1.044e+00;8.333e-01;-6.899e-08;7.979e-01;-6.605e-08;1.045e+00;1.000e+01;8.335e-01;1.401e-02
8;1.280e-04;1.044e+00;8.333e-01;-4.179e-07;7.979e-01;-4.001e-07;1.045e+00;1.000e+01;8.335e-01;1.401e-02
9;2.560e-04;1.044e+00;8.333e-01;-1.710e-06;7.979e-01;-1.638e-06;1.045e+00;1.000e+01;8.335e-01;1.401e-02
10;5.120e-04;1.044e+00;8.333e-01;-6.812e-06;7.978e-01;-6.522e-06;1.045e+00;1.000e+01;8.335e-01;1.401e-02
11;1.024e-03;1.044e+00;8.332e-01;-2.906e-05;7.977e-01;-2.782e-05;1.045e+00;1.000e+01;8.335e-01;1.401e-02
12;2.048e-03;1.044e+00;8.327e-01;-1.192e-04;7.973e-01;-1.141e-04;1.045e+00;1.000e+01;8.335e-01;1.401e-02
13;3.072e-03;1.044e+00;8.319e-01;-2.686e-04;7.965e-01;-2.571e-04;1.045e+00;1.000e+01;8.335e-01;1.401e-02
14;4.096e-03;1.044e+00;8.306e-01;-4.739e-04;7.952e-01;-4.537e-04;1.045e+00;1.000e+01;8.335e-01;1.401e-02
15;5.120e-03;1.045e+00;8.290e-01;-7.255e-04;7.937e-01;-6.946e-04;1.045e+00;1.000e+01;8.335e-01;1.401e-02
16;6.144e-03;1.045e+00;8.270e-01;-1.012e-03;7.917e-01;-9.692e-04;1.045e+00;1.000e+01;8.335e-01;1.401e-02
17;8.192e-03;1.045e+00;8.223e-01;-1.630e-03;7.871e-01;-1.561e-03;1.045e+00;1.000e+01;8.335e-01;1.401e-02
18;1.024e-02;1.045e+00;8.168e-01;-2.253e-03;7.817e-01;-2.156e-03;1.045e+00;1.000e+01;8.335e-01;1.401e-02
19;1.229e-02;1.045e+00;8.110e-01;-2.810e-03;7.759e-01;-2.689e-03;1.046e+00;1.000e+01;8.335e-01;1.401e-02
20;1.434e-02;1.045e+00;8.052e-01;-3.253e-03;7.702e-01;-3.112e-03;1.046e+00;1.000e+01;8.335e-01;1.401e-02
21;1.618e-02;1.046e+00;8.002e-01;-3.529e-03;7.651e-01;-3.375e-03;1.046e+00;1.000e+01;8.335e-01;1.401e-02
22;1.802e-02;1.046e+00;7.955e-01;-3.687e-03;7.605e-01;-3.525e-03;1.046e+00;1.000e+01;8.335e-01;1.401e-02
23;1.987e-02;1.046e+00;7.913e-01;-3.733e-03;7.562e-01;-3.568e-03;1.047e+00;1.000e+01;8.335e-01;1.401e-02
24;2.171e-02;1.047e+00;7.875e-01;-3.673e-03;7.523e-01;-3.509e-03;1.047e+00;1.000e+01;8.335e-01;1.401e-02
25;2.355e-02;1.047e+00;7.841e-01;-3.529e-03;7.489e-01;-3.370e-03;1.047e+00;1.000e+01;8.335e-01;1.401e-02
26;2.540e-02;1.047e+00;7.812e-01;-3.317e-03;7.459e-01;-3.167e-03;1.048e+00;1.000e+01;8.335e-01;1.401e-02
27;2.724e-02;1.048e+00;7.786e-01;-3.057e-03;7.432e-01;-2.918e-03;1.048e+00;1.000e+01;8.335e-01;1.401e-02
28;2.908e-02;1.048e+00;7.763e-01;-2.765e-03;7.408e-01;-2.639e-03;1.048e+00;1.000e+01;8.335e-01;1.401e-02
29;3.277e-02;1.049e+00;7.725e-01;-2.156e-03;7.367e-01;-2.056e-03;1.049e+00;1.000e+01;8.335e-01;1.401e-02
30;3.586e-02;1.049e+00;7.698e-01;-1.649e-03;7.338e-01;-1.572e-03;1.049e+00;1.000e+01;8.335e-01;1.401e-02
31;3.895e-02;1.049e+00;7.675e-01;-1.186e-03;7.314e-01;-1.130e-03;1.050e+00;1.000e+01;8.335e-01;1.401e-02
32;4.173e-02;1.050e+00;7.656e-01;-8.180e-04;7.294e-01;-7.793e-04;1.050e+00;1.000e+01;8.335e-01;1.401e-02
33;4.451e-02;1.050e+00;7.640e-01;-5.105e-04;7.277e-01;-4.862e-04;1.050e+00;1.000e+01;8.335e-01;1.401e-02
