time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_UPuInjTerminal;Wind_Turbine_GEN_IpInjTerminal;Wind_Turbine_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;InfiniteBus_BUS_NetworkFrequencyPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;NetworkFrequencyPu
0.000000000;1.050e+00;4.160e-01;4.440e-01;3.962e-01;4.229e-01;1.054e+00;3.946e-01;4.242e-01;1.050e+00;1.040e-03;1.110e-03;5.000e+01;1.000e+01;4.160e-01;4.440e-01;5.000e+01
29.989994000;1.050e+00;4.160e-01;4.436e-01;3.962e-01;4.225e-01;1.054e+00;3.946e-01;4.242e-01;1.050e+00;1.040e-03;1.109e-03;5.000e+01;1.000e+01;4.160e-01;4.440e-01;5.000e+01
29.989995000;1.050e+00;4.160e-01;4.436e-01;3.962e-01;4.225e-01;1.054e+00;3.946e-01;4.242e-01;1.050e+00;1.040e-03;1.109e-03;5.000e+01;1.000e+01;4.160e-01;4.440e-01;5.000e+01
29.989998000;1.050e+00;4.160e-01;4.440e-01;3.962e-01;4.229e-01;1.054e+00;3.946e-01;4.242e-01;1.050e+00;1.040e-03;1.110e-03;5.000e+01;1.000e+01;4.160e-01;4.440e-01;5.000e+01
29.990058000;1.050e+00;4.160e-01;4.468e-01;3.962e-01;4.255e-01;1.054e+00;3.946e-01;4.268e-01;1.050e+00;1.040e-03;1.117e-03;5.000e+01;1.000e+01;4.160e-01;4.440e-01;5.000e+01
29.990122000;1.050e+00;4.164e-01;4.496e-01;3.966e-01;4.282e-01;1.054e+00;3.950e-01;4.299e-01;1.050e+00;1.041e-03;1.124e-03;5.000e+01;1.000e+01;4.160e-01;4.440e-01;5.000e+01
29.990250000;1.050e+00;4.168e-01;4.560e-01;3.970e-01;4.343e-01;1.054e+00;3.953e-01;4.356e-01;1.050e+00;1.042e-03;1.140e-03;5.000e+01;1.000e+01;4.160e-01;4.440e-01;5.000e+01
29.990378000;1.050e+00;4.168e-01;4.620e-01;3.970e-01;4.401e-01;1.054e+00;3.953e-01;4.416e-01;1.050e+00;1.042e-03;1.155e-03;5.000e+01;1.000e+01;4.160e-01;4.440e-01;5.000e+01
29.990634000;1.050e+00;4.176e-01;4.740e-01;3.978e-01;4.516e-01;1.054e+00;3.961e-01;4.530e-01;1.050e+00;1.044e-03;1.185e-03;5.000e+01;1.000e+01;4.160e-01;4.440e-01;5.000e+01
29.990863000;1.050e+00;4.180e-01;4.844e-01;3.983e-01;4.615e-01;1.054e+00;3.965e-01;4.633e-01;1.050e+00;1.045e-03;1.211e-03;5.000e+01;1.000e+01;4.160e-01;4.440e-01;5.000e+01
29.991092000;1.049e+00;4.184e-01;4.952e-01;3.987e-01;4.719e-01;1.054e+00;3.969e-01;4.735e-01;1.049e+00;1.046e-03;1.238e-03;5.000e+01;1.000e+01;4.160e-01;4.440e-01;5.000e+01
29.991105000;1.049e+00;4.184e-01;4.960e-01;3.987e-01;4.726e-01;1.054e+00;3.969e-01;4.739e-01;1.049e+00;1.046e-03;1.240e-03;5.000e+01;1.000e+01;4.160e-01;4.440e-01;5.000e+01
29.991136000;1.049e+00;4.184e-01;4.972e-01;3.987e-01;4.738e-01;1.054e+00;3.969e-01;4.754e-01;1.049e+00;1.046e-03;1.243e-03;5.000e+01;1.000e+01;4.160e-01;4.440e-01;5.000e+01
29.991168000;1.049e+00;4.188e-01;4.988e-01;3.991e-01;4.753e-01;1.054e+00;3.973e-01;4.769e-01;1.049e+00;1.047e-03;1.247e-03;5.000e+01;1.000e+01;4.160e-01;4.440e-01;5.000e+01
29.991232000;1.049e+00;4.188e-01;5.016e-01;3.991e-01;4.780e-01;1.054e+00;3.973e-01;4.796e-01;1.049e+00;1.047e-03;1.254e-03;5.000e+01;1.000e+01;4.160e-01;4.440e-01;5.000e+01
29.991360000;1.049e+00;4.192e-01;5.076e-01;3.995e-01;4.838e-01;1.054e+00;3.977e-01;4.853e-01;1.049e+00;1.048e-03;1.269e-03;5.000e+01;1.000e+01;4.160e-01;4.440e-01;5.000e+01
29.991488000;1.049e+00;4.192e-01;5.136e-01;3.995e-01;4.895e-01;1.054e+00;3.977e-01;4.910e-01;1.049e+00;1.048e-03;1.284e-03;5.000e+01;1.000e+01;4.160e-01;4.440e-01;5.000e+01
29.991744000;1.049e+00;4.196e-01;5.252e-01;4.000e-01;5.006e-01;1.054e+00;3.981e-01;5.024e-01;1.049e+00;1.049e-03;1.313e-03;5.000e+01;1.000e+01;4.160e-01;4.440e-01;5.000e+01
29.991974000;1.049e+00;4.200e-01;5.356e-01;4.004e-01;5.106e-01;1.054e+00;3.984e-01;5.123e-01;1.049e+00;1.050e-03;1.339e-03;5.000e+01;1.000e+01;4.160e-01;4.440e-01;5.000e+01
29.992435000;1.049e+00;4.208e-01;5.568e-01;4.013e-01;5.310e-01;1.054e+00;3.992e-01;5.324e-01;1.049e+00;1.052e-03;1.392e-03;5.000e+01;1.000e+01;4.160e-01;4.440e-01;5.000e+01
29.992665000;1.048e+00;4.212e-01;5.672e-01;4.017e-01;5.410e-01;1.054e+00;3.996e-01;5.423e-01;1.048e+00;1.053e-03;1.418e-03;5.000e+01;1.000e+01;4.160e-01;4.440e-01;5.000e+01
29.992896000;1.048e+00;4.216e-01;5.772e-01;4.022e-01;5.506e-01;1.054e+00;4.000e-01;5.522e-01;1.048e+00;1.054e-03;1.443e-03;5.000e+01;1.000e+01;4.160e-01;4.440e-01;5.000e+01
29.993126000;1.048e+00;4.220e-01;5.876e-01;4.026e-01;5.606e-01;1.054e+00;4.004e-01;5.621e-01;1.048e+00;1.055e-03;1.469e-03;5.000e+01;1.000e+01;4.160e-01;4.440e-01;5.000e+01
29.993356000;1.048e+00;4.220e-01;5.976e-01;4.027e-01;5.702e-01;1.054e+00;4.005e-01;5.721e-01;1.048e+00;1.055e-03;1.494e-03;5.000e+01;1.000e+01;4.160e-01;4.440e-01;5.000e+01
29.993817000;1.048e+00;4.228e-01;6.180e-01;4.036e-01;5.899e-01;1.054e+00;4.013e-01;5.915e-01;1.048e+00;1.057e-03;1.545e-03;5.000e+01;1.000e+01;4.160e-01;4.440e-01;5.000e+01
29.994048000;1.047e+00;4.228e-01;6.280e-01;4.036e-01;5.996e-01;1.053e+00;4.013e-01;6.010e-01;1.047e+00;1.057e-03;1.570e-03;5.000e+01;1.000e+01;4.160e-01;4.440e-01;5.000e+01
29.994278000;1.047e+00;4.232e-01;6.380e-01;4.041e-01;6.092e-01;1.053e+00;4.017e-01;6.106e-01;1.047e+00;1.058e-03;1.595e-03;5.000e+01;1.000e+01;4.160e-01;4.440e-01;5.000e+01
29.994508000;1.047e+00;4.232e-01;6.480e-01;4.042e-01;6.189e-01;1.053e+00;4.018e-01;6.205e-01;1.047e+00;1.058e-03;1.620e-03;5.000e+01;1.000e+01;4.160e-01;4.440e-01;5.000e+01
29.994739000;1.047e+00;4.236e-01;6.576e-01;4.046e-01;6.282e-01;1.053e+00;4.022e-01;6.301e-01;1.047e+00;1.059e-03;1.644e-03;5.000e+01;1.000e+01;4.160e-01;4.440e-01;5.000e+01
29.994969000;1.047e+00;4.236e-01;6.676e-01;4.047e-01;6.378e-01;1.053e+00;4.022e-01;6.393e-01;1.047e+00;1.059e-03;1.669e-03;5.000e+01;1.000e+01;4.160e-01;4.440e-01;5.000e+01
29.995200000;1.046e+00;4.236e-01;6.772e-01;4.048e-01;6.471e-01;1.053e+00;4.023e-01;6.488e-01;1.046e+00;1.059e-03;1.693e-03;5.000e+01;1.000e+01;4.160e-01;4.440e-01;5.000e+01
