;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactivePower;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;time;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_InjectedActiveCurrent;Wind_Turbine_GEN_InjectedReactiveCurrent;Wind_Turbine_GEN_AVRSetpointPu;Wind_Turbine_GEN_NetworkFrequencyPu;Wind_Turbine_GEN_InjectedCurrent;NetworkFrequencyPu
0;1.0;0.7993066666666667;0.7993066666666667;-0.35094555555555557;-0.35094555555555557;0.991971;0.0;10.0;0.816436;-0.33;1.034583;1.0;0.8806064626699035;1.0
1;1.0;0.7993066666666667;0.7993066666666667;-0.35094555555555557;-0.35094555555555557;0.991971;1e-06;10.0;0.816436;-0.33;1.034583;1.0;0.8806064626699035;1.0
2;1.0;0.7993066666666667;0.7993066666666667;-0.35094555555555557;-0.35094555555555557;0.991971;2e-06;10.0;0.816436;-0.33;1.034583;1.0;0.8806064626699035;1.0
3;1.0;0.7993066666666667;0.7993066666666667;-0.35094555555555557;-0.35094555555555557;0.991971;4e-06;10.0;0.816436;-0.33;1.034583;1.0;0.8806064626699035;1.0
4;1.0;0.7993055555555556;0.7993055555555556;-0.35094666666666663;-0.35094666666666663;0.991971;8e-06;10.0;0.816436;-0.33;1.034583;1.0;0.8806064626699035;1.0
5;1.0;0.7993055555555556;0.7993055555555556;-0.35094666666666663;-0.35094666666666663;0.991971;1.6e-05;10.0;0.816436;-0.33;1.034583;1.0;0.8806064626699035;1.0
6;1.0;0.7993055555555556;0.7993055555555556;-0.3509477777777778;-0.3509477777777778;0.991971;3.2e-05;10.0;0.816436;-0.33;1.034583;1.0;0.8806064626699035;1.0
7;1.0;0.7993055555555556;0.7993055555555556;-0.35095;-0.35095;0.991971;6.4e-05;10.0;0.816436;-0.33;1.034583;1.0;0.8806064626699035;1.0
8;1.0;0.7993055555555556;0.7993055555555556;-0.35095444444444446;-0.35095444444444446;0.991971;0.000128;10.0;0.816438;-0.33;1.034583;1.0;0.8806083169287012;1.0
9;1.0;0.79931;0.79931;-0.35096333333333335;-0.35096333333333335;0.991971;0.000256;10.0;0.816446;-0.33;1.034583;1.0;0.8806157339702715;1.0
10;1.0;0.79932;0.79932;-0.3509722222222222;-0.3509722222222222;0.991971;0.000384;10.0;0.81646;-0.33;1.034583;1.0;0.880628713817577;1.0
11;1.0;0.7993455555555556;0.7993455555555556;-0.3509855555555555;-0.3509855555555555;0.99197;0.000587;10.0;0.816491;-0.33;1.034583;1.0;0.88065745501926;1.0
12;1.0;0.7993455555555556;0.7993455555555556;-0.3509855555555555;-0.3509855555555555;0.99197;0.000587;10.0;0.816491;-0.33;1.034583;1.0;0.88065745501926;1.0
13;1.0;0.7993455555555556;0.7993455555555556;-0.3509855555555555;-0.3509855555555555;0.99197;0.000588;10.0;0.816491;-0.33;1.034583;1.0;0.88065745501926;1.0
14;1.0;0.7993455555555556;0.7993455555555556;-0.3509855555555555;-0.3509855555555555;0.99197;0.000589;10.0;0.816492;-0.33;1.034583;1.0;0.8806583821573494;1.0
15;1.0;0.7993455555555556;0.7993455555555556;-0.3509855555555555;-0.3509855555555555;0.99197;0.000591;10.0;0.816492;-0.33;1.034583;1.0;0.8806583821573494;1.0
16;1.0;0.7993466666666668;0.7993466666666668;-0.3509855555555555;-0.3509855555555555;0.99197;0.000595;10.0;0.816493;-0.33;1.034583;1.0;0.8806593092955981;1.0
