time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;InfiniteBus_BUS_NetworkFrequencyPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;NetworkFrequencyPu
0.000000000;1.006e+00;4.222e-01;-3.329e-01;4.195e-01;-3.308e-01;1.006e+00;1.689e-02;-1.332e-02;5.000e+01;1.000e+01;4.166e-01;-4.441e-01;5.000e+01
0.001851000;1.006e+00;4.222e-01;-3.328e-01;4.195e-01;-3.307e-01;1.006e+00;1.689e-02;-1.331e-02;5.000e+01;1.000e+01;4.166e-01;-4.441e-01;5.000e+01
0.001967000;1.006e+00;4.221e-01;-3.328e-01;4.195e-01;-3.307e-01;1.006e+00;1.689e-02;-1.331e-02;5.000e+01;1.000e+01;4.166e-01;-4.441e-01;5.000e+01
0.002312000;1.006e+00;4.221e-01;-3.328e-01;4.195e-01;-3.307e-01;1.006e+00;1.689e-02;-1.331e-02;5.000e+01;1.000e+01;4.166e-01;-4.441e-01;5.000e+01
0.002427000;1.006e+00;4.221e-01;-3.328e-01;4.194e-01;-3.307e-01;1.006e+00;1.688e-02;-1.331e-02;5.000e+01;1.000e+01;4.166e-01;-4.441e-01;5.000e+01
0.003003000;1.006e+00;4.221e-01;-3.327e-01;4.194e-01;-3.306e-01;1.006e+00;1.688e-02;-1.331e-02;5.000e+01;1.000e+01;4.166e-01;-4.441e-01;5.000e+01
0.003234000;1.006e+00;4.220e-01;-3.327e-01;4.194e-01;-3.306e-01;1.006e+00;1.688e-02;-1.331e-02;5.000e+01;1.000e+01;4.166e-01;-4.441e-01;5.000e+01
0.003464000;1.006e+00;4.220e-01;-3.327e-01;4.193e-01;-3.306e-01;1.006e+00;1.688e-02;-1.331e-02;5.000e+01;1.000e+01;4.166e-01;-4.441e-01;5.000e+01
0.003695000;1.006e+00;4.220e-01;-3.327e-01;4.193e-01;-3.306e-01;1.006e+00;1.688e-02;-1.331e-02;5.000e+01;1.000e+01;4.166e-01;-4.441e-01;5.000e+01
0.003925000;1.006e+00;4.219e-01;-3.327e-01;4.193e-01;-3.306e-01;1.006e+00;1.688e-02;-1.331e-02;5.000e+01;1.000e+01;4.166e-01;-4.441e-01;5.000e+01
0.004155000;1.006e+00;4.219e-01;-3.327e-01;4.192e-01;-3.306e-01;1.006e+00;1.688e-02;-1.331e-02;5.000e+01;1.000e+01;4.166e-01;-4.441e-01;5.000e+01
0.004386000;1.006e+00;4.219e-01;-3.327e-01;4.192e-01;-3.306e-01;1.006e+00;1.688e-02;-1.331e-02;5.000e+01;1.000e+01;4.166e-01;-4.441e-01;5.000e+01
0.004616000;1.006e+00;4.219e-01;-3.327e-01;4.192e-01;-3.306e-01;1.006e+00;1.687e-02;-1.331e-02;5.000e+01;1.000e+01;4.166e-01;-4.441e-01;5.000e+01
0.004847000;1.006e+00;4.218e-01;-3.327e-01;4.191e-01;-3.306e-01;1.006e+00;1.687e-02;-1.331e-02;5.000e+01;1.000e+01;4.166e-01;-4.441e-01;5.000e+01
0.005077000;1.006e+00;4.218e-01;-3.327e-01;4.191e-01;-3.306e-01;1.006e+00;1.687e-02;-1.331e-02;5.000e+01;1.000e+01;4.166e-01;-4.441e-01;5.000e+01
0.005307000;1.006e+00;4.217e-01;-3.327e-01;4.190e-01;-3.306e-01;1.006e+00;1.687e-02;-1.331e-02;5.000e+01;1.000e+01;4.166e-01;-4.441e-01;5.000e+01
0.005538000;1.006e+00;4.217e-01;-3.327e-01;4.190e-01;-3.305e-01;1.006e+00;1.687e-02;-1.331e-02;5.000e+01;1.000e+01;4.166e-01;-4.441e-01;5.000e+01
0.005768000;1.006e+00;4.216e-01;-3.327e-01;4.190e-01;-3.305e-01;1.006e+00;1.687e-02;-1.331e-02;5.000e+01;1.000e+01;4.166e-01;-4.441e-01;5.000e+01
0.005999000;1.006e+00;4.216e-01;-3.327e-01;4.189e-01;-3.305e-01;1.006e+00;1.687e-02;-1.331e-02;5.000e+01;1.000e+01;4.166e-01;-4.441e-01;5.000e+01
0.006229000;1.006e+00;4.216e-01;-3.327e-01;4.189e-01;-3.305e-01;1.006e+00;1.686e-02;-1.331e-02;5.000e+01;1.000e+01;4.166e-01;-4.441e-01;5.000e+01
0.006459000;1.006e+00;4.215e-01;-3.326e-01;4.188e-01;-3.305e-01;1.006e+00;1.686e-02;-1.331e-02;5.000e+01;1.000e+01;4.166e-01;-4.441e-01;5.000e+01
0.006920000;1.006e+00;4.215e-01;-3.326e-01;4.188e-01;-3.305e-01;1.006e+00;1.686e-02;-1.331e-02;5.000e+01;1.000e+01;4.166e-01;-4.441e-01;5.000e+01
0.007151000;1.006e+00;4.214e-01;-3.326e-01;4.187e-01;-3.305e-01;1.006e+00;1.686e-02;-1.331e-02;5.000e+01;1.000e+01;4.166e-01;-4.441e-01;5.000e+01
0.007381000;1.006e+00;4.214e-01;-3.326e-01;4.187e-01;-3.305e-01;1.006e+00;1.685e-02;-1.331e-02;5.000e+01;1.000e+01;4.166e-01;-4.441e-01;5.000e+01
0.007611000;1.006e+00;4.213e-01;-3.326e-01;4.187e-01;-3.305e-01;1.006e+00;1.685e-02;-1.330e-02;5.000e+01;1.000e+01;4.166e-01;-4.441e-01;5.000e+01
0.007842000;1.006e+00;4.213e-01;-3.326e-01;4.186e-01;-3.305e-01;1.006e+00;1.685e-02;-1.330e-02;5.000e+01;1.000e+01;4.166e-01;-4.441e-01;5.000e+01
0.008072000;1.006e+00;4.212e-01;-3.326e-01;4.186e-01;-3.305e-01;1.006e+00;1.685e-02;-1.330e-02;5.000e+01;1.000e+01;4.166e-01;-4.441e-01;5.000e+01
0.008303000;1.006e+00;4.212e-01;-3.326e-01;4.185e-01;-3.305e-01;1.006e+00;1.685e-02;-1.330e-02;5.000e+01;1.000e+01;4.166e-01;-4.441e-01;5.000e+01
0.008533000;1.006e+00;4.211e-01;-3.326e-01;4.185e-01;-3.305e-01;1.006e+00;1.684e-02;-1.330e-02;5.000e+01;1.000e+01;4.166e-01;-4.441e-01;5.000e+01
0.008763000;1.006e+00;4.211e-01;-3.326e-01;4.184e-01;-3.305e-01;1.006e+00;1.684e-02;-1.330e-02;5.000e+01;1.000e+01;4.166e-01;-4.441e-01;5.000e+01
0.008994000;1.006e+00;4.210e-01;-3.326e-01;4.184e-01;-3.305e-01;1.006e+00;1.684e-02;-1.330e-02;5.000e+01;1.000e+01;4.166e-01;-4.441e-01;5.000e+01
0.009455000;1.006e+00;4.209e-01;-3.326e-01;4.183e-01;-3.305e-01;1.006e+00;1.684e-02;-1.330e-02;5.000e+01;1.000e+01;4.166e-01;-4.441e-01;5.000e+01
0.009869000;1.006e+00;4.208e-01;-3.326e-01;4.182e-01;-3.305e-01;1.006e+00;1.683e-02;-1.330e-02;5.000e+01;1.000e+01;4.166e-01;-4.441e-01;5.000e+01
0.010284000;1.006e+00;4.208e-01;-3.326e-01;4.181e-01;-3.304e-01;1.006e+00;1.683e-02;-1.330e-02;5.000e+01;1.000e+01;4.166e-01;-4.441e-01;5.000e+01
0.010699000;1.006e+00;4.207e-01;-3.326e-01;4.180e-01;-3.304e-01;1.006e+00;1.683e-02;-1.330e-02;5.000e+01;1.000e+01;4.166e-01;-4.441e-01;5.000e+01
