time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;Wind_Turbine_GEN_UPuInjTerminal;Wind_Turbine_GEN_IpInjTerminal;Wind_Turbine_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.000000000;1.032e+00;8.231e-01;-3.813e-02;7.973e-01;-3.693e-02;1.021e+00;1.044e+00;8.082e-01;2.161e-02;1.032e+00;7.408e-01;-3.431e-02;1.000e+01;8.333e-01;1.729e-09;5.000e+01;5.000e+01
0.001438000;1.029e+00;8.198e-01;-4.885e-02;7.967e-01;-4.748e-02;1.014e+00;1.040e+00;8.084e-01;1.136e-02;1.029e+00;7.378e-01;-4.397e-02;1.000e+01;8.333e-01;3.422e-09;5.000e+01;5.000e+01
0.001470000;1.029e+00;8.198e-01;-4.904e-02;7.967e-01;-4.766e-02;1.014e+00;1.040e+00;8.084e-01;1.118e-02;1.029e+00;7.378e-01;-4.414e-02;1.000e+01;8.333e-01;3.483e-09;5.001e+01;5.001e+01
0.001854000;1.028e+00;8.192e-01;-5.109e-02;7.966e-01;-4.968e-02;1.013e+00;1.039e+00;8.085e-01;9.219e-03;1.028e+00;7.373e-01;-4.598e-02;1.000e+01;8.333e-01;3.372e-09;5.001e+01;5.001e+01
0.002046000;1.028e+00;8.189e-01;-5.199e-02;7.966e-01;-5.058e-02;1.012e+00;1.039e+00;8.085e-01;8.358e-03;1.028e+00;7.370e-01;-4.679e-02;1.000e+01;8.333e-01;3.149e-09;5.001e+01;5.001e+01
0.002219000;1.028e+00;8.187e-01;-5.273e-02;7.966e-01;-5.131e-02;1.012e+00;1.038e+00;8.085e-01;7.649e-03;1.028e+00;7.369e-01;-4.746e-02;1.000e+01;8.333e-01;3.049e-09;5.001e+01;5.001e+01
0.002449000;1.027e+00;8.185e-01;-5.362e-02;7.966e-01;-5.219e-02;1.011e+00;1.038e+00;8.086e-01;6.801e-03;1.027e+00;7.367e-01;-4.826e-02;1.000e+01;8.333e-01;3.034e-09;5.001e+01;5.001e+01
0.002507000;1.027e+00;8.185e-01;-5.383e-02;7.966e-01;-5.239e-02;1.011e+00;1.038e+00;8.086e-01;6.606e-03;1.027e+00;7.366e-01;-4.845e-02;1.000e+01;8.333e-01;3.039e-09;5.001e+01;5.001e+01
0.002565000;1.027e+00;8.184e-01;-5.402e-02;7.966e-01;-5.259e-02;1.011e+00;1.038e+00;8.086e-01;6.419e-03;1.027e+00;7.366e-01;-4.862e-02;1.000e+01;8.333e-01;3.039e-09;5.002e+01;5.002e+01
0.002984000;1.027e+00;8.181e-01;-5.525e-02;7.967e-01;-5.381e-02;1.010e+00;1.037e+00;8.088e-01;5.251e-03;1.027e+00;7.363e-01;-4.973e-02;1.000e+01;8.333e-01;2.796e-09;5.002e+01;5.002e+01
0.003240000;1.027e+00;8.181e-01;-5.583e-02;7.967e-01;-5.437e-02;1.010e+00;1.037e+00;8.089e-01;4.709e-03;1.027e+00;7.362e-01;-5.024e-02;1.000e+01;8.333e-01;2.886e-09;5.002e+01;5.002e+01
0.003272000;1.027e+00;8.180e-01;-5.589e-02;7.968e-01;-5.444e-02;1.010e+00;1.037e+00;8.089e-01;4.650e-03;1.027e+00;7.362e-01;-5.030e-02;1.000e+01;8.333e-01;2.985e-09;5.002e+01;5.002e+01
0.003336000;1.027e+00;8.180e-01;-5.601e-02;7.968e-01;-5.455e-02;1.010e+00;1.037e+00;8.089e-01;4.538e-03;1.027e+00;7.362e-01;-5.041e-02;1.000e+01;8.333e-01;3.200e-09;5.002e+01;5.002e+01
0.003386000;1.027e+00;8.180e-01;-5.610e-02;7.968e-01;-5.464e-02;1.010e+00;1.037e+00;8.089e-01;4.456e-03;1.027e+00;7.362e-01;-5.049e-02;1.000e+01;8.333e-01;3.311e-09;5.003e+01;5.003e+01
