time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;Wind_Turbine_GEN_UPuInjTerminal;Wind_Turbine_GEN_IpInjTerminal;Wind_Turbine_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_VoltageSetpointPu;Wind_Turbine_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.000000000;1.032e+00;8.231e-01;-3.813e-02;7.973e-01;-3.693e-02;1.021e+00;1.044e+00;8.082e-01;2.161e-02;1.032e+00;7.408e-01;-3.431e-02;1.000e+01;8.333e-01;1.044e+00;5.000e+01;5.000e+01
0.000728000;1.032e+00;8.225e-01;-4.021e-02;7.972e-01;-3.897e-02;1.020e+00;1.044e+00;8.083e-01;1.963e-02;1.032e+00;7.402e-01;-3.619e-02;1.000e+01;8.333e-01;1.044e+00;5.000e+01;5.000e+01
0.000742000;1.032e+00;8.225e-01;-4.024e-02;7.972e-01;-3.901e-02;1.020e+00;1.043e+00;8.083e-01;1.959e-02;1.032e+00;7.402e-01;-3.622e-02;1.000e+01;8.333e-01;1.044e+00;5.000e+01;5.000e+01
0.000856000;1.032e+00;8.224e-01;-4.053e-02;7.972e-01;-3.929e-02;1.019e+00;1.043e+00;8.083e-01;1.932e-02;1.032e+00;7.401e-01;-3.648e-02;1.000e+01;8.333e-01;1.044e+00;5.000e+01;5.000e+01
0.001032000;1.032e+00;8.223e-01;-4.097e-02;7.972e-01;-3.972e-02;1.019e+00;1.043e+00;8.083e-01;1.891e-02;1.032e+00;7.400e-01;-3.687e-02;1.000e+01;8.333e-01;1.044e+00;5.000e+01;5.000e+01
0.001050000;1.031e+00;8.223e-01;-4.101e-02;7.972e-01;-3.976e-02;1.019e+00;1.043e+00;8.083e-01;1.887e-02;1.031e+00;7.400e-01;-3.691e-02;1.000e+01;8.333e-01;1.044e+00;5.000e+01;5.000e+01
0.001066000;1.031e+00;8.222e-01;-4.105e-02;7.972e-01;-3.980e-02;1.019e+00;1.043e+00;8.083e-01;1.883e-02;1.031e+00;7.400e-01;-3.694e-02;1.000e+01;8.333e-01;1.044e+00;5.000e+01;5.000e+01
0.001402000;1.031e+00;8.221e-01;-4.180e-02;7.971e-01;-4.054e-02;1.019e+00;1.043e+00;8.084e-01;1.811e-02;1.031e+00;7.398e-01;-3.762e-02;1.000e+01;8.333e-01;1.044e+00;5.000e+01;5.000e+01
0.001434000;1.031e+00;8.220e-01;-4.187e-02;7.972e-01;-4.060e-02;1.019e+00;1.043e+00;8.084e-01;1.805e-02;1.031e+00;7.398e-01;-3.768e-02;1.000e+01;8.333e-01;1.044e+00;5.000e+01;5.000e+01
0.001466000;1.031e+00;8.220e-01;-4.194e-02;7.972e-01;-4.067e-02;1.019e+00;1.043e+00;8.084e-01;1.798e-02;1.031e+00;7.398e-01;-3.775e-02;1.000e+01;8.333e-01;1.044e+00;5.001e+01;5.001e+01
