time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_InjectedActiveCurrent;Wind_Turbine_GEN_InjectedReactiveCurrent;Wind_Turbine_GEN_AVRSetpointPu;Wind_Turbine_GEN_NetworkFrequencyPu;Wind_Turbine_GEN_InjectedCurrent;NetworkFrequencyPu
0.001384000;1.044e+00;8.332e-01;-4.090e-04;7.979e-01;-3.916e-04;1.051e+00;1.000e+01;8.083e-01;2.022e-02;1.045e+00;1.000e+00;8.085e-01;1.000e+00
0.001512000;1.044e+00;8.332e-01;-4.705e-04;7.979e-01;-4.505e-04;1.051e+00;1.000e+01;8.083e-01;2.016e-02;1.045e+00;1.000e+00;8.085e-01;1.000e+00
0.001640000;1.044e+00;8.332e-01;-5.329e-04;7.979e-01;-5.103e-04;1.051e+00;1.000e+01;8.083e-01;2.010e-02;1.045e+00;1.000e+00;8.085e-01;1.000e+00
0.001768000;1.044e+00;8.332e-01;-5.969e-04;7.979e-01;-5.716e-04;1.051e+00;1.000e+01;8.083e-01;2.004e-02;1.045e+00;1.000e+00;8.085e-01;1.000e+00
0.001896000;1.044e+00;8.332e-01;-6.624e-04;7.979e-01;-6.344e-04;1.051e+00;1.000e+01;8.083e-01;1.998e-02;1.045e+00;1.000e+00;8.085e-01;1.000e+00
0.002024000;1.044e+00;8.331e-01;-7.276e-04;7.979e-01;-6.968e-04;1.051e+00;1.000e+01;8.083e-01;1.991e-02;1.045e+00;1.000e+00;8.085e-01;1.000e+00
0.002280000;1.044e+00;8.331e-01;-8.613e-04;7.979e-01;-8.248e-04;1.051e+00;1.000e+01;8.083e-01;1.979e-02;1.045e+00;1.000e+00;8.085e-01;1.000e+00
0.002536000;1.044e+00;8.331e-01;-9.954e-04;7.979e-01;-9.533e-04;1.051e+00;1.000e+01;8.083e-01;1.966e-02;1.045e+00;1.000e+00;8.085e-01;1.000e+00
0.002792000;1.044e+00;8.330e-01;-1.128e-03;7.979e-01;-1.081e-03;1.051e+00;1.000e+01;8.083e-01;1.953e-02;1.045e+00;1.000e+00;8.085e-01;1.000e+00
0.003048000;1.044e+00;8.330e-01;-1.262e-03;7.979e-01;-1.209e-03;1.051e+00;1.000e+01;8.083e-01;1.940e-02;1.045e+00;1.000e+00;8.085e-01;1.000e+00
0.003304000;1.044e+00;8.330e-01;-1.393e-03;7.979e-01;-1.334e-03;1.051e+00;1.000e+01;8.083e-01;1.928e-02;1.045e+00;1.000e+00;8.085e-01;1.000e+00
0.003560000;1.044e+00;8.329e-01;-1.522e-03;7.978e-01;-1.458e-03;1.050e+00;1.000e+01;8.083e-01;1.916e-02;1.045e+00;1.000e+00;8.085e-01;1.000e+00
0.003816000;1.044e+00;8.329e-01;-1.648e-03;7.978e-01;-1.579e-03;1.050e+00;1.000e+01;8.083e-01;1.904e-02;1.045e+00;1.000e+00;8.085e-01;1.000e+00
0.004072000;1.044e+00;8.329e-01;-1.772e-03;7.978e-01;-1.697e-03;1.050e+00;1.000e+01;8.083e-01;1.892e-02;1.045e+00;1.000e+00;8.085e-01;1.000e+00
0.004328000;1.044e+00;8.328e-01;-1.892e-03;7.978e-01;-1.813e-03;1.050e+00;1.000e+01;8.083e-01;1.880e-02;1.045e+00;1.000e+00;8.085e-01;1.000e+00
0.004840000;1.044e+00;8.328e-01;-2.122e-03;7.978e-01;-2.033e-03;1.050e+00;1.000e+01;8.083e-01;1.858e-02;1.045e+00;1.000e+00;8.085e-01;1.000e+00
0.005352000;1.044e+00;8.327e-01;-2.338e-03;7.978e-01;-2.240e-03;1.050e+00;1.000e+01;8.083e-01;1.838e-02;1.045e+00;1.000e+00;8.085e-01;1.000e+00
0.005864000;1.044e+00;8.327e-01;-2.541e-03;7.978e-01;-2.434e-03;1.050e+00;1.000e+01;8.083e-01;1.818e-02;1.045e+00;1.000e+00;8.085e-01;1.000e+00
0.006376000;1.044e+00;8.326e-01;-2.727e-03;7.978e-01;-2.613e-03;1.050e+00;1.000e+01;8.083e-01;1.800e-02;1.045e+00;1.000e+00;8.085e-01;1.000e+00
0.006888000;1.044e+00;8.326e-01;-2.900e-03;7.978e-01;-2.779e-03;1.050e+00;1.000e+01;8.083e-01;1.784e-02;1.045e+00;1.000e+00;8.085e-01;1.000e+00
0.007912000;1.043e+00;8.325e-01;-3.205e-03;7.978e-01;-3.071e-03;1.049e+00;1.000e+01;8.083e-01;1.755e-02;1.045e+00;1.000e+00;8.085e-01;1.000e+00
0.008936000;1.043e+00;8.324e-01;-3.458e-03;7.978e-01;-3.314e-03;1.049e+00;1.000e+01;8.083e-01;1.731e-02;1.045e+00;1.000e+00;8.085e-01;1.000e+00
0.009960000;1.043e+00;8.324e-01;-3.662e-03;7.978e-01;-3.510e-03;1.049e+00;1.000e+01;8.083e-01;1.711e-02;1.045e+00;1.000e+00;8.085e-01;1.000e+00
0.010984000;1.043e+00;8.323e-01;-3.824e-03;7.978e-01;-3.666e-03;1.049e+00;1.000e+01;8.083e-01;1.696e-02;1.045e+00;1.000e+00;8.085e-01;1.000e+00
0.012008000;1.043e+00;8.323e-01;-3.947e-03;7.978e-01;-3.783e-03;1.049e+00;1.000e+01;8.083e-01;1.684e-02;1.045e+00;1.000e+00;8.085e-01;1.000e+00
0.013032000;1.043e+00;8.323e-01;-4.036e-03;7.978e-01;-3.869e-03;1.049e+00;1.000e+01;8.083e-01;1.676e-02;1.045e+00;1.000e+00;8.084e-01;1.000e+00
0.014056000;1.043e+00;8.322e-01;-4.097e-03;7.978e-01;-3.927e-03;1.049e+00;1.000e+01;8.082e-01;1.671e-02;1.045e+00;1.000e+00;8.084e-01;1.000e+00
0.015080000;1.043e+00;8.322e-01;-4.134e-03;7.977e-01;-3.963e-03;1.049e+00;1.000e+01;8.082e-01;1.668e-02;1.045e+00;1.000e+00;8.084e-01;1.000e+00
0.016104000;1.043e+00;8.321e-01;-4.150e-03;7.977e-01;-3.978e-03;1.049e+00;1.000e+01;8.081e-01;1.668e-02;1.045e+00;1.000e+00;8.083e-01;1.000e+00
0.017128000;1.043e+00;8.320e-01;-4.150e-03;7.976e-01;-3.978e-03;1.049e+00;1.000e+01;8.081e-01;1.669e-02;1.045e+00;1.000e+00;8.082e-01;1.000e+00
0.018152000;1.043e+00;8.320e-01;-4.138e-03;7.975e-01;-3.967e-03;1.049e+00;1.000e+01;8.080e-01;1.671e-02;1.045e+00;1.000e+00;8.082e-01;1.000e+00
0.020200000;1.043e+00;8.317e-01;-4.097e-03;7.973e-01;-3.927e-03;1.049e+00;1.000e+01;8.078e-01;1.679e-02;1.045e+00;1.000e+00;8.079e-01;1.000e+00
0.022043000;1.043e+00;8.315e-01;-4.048e-03;7.970e-01;-3.880e-03;1.049e+00;1.000e+01;8.075e-01;1.688e-02;1.045e+00;1.000e+00;8.077e-01;1.000e+00
0.023887000;1.043e+00;8.312e-01;-4.000e-03;7.967e-01;-3.834e-03;1.049e+00;1.000e+01;8.071e-01;1.697e-02;1.045e+00;1.000e+00;8.073e-01;1.000e+00
0.025730000;1.043e+00;8.308e-01;-3.960e-03;7.962e-01;-3.796e-03;1.049e+00;1.000e+01;8.067e-01;1.706e-02;1.045e+00;1.000e+00;8.069e-01;1.000e+00
0.027573000;1.043e+00;8.303e-01;-3.939e-03;7.958e-01;-3.775e-03;1.049e+00;1.000e+01;8.062e-01;1.713e-02;1.045e+00;1.000e+00;8.064e-01;1.000e+00
0.029416000;1.043e+00;8.297e-01;-3.938e-03;7.952e-01;-3.774e-03;1.049e+00;1.000e+01;8.056e-01;1.719e-02;1.045e+00;1.000e+00;8.058e-01;1.000e+00
0.031259000;1.043e+00;8.291e-01;-3.958e-03;7.945e-01;-3.793e-03;1.049e+00;1.000e+01;8.050e-01;1.724e-02;1.045e+00;1.000e+00;8.052e-01;1.000e+00
0.033103000;1.044e+00;8.283e-01;-4.000e-03;7.938e-01;-3.833e-03;1.049e+00;1.000e+01;8.042e-01;1.726e-02;1.045e+00;1.000e+00;8.044e-01;1.000e+00
0.034946000;1.044e+00;8.275e-01;-4.060e-03;7.930e-01;-3.891e-03;1.049e+00;1.000e+01;8.034e-01;1.727e-02;1.045e+00;1.000e+00;8.036e-01;1.000e+00
0.036789000;1.044e+00;8.266e-01;-4.139e-03;7.921e-01;-3.966e-03;1.049e+00;1.000e+01;8.025e-01;1.726e-02;1.045e+00;1.000e+00;8.027e-01;1.000e+00
0.040475000;1.044e+00;8.247e-01;-4.343e-03;7.901e-01;-4.161e-03;1.049e+00;1.000e+01;8.006e-01;1.718e-02;1.045e+00;1.000e+00;8.008e-01;1.000e+00
0.044162000;1.044e+00;8.224e-01;-4.589e-03;7.879e-01;-4.397e-03;1.049e+00;1.000e+01;7.983e-01;1.705e-02;1.045e+00;1.000e+00;7.985e-01;1.000e+00
0.047848000;1.044e+00;8.199e-01;-4.867e-03;7.854e-01;-4.662e-03;1.049e+00;1.000e+01;7.959e-01;1.688e-02;1.045e+00;1.000e+00;7.960e-01;1.000e+00
0.051535000;1.044e+00;8.172e-01;-5.163e-03;7.827e-01;-4.945e-03;1.049e+00;1.000e+01;7.932e-01;1.666e-02;1.045e+00;1.000e+00;7.934e-01;1.000e+00
