time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Bess_GEN_InjectedActiveCurrent;Bess_GEN_InjectedReactiveCurrent;Bess_GEN_AVRSetpointPu;Bess_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.000000000;1.044e+00;6.667e-01;2.167e-01;6.383e-01;2.074e-01;1.044e+00;4.000e-01;1.300e-01;1.000e+01;6.509e-01;-2.253e-01;1.121e+00;5.000e+01;5.000e+01
19.989997000;1.044e+00;6.666e-01;2.167e-01;6.383e-01;2.074e-01;1.044e+00;4.000e-01;1.300e-01;1.000e+01;6.509e-01;-2.253e-01;1.121e+00;5.000e+01;5.000e+01
19.990004000;1.044e+00;6.667e-01;2.167e-01;6.383e-01;2.074e-01;1.044e+00;4.000e-01;1.300e-01;1.000e+01;6.509e-01;-2.253e-01;1.121e+00;5.000e+01;5.000e+01
19.990028000;1.045e+00;6.669e-01;2.167e-01;6.383e-01;2.074e-01;1.045e+00;4.001e-01;1.300e-01;1.000e+01;6.509e-01;-2.253e-01;1.121e+00;5.000e+01;5.000e+01
19.990124000;1.046e+00;6.677e-01;2.170e-01;6.383e-01;2.074e-01;1.046e+00;4.006e-01;1.302e-01;1.000e+01;6.509e-01;-2.253e-01;1.121e+00;5.000e+01;5.000e+01
19.990252000;1.048e+00;6.687e-01;2.173e-01;6.383e-01;2.074e-01;1.048e+00;4.012e-01;1.304e-01;1.000e+01;6.509e-01;-2.253e-01;1.121e+00;4.999e+01;4.999e+01
19.990636000;1.053e+00;6.718e-01;2.183e-01;6.383e-01;2.074e-01;1.053e+00;4.031e-01;1.310e-01;1.000e+01;6.509e-01;-2.253e-01;1.121e+00;4.999e+01;4.999e+01
19.990772000;1.054e+00;6.730e-01;2.187e-01;6.383e-01;2.074e-01;1.054e+00;4.038e-01;1.312e-01;1.000e+01;6.509e-01;-2.253e-01;1.121e+00;4.998e+01;4.998e+01
19.990900000;1.056e+00;6.740e-01;2.190e-01;6.383e-01;2.074e-01;1.056e+00;4.044e-01;1.314e-01;1.000e+01;6.509e-01;-2.253e-01;1.121e+00;4.998e+01;4.998e+01
19.991028000;1.058e+00;6.750e-01;2.193e-01;6.383e-01;2.074e-01;1.058e+00;4.050e-01;1.316e-01;1.000e+01;6.509e-01;-2.252e-01;1.121e+00;4.998e+01;4.998e+01
19.991284000;1.061e+00;6.771e-01;2.200e-01;6.383e-01;2.073e-01;1.061e+00;4.063e-01;1.320e-01;1.000e+01;6.509e-01;-2.252e-01;1.121e+00;4.998e+01;4.998e+01
19.991796000;1.067e+00;6.812e-01;2.211e-01;6.382e-01;2.072e-01;1.067e+00;4.087e-01;1.327e-01;1.000e+01;6.509e-01;-2.249e-01;1.121e+00;4.998e+01;4.998e+01
19.992052000;1.071e+00;6.833e-01;2.217e-01;6.382e-01;2.071e-01;1.071e+00;4.100e-01;1.330e-01;1.000e+01;6.509e-01;-2.248e-01;1.121e+00;4.997e+01;4.997e+01
19.993332000;1.087e+00;6.935e-01;2.240e-01;6.380e-01;2.060e-01;1.087e+00;4.161e-01;1.344e-01;1.000e+01;6.507e-01;-2.236e-01;1.121e+00;4.997e+01;4.997e+01
19.993844000;1.094e+00;6.975e-01;2.246e-01;6.378e-01;2.054e-01;1.094e+00;4.185e-01;1.348e-01;1.000e+01;6.506e-01;-2.229e-01;1.121e+00;4.997e+01;4.997e+01
19.994868000;1.107e+00;7.054e-01;2.253e-01;6.375e-01;2.036e-01;1.107e+00;4.233e-01;1.352e-01;1.000e+01;6.503e-01;-2.210e-01;1.121e+00;4.997e+01;4.997e+01
19.995380000;1.113e+00;7.093e-01;2.254e-01;6.372e-01;2.025e-01;1.113e+00;4.256e-01;1.352e-01;1.000e+01;6.501e-01;-2.198e-01;1.121e+00;4.997e+01;4.997e+01
19.995636000;1.116e+00;7.113e-01;2.253e-01;6.371e-01;2.018e-01;1.116e+00;4.268e-01;1.352e-01;1.000e+01;6.500e-01;-2.191e-01;1.121e+00;4.997e+01;4.997e+01
19.996404000;1.126e+00;7.170e-01;2.248e-01;6.366e-01;1.996e-01;1.126e+00;4.302e-01;1.349e-01;1.000e+01;6.496e-01;-2.169e-01;1.121e+00;4.997e+01;4.997e+01
19.996865000;1.132e+00;7.204e-01;2.243e-01;6.363e-01;1.981e-01;1.132e+00;4.322e-01;1.346e-01;1.000e+01;6.493e-01;-2.153e-01;1.121e+00;4.997e+01;4.997e+01
19.997326000;1.138e+00;7.237e-01;2.236e-01;6.359e-01;1.965e-01;1.138e+00;4.342e-01;1.342e-01;1.000e+01;6.490e-01;-2.136e-01;1.121e+00;4.997e+01;4.997e+01
19.998248000;1.150e+00;7.303e-01;2.216e-01;6.351e-01;1.927e-01;1.150e+00;4.382e-01;1.330e-01;1.000e+01;6.482e-01;-2.097e-01;1.121e+00;4.997e+01;4.997e+01
19.998708000;1.156e+00;7.335e-01;2.203e-01;6.346e-01;1.906e-01;1.156e+00;4.401e-01;1.322e-01;1.000e+01;6.478e-01;-2.076e-01;1.121e+00;4.997e+01;4.997e+01
19.999169000;1.162e+00;7.366e-01;2.188e-01;6.341e-01;1.884e-01;1.162e+00;4.420e-01;1.313e-01;1.000e+01;6.473e-01;-2.052e-01;1.121e+00;4.997e+01;4.997e+01
20.000060000;1.173e+00;7.426e-01;2.153e-01;6.331e-01;1.836e-01;1.173e+00;4.455e-01;1.292e-01;1.000e+01;6.464e-01;-2.003e-01;1.121e+00;4.997e+01;4.997e+01
20.000508000;1.179e+00;7.455e-01;2.133e-01;6.325e-01;1.809e-01;1.179e+00;4.473e-01;1.280e-01;1.000e+01;6.458e-01;-1.977e-01;1.121e+00;4.997e+01;4.997e+01
20.001020000;1.185e+00;7.488e-01;2.107e-01;6.317e-01;1.778e-01;1.185e+00;4.493e-01;1.264e-01;1.000e+01;6.452e-01;-1.944e-01;1.121e+00;4.997e+01;4.997e+01
20.001532000;1.192e+00;7.520e-01;2.079e-01;6.310e-01;1.744e-01;1.192e+00;4.512e-01;1.247e-01;1.000e+01;6.444e-01;-1.910e-01;1.121e+00;4.997e+01;4.997e+01
20.002044000;1.198e+00;7.551e-01;2.048e-01;6.302e-01;1.709e-01;1.198e+00;4.531e-01;1.229e-01;1.000e+01;6.437e-01;-1.874e-01;1.121e+00;4.997e+01;4.997e+01
