time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_UPuInjTerminal;Wind_Turbine_GEN_IpInjTerminal;Wind_Turbine_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.000000000;1.000e+00;8.332e-01;-2.251e-09;8.332e-01;-5.338e-09;1.014e+00;8.322e-01;4.185e-02;1.000e+00;3.333e-02;6.544e-09;1.000e+01;8.333e-01;7.540e-04;5.000e+01;5.000e+01
30.000000000;1.000e+00;8.332e-01;-4.602e-09;8.332e-01;-5.356e-09;1.014e+00;8.322e-01;4.185e-02;1.000e+00;3.333e-02;-7.840e-09;1.000e+01;8.333e-01;7.540e-04;5.000e+01;5.000e+01
30.000000000;3.683e-01;2.374e-01;-6.945e-01;6.447e-01;-1.886e+00;3.842e-01;8.259e-01;1.104e-01;3.683e-01;9.497e-03;-2.778e-02;1.000e+01;8.333e-01;7.540e-04;5.476e+01;5.476e+01
30.003000000;3.656e-01;2.433e-01;-6.909e-01;6.653e-01;-1.890e+00;3.810e-01;8.468e-01;9.981e-02;3.656e-01;9.730e-03;-2.764e-02;1.000e+01;8.333e-01;7.540e-04;5.263e+01;5.263e+01
30.003000000;3.656e-01;2.433e-01;-6.909e-01;6.653e-01;-1.890e+00;3.810e-01;8.468e-01;9.981e-02;3.656e-01;9.730e-03;-2.764e-02;1.000e+01;8.333e-01;7.540e-04;5.263e+01;5.263e+01
30.009000000;3.822e-01;2.812e-01;-6.984e-01;7.356e-01;-1.827e+00;4.079e-01;9.054e-01;2.542e-01;3.822e-01;1.125e-02;-2.794e-02;1.000e+01;8.333e-01;7.540e-04;5.102e+01;5.102e+01
30.012000000;3.945e-01;2.877e-01;-7.072e-01;7.292e-01;-1.793e+00;4.258e-01;8.952e-01;3.427e-01;3.945e-01;1.151e-02;-2.829e-02;1.000e+01;8.333e-01;7.540e-04;5.012e+01;5.012e+01
30.021000000;4.315e-01;2.851e-01;-7.325e-01;6.607e-01;-1.698e+00;4.783e-01;8.281e-01;5.948e-01;4.315e-01;1.140e-02;-2.930e-02;1.000e+01;8.333e-01;7.540e-04;4.916e+01;4.916e+01
30.030000000;4.563e-01;2.776e-01;-7.454e-01;6.084e-01;-1.633e+00;5.136e-01;7.834e-01;7.680e-01;4.563e-01;1.111e-02;-2.982e-02;1.000e+01;8.333e-01;7.540e-04;4.935e+01;4.935e+01
30.033000000;4.625e-01;2.748e-01;-7.481e-01;5.941e-01;-1.618e+00;5.224e-01;7.718e-01;8.115e-01;4.625e-01;1.099e-02;-2.993e-02;1.000e+01;8.333e-01;7.540e-04;4.943e+01;4.943e+01
30.036000000;4.679e-01;2.720e-01;-7.503e-01;5.813e-01;-1.604e+00;5.300e-01;7.615e-01;8.493e-01;4.679e-01;1.088e-02;-3.001e-02;1.000e+01;8.333e-01;7.540e-04;4.950e+01;4.950e+01
30.045000000;4.800e-01;2.645e-01;-7.547e-01;5.510e-01;-1.572e+00;5.473e-01;7.379e-01;9.356e-01;4.800e-01;1.058e-02;-3.019e-02;1.000e+01;8.333e-01;7.540e-04;4.967e+01;4.967e+01
30.054000000;4.880e-01;2.589e-01;-7.571e-01;5.305e-01;-1.551e+00;5.586e-01;7.223e-01;9.922e-01;4.880e-01;1.035e-02;-3.028e-02;1.000e+01;8.333e-01;7.540e-04;4.979e+01;4.979e+01
30.057000000;4.899e-01;2.574e-01;-7.576e-01;5.253e-01;-1.546e+00;5.614e-01;7.183e-01;1.006e+00;4.899e-01;1.030e-02;-3.030e-02;1.000e+01;8.333e-01;7.540e-04;4.982e+01;4.982e+01
30.060000000;4.917e-01;2.560e-01;-7.581e-01;5.207e-01;-1.542e+00;5.638e-01;7.149e-01;1.019e+00;4.917e-01;1.024e-02;-3.032e-02;1.000e+01;8.333e-01;7.540e-04;4.984e+01;4.984e+01
30.063000000;4.931e-01;2.549e-01;-7.584e-01;5.168e-01;-1.538e+00;5.659e-01;7.119e-01;1.029e+00;4.931e-01;1.019e-02;-3.034e-02;1.000e+01;8.333e-01;7.540e-04;4.986e+01;4.986e+01
30.075000000;4.974e-01;2.514e-01;-7.594e-01;5.054e-01;-1.527e+00;5.720e-01;7.034e-01;1.060e+00;4.974e-01;1.005e-02;-3.038e-02;1.000e+01;8.333e-01;7.540e-04;4.992e+01;4.992e+01
30.081000000;4.988e-01;2.502e-01;-7.597e-01;5.016e-01;-1.523e+00;5.739e-01;7.007e-01;1.070e+00;4.988e-01;1.001e-02;-3.039e-02;1.000e+01;8.333e-01;7.540e-04;4.994e+01;4.994e+01
30.084000000;4.993e-01;2.497e-01;-7.598e-01;5.001e-01;-1.522e+00;5.747e-01;6.995e-01;1.074e+00;4.993e-01;9.988e-03;-3.039e-02;1.000e+01;8.333e-01;7.540e-04;4.995e+01;4.995e+01
30.087000000;4.998e-01;2.493e-01;-7.599e-01;4.988e-01;-1.520e+00;5.754e-01;6.986e-01;1.077e+00;4.998e-01;9.971e-03;-3.040e-02;1.000e+01;8.333e-01;7.540e-04;4.996e+01;4.996e+01
30.099000000;5.012e-01;2.481e-01;-7.602e-01;4.950e-01;-1.517e+00;5.774e-01;6.958e-01;1.087e+00;5.012e-01;9.924e-03;-3.041e-02;1.000e+01;8.333e-01;7.540e-04;4.998e+01;4.998e+01
30.105000000;5.016e-01;2.477e-01;-7.603e-01;4.938e-01;-1.516e+00;5.780e-01;6.950e-01;1.090e+00;5.016e-01;9.908e-03;-3.041e-02;1.000e+01;8.333e-01;7.540e-04;4.998e+01;4.998e+01
