time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;Wind_Turbine_GEN_UPuInjTerminal;Wind_Turbine_GEN_IpInjTerminal;Wind_Turbine_GEN_IqInjTerminal;SyncCompensator_GEN_TSO_FrequencyHz;SyncCompensator_GEN_TSO_ActivePower;SyncCompensator_GEN_TSO_ReactivePower;Main_load_LOAD_TSO_ActivePower;Main_load_LOAD_TSO_ReactivePower;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;SyncCompensator_GEN_FrequencyHz;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_VoltageSetpointPu;Wind_Turbine_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.000000000;1.000e+00;6.251e-01;-1.357e-01;6.251e-01;-1.357e-01;9.593e-01;1.000e+00;6.420e-01;-9.477e-02;5.000e+01;4.160e-02;1.423e-01;6.667e-01;9.861e-11;1.000e+00;5.626e-01;-1.221e-01;1.000e+01;5.000e+01;6.667e-01;0.000e+00;1.044e+00;1.923e+01;1.923e+01
0.001517000;1.036e+00;6.613e-01;-2.673e-02;6.383e-01;-2.580e-02;1.028e+00;1.046e+00;6.491e-01;1.375e-02;5.000e+01;5.373e-03;2.696e-02;6.667e-01;-3.782e-09;1.036e+00;5.952e-01;-2.406e-02;1.000e+01;5.000e+01;6.667e-01;0.000e+00;1.044e+00;4.298e+01;4.298e+01
0.001549000;1.036e+00;6.615e-01;-2.571e-02;6.384e-01;-2.481e-02;1.029e+00;1.046e+00;6.491e-01;1.472e-02;5.000e+01;5.128e-03;2.592e-02;6.667e-01;-3.765e-09;1.036e+00;5.954e-01;-2.314e-02;1.000e+01;5.000e+01;6.667e-01;0.000e+00;1.044e+00;4.320e+01;4.320e+01
0.001677000;1.038e+00;6.624e-01;-2.193e-02;6.385e-01;-2.114e-02;1.031e+00;1.048e+00;6.491e-01;1.831e-02;5.000e+01;4.231e-03;2.209e-02;6.667e-01;-3.792e-09;1.038e+00;5.962e-01;-1.974e-02;1.000e+01;5.000e+01;6.667e-01;0.000e+00;1.044e+00;4.401e+01;4.401e+01
0.001805000;1.039e+00;6.632e-01;-1.862e-02;6.386e-01;-1.792e-02;1.033e+00;1.049e+00;6.490e-01;2.146e-02;5.000e+01;3.459e-03;1.872e-02;6.667e-01;-3.894e-09;1.039e+00;5.969e-01;-1.675e-02;1.000e+01;5.000e+01;6.667e-01;0.000e+00;1.044e+00;4.473e+01;4.473e+01
0.001837000;1.039e+00;6.634e-01;-1.785e-02;6.386e-01;-1.718e-02;1.033e+00;1.049e+00;6.490e-01;2.218e-02;5.000e+01;3.283e-03;1.795e-02;6.667e-01;-3.907e-09;1.039e+00;5.970e-01;-1.606e-02;1.000e+01;5.000e+01;6.667e-01;0.000e+00;1.044e+00;4.490e+01;4.490e+01
0.001869000;1.039e+00;6.636e-01;-1.711e-02;6.386e-01;-1.647e-02;1.034e+00;1.049e+00;6.490e-01;2.289e-02;5.000e+01;3.114e-03;1.720e-02;6.667e-01;-3.909e-09;1.039e+00;5.972e-01;-1.540e-02;1.000e+01;5.000e+01;6.667e-01;0.000e+00;1.044e+00;4.506e+01;4.506e+01
0.001965000;1.040e+00;6.640e-01;-1.502e-02;6.387e-01;-1.445e-02;1.035e+00;1.050e+00;6.489e-01;2.486e-02;5.000e+01;2.642e-03;1.509e-02;6.667e-01;-3.845e-09;1.040e+00;5.976e-01;-1.352e-02;1.000e+01;5.000e+01;6.667e-01;0.000e+00;1.044e+00;4.551e+01;4.551e+01
0.002470000;1.042e+00;6.658e-01;-6.846e-03;6.388e-01;-6.568e-03;1.040e+00;1.054e+00;6.486e-01;3.257e-02;5.000e+01;8.400e-04;6.860e-03;6.667e-01;-1.985e-09;1.042e+00;5.992e-01;-6.161e-03;1.000e+01;5.000e+01;6.667e-01;0.000e+00;1.044e+00;4.730e+01;4.730e+01
0.002534000;1.043e+00;6.660e-01;-6.080e-03;6.388e-01;-5.832e-03;1.041e+00;1.054e+00;6.486e-01;3.329e-02;5.000e+01;6.744e-04;6.091e-03;6.667e-01;-1.834e-09;1.043e+00;5.994e-01;-5.472e-03;1.000e+01;5.000e+01;6.667e-01;0.000e+00;1.044e+00;4.747e+01;4.747e+01
0.003283000;1.044e+00;6.673e-01;-5.222e-05;6.389e-01;-5.001e-05;1.044e+00;1.056e+00;6.484e-01;3.894e-02;5.000e+01;-6.287e-04;5.223e-05;6.667e-01;4.016e-10;1.044e+00;6.006e-01;-4.697e-05;1.000e+01;5.000e+01;6.667e-01;0.000e+00;1.044e+00;4.881e+01;4.881e+01
0.003340000;1.045e+00;6.674e-01;2.433e-04;6.389e-01;2.330e-04;1.045e+00;1.056e+00;6.484e-01;3.922e-02;5.000e+01;-6.931e-04;-2.433e-04;6.667e-01;5.538e-10;1.045e+00;6.006e-01;2.190e-04;1.000e+01;5.000e+01;6.667e-01;0.000e+00;1.044e+00;4.888e+01;4.888e+01
