time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactivePower;BusPDR_BUS_ReactiveCurrent;InfiniteBus_BUS_NetworkFrequencyPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_AVRSetpointPu;Wind_Turbine_GEN_InjectedActivePower;Wind_Turbine_GEN_InjectedReactivePower;Wind_Turbine_GEN_InjectedActiveCurrent;Wind_Turbine_GEN_InjectedReactiveCurrent;Wind_Turbine_GEN_ActivePowerPu;Wind_Turbine_GEN_ReactivePowerPu;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;Wind_Turbine_GEN_InjectedCurrent;NetworkFrequencyPu
0.0;0.9922218996318314;0.374999374186;0.3779390218308478;0.40000033958;0.4031359716293523;1.0;10.0;0.375083;0.407465;1.002222;0.375083;0.453268;0.352294;-0.425729;0.375083;0.407465;1.064687;0.5525904847868809;1.0
0.0;0.9922218996318314;0.374999374186;0.3779390218308478;0.40000033958;0.4031359716293523;1.0;10.0;0.375083;0.407465;1.002222;0.375083;0.453268;0.352294;-0.425728;0.375083;0.407465;1.064687;0.5525897143631974;1.0
1e-06;0.9922218996318314;0.374999374186;0.3779390218308478;0.40000033958;0.4031359716293523;1.0;10.0;0.375083;0.407465;1.002222;0.375083;0.453268;0.352294;-0.425725;0.375083;0.407465;1.064687;0.5525874030965598;1.0
3e-06;0.9922218996318314;0.374999374186;0.3779390218308478;0.40000033958;0.4031359716293523;1.0;10.0;0.375083;0.407465;1.002222;0.375083;0.453268;0.352294;-0.425721;0.375083;0.407465;1.064687;0.5525843214180077;1.0
6e-06;0.9922218996318314;0.374999374186;0.3779390218308478;0.40000033958;0.4031359716293523;1.0;10.0;0.375083;0.407465;1.002222;0.375083;0.453268;0.352294;-0.425713;0.375083;0.407465;1.064687;0.5525781580962099;1.0
1.2e-05;0.9922218996318314;0.374999374186;0.3779390218308478;0.40000033958;0.4031359716293523;1.0;10.0;0.375083;0.407465;1.002222;0.375083;0.453268;0.352294;-0.425698;0.375083;0.407465;1.064687;0.5525666019947278;1.0
2.4e-05;0.9922218996318314;0.374999374186;0.3779390218308478;0.40000033958;0.4031359716293523;1.0;10.0;0.375083;0.407465;1.002222;0.375083;0.453268;0.352294;-0.425666;0.375083;0.407465;1.064687;0.552541949531436;1.0
4.7e-05;0.9922218996318314;0.374999421983;0.377939070002532;0.39999934851;0.4031349727902817;1.0;10.0;0.375083;0.407465;1.002222;0.375083;0.453268;0.352294;-0.425603;0.375083;0.407465;1.064687;0.5524934171960785;1.0
9.5e-05;0.9922218996318314;0.374999421983;0.377939070002532;0.39999934851;0.4031349727902817;1.0;10.0;0.375083;0.407465;1.002222;0.375083;0.453267;0.352294;-0.425478;0.375083;0.407464;1.064687;0.5523971315276719;1.0
0.000189;0.9922218996318314;0.374999517577;0.3779391663459004;0.39999736637;0.4031329751121406;1.0;10.0;0.375083;0.407465;1.002222;0.375083;0.453265;0.352294;-0.425228;0.375083;0.407461;1.064686;0.5522045947110545;1.0
0.000378;0.992220852621532;0.374998944211;0.3779389872932229;0.399987617574;0.4031235752778211;1.0;10.0;0.375083;0.407465;1.002222;0.375082;0.453254;0.352294;-0.424731;0.375082;0.407452;1.064683;0.5518219683892623;1.0
0.000756;0.9922158584259778;0.3749937249519999;0.3779356293970941;0.39994977804;0.4030874679572936;1.0;10.0;0.375083;0.407465;1.002222;0.375077;0.453211;0.352294;-0.423752;0.375077;0.407413;1.064672;0.5510687978283656;1.0
0.001513;0.9921968804834048;0.3749758838729999;0.3779248768553971;0.3998058884769999;0.4029501567090312;1.0;10.0;0.375083;0.407465;1.002222;0.375059;0.453046;0.352294;-0.421851;0.375059;0.407266;1.06463;0.5496083411275706;1.0
0.002269;0.9921678659788372;0.3749495066209999;0.3779093432451455;0.399575081357;0.4027293112973312;1.0;10.0;0.375083;0.407465;1.002222;0.375033;0.452782;0.352295;-0.420027;0.375033;0.407031;1.064562;0.5482102222268389;1.0
0.003026;0.9921279124190588;0.374915029098;0.3778898107844404;0.399265803922;0.4024337980255882;1.0;10.0;0.375083;0.407465;1.002222;0.374998;0.452429;0.352295;-0.41828;0.374998;0.406716;1.06447;0.5468728603843859;1.0
0.003782;0.9920789211373257;0.374872689013;0.3778657937649189;0.398884936691;0.402069762991956;1.0;10.0;0.375083;0.407465;1.002222;0.374956;0.451994;0.352295;-0.416612;0.374956;0.406327;1.064358;0.5455981355989039;1.0
0.004538;0.9920219873248778;0.374824804014;0.3778392100207033;0.398439764674;0.4016440862852717;1.0;10.0;0.375083;0.407465;1.002222;0.374908;0.451486;0.352296;-0.415022;0.374908;0.405874;1.064226;0.5443856464860182;1.0
0.005295;0.9919570146301704;0.374772702977;0.3778114348198101;0.397938480173;0.4011650447588827;1.0;10.0;0.375083;0.407465;1.002222;0.374855;0.450913;0.352297;-0.413511;0.374855;0.405362;1.064078;0.5432352375628813;1.0
0.006051;0.991886097092302;0.374714243013;0.3777795092717487;0.397386529731;0.4006372615726061;1.0;10.0;0.375083;0.407465;1.002222;0.374797;0.450283;0.352298;-0.412077;0.374797;0.404799;1.063915;0.5421451233138596;1.0
0.006808;0.9918101853747016;0.374652843388;0.3777465173403697;0.396790995898;0.4000674743505423;1.0;10.0;0.375083;0.407465;1.002222;0.374736;0.449603;0.3523;-0.410721;0.374736;0.404192;1.063739;0.5411164660597568;1.0
0.007564;0.9917282806419306;0.374587822389;0.3777121513027086;0.396157459452;0.3994616944830627;1.0;10.0;0.375083;0.407465;1.002222;0.37467;0.448881;0.352303;-0.409442;0.37467;0.403545;1.063552;0.540148271470899;1.0
0.008321;0.9916423323779596;0.374520115982;0.3776766115701215;0.395491256438;0.3988244990405074;1.0;10.0;0.375083;0.407465;1.002222;0.374603;0.448122;0.352306;-0.408239;0.374603;0.402867;1.063355;0.5392389069392156;1.0
0.009077;0.9915534358091852;0.374450112568;0.3776398719877557;0.3947985747609999;0.3981616728893823;1.0;10.0;0.375083;0.407465;1.002222;0.374532;0.447332;0.35231;-0.40711;0.374532;0.402161;1.063151;0.5383873031563802;1.0
0.009833;0.991461542746364;0.3743779551189999;0.3776020944614424;0.394083982342;0.3974778298010241;1.0;10.0;0.375083;0.407465;1.002222;0.374461;0.446518;0.352315;-0.406055;0.374461;0.401432;1.06294;0.5375932684195366;1.0
0.01059;0.9913676520287515;0.3743057825299999;0.377565055470606;0.393352915893;0.3967780420190591;1.0;10.0;0.375083;0.407465;1.002222;0.374388;0.445685;0.352321;-0.405071;0.374388;0.400687;1.062724;0.5368543583524307;1.0
0.011346;0.9912717636576762;0.3742324139279999;0.3775275637299768;0.392609296804;0.3960662566996944;1.0;10.0;0.375083;0.407465;1.002222;0.374314;0.444838;0.352328;-0.404157;0.374314;0.399928;1.062504;0.5361696562031463;1.0
0.012103;0.991175923526192;0.374158122187;0.3774891150058416;0.391857252341;0.3953458140376682;1.0;10.0;0.375083;0.407465;1.002222;0.37424;0.443981;0.352336;-0.403311;0.37424;0.399161;1.062281;0.5355375053317928;1.0
