time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactivePower;BusPDR_BUS_ReactiveCurrent;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_InjectedActiveCurrent;Wind_Turbine_GEN_InjectedReactiveCurrent;Wind_Turbine_GEN_AVRSetpointPu;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;Wind_Turbine_GEN_NetworkFrequencyPu;Wind_Turbine_GEN_InjectedCurrent;NetworkFrequencyPu
0.0;1.0236490813750578;0.73207793493;0.7151649410426929;0.4581222884099999;0.4475384159917466;10.0;0.679043;-0.467708;1.054271;1.0350567286893024;1.0;0.8245302717990407;1.0
0.0;1.0236490813750578;0.7320810834;0.7151680167744621;0.4581203624599999;0.4475365345364364;10.0;0.679043;-0.467707;1.054271;1.0350567286893024;1.0;0.8245297045576949;1.0
0.0;1.0236490813750578;0.73208423187;0.7151710925062311;0.4581184365099999;0.4475346530811261;10.0;0.679043;-0.467704;1.054271;1.0350567286893024;1.0;0.8245280028385937;1.0
1e-06;1.0236491203830538;0.7320901095169999;0.7151768071104763;0.4581153166999999;0.447531588293234;10.0;0.679043;-0.4677;1.054271;1.0350557862497074;1.0;0.8245257338913079;1.0
2e-06;1.0236481211441752;0.7321029941720001;0.7151900922298351;0.458107233558;0.4475241287464622;10.0;0.679043;-0.467691;1.054271;1.03505584224234;1.0;0.8245206288080364;1.0
4e-06;1.0236471999243686;0.7321265713260001;0.7152137683570011;0.458093893851;0.4475114999433847;10.0;0.679043;-0.467674;1.054271;1.035053957368407;1.0;0.8245109860547644;1.0
7e-06;1.0236462787086171;0.7321773420590001;0.7152640099299533;0.458066249575;0.4474848969830421;10.0;0.679043;-0.46764;1.054271;1.035052184495062;1.0;0.8244917012614499;1.0
1.4e-05;1.0236425158472071;0.732274534945;0.7153615872812205;0.458011508115;0.4474330647901347;10.0;0.679043;-0.467572;1.054271;1.0350475843602556;1.0;0.824453134527973;1.0
2.9e-05;1.023636910652405;0.7324691778729999;0.7155556528399976;0.457901323439;0.4473278744385653;10.0;0.679043;-0.467436;1.054271;1.0350394947155397;1.0;0.8243760124754965;1.0
5.7e-05;1.023624740380966;0.732845941068;0.7159322280499534;0.457683912924;0.4471208001026452;10.0;0.679043;-0.467164;1.054271;1.0350222056796656;1.0;0.8242218140434042;1.0
0.000115;1.0236002839219027;0.733563661447;0.7166505060318725;0.457251653594;0.4467091898822556;10.0;0.679043;-0.466622;1.054271;1.0349884604902606;1.0;0.8239147326835464;1.0
0.000229;1.023554099246835;0.734863065157;0.7179523443829071;0.456404583971;0.4459017694392876;10.0;0.679044;-0.465546;1.054271;1.034923300851324;1.0;0.82330664521307;1.0
0.000344;1.023508526730481;0.7359951728849999;0.7190904166046175;0.455579934255;0.4451159148720674;10.0;0.679045;-0.464481;1.054271;1.0348594731749814;1.0;0.8227057258740819;1.0
0.000458;1.0234646815762625;0.7369761133689999;0.7200796731294776;0.454773743297;0.4443472759573804;10.0;0.679046;-0.463426;1.054271;1.0347979725859535;1.0;0.8221113839328585;1.0
0.000573;1.023421524079399;0.737824015691;0.7209385364009192;0.453984506122;0.4435948389207212;10.0;0.679048;-0.462382;1.054271;1.034736855847901;1.0;0.8215249845427709;1.0
0.000688;1.0233801310646986;0.738557354961;0.7216842818636939;0.453210703853;0.4428566571655941;10.0;0.67905;-0.461348;1.054271;1.0346772321187896;1.0;0.8209451136367156;1.0
0.000802;1.0233385427413548;0.7391846686539999;0.7223266180064384;0.4524475047179999;0.4421288613892797;10.0;0.679053;-0.460325;1.054271;1.034619156336282;1.0;0.8203731360996653;1.0
0.000917;1.0232987175883683;0.73972420877;0.722881985539203;0.451695616926;0.4414112997136568;10.0;0.679055;-0.459313;1.054271;1.0345616854537962;1.0;0.8198073706633772;1.0
0.001031;1.0232587355248917;0.740180948582;0.7233565889885281;0.450952888172;0.4407027006133291;10.0;0.679059;-0.458311;1.054271;1.0345048185252692;1.0;0.8192497166322367;1.0
0.001146;1.0232195954598406;0.740568018898;0.7237625453851717;0.4502171335159999;0.4400004999060537;10.0;0.679062;-0.45732;1.054271;1.0344486680957157;1.0;0.818698224160771;1.0
0.001375;1.0231429596161037;0.741170232006;0.7244053482849518;0.448764735676;0.4386139116320384;10.0;0.67907;-0.455369;1.054271;1.0343385715296514;1.0;0.8176166528765175;1.0
0.001581;1.0230748039811166;0.7415423487860001;0.7248173309521628;0.447473161332;0.4373806876982372;10.0;0.679079;-0.453649;1.054271;1.0342404349830847;1.0;0.8166674374811329;1.0
0.001788;1.0230073712002277;0.7417884088560001;0.7251056343667477;0.446193358672;0.4361584982017388;10.0;0.679089;-0.451963;1.054271;1.0341436717405377;1.0;0.8157404141575921;1.0
0.001994;1.0229407400670871;0.74193343665;0.7252946408228321;0.444920650111;0.4349427417289305;10.0;0.6791;-0.450311;1.054271;1.0340475098272806;1.0;0.8148354476340608;1.0
0.0022;1.022873950773017;0.7419958282469999;0.7254029958297903;0.443653064559;0.4337319023753787;10.0;0.679113;-0.448692;1.054271;1.0339510073136926;1.0;0.8139526875887811;1.0
