time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactivePower;BusPDR_BUS_ReactiveCurrent;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_InjectedActiveCurrent;Wind_Turbine_GEN_InjectedReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;Wind_Turbine_GEN_InjectedCurrent
0.0;1.0444855079346438;0.8333655971496077;0.7977629825674549;-4.7553174485021027e-07;-3.870821375777928e-07;10.000935166179882;0.8338012149680528;0.014005978139941963;0.797692148136507;-0.01571052132190434;1.0454028183088853;0.7979020178650604
0.0;1.0444854238265828;0.8333657386519868;0.7977633702531682;-4.753021519909375e-07;-3.870878977851321e-07;10.000934591156204;0.8338007868520269;0.01400597839540005;0.7976926220805187;-0.01571052493109321;1.0454022009051889;0.7979019575295256
1e-06;1.0444853349175944;0.8333658928703324;0.7977637859999187;-4.7505615758874243e-07;-3.8709304607269506e-07;10.000933978857391;0.8338003267151393;0.014005978668815394;0.7976931305417782;-0.01571052882001325;1.0454015365952274;0.7979018930666072
2e-06;1.0444852426870994;0.8333660619306348;0.7977642308609872;-4.74793883878605e-07;-3.870968606729679e-07;10.000933323784382;0.8337998335509174;0.014005978960012664;0.7976936730344633;-0.01571053300362311;1.0454008247737363;0.7979018248568972
4e-06;1.0444851492590637;0.8333662472438016;0.7977647071960549;-4.7451547851679047e-07;-3.870989986359898e-07;10.000932616666802;0.8337993065575269;0.01400597926891736;0.797694248318018;-0.01571053749064065;1.0454000663881227;0.7979017522048458
8e-06;1.0444841027607772;0.8333656884152155;0.7977652186983039;-2.343644922085912e-07;-1.5744961202896606e-07;10.00093185142338;0.8337987451878657;0.014005979595398758;0.7976948546868428;-0.01570954228233706;1.0453992627355195;0.7979016531375528
1.6e-05;1.0444837102799218;0.8333660166480369;0.7977661037139647;-2.1018336411484153e-06;-1.9457484258737446e-06;10.000931027869902;0.8337981492378991;0.014005979938821073;0.7976954899119509;-0.015708547374069706;1.0453974143133764;0.7979015445166596
3.2e-05;1.044482663875716;0.8333650830255531;0.7977663070027001;-4.424142593225539e-06;-4.169547696664418e-06;10.00093014724494;0.8337975185973798;0.014005980297790476;0.7976961515327508;-0.01570655275822685;1.0453965202414546;0.797901404028402
6.4e-05;1.044481614216532;0.833364515026024;0.7977668926980805;-7.853244382159873e-06;-7.453058845966702e-06;10.000929206912613;0.8337968526630082;0.014005980670292033;0.7976968374121906;-0.015703558425680428;1.045393578418964;0.7979012291941029
0.000128;1.0444783511016373;0.8333624893074467;0.7977678071366611;-1.6339651730851633e-05;-1.5578735445567248e-05;10.000928200750245;0.8337961502429859;0.014005981054119388;0.7976975460119184;-0.015695564364494183;1.0453895865947695;0.7979009390119488
0.000256;1.0444722198795928;0.8333580739656276;0.7977686616742317;-3.144489358829726e-05;-3.0041787802902597e-05;10.000927121953236;0.833795410181981;0.01400598144730279;0.7976982764937333;-0.015680570558140806;1.0453815434520428;0.7979004923068016
0.000512;1.044459756578113;0.8333472777175936;0.797768283059472;-6.165820309425764e-05;-5.8970790801454884e-05;10.000925965416174;0.8337946318787112;0.014005981848305414;0.797699028701262;-0.015650576985172145;1.0453674489594236;0.7978997308724046
0.001024;1.0444361902415529;0.8333275090961113;0.7977678353918122;-0.00012121319347753771;-0.00011599580075060526;10.000924730916378;0.8337938155082381;0.014005982255981082;0.7976998027155533;-0.015593583619778665;1.0453423042922383;0.7978984207323674
0.002048;1.0443929855216625;0.833291597282182;0.7977669732358061;-0.00023248209715965643;-0.0002225442542224958;10.000923423284457;0.8337929621286252;0.014005982669403146;0.7977005982076899;-0.015487590432965544;1.045294111243357;0.7978961399795139
0.004096;1.0443174382852272;0.8332300338134346;0.7977662966656925;-0.00042209094784314633;-0.0004041299567607794;10.000922047602598;0.8337920735826454;0.01400598308772258;0.7977034141324661;-0.015305597394847555;1.0452128711850575;0.7978943895061089
0.006144;1.0442564211989485;0.8331821429204075;0.7977676483011401;-0.000576067123607326;-0.0005516099118555201;10.000920604316509;0.8337911523127941;0.01400598351016592;0.7977072488758359;-0.01516060447822698;1.0451475843327975;0.7978943610601499
0.008192;1.0442077201044422;0.8331483113425231;0.797773088399941;-0.0006976740002851393;-0.0006680987309364549;10.000919087109489;0.833790201298517;0.014005983936151016;0.7977141006419664;-0.015045611662451091;1.0450952498897372;0.7978979022299637
0.01024;1.0441697222559272;0.8331242238480949;0.7977797140945968;-0.0007914997249663303;-0.0007579833488981937;10.000917484436833;0.833789224079849;0.014005984365348997;0.7977229679442807;-0.014955618934247857;1.0450528671660573;0.7979039071852688
0.012288;1.0441399136072262;0.8331099678689015;0.7977895270728367;-0.0008652289871681963;-0.000828620177005982;10.00091578689893;0.8337882245031815;0.01400598479749272;0.7977338499077531;-0.014885626284212269;1.0450204367894118;0.7979122757814617
0.014336;1.0441154285909087;0.8331020916905331;0.7978014086102395;-0.000922159951085339;-0.0008831672503412674;10.000913992384149;0.8337872062202253;0.014005985232062968;0.7977457458230444;-0.014832633702234236;1.0449939609606433;0.7979219491237036
0.016384;1.0440975177994694;0.8331011852370243;0.7978149657555559;-0.0009643363143909367;-0.0009235789557058218;10.000912097688778;0.8337861727234838;0.014005985668242103;0.7977596542780874;-0.01479264117563533;1.044973442950857;0.7979338507202354
