time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactivePower;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;InfiniteBus_BUS_NetworkFrequencyPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_AVRSetpointPu;Wind_Turbine_GEN_InjectedActiveCurrent;Wind_Turbine_GEN_InjectedReactiveCurrent;Wind_Turbine_GEN_InjectedCurrent;NetworkFrequencyPu
0.0;1.0444322461185418;0.8334677740212163;0.7978220162286787;-3.5757575705677976e-07;-4.522972535810744e-07;1.045101361028037;1.0003633440044035;10.001682369223127;0.8333677278778125;0.015561841100917925;0.015559991135638822;0.7976487962862345;-0.014894981502086272;0.7977868836005846;1.000333094018957
0.0;1.0444321174173248;0.8334682663781307;0.7978227559970924;-3.5813364935002e-07;-4.5240300012221905e-07;1.0451017030715861;1.0003619339163206;10.001674368792523;0.8333675938002579;0.015561840507611434;0.015559993551187569;0.7976487419725534;-0.014894981470711659;0.7977868950110572;1.0003326658168457
1e-06;1.044431981149997;0.8334687938478026;0.7978235519018734;-3.5873335359229776e-07;-4.5251677584248796e-07;1.0451020681248366;1.000360417978888;10.00166568167694;0.8333674527401096;0.015561839974179204;0.01555999612058702;0.7976486845998204;-0.014894981436227722;0.7977869090599045;1.0003322080893668
2e-06;1.0444318381481508;0.8334693569349916;0.7978244069241465;-3.593757394120069e-07;-4.5263883663907786e-07;1.045102454439195;1.000358793603218;10.001656208846013;0.833367306880008;0.015561839597644364;0.015559998806843056;0.797648625062355;-0.014894981397190503;0.7977869276914401;1.0003317230858735
4e-06;1.0444316895203296;0.8334699566458083;0.7978253239201086;-3.600609100683332e-07;-4.5276912885040034e-07;1.0451028604066144;1.0003570587252932;10.001645863722047;0.8333671591570757;0.015561839475420683;0.015560001551738404;0.7976485647037317;-0.014894981351820026;0.797786952484839;1.0003312131919944
8e-06;1.044431536862009;0.8334705942860677;0.7978263056206689;-3.6078822336776747e-07;-4.529074953409965e-07;1.0451032855188673;1.0003552102828286;10.001634588827857;0.833367013399514;0.015561839692448396;0.015560004278342233;0.7976485064362651;-0.014894981298417511;0.7977869841034705;1.0003306798570482
1.6e-05;1.0444313824288611;0.8334712718870122;0.7978273550303988;-3.6155600772436567e-07;-4.5305417494614326e-07;1.0451037303152417;1.0003532444234398;10.001622354965232;0.8333668735238604;0.015561840325200103;0.015560006897937248;0.7976484553053356;-0.01489498123556466;0.7977870220956474;1.0003301231301756
3.2e-05;1.044431229545038;0.8334719924284171;0.7978284756573146;-3.6236153365577415e-07;-4.5320984486633226e-07;1.0451041953259446;1.0003511575039779;10.001609154805902;0.8333667425926877;0.015561841448988754;0.015560009329009604;0.7976484174211914;-0.01489498116231132;0.7977870646024529;1.000329542256206
6.4e-05;1.0444310823235203;0.8334727589871787;0.7978296709375519;-3.632014844030384e-07;-4.53375108787183e-07;1.0451046803989608;1.000348946343899;10.001595005682125;0.8333666228682599;0.015561843142067034;0.015560011506767838;0.7976483987877634;-0.01489498107829667;0.797787108234927;1.0003289376658622
0.000128;1.044430944200664;0.8334735739648841;0.7978309430528611;-3.640725088327e-07;-4.5355019621139735e-07;1.045105184590818;1.0003466077112806;10.001579952543356;0.8333665163692892;0.015561845485870748;0.01556001336540169;0.7976484048434831;-0.01489498098377524;0.7977871482919224;1.0003283121182005
0.000256;1.0444308169005099;0.8334744382666364;0.7978322923471043;-3.649714794229702e-07;-4.537350919879946e-07;1.0451057056244675;1.0003441379104971;10.001564059402915;0.8333664251105573;0.015561848557777832;0.01556001481833111;0.7976484404469493;-0.014894980879498611;0.7977871796377421;1.0003276697011676
0.000512;1.0444307012000702;0.8334753501952977;0.7978337178512251;-3.658955819733508e-07;-4.539297042662923e-07;1.0451062394508326;1.00034153296851;10.001547402872376;0.833366351266075;0.015561852414623076;0.015560015758959263;0.7976485102841286;-0.014894980766228567;0.797787197899699;1.000327014024339
0.001024;1.0444305979796884;0.8334763054165392;0.7978352181506353;-3.668424046300214e-07;-4.5413374876105343e-07;1.04510678075618;1.0003387889495199;10.001530074255458;0.8333662976436556;0.015561857082843977;0.01556001607518021;0.7976486192725317;-0.01489498064407652;0.7977871998619425;1.0003263471011474
0.002048;1.044430507632604;0.8334772982697866;0.7978367918002528;-3.6780988114669134e-07;-4.5434648123193206e-07;1.0451073244192803;1.0003359018439433;10.001512180083846;0.8333662677358054;0.015561862566146;0.015560015671840762;0.7976487723415348;-0.014894980512323804;0.7977871830040251;1.0003256692499098
0.004096;1.0444304285488506;0.8334783231213154;0.7978384369047656;-3.6879599940664634e-07;-4.545667111863261e-07;1.0451078669615492;1.0003328679295238;10.001493840443729;0.8333662646084938;0.01556186885542383;0.015560014485203336;0.7976489738502958;-0.014894980369876997;0.7977871448090905;1.0003249791404336
0.008192;1.044430356864993;0.8334793750698523;0.7978401504610476;-3.697984916590935e-07;-4.5479300026534206e-07;1.045108406150846;1.0003296850550105;10.001475183172165;0.8333662896119761;0.015561875934950533;0.015560012472750304;0.7976492276187014;-0.014894980215889959;0.7977870821245585;1.00032427383098
0.016384;1.04443028786932;0.833480450212784;0.7978419285001493;-3.708149740122422e-07;-4.550236852211689e-07;1.0451089393639819;1.0003263531803084;10.001456325843037;0.8333663422272382;0.01556188379618521;0.01556000959845249;0.7976495373128841;-0.01489498005025047;0.797786991281596;1.0003235493791731
