time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;InfiniteBus_BUS_NetworkFrequencyPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_AVRSetpointPu;NetworkFrequencyPu
0.000000000;1.044e+00;8.333e-01;-1.171e-06;7.979e-01;-1.155e-06;1.044e+00;7.500e-01;-9.715e-07;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;5.000e+01
0.000500000;1.044e+00;8.262e-01;-1.383e-03;7.910e-01;-1.324e-03;1.044e+00;7.436e-01;-1.245e-03;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;5.000e+01
0.000598000;1.045e+00;8.247e-01;-1.643e-03;7.895e-01;-1.573e-03;1.045e+00;7.422e-01;-1.479e-03;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;5.000e+01
0.000891000;1.045e+00;8.199e-01;-2.383e-03;7.849e-01;-2.282e-03;1.045e+00;7.379e-01;-2.145e-03;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;5.000e+01
0.001282000;1.045e+00;8.133e-01;-3.254e-03;7.784e-01;-3.115e-03;1.045e+00;7.320e-01;-2.929e-03;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;5.000e+01
0.001478000;1.045e+00;8.100e-01;-3.633e-03;7.751e-01;-3.477e-03;1.045e+00;7.290e-01;-3.270e-03;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;5.000e+01
0.001674000;1.045e+00;8.066e-01;-3.970e-03;7.719e-01;-3.799e-03;1.045e+00;7.260e-01;-3.573e-03;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;5.000e+01
0.001869000;1.045e+00;8.033e-01;-4.264e-03;7.686e-01;-4.080e-03;1.045e+00;7.230e-01;-3.838e-03;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;5.000e+01
0.002065000;1.045e+00;8.001e-01;-4.517e-03;7.654e-01;-4.321e-03;1.045e+00;7.201e-01;-4.065e-03;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;5.000e+01
0.002163000;1.045e+00;7.985e-01;-4.626e-03;7.638e-01;-4.424e-03;1.045e+00;7.187e-01;-4.163e-03;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;5.000e+01
0.002261000;1.046e+00;7.969e-01;-4.724e-03;7.622e-01;-4.519e-03;1.046e+00;7.172e-01;-4.252e-03;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;5.000e+01
0.002359000;1.046e+00;7.954e-01;-4.812e-03;7.607e-01;-4.602e-03;1.046e+00;7.158e-01;-4.331e-03;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;5.000e+01
0.002554000;1.046e+00;7.924e-01;-4.956e-03;7.577e-01;-4.738e-03;1.046e+00;7.131e-01;-4.460e-03;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;5.000e+01
0.002652000;1.046e+00;7.909e-01;-5.011e-03;7.562e-01;-4.791e-03;1.046e+00;7.118e-01;-4.510e-03;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;5.000e+01
0.002750000;1.046e+00;7.895e-01;-5.058e-03;7.547e-01;-4.835e-03;1.046e+00;7.105e-01;-4.552e-03;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;5.000e+01
0.002946000;1.046e+00;7.867e-01;-5.119e-03;7.519e-01;-4.893e-03;1.046e+00;7.080e-01;-4.607e-03;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;5.000e+01
0.003141000;1.046e+00;7.840e-01;-5.142e-03;7.493e-01;-4.914e-03;1.046e+00;7.056e-01;-4.628e-03;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;5.000e+01
0.003239000;1.047e+00;7.827e-01;-5.140e-03;7.480e-01;-4.912e-03;1.047e+00;7.045e-01;-4.626e-03;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;5.000e+01
0.003337000;1.047e+00;7.815e-01;-5.129e-03;7.467e-01;-4.901e-03;1.047e+00;7.034e-01;-4.616e-03;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;5.000e+01
0.003435000;1.047e+00;7.803e-01;-5.109e-03;7.455e-01;-4.881e-03;1.047e+00;7.023e-01;-4.598e-03;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;5.000e+01
0.003631000;1.047e+00;7.780e-01;-5.044e-03;7.432e-01;-4.818e-03;1.047e+00;7.002e-01;-4.540e-03;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;5.000e+01
0.003728000;1.047e+00;7.769e-01;-5.001e-03;7.421e-01;-4.777e-03;1.047e+00;6.993e-01;-4.501e-03;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;5.000e+01
0.003826000;1.047e+00;7.759e-01;-4.950e-03;7.410e-01;-4.727e-03;1.047e+00;6.983e-01;-4.455e-03;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;5.000e+01
0.004022000;1.047e+00;7.739e-01;-4.826e-03;7.390e-01;-4.608e-03;1.047e+00;6.965e-01;-4.343e-03;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;5.000e+01
