;time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine1_GEN_MagnitudeControlledByAVRPu;Wind_Turbine2_GEN_MagnitudeControlledByAVRPu;StepUp_Xfmr1_XFMR_Tap;StepUp_Xfmr2_XFMR_Tap;Wind_Turbine1_GEN_InjectedActiveCurrent;Wind_Turbine1_GEN_InjectedReactiveCurrent;Wind_Turbine1_GEN_AVRSetpointPu;Wind_Turbine1_GEN_NetworkFrequencyPu;Wind_Turbine2_GEN_InjectedActiveCurrent;Wind_Turbine2_GEN_InjectedReactiveCurrent;Wind_Turbine2_GEN_AVRSetpointPu;Wind_Turbine2_GEN_NetworkFrequencyPu;Wind_Turbine1_GEN_InjectedCurrent;Wind_Turbine2_GEN_InjectedCurrent;NetworkFrequencyPu
0;0.000e+00;1.044e+00;4.167e-01;-1.012e-06;3.989e-01;-9.690e-07;1.045e+00;1.045e+00;1.000e+01;1.000e+01;4.042e-01;-6.511e-03;1.045e+00;1.000e+00;4.042e-01;-6.511e-03;1.045e+00;1.000e+00;4.043e-01;4.043e-01;1.000e+00
1;0.000e+00;1.044e+00;4.167e-01;-1.012e-06;3.989e-01;-9.690e-07;1.045e+00;1.045e+00;1.000e+01;1.000e+01;4.042e-01;-6.511e-03;1.045e+00;1.000e+00;4.042e-01;-6.511e-03;1.045e+00;1.000e+00;4.043e-01;4.043e-01;1.000e+00
2;1.000e-06;1.044e+00;4.167e-01;-1.012e-06;3.989e-01;-9.690e-07;1.045e+00;1.045e+00;1.000e+01;1.000e+01;4.042e-01;-6.511e-03;1.045e+00;1.000e+00;4.042e-01;-6.511e-03;1.045e+00;1.000e+00;4.043e-01;4.043e-01;1.000e+00
3;2.000e-06;1.044e+00;4.167e-01;-1.012e-06;3.989e-01;-9.690e-07;1.045e+00;1.045e+00;1.000e+01;1.000e+01;4.042e-01;-6.511e-03;1.045e+00;1.000e+00;4.042e-01;-6.511e-03;1.045e+00;1.000e+00;4.043e-01;4.043e-01;1.000e+00
4;4.000e-06;1.044e+00;4.167e-01;-1.012e-06;3.989e-01;-9.690e-07;1.045e+00;1.045e+00;1.000e+01;1.000e+01;4.042e-01;-6.511e-03;1.045e+00;1.000e+00;4.042e-01;-6.511e-03;1.045e+00;1.000e+00;4.043e-01;4.043e-01;1.000e+00
5;8.000e-06;1.044e+00;4.167e-01;-1.012e-06;3.989e-01;-9.690e-07;1.045e+00;1.045e+00;1.000e+01;1.000e+01;4.042e-01;-6.511e-03;1.045e+00;1.000e+00;4.042e-01;-6.511e-03;1.045e+00;1.000e+00;4.043e-01;4.043e-01;1.000e+00
6;1.600e-05;1.044e+00;4.167e-01;-1.012e-06;3.989e-01;-9.690e-07;1.045e+00;1.045e+00;1.000e+01;1.000e+01;4.042e-01;-6.511e-03;1.045e+00;1.000e+00;4.042e-01;-6.511e-03;1.045e+00;1.000e+00;4.043e-01;4.043e-01;1.000e+00
7;3.200e-05;1.044e+00;4.167e-01;-1.012e-06;3.989e-01;-9.690e-07;1.045e+00;1.045e+00;1.000e+01;1.000e+01;4.042e-01;-6.511e-03;1.045e+00;1.000e+00;4.042e-01;-6.511e-03;1.045e+00;1.000e+00;4.043e-01;4.043e-01;1.000e+00
8;6.400e-05;1.044e+00;4.167e-01;-1.012e-06;3.989e-01;-9.690e-07;1.045e+00;1.045e+00;1.000e+01;1.000e+01;4.042e-01;-6.511e-03;1.045e+00;1.000e+00;4.042e-01;-6.511e-03;1.045e+00;1.000e+00;4.043e-01;4.043e-01;1.000e+00
9;1.280e-04;1.044e+00;4.167e-01;-1.012e-06;3.989e-01;-9.690e-07;1.045e+00;1.045e+00;1.000e+01;1.000e+01;4.042e-01;-6.511e-03;1.045e+00;1.000e+00;4.042e-01;-6.511e-03;1.045e+00;1.000e+00;4.043e-01;4.043e-01;1.000e+00
10;2.560e-04;1.044e+00;4.167e-01;-1.012e-06;3.989e-01;-9.690e-07;1.045e+00;1.045e+00;1.000e+01;1.000e+01;4.042e-01;-6.511e-03;1.045e+00;1.000e+00;4.042e-01;-6.511e-03;1.045e+00;1.000e+00;4.043e-01;4.043e-01;1.000e+00
11;5.120e-04;1.044e+00;4.167e-01;-1.012e-06;3.989e-01;-9.690e-07;1.045e+00;1.045e+00;1.000e+01;1.000e+01;4.042e-01;-6.511e-03;1.045e+00;1.000e+00;4.042e-01;-6.511e-03;1.045e+00;1.000e+00;4.043e-01;4.043e-01;1.000e+00
12;1.024e-03;1.044e+00;4.167e-01;-1.012e-06;3.989e-01;-9.690e-07;1.045e+00;1.045e+00;1.000e+01;1.000e+01;4.042e-01;-6.511e-03;1.045e+00;1.000e+00;4.042e-01;-6.511e-03;1.045e+00;1.000e+00;4.043e-01;4.043e-01;1.000e+00
13;2.048e-03;1.044e+00;4.167e-01;-1.012e-06;3.989e-01;-9.690e-07;1.045e+00;1.045e+00;1.000e+01;1.000e+01;4.042e-01;-6.511e-03;1.045e+00;1.000e+00;4.042e-01;-6.511e-03;1.045e+00;1.000e+00;4.043e-01;4.043e-01;1.000e+00
14;4.096e-03;1.044e+00;4.167e-01;-1.084e-06;3.989e-01;-1.038e-06;1.045e+00;1.045e+00;1.000e+01;1.000e+01;4.042e-01;-6.511e-03;1.045e+00;1.000e+00;4.042e-01;-6.511e-03;1.045e+00;1.000e+00;4.043e-01;4.043e-01;1.000e+00
15;8.192e-03;1.044e+00;4.167e-01;-1.444e-06;3.989e-01;-1.382e-06;1.045e+00;1.045e+00;1.000e+01;1.000e+01;4.042e-01;-6.511e-03;1.045e+00;1.000e+00;4.042e-01;-6.511e-03;1.045e+00;1.000e+00;4.043e-01;4.043e-01;1.000e+00
16;1.638e-02;1.044e+00;4.166e-01;-8.003e-07;3.989e-01;-7.662e-07;1.045e+00;1.045e+00;1.000e+01;1.000e+01;4.042e-01;-6.511e-03;1.045e+00;1.000e+00;4.042e-01;-6.511e-03;1.045e+00;1.000e+00;4.042e-01;4.042e-01;1.000e+00
17;2.638e-02;1.044e+00;4.165e-01;4.881e-07;3.988e-01;4.673e-07;1.045e+00;1.045e+00;1.000e+01;1.000e+01;4.041e-01;-6.511e-03;1.045e+00;1.000e+00;4.041e-01;-6.511e-03;1.045e+00;1.000e+00;4.041e-01;4.041e-01;1.000e+00
18;3.638e-02;1.044e+00;4.163e-01;1.236e-06;3.986e-01;1.183e-06;1.045e+00;1.045e+00;1.000e+01;1.000e+01;4.039e-01;-6.509e-03;1.045e+00;1.000e+00;4.039e-01;-6.509e-03;1.045e+00;1.000e+00;4.039e-01;4.039e-01;1.000e+00
19;4.638e-02;1.044e+00;4.161e-01;3.439e-06;3.984e-01;3.293e-06;1.045e+00;1.045e+00;1.000e+01;1.000e+01;4.036e-01;-6.507e-03;1.045e+00;1.000e+00;4.036e-01;-6.507e-03;1.045e+00;1.000e+00;4.037e-01;4.037e-01;1.000e+00
20;5.638e-02;1.044e+00;4.157e-01;5.657e-06;3.980e-01;5.416e-06;1.045e+00;1.045e+00;1.000e+01;1.000e+01;4.033e-01;-6.504e-03;1.045e+00;1.000e+00;4.033e-01;-6.504e-03;1.045e+00;1.000e+00;4.034e-01;4.034e-01;1.000e+00
21;6.638e-02;1.044e+00;4.153e-01;7.733e-06;3.976e-01;7.404e-06;1.045e+00;1.045e+00;1.000e+01;1.000e+01;4.029e-01;-6.499e-03;1.045e+00;1.000e+00;4.029e-01;-6.499e-03;1.045e+00;1.000e+00;4.030e-01;4.030e-01;1.000e+00
22;7.638e-02;1.045e+00;4.149e-01;9.556e-06;3.972e-01;9.149e-06;1.045e+00;1.045e+00;1.000e+01;1.000e+01;4.025e-01;-6.492e-03;1.045e+00;1.000e+00;4.025e-01;-6.492e-03;1.045e+00;1.000e+00;4.025e-01;4.025e-01;1.000e+00
23;8.638e-02;1.045e+00;4.144e-01;1.080e-05;3.967e-01;1.034e-05;1.045e+00;1.045e+00;1.000e+01;1.000e+01;4.020e-01;-6.485e-03;1.045e+00;1.000e+00;4.020e-01;-6.485e-03;1.045e+00;1.000e+00;4.021e-01;4.020e-01;1.000e+00
24;9.638e-02;1.045e+00;4.138e-01;1.257e-05;3.962e-01;1.204e-05;1.045e+00;1.045e+00;1.000e+01;1.000e+01;4.015e-01;-6.476e-03;1.045e+00;1.000e+00;4.015e-01;-6.476e-03;1.045e+00;1.000e+00;4.015e-01;4.015e-01;1.000e+00
25;1.064e-01;1.045e+00;4.133e-01;1.343e-05;3.956e-01;1.286e-05;1.045e+00;1.045e+00;1.000e+01;1.000e+01;4.009e-01;-6.466e-03;1.045e+00;1.000e+00;4.009e-01;-6.466e-03;1.045e+00;1.000e+00;4.010e-01;4.009e-01;1.000e+00
26;1.164e-01;1.045e+00;4.126e-01;1.390e-05;3.950e-01;1.331e-05;1.045e+00;1.045e+00;1.000e+01;1.000e+01;4.003e-01;-6.456e-03;1.045e+00;1.000e+00;4.003e-01;-6.456e-03;1.045e+00;1.000e+00;4.003e-01;4.003e-01;1.000e+00
27;1.264e-01;1.045e+00;4.120e-01;1.510e-05;3.944e-01;1.445e-05;1.045e+00;1.045e+00;1.000e+01;1.000e+01;3.997e-01;-6.444e-03;1.045e+00;1.000e+00;3.996e-01;-6.444e-03;1.045e+00;1.000e+00;3.997e-01;3.997e-01;1.000e+00
28;1.364e-01;1.045e+00;4.113e-01;1.510e-05;3.937e-01;1.445e-05;1.045e+00;1.045e+00;1.000e+01;1.000e+01;3.990e-01;-6.432e-03;1.045e+00;1.000e+00;3.990e-01;-6.432e-03;1.045e+00;1.000e+00;3.991e-01;3.990e-01;1.000e+00
29;1.464e-01;1.045e+00;4.106e-01;1.567e-05;3.930e-01;1.500e-05;1.045e+00;1.045e+00;1.000e+01;1.000e+01;3.983e-01;-6.419e-03;1.045e+00;1.000e+00;3.983e-01;-6.419e-03;1.045e+00;1.000e+00;3.984e-01;3.983e-01;1.000e+00
30;1.564e-01;1.045e+00;4.099e-01;1.543e-05;3.923e-01;1.477e-05;1.045e+00;1.045e+00;1.000e+01;1.000e+01;3.976e-01;-6.406e-03;1.045e+00;1.000e+00;3.976e-01;-6.406e-03;1.045e+00;1.000e+00;3.977e-01;3.976e-01;1.000e+00
31;1.664e-01;1.045e+00;4.091e-01;1.606e-05;3.916e-01;1.537e-05;1.045e+00;1.045e+00;1.000e+01;1.000e+01;3.969e-01;-6.393e-03;1.045e+00;1.000e+00;3.968e-01;-6.393e-03;1.045e+00;1.000e+00;3.969e-01;3.969e-01;1.000e+00
32;1.764e-01;1.045e+00;4.084e-01;1.612e-05;3.909e-01;1.543e-05;1.045e+00;1.045e+00;1.000e+01;1.000e+01;3.962e-01;-6.378e-03;1.045e+00;1.000e+00;3.961e-01;-6.378e-03;1.045e+00;1.000e+00;3.962e-01;3.962e-01;1.000e+00
33;1.864e-01;1.045e+00;4.076e-01;1.527e-05;3.901e-01;1.462e-05;1.045e+00;1.045e+00;1.000e+01;1.000e+01;3.954e-01;-6.364e-03;1.045e+00;1.000e+00;3.954e-01;-6.364e-03;1.045e+00;1.000e+00;3.955e-01;3.954e-01;1.000e+00
