time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactivePower;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_InjectedActiveCurrent;Wind_Turbine_GEN_InjectedReactiveCurrent;Wind_Turbine_GEN_InjectedCurrent
0.0;1.0443387103407846;0.8334309671348138;0.7978944950355026;-4.106751917136348e-07;-3.943366483184955e-07;1.0449187653042897;10.000383757825418;0.8334973137101377;0.014005977806553;0.7977842137482147;0.014894003198504308;0.7978227207258929
1e-06;1.0443381843217423;0.8334308029906435;0.7978944076575355;-4.1087148722296874e-07;-3.940813294743317e-07;1.0449186220054214;10.000383581267394;0.8334978782236828;0.014005977789668634;0.7977839664683858;0.014894003310375532;0.7978226990633999
2e-06;1.04433666773785;0.8334298639118863;0.7978943131950849;-1.7122514932507204e-07;-1.641572829212949e-07;1.0449184686840423;10.00038337655175;0.8334984838472965;0.014005977772196773;0.7977837010690124;0.014894003431111157;0.7978226784837616
4e-06;1.0443360705754554;0.8334300182908375;0.7978945442442452;-1.2782623032342284e-06;-1.2235788451329198e-06;1.0449183060194849;10.000383118694842;0.83349913083368;0.014005977754790686;0.7977834173057212;0.014893003561303696;0.7978226412290877
8e-06;1.0443351416797697;0.8334299141990774;0.797894765135641;-3.146277314338439e-06;-3.011565665189621e-06;1.044917135124199;10.000382758464491;0.8334998184774347;0.014005977738289595;0.7977831151425296;0.014892003701170758;0.7978226056534481
1.6e-05;1.0443335308450614;0.833428511733928;0.7978942495204253;-5.469156427668571e-06;-5.235035096738709e-06;1.044915957306621;10.000382222920003;0.833500544878244;0.01400597772370468;0.7977827951678929;0.014889003850408592;0.7978225337524882
3.2e-05;1.0443299848441783;0.833425509145312;0.797893666503621;-1.0981607007963098e-05;-1.0512352483134398e-05;1.0449137745686607;10.00038143223612;0.8335013069759883;0.014005977712122319;0.7977824592922483;0.014884004008202214;0.7978224256429615
6.4e-05;1.0443251574167378;0.8334217787686751;0.7978933529769798;-2.1791203281959207e-05;-2.0861469451504484e-05;1.0449085910452978;10.000380313724248;0.8335021008435121;0.01400597770454262;0.7977821105787638;0.014873004173377275;0.7978222078042786
0.000128;1.0443161882226617;0.8334145707507387;0.7978928641408162;-4.3409878769870596e-05;-4.156005414002627e-05;1.0448994138155372;10.000378804450536;0.8335029221818576;0.014005977701847938;0.7977817519129327;0.01485100434464466;0.7978217885779582
0.000256;1.0442989637032465;0.8334000741968675;0.7978916982529312;-8.553914763723619e-05;-8.18978658590541e-05;1.0448822520111722;10.000376848357002;0.8335037666225705;0.014005977704879312;0.7977813849544425;0.01481000452073264;0.7978210212798524
0.000512;1.0442665102390059;0.8333735311831292;0.7978906319035682;-0.00016525453015203302;-0.00015822765917705857;1.044849115264982;10.000374389583598;0.8335046296130545;0.014005977714476966;0.7977810102691382;0.014733004700360755;0.7978195957847738
0.001;1.0442125071142734;0.8333281434054505;0.7978879882111168;-0.0003002165788789467;-0.000287468639506715;1.0447920130028743;10.000371366763662;0.8335055062788747;0.014005977731483125;0.7977806278787979;0.014601004882168459;0.7978171758378833
