time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactivePower;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;InfiniteBus_BUS_NetworkFrequencyPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_AVRSetpointPu;Wind_Turbine_GEN_InjectedActiveCurrent;Wind_Turbine_GEN_InjectedReactiveCurrent;Wind_Turbine_GEN_InjectedCurrent;NetworkFrequencyPu
0.0;1.044397073596051;0.8333533622204221;0.7980592548555759;-4.876337130496793e-07;-4.096811144745236e-07;1.0448602731832526;0.9997141412468019;10.000756027034742;0.8336836354552956;0.015564403934248692;0.015556463959435881;0.7978637809421595;0.014892791751433179;0.797958842718611;0.9999686585582149
1e-06;1.0443982725135788;0.8333529992332983;0.798058756566031;-4.875037850870782e-07;-4.0968935103743424e-07;1.0448612564785567;0.999714641417984;10.000740721097321;0.8336833068663718;0.015564395228160872;0.015556459873018355;0.7978635968011184;0.014892788725003624;0.7979583146357219;0.9999686079316243
2e-06;1.0443995664577337;0.8333526102157381;0.7980582200329474;-4.873645677051711e-07;-4.0969763017946e-07;1.0448623120495086;0.9997151807731018;10.000724163583934;0.8336829551431845;0.015564385820343456;0.015556455435401358;0.7978634011907287;0.014892785563584133;0.797957745966966;0.999968555463822
4e-06;1.0444009630028421;0.8333521959985822;0.7980576437856283;-4.872161620577925e-07;-4.097056401282983e-07;1.04486344160321;0.9997157616812149;10.000706203115097;0.8336825828038616;0.015564375620297808;0.01555645055722406;0.7978631954798555;0.01489278233944361;0.7979571362021244;0.9999685025556899
8e-06;1.0444024679181472;0.8333517583948117;0.7980570271480791;-4.870589714505598e-07;-4.0971344841614903e-07;1.0448646476034262;0.99971638617914;10.000686696299585;0.8336821949383929;0.015564364510784048;0.015556445117585185;0.7978629808387041;0.014892779121175955;0.7979564871363463;0.9999684496579576
1.6e-05;1.044404084774921;0.8333513002898748;0.7980563703997087;-4.868937894520149e-07;-4.0972191807976955e-07;1.0448659347963414;0.9997170561733817;10.000665539915689;0.8336817982680454;0.015564352379438632;0.015556439009888338;0.7978627580508818;0.01489277596820234;0.7979558014370045;0.9999683950387352
3.2e-05;1.0444058157896765;0.8333508254759302;0.798055675170983;-4.86721848475218e-07;-4.097328786645437e-07;1.044867309593961;0.9997177743050635;10.000642679924773;0.8336813991213864;0.015564339159131517;0.015556432177759974;0.7978625280070738;0.014892772942255009;0.7979550804214902;0.9999683341699166
6.4e-05;1.0444076615200262;0.8333503383993831;0.7980549445305107;-4.865447765894068e-07;-4.0974885551693733e-07;1.0448687776153702;0.9997185452262914;10.000618095684063;0.83368100141455;0.015564324829534307;0.01555642460719216;0.7978622926592562;0.014892770113293138;0.7979543239423037;0.9999682603341482
0.000128;1.0444096197851074;0.8333498442560716;0.7980541820296186;-4.863641312023738e-07;-4.097725121699104e-07;1.0448703425926975;0.9997193761616466;10.000591773080798;0.8336806062465343;0.015564309388290358;0.015556416307747694;0.7978620556571162;0.014892767549061343;0.7979535323287855;0.9999681665624582
0.000256;1.0444116853220586;0.8333493489139757;0.7980533901822102;-4.861807062802098e-07;-4.0980612604123115e-07;1.0448720072079947;0.9997202760469578;10.00056369424122;0.833680212685723;0.015564292827265881;0.015556407311070003;0.7978618222542414;0.014892765298932338;0.7979527072819604;0.9999680475777056
0.000512;1.0444138495401984;0.8333488587800663;0.7980525698348365;-4.859943835346705e-07;-4.098514397873135e-07;1.0448737733431839;0.9997212531244687;10.000533843721627;0.8336798183163272;0.015564275119196424;0.015556397664297006;0.7978615989645101;0.01489276337019324;0.7979518514353526;0.9999679004021772
0.001;1.0444161001211825;0.8333483810049968;0.7980517207866514;-4.858045803637655e-07;-4.099101053884149e-07;1.044875641448371;0.9997223128268301;10.00050221147842;0.833679420156106;0.015564256217014828;0.015556387417468166;0.7978613933157483;0.014892761702879093;0.7979509684402462;0.9999677240840111
0.001;1.0444184221524315;0.8333479235451496;0.7980508429363367;-4.856107917824359e-07;-4.0998434359295636e-07;1.0448776108854576;0.999723457917926;10.000468798309065;0.8336790161360582;0.015564236068547626;0.015556376633143501;0.797861213419016;0.014892760178726235;0.7979500628052301;0.9999675197599912
0.001001;1.0444208013056153;0.8333474947591389;0.798049937058656;-4.854128988251161e-07;-4.10076876965942e-07;1.0448796805905314;0.9997246895446177;10.000433626569345;0.8336786053667097;0.01556421463214895;0.015556365401545117;0.7978610676211411;0.0148927586623098;0.7979491385788738;0.9999672903879355
0.001002;1.0444232260299493;0.833347103077408;0.7980490043088174;-4.852111177410393e-07;-4.101900497496283e-07;1.0448818481141278;0.9997260078747382;10.000396741312002;0.8336781874312426;0.015564191879820485;0.015556353825289316;0.797860964483614;0.014892757034816233;0.7979481981707673;0.9999670393814589
0.001004;1.044425686282054;0.8333467571506132;0.7980480451764929;-4.850057541463627e-07;-4.1032525718730333e-07;1.0448841082392084;0.9997274129893027;10.000358201726327;0.8336777624327247;0.015564167780985462;0.015556341989495372;0.7978609122692782;0.014892755208662732;0.7979472423503201;0.9999667697771507
0.001008;1.0444281715056114;0.8333464656022315;0.7980470593732983;-4.847970638007647e-07;-4.104832381285954e-07;1.044886453031404;0.9997289057514673;10.00031807741973;0.8336773314663958;0.015564142280661459;0.015556329950141307;0.7978609183047892;0.014892753135496555;0.7979462707359454;0.9999664841975818
