Time (s);Ip PGU (pu);Ip lower (pu);Ip upper (pu);Ip upper_overdamped (pu);Ip lower_overdamped (pu);Ip upper_underdamped (pu);Ip lower_underdamped (pu)
0.000e+00;6.000e-01;3.447e-03;8.966e-01;8.966e-01;3.447e-03;8.966e-01;3.447e-03
1.667e-03;6.000e-01;3.447e-03;8.966e-01;8.966e-01;3.447e-03;8.966e-01;3.447e-03
3.334e-03;6.000e-01;3.447e-03;8.966e-01;8.966e-01;3.447e-03;8.966e-01;3.447e-03
5.002e-03;6.000e-01;3.447e-03;8.966e-01;8.966e-01;3.447e-03;8.966e-01;3.447e-03
6.669e-03;6.000e-01;3.447e-03;8.966e-01;8.966e-01;3.447e-03;8.966e-01;3.447e-03
8.336e-03;6.000e-01;3.447e-03;8.966e-01;8.966e-01;3.447e-03;8.966e-01;3.447e-03
1.000e-02;6.000e-01;3.447e-03;8.966e-01;8.966e-01;3.447e-03;8.966e-01;3.447e-03
1.167e-02;6.000e-01;3.447e-03;8.966e-01;8.966e-01;3.447e-03;8.966e-01;3.447e-03
1.334e-02;6.000e-01;3.447e-03;8.966e-01;8.966e-01;3.447e-03;8.966e-01;3.447e-03
1.501e-02;6.000e-01;3.447e-03;8.966e-01;8.966e-01;3.447e-03;8.966e-01;3.447e-03
1.667e-02;6.000e-01;3.447e-03;8.966e-01;8.966e-01;3.447e-03;8.966e-01;3.447e-03
1.834e-02;6.000e-01;3.447e-03;8.966e-01;8.966e-01;3.447e-03;8.966e-01;3.447e-03
2.001e-02;6.000e-01;3.447e-03;8.966e-01;8.966e-01;3.447e-03;8.966e-01;3.447e-03
2.167e-02;5.999e-01;3.151e-03;8.968e-01;8.967e-01;3.151e-03;8.968e-01;3.151e-03
2.334e-02;5.997e-01;2.856e-03;8.971e-01;8.967e-01;2.856e-03;8.971e-01;2.856e-03
2.501e-02;5.994e-01;2.563e-03;8.974e-01;8.965e-01;2.563e-03;8.974e-01;2.563e-03
2.668e-02;5.989e-01;2.272e-03;8.977e-01;8.961e-01;2.272e-03;8.977e-01;2.272e-03
2.834e-02;5.983e-01;1.982e-03;8.980e-01;8.955e-01;1.982e-03;8.980e-01;1.982e-03
3.001e-02;5.977e-01;1.694e-03;8.983e-01;8.948e-01;3.017e-01;8.983e-01;1.694e-03
3.168e-02;5.968e-01;1.408e-03;8.986e-01;8.939e-01;3.014e-01;8.986e-01;1.408e-03
3.334e-02;5.959e-01;1.123e-03;8.989e-01;8.928e-01;3.010e-01;8.989e-01;1.123e-03
3.501e-02;5.949e-01;8.395e-04;8.992e-01;8.916e-01;3.005e-01;8.992e-01;8.395e-04
