2025-05-23 10:51:04,186 |                 ProducerCurves |       INFO |                 curves.py:  104 | Unom: 225.0, Generator type: HTB2
2025-05-23 10:51:04,187 |                 ProducerCurves |       INFO |                 curves.py:  104 | Model definition for 'PCS_RTE-I5.ThreePhaseFault.TransientBolted':
2025-05-23 10:51:04,187 |                 ProducerCurves |       INFO |                 curves.py:  104 | 	pdr_P=Pmax
2025-05-23 10:51:04,187 |                 ProducerCurves |       INFO |                 curves.py:  104 | 	pdr_Q=0
2025-05-23 10:51:04,187 |                 ProducerCurves |       INFO |                 curves.py:  104 | 	pdr_U=Udim
2025-05-23 10:51:04,187 |                 ProducerCurves |       INFO |                 curves.py:  104 | 	line_XPu=3*b
2025-05-23 10:51:04,188 |                 ProducerCurves |       INFO |                 curves.py:  104 | Event definition for 'PCS_RTE-I5.ThreePhaseFault.TransientBolted':
2025-05-23 10:51:04,188 |                 ProducerCurves |       INFO |                 curves.py:  104 | 	connect_event_to=None
2025-05-23 10:51:04,188 |                 ProducerCurves |       INFO |                 curves.py:  104 | 	sim_t_event_start=30.0
2025-05-23 10:51:04,188 |                 ProducerCurves |       INFO |                 curves.py:  104 | 	fault_duration_HTB2=0.085
