time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactivePower;BusPDR_BUS_ReactiveCurrent;Bess_GEN_MagnitudeControlledByAVRPu;StepUp_Xfmr_XFMR_Tap;Bess_GEN_ActivePowerSetpointPu;Bess_GEN_ReactivePowerSetpointPu;Bess_GEN_AVRSetpointPu;Bess_GEN_InjectedActiveCurrent;Bess_GEN_InjectedReactiveCurrent;Bess_GEN_InjectedCurrent
0.0;1.0445822272841514;1.2499363926542846;1.19652470000714;-3.1797739977287694e-06;-2.945514800539988e-06;1.0450024919385807;9.998668969433421;1.2503916934689163;0.03502295045097992;0.035012885248024705;1.1962980729441834;-0.03350202195412554;1.1969573761125356
0.0;1.044581852813265;1.2499347862562642;1.1965224769159541;-3.163554292394621e-06;-2.9339054952208716e-06;1.0450028826814908;9.998672369043957;1.2503906388916521;0.035022957949835794;0.03501290186463536;1.1962964895867643;-0.0335020217840715;1.1969560529288072
1e-06;1.0445811732332715;1.2499279101191436;1.196515475257908;-5.857108398021388e-06;-5.517036734794003e-06;1.0450033044792124;9.998676038366277;1.2503895078395997;0.035022966005142875;0.03501291961369637;1.1962878602758378;-0.03350202159939534;1.1969477078217359
2e-06;1.0445814448899493;1.2499200648608029;1.1965063729150498;-7.771896250381574e-06;-7.354786843796657e-06;1.0450027616826914;9.998679996661851;1.2503882984077705;0.03502297460857053;0.03501293835657309;1.1962771806581027;-0.033502021397999175;1.1969373371444973
4e-06;1.0445808153178435;1.249900206829569;1.1964867211205372;-1.2928589378160929e-05;-1.2296697805172627e-05;1.0450032606165485;9.998684255984283;1.2503870083162296;0.0350229836879479;0.03501295790182533;1.1962574462245954;-0.033502021177840034;1.1969179410161852
8e-06;1.044579640628496;1.2498594113250314;1.196447571312892;-2.3265315241817427e-05;-2.2198366040873176e-05;1.045002807913275;9.998688814242275;1.2503856360296393;0.03502299312415574;0.03501297807427937;1.1962186540320623;-0.0335020209370525;1.1968795198220057
1.6e-05;1.0445783278552125;1.2497799909007052;1.1963715280585612;-4.54586737227645e-05;-4.345220548157467e-05;1.0450014080453476;9.998693658809641;1.2503841830850924;0.035023002782895704;0.03501299871885662;1.1961408036362102;-0.03350202067409541;1.1968020774396129
3.2e-05;1.0445757795701958;1.2496182607953572;1.1962180273692355;-9.038629089379134e-05;-8.647300223410462e-05;1.0449980618323609;9.998698777420257;1.2503826561635034;0.035023012478822654;0.035013019667074756;1.1959868970439154;-0.033503020388211104;1.1966486527609606
6.4e-05;1.0445707561848852;1.2492935904537343;1.1959112904335794;-0.00017472839283905585;-0.00016723168515606266;1.0449917670009634;9.998704163714224;1.2503810665333093;0.03502302194125383;0.035013040728535456;1.1956799390167223;-0.03350302007991254;1.1963422172271532
0.000128;1.044564252784096;1.2486488687080073;1.195299746668754;-0.0003305586292076807;-0.0003164382913319864;1.0449815203599861;9.998709821730566;1.250379427808326;0.0350230308773313;0.03501306169631342;1.1950669363886117;-0.033504019750996525;1.195729883991052
0.000256;1.0445612180174202;1.2473686774487123;1.1940757259164374;-0.0006116012203080165;-0.000585531192243179;1.0449713195390884;9.99871577058428;1.2503777553166295;0.03502303908251678;0.03501308234947489;1.1938408955446946;-0.033507019404074086;1.1945047972330396
0.000512;1.04458372381741;1.2448389043095538;1.1916260564649552;-0.001053937929955185;-0.0010090344300555563;1.0449831642095957;9.998722036486013;1.2503760660837389;0.035023046496199084;0.03501310245556621;1.191390820866769;-0.03352001904192162;1.1920564178490904
0.001024;1.0447250769336005;1.2398950711124004;1.1867300896471398;-0.0015759142438540716;-0.0015085962846447696;1.0451080574527927;9.998728634376326;1.250374377122581;0.03502305317704501;0.035013121776617626;1.1864907152395423;-0.03356201866694014;1.1871597730709298
0.001536;1.0449574956757226;1.2350582323303532;1.1818347661644855;-0.0017433654613585405;-0.0016685309531986926;1.0453330054113132;9.998735557115914;1.2503727039912513;0.03502305924871452;0.03501314010519091;1.181590580674269;-0.03361801828100048;1.182263479197018
0.002048;1.0452471211495644;1.2302868746804765;1.1769397868363818;-0.0016830034005614614;-0.001610313904628482;1.0456200149641206;9.998742780994343;1.2503710617083563;0.035023064859142916;0.035013157319262994;1.176691418624102;-0.033681017885576564;1.177368334568791
0.00256;1.0455720663652706;1.2255542798923327;1.1720449440154506;-0.001486986853885184;-0.0014223173579874225;1.045946091701821;9.998750283212372;1.2503694658468065;0.03502307015573777;0.03501317339498084;1.1717912301225817;-0.03374601748168202;1.1724721922930108
0.003072;1.0459158669599216;1.2208420715102342;1.1671515417434277;-0.0012101988876317756;-0.0011571792037204586;1.04629223899536;9.998758057110887;1.2503679312446914;0.035023075263599754;0.03501318835852735;1.1668910154260725;-0.03381101706956969;1.1675759887446988
0.004096;1.0466199883720484;1.211422075932986;1.1573623553523866;-0.0005707352837177191;-0.0005453422358575302;1.0470034581045788;9.998766114969825;1.250366470302744;0.035023080276788895;0.03501320223017483;1.1570927745203505;-0.03392701664870766;1.157785300571263
0.00512;1.0473310725959555;1.2020074329615849;1.1475837698247229;0.00012847929127751489;0.00012273016126612032;1.0477227491657735;9.998774484545857;1.250365093261299;0.035023085280306954;0.035013215002664404;1.1473055087349318;-0.03402301621800835;1.14800504579524
0.006144;1.048028275453234;1.192906587856327;1.1381329505007949;0.0008693852747427891;0.0008296928538794825;1.0484311118927137;9.998783205852373;1.2503638086730773;0.03502309035020301;0.03501322664306434;1.1378482215627919;-0.03409501577588992;1.1385539398335756
