time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactivePower;BusPDR_BUS_ReactiveCurrent;Bess_GEN_MagnitudeControlledByAVRPu;InfiniteBus_BUS_NetworkFrequencyPu;StepUp_Xfmr_XFMR_Tap;Bess_GEN_ActivePowerSetpointPu;Bess_GEN_ReactivePowerSetpointPu;Bess_GEN_AVRSetpointPu;Bess_GEN_InjectedActiveCurrent;Bess_GEN_InjectedReactiveCurrent;Bess_GEN_InjectedCurrent;NetworkFrequencyPu
0.0;0.9922101881749625;-0.6249989579031311;-0.6298983726811153;-0.6666672341236405;-0.6718932838535716;0.9757444613136345;0.9999848987779392;9.999925472153084;-0.6247680013035636;-0.6459310011910042;-0.6459309982584817;-0.6402999948386843;0.6619889173288438;0.9209812771395312;0.999995350641815
0.0;0.9922101352548134;-0.6249979468687608;-0.6298973843006587;-0.6666664929344799;-0.6718925694700187;0.9757435020245233;0.9999849211562362;9.999924834799485;-0.6247680013130561;-0.645931001193713;-0.6459309982461268;-0.6402979948451024;0.6619889308212247;0.9209798721525635;0.9999953605542249
1e-06;0.9922101303541644;-0.6249896879294713;-0.6298890606171317;-0.6666660946388817;-0.6718921680482856;0.9757435456579472;0.9999849452170483;9.999924151525558;-0.6247680013233123;-0.6459310011964845;-0.6459309982327736;-0.6402899948519699;0.6619889454636858;0.92097429465363;0.9999953710029543
2e-06;0.9922100773478394;-0.6249804179752416;-0.6298797485723135;-0.666664955170066;-0.6718910522620979;0.9757435920092872;0.9999849708928552;9.999923422085207;-0.6247680013343472;-0.6459310011992088;-0.6459309982183089;-0.6402789948592782;0.6619889614011689;0.9209666302405246;0.999995381784247
4e-06;0.992209976564955;-0.6249618780894272;-0.6298611245022853;-0.6666626762878632;-0.6718888207473431;0.9757436407216495;0.9999849979759718;9.999922646957494;-0.6247680013460926;-0.6459310012017928;-0.6459309982026148;-0.6402589948669958;0.6619889787306524;0.9209527074646522;0.999995392727363
8e-06;0.9922098284493244;-0.6249224261387066;-0.6298214549970165;-0.6666603523454102;-0.6718865764318241;0.9757436914096831;0.9999850262176748;9.999921827514436;-0.6247680013584107;-0.6459310012041859;-0.6459309981855723;-0.6402179948750546;0.6619889974877569;0.9209241840411261;0.9999954037902933
1.6e-05;0.9922084902118509;-0.6248451534813606;-0.6297444244791052;-0.6666544827008616;-0.6718815654197168;0.9757427437284812;0.9999850554597735;9.999920965199447;-0.624768001371133;-0.6459310012063856;-0.6459309981670613;-0.6401359948833596;0.66198901768071;0.9208671581666131;0.9999954150821421
3.2e-05;0.9922078638957986;-0.6246913700722742;-0.6295898324788453;-0.6666430378057399;-0.6718704546518938;0.9757417973565642;0.9999850856874987;9.99992006084344;-0.6247680013840906;-0.6459310012084432;-0.6459309981469848;-0.6399719948918159;0.6619890392874241;0.9207531377392133;0.9999954268187558
6.4e-05;0.9922046169539557;-0.6243807505613251;-0.6292788378965275;-0.6666204513765687;-0.6718498911405234;0.9757388519495925;0.9999851169738116;9.99991911528849;-0.62476800139714;-0.6459310012104632;-0.6459309981253012;-0.6396439949003592;0.6619890622124506;0.9205251643733813;0.9999954392412682
0.000128;0.9921980779456995;-0.6237585063734297;-0.6286558587370068;-0.6665745898881892;-0.6718081008519805;0.9757349071733723;0.9999851493772003;9.999918130087227;-0.6247680014101584;-0.6459310012125832;-0.6459309981020401;-0.6389879949089682;0.6619900862698356;0.9200701430948846;0.999995452595123
0.000256;0.9921870043780103;-0.6225134693702112;-0.6274080542738927;-0.6664892333987847;-0.6717295770158549;0.9757249627689344;0.9999851828659925;9.999917107346032;-0.6247680014230215;-0.6459310012149416;-0.6459309980773004;-0.6376759949176593;0.6619901112024609;0.9191594161178128;0.9999954671753799
0.000512;0.9921648383982387;-0.6200103500816341;-0.6248992224152763;-0.6663296313182254;-0.6715837320875462;0.9757060185267138;0.9999852172898127;9.99991604907763;-0.6247680014356024;-0.6459310012176617;-0.6459309980512232;-0.6350529949264664;0.6619921367344017;0.917343044453638;0.9999954833250794
0.001024;0.992123488775834;-0.6149683805893075;-0.6198433393799931;-0.6660532695413798;-0.6713331810358553;0.9756700742323494;0.9999852523624196;9.999914956673067;-0.6247680014477797;-0.645931001220848;-0.6459309980239651;-0.6298049949354222;0.6619971626362708;0.9137214368483654;0.999995501394044
0.001536;0.9920851370358431;-0.6098915222564856;-0.6147500129886755;-0.6658186762747631;-0.6711226855168589;0.975636129684039;0.9999852876777013;9.999913831390232;-0.6247680014594372;-0.6459310012245792;-0.6459309979956869;-0.6245579949445464;0.6620051887531705;0.9101185462280796;0.9999955217461932
0.002048;0.992048882543726;-0.6047901899747621;-0.6096303366691895;-0.66561062584655;-0.6709375136660561;0.9756041847349854;0.9999853228004819;9.999912675426343;-0.624768001470479;-0.6459310012288981;-0.6459309979665422;-0.6193109949538504;0.662014214983168;0.9065324349103892;0.9999955447655315
0.00256;0.9920127761226112;-0.5996727634640918;-0.6044939747037106;-0.6654207348266084;-0.6707705365362058;0.9755722392926321;0.9999853573331937;9.999911491571412;-0.6247680014808473;-0.6459310012338156;-0.6459309979366719;-0.6140629949633497;0.6620232412317053;0.9029618896862391;0.9999955707887405
0.003072;0.9919778180377454;-0.5945468012111179;-0.5993479426649416;-0.6652433781231903;-0.6706154094353522;0.9755402932887084;0.9999853908868975;9.999910281717069;-0.6247680014905219;-0.645931001239329;-0.6459309979062092;-0.6088159949730658;0.6620332673714744;0.8994092033477032;0.9999956000357857
