time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactivePower;BusPDR_BUS_ReactiveCurrent;Bess_GEN_MagnitudeControlledByAVRPu;StepUp_Xfmr_XFMR_Tap;Bess_GEN_InjectedActiveCurrent;Bess_GEN_InjectedReactiveCurrent;Bess_GEN_AVRSetpointPu;Bess_GEN_NetworkFrequencyPu;Bess_GEN_InjectedCurrent;NetworkFrequencyPu
0.0;1.0442551479056432;1.249674624181848;1.1969848386059718;-8.723353092324492e-07;-7.990236471770839e-07;1.0452806027599562;10.001397716868837;1.2124207134937899;-0.042371516980734415;1.045506097315187;0.9998468855168391;1.2129251508057675;0.9998772139055833
0.0;1.0442559972396313;1.2496734190081578;1.19698379216224;-9.741580585245563e-07;-8.966146752260944e-07;1.0452813532101;10.001400421263241;1.2124179668993358;-0.042371490724888806;1.0455063703455105;0.9998475135811374;1.2129222492249514;0.999877281482504
1e-06;1.044257520356423;1.2496665088404821;1.1969765851653025;-5.06163816831039e-06;-4.810267088352701e-06;1.0452821632822369;10.001403259056246;1.2124091624705302;-0.04237146240467426;1.0455066572078815;0.9998481928578394;1.2129132803874865;0.9998773553770076
2e-06;1.0442587817247078;1.2496586879960538;1.1969688758990027;-8.639751085659223e-06;-8.236235606176952e-06;1.0452830381998555;10.001406159156865;1.2123992965666166;-0.04237143186672468;1.0455069518578202;0.9998489286095313;1.2129032359621468;0.9998774395142571
4e-06;1.0442600139224083;1.2496408673339767;1.1969516911863596;-1.4165990676767909e-05;-1.3527440502518637e-05;1.0452839833505396;10.001409039556963;1.212379364899095;-0.04237139898745007;1.0455072482510048;0.9998497266156057;1.2128831167715801;0.9998775416261617
8e-06;1.0442623837733933;1.249602425548556;1.196913520049312;-2.7369809303514163e-05;-2.616950364570717e-05;1.0452850030531824;10.001411828104828;1.2123393627440981;-0.04237136367713364;1.0455075416819428;0.9998505929921546;1.2128429249358685;0.9998776717766896
1.6e-05;1.0442653013989733;1.2495271746078627;1.1968395326324517;-5.530281606476988e-05;-5.2913923065215206e-05;1.0452860998062068;10.001414476130492;1.2122622859187764;-0.04237132586776456;1.0455078290951851;0.9998515334321836;1.2127656673055387;0.9998778398876108
3.2e-05;1.0442682955602183;1.2493709500652874;1.1966879762570302;-0.00011083889861838241;-0.00010608667697806656;1.0452872751969298;10.001416956558655;1.2121081308719939;-0.0423712855057576;1.0455081096433012;0.9998525529361743;1.2126113652216761;0.9998780549368147
6.4e-05;1.0442742959791433;1.2490610493910745;1.1963858808793317;-0.00021719266997718333;-0.00020791374447592188;1.045290531903392;10.00141924243617;1.2118008937366405;-0.042371242540646475;1.0455083847150721;0.9998536560741602;1.21230406312066;0.9998783253645677
0.000128;1.04428906463757;1.2484411327716698;1.1957769645016876;-0.0004155061982747641;-0.0003977822719724405;1.0452988747606808;10.00142128874397;1.211187569661396;-0.04237219691840237;1.0455086570000993;0.999854846665205;1.211690889518404;0.9998786590493812
0.000256;1.0443292257136367;1.247214331944998;1.1945580125183362;-0.000770085824751695;-0.0007372399317609128;1.045329309462818;10.001423038258698;1.209961153419083;-0.042377148596754496;1.0455089296376034;0.9998561272879917;1.2104651400256514;0.9998790632141662
0.000497;1.0444458931097322;1.244949465868681;1.1922580555850097;-0.0012991777303936471;-0.001243652418804891;1.0454318409926304;10.001424438765584;1.2076526409795036;-0.04239109756195369;1.0455092057324589;0.9998574991607749;1.2081582856224875;0.9998795448479948
0.000497;1.044447865644816;1.2449520681426576;1.1922598636016122;-0.0012991775095571726;-0.0012436523401866456;1.04543347382673;10.001425456460392;1.2076510302152117;-0.04239104383295821;1.045509487917912;0.9998589618002203;1.2081564417496435;0.9998801110216086
0.000497;1.0444498586013988;1.2449547163854964;1.1922616894479636;-0.001299177273562619;-0.0012436522445066504;1.0454352125681832;10.001426081289578;1.2076493196869862;-0.042390987465437145;1.0455097776934148;0.999860513147775;1.2081545258350688;0.9998807688261059
0.000497;1.0444518588567204;1.2449573961822153;1.1922635209086747;-0.001299177022451805;-0.0012436521305353803;1.0454370614315454;10.001426323079432;1.207647507272428;-0.04239092855282328;1.045510074922322;0.9998621506865377;1.2081525491486864;0.9998815247207994
0.000498;1.0444550295041866;1.2449515100830326;1.192255786707666;-0.001300396786657921;-0.0012448185178144102;1.0454390230697297;10.001426206307363;1.2076355905241472;-0.042390867218167545;1.0455103783077253;0.9998638714429391;1.2081405303822894;0.9998823835238337
0.000499;1.0444578383784084;1.2449452159205714;1.19224803425955;-0.0013027328186586771;-0.0012470539000486642;1.045442098190661;10.001425759361991;1.2076235679657956;-0.042390803589296984;1.0455106861185983;0.9998656700700083;1.2081284761702777;0.9998833481200771
0.000501;1.0444608675254823;1.2449302439439205;1.1922316783590354;-0.0013036306013535783;-0.0012479121710852576;1.045445286174363;10.001424991114183;1.2076024395110085;-0.04239173776152004;1.0455109963340887;0.9998675378516353;1.208107438688541;0.9998844192466553
0.000505;1.0444655266764606;1.2448962376384656;1.1921951978924175;-0.0013114400314665;-0.0012553848585437316;1.0454495853698544;10.001423876450813;1.2075622055463624;-0.04239166979404427;1.0455113075302604;0.9998694639724307;1.208067362864449;0.9998855945636412
0.000513;1.044471941388944;1.2448243922893407;1.1921204535746566;-0.0013266381593411102;-0.0012699283913566277;1.0454569923568076;10.001422369232513;1.2074828657880752;-0.042392599747390326;1.0455116209829989;0.9998714371269728;1.207988337203928;0.9998868689030276
