time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactivePower;BusPDR_BUS_ReactiveCurrent;Bess_GEN_MagnitudeControlledByAVRPu;InfiniteBus_BUS_NetworkFrequencyPu;StepUp_Xfmr_XFMR_Tap;Bess_GEN_ActivePowerSetpointPu;Bess_GEN_ReactivePowerSetpointPu;Bess_GEN_AVRSetpointPu;Bess_GEN_InjectedActiveCurrent;Bess_GEN_InjectedReactiveCurrent;Bess_GEN_InjectedCurrent;NetworkFrequencyPu
0.0;1.0966947672845986;-0.6250004524187983;-0.5699091882909848;0.6666393659402796;0.6079477573185947;1.1113707579193144;0.9999953691380177;10.000769090370847;-0.6248099968672393;0.6837275673832209;0.6835642753838171;-0.5621519984692138;-0.6150830078294046;0.8332001641009597;1.0000699056200424
0.0;1.0966941411304865;-0.6249987141838492;-0.5699076031831288;0.6666379917202577;0.6079455696297805;1.1113699053249153;0.9999950770144553;10.000770601687504;-0.6248099966932924;0.6837269634125824;0.6835640855939334;-0.5621499983697178;-0.6150810076167704;0.833197615056264;1.0000705100551803
1e-06;1.0966924243041567;-0.6249898298024682;-0.5699000457774773;0.6666314763464227;0.6079392038372012;1.1113700625285965;0.9999947644168707;10.000772220272138;-0.624809996505326;0.6837263111697296;0.6835638796928417;-0.5621429982629268;-0.6150760073881851;0.833189497372769;1.000071153882288
2e-06;1.0966917121451274;-0.6249809638559639;-0.5698919612178844;0.6666261774009256;0.6079332931076419;1.1113692300343265;0.9999944321067245;10.00077393503739;-0.6248099963019605;0.6837256070484999;0.6835636572856967;-0.5621339981488173;-0.6150690071431406;0.8331785712522972;1.0000718325118687
4e-06;1.0966898662509927;-0.6249603171600694;-0.5698737031250279;0.6666093976889779;0.6079174433427534;1.1113684082831636;0.9999940820137965;10.000775729655647;-0.62480999608217;0.6837248482245593;0.6835634195954312;-0.5621159980274364;-0.6150560068815344;0.8331571591370851;1.0000725404917898
8e-06;1.0966879374170304;-0.6249226060734719;-0.5698399095884868;0.6665783987760933;0.6078885760456445;1.1113665956643572;0.999993717610186;10.000777589587894;-0.6248099958456275;0.6837240324833824;0.683563169545764;-0.5620799978989595;-0.6150290066036749;0.8331132821300142;1.0000732721797558
1.6e-05;1.096682791260749;-0.6248446539895716;-0.5697710782601525;0.6665157253934985;0.6078325157605485;1.111361787538993;0.9999933429986405;10.000779510214;-0.6248099955927162;0.683723157999767;0.6835629116974409;-0.5620079977638123;-0.6149750063099241;0.8330251999718297;1.0000740218755255
3.2e-05;1.0966753862635377;-0.6246870481834563;-0.5696307749688283;0.6663901344737109;0.6077202477363941;1.1113519775807035;0.9999929617394777;10.000781501907309;-0.6248099953245418;0.6837222235353408;0.6835626514289981;-0.5618639976225586;-0.6148680060005332;0.8328494340878169;1.0000747841941235
6.4e-05;1.0966593069046344;-0.6243754498824109;-0.5693545450008446;0.6661360668554036;0.6074955504274782;1.1113321592190624;0.9999925767258997;10.000783586195832;-0.624809995042698;0.6837212288808215;0.6835623939845673;-0.5615759974758678;-0.6146530056759466;0.8324968155581035;1.000075553976438
0.000128;1.096630040380308;-0.6237471243211185;-0.5687963231555989;0.6656342197136343;0.6070521280423351;1.1112923257479599;0.9999921903793584;10.00078578690797;-0.6248099947485283;0.6837201747872084;0.6835621442431596;-0.5609999973246543;-0.6142260053371372;0.8317934465953288;1.0000763261064267
0.000256;1.0965722757926426;-0.6224893442781211;-0.5676788091647634;0.6646378543638953;0.6061734078166634;1.1112144705117624;0.9999918048902388;10.000788126795628;-0.6248099944426534;0.683719062536253;0.6835619066611526;-0.5598489971698161;-0.6133740049857636;0.8303885557597281;1.0000770964410197
0.000512;1.0964616784284724;-0.6199498406624513;-0.5654194962948993;0.6626872692222678;0.6044534149594818;1.111062588217373;0.9999914229719795;10.000790634895056;-0.6248099941250712;0.6837178938437377;0.6835616849373346;-0.5575449970118531;-0.6116860046242353;0.8275891475753018;1.0000778631283904
0.001024;1.0962502559208842;-0.6148189898590114;-0.5608476605701116;0.6589191360208178;0.6011304570700349;1.1107706765703331;0.9999910485579926;10.000793351311986;-0.6248099937953527;0.6837166709910668;0.6835614822885312;-0.5529389968508686;-0.6083770042555051;0.8220420353875283;1.000078626496346
0.001536;1.0960498357634192;-0.6096356567837681;-0.5562206014496274;0.6553115620358315;0.5979466569037174;1.1104937368008063;0.9999906864712236;10.000796322930352;-0.6248099934530652;0.6837153968127156;0.6835613025574894;-0.5483319966866965;-0.6051530038824592;0.8165589369838394;1.0000793872163616
0.002048;1.0958595147967312;-0.6044212186850016;-0.5515583897158794;0.6518405498014402;0.5948807791384776;1.1102287727948301;0.9999903408697953;10.000799605201372;-0.6248099930983961;0.6837140743141807;0.683561150577166;-0.5437259965191221;-0.6020140035072921;0.8111414892688285;1.0000801446048195
0.00256;1.0956782926527868;-0.5991942717760548;-0.5468786063293728;0.6484862199681335;0.5919153687991187;1.1099747894332361;0.9999900138041962;10.000803268963276;-0.6248099927321487;0.6837127060997508;0.6835610311091218;-0.5391189963483359;-0.5989570031313157;0.8057864327418323;1.0000808963266248
0.003072;1.0955032600468582;-0.5939578586785086;-0.542185573868818;0.6452390614591106;0.5890434351080592;1.109730791247899;0.9999897056086994;10.000807400278813;-0.6248099923552058;0.6837112941947174;0.6835609476848586;-0.5345129961752745;-0.5959830027552216;0.8004961728248606;1.0000816386553169
0.003584;1.0953354073910353;-0.5887220253808566;-0.5374880475561138;0.6420926589856738;0.58625868744222;1.109495782473464;0.9999894164052602;10.000812093203784;-0.6248099919683968;0.6837098405564145;0.6835609022752271;-0.5299059960015533;-0.5930900023794841;0.7952682268151776;1.0000823667263643
0.004608;1.0950190909817001;-0.5782613526404683;-0.5280897954377465;0.6360717725111303;0.5809270647418368;1.1090497679084927;0.9999891473061288;10.00081743084908;-0.6248099915727106;0.6837083474781084;0.6835608955589174;-0.5206929958291402;-0.5875370020046198;0.7849956502582897;1.0000830744127687
0.005632;1.0947265145379306;-0.5678188339749776;-0.5186914449176097;0.6304033312574556;0.5759017950645133;1.1086357529965658;0.9999889010811005;10.000823461824432;-0.6248099911692544;0.6837068168494569;0.683560927232846;-0.5114799956600594;-0.5822880016313164;0.7749645599448435;1.000083753587289
0.00768;1.0942066063068305;-0.5469951554734656;-0.4999063893688867;0.6200335367894014;0.5666957711753047;1.1078917427693091;0.9999886816208179;10.000830193971526;-0.6248099907590089;0.6837052494678949;0.6835609956928499;-0.4930539954961889;-0.5726420012604583;0.7555944304246364;1.0000843943679851
0.009728;1.0937696016497005;-0.5262528362381013;-0.4811414025585706;0.6108765398524225;0.5585475505540866;1.10725674074612;0.9999884926717472;10.000837603256727;-0.6248099903427096;0.6837036460195012;0.6835610975881103;-0.4746279953391013;-0.5640670008930374;0.7371213203917915;1.0000849868672061
0.013824;1.0931012227755674;-0.48495959369775105;-0.44365856633985756;0.5956269939029002;0.544935607501024;1.1062577483150275;0.9999883375243567;10.000845648197766;-0.6248099899209859;0.6837020081200428;0.6835612285286519;-0.43777499519005264;-0.5496490005300589;0.7026166686613573;1.0000855225657757
0.01751;1.092707836601636;-0.4479779532564744;-0.4099735340333647;0.5849913279292076;0.535395761297417;1.1056337646849317;0.9999882196606033;10.000854286347682;-0.6248099894946642;0.6837003376401675;0.6835613845349346;-0.4046079950501927;-0.5394390001725305;0.6742515071492942;1.000085994994628
0.021197;1.0924727610022216;-0.41112048657849654;-0.3763234286267619;0.5767281962153101;0.5279445671964481;1.1052197881580417;0.9999881431184283;10.0008634776852;-0.6248099890649738;0.6836986361393266;0.6835615627560752;-0.3714409949208259;-0.5313689998215172;0.6482575850291032;1.0000864005465013
0.024883;1.092364665090908;-0.3743515706345592;-0.34270012732186145;0.5703615306845778;0.5221657855186037;1.1049738183029523;0.9999881118598137;10.000873177932547;-0.6248099886333929;0.6836969058864059;0.6835617612520846;-0.33827399480340137;-0.5250239994782392;0.6244990376681335;1.0000867383685703
0.02857;1.0923522941576156;-0.33763673182308346;-0.30909265476643855;0.5654715291769759;0.5176924406170278;1.104856857472473;0.9999881290277576;10.000883343444839;-0.6248099882011725;0.6836951505316844;0.6835619787974735;-0.30510699469932784;-0.5200339991440929;0.6028664311786934;1.000087009030775
0.032256;1.0924144301455239;-0.30096237578675894;-0.27550275895585585;0.5617315822277231;0.5142367681315998;1.104838910716302;0.9999881973912911;10.00089394156673;-0.624809987769001;0.6836933742913172;0.6835622147120546;-0.27193999460990975;-0.5161149988205472;0.583310175197514;1.0000872137257732
0.035942;1.09253096563211;-0.26431025243135753;-0.24192506289367735;0.5588722270300148;0.5115620812545562;1.1048969840374794;0.9999883202035731;10.000904946814359;-0.6248099873371415;0.6836915812280822;0.683562468012243;-0.238771994536249;-0.5130259985090938;0.5658043267405158;1.0000873537573742
