time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;InfiniteBus_BUS_NetworkFrequencyPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_AVRSetpointPu;Wind_Turbine_GEN_InjectedActiveCurrent;Wind_Turbine_GEN_InjectedReactiveCurrent;NetworkFrequencyPu
0.000000000;1.097e+00;4.167e-01;4.444e-01;3.799e-01;4.053e-01;1.097e+00;3.750e-01;4.000e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.766e-01;-4.084e-01;5.000e+01
29.989994000;1.097e+00;4.167e-01;4.444e-01;3.799e-01;4.053e-01;1.097e+00;3.750e-01;4.000e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.766e-01;-4.084e-01;5.000e+01
29.989994000;1.097e+00;4.167e-01;4.443e-01;3.799e-01;4.052e-01;1.097e+00;3.750e-01;3.999e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.766e-01;-4.089e-01;5.000e+01
29.989995000;1.097e+00;4.167e-01;4.443e-01;3.799e-01;4.052e-01;1.097e+00;3.750e-01;3.999e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.766e-01;-4.091e-01;5.000e+01
29.989996000;1.097e+00;4.167e-01;4.444e-01;3.799e-01;4.052e-01;1.097e+00;3.750e-01;3.999e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.766e-01;-4.091e-01;5.000e+01
29.990021000;1.097e+00;4.166e-01;4.448e-01;3.799e-01;4.056e-01;1.097e+00;3.750e-01;4.003e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.766e-01;-4.049e-01;5.000e+01
29.990043000;1.097e+00;4.166e-01;4.452e-01;3.799e-01;4.060e-01;1.097e+00;3.750e-01;4.007e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.766e-01;-4.012e-01;5.000e+01
29.990066000;1.096e+00;4.166e-01;4.455e-01;3.799e-01;4.063e-01;1.096e+00;3.749e-01;4.010e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.766e-01;-3.975e-01;5.000e+01
29.990089000;1.096e+00;4.166e-01;4.459e-01;3.799e-01;4.067e-01;1.096e+00;3.749e-01;4.013e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.766e-01;-3.939e-01;5.000e+01
29.990111000;1.096e+00;4.165e-01;4.462e-01;3.799e-01;4.070e-01;1.096e+00;3.749e-01;4.016e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.766e-01;-3.905e-01;5.000e+01
29.990157000;1.096e+00;4.165e-01;4.469e-01;3.799e-01;4.077e-01;1.096e+00;3.748e-01;4.022e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;-3.838e-01;5.000e+01
29.990202000;1.096e+00;4.164e-01;4.475e-01;3.799e-01;4.083e-01;1.096e+00;3.748e-01;4.028e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;-3.774e-01;5.000e+01
29.990247000;1.096e+00;4.164e-01;4.481e-01;3.799e-01;4.089e-01;1.096e+00;3.747e-01;4.033e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.768e-01;-3.714e-01;5.000e+01
29.990292000;1.096e+00;4.163e-01;4.487e-01;3.799e-01;4.095e-01;1.096e+00;3.747e-01;4.038e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.768e-01;-3.658e-01;5.000e+01
29.990338000;1.096e+00;4.162e-01;4.492e-01;3.799e-01;4.100e-01;1.096e+00;3.746e-01;4.043e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.769e-01;-3.604e-01;5.000e+01
29.990383000;1.095e+00;4.161e-01;4.497e-01;3.799e-01;4.105e-01;1.095e+00;3.745e-01;4.047e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.770e-01;-3.553e-01;5.000e+01
29.990428000;1.095e+00;4.161e-01;4.502e-01;3.799e-01;4.110e-01;1.095e+00;3.745e-01;4.052e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.770e-01;-3.505e-01;5.000e+01
29.990518000;1.095e+00;4.159e-01;4.510e-01;3.799e-01;4.119e-01;1.095e+00;3.743e-01;4.059e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.772e-01;-3.417e-01;5.000e+01
29.990564000;1.095e+00;4.158e-01;4.514e-01;3.799e-01;4.124e-01;1.095e+00;3.743e-01;4.063e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.772e-01;-3.376e-01;5.000e+01
29.990609000;1.095e+00;4.158e-01;4.518e-01;3.799e-01;4.128e-01;1.095e+00;3.742e-01;4.066e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.773e-01;-3.338e-01;5.000e+01
