time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_AVRSetpointPu
0.034125000;1.049e+00;7.712e-01;-4.467e-01;7.355e-01;-4.260e-01;1.039e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.037811000;1.049e+00;7.682e-01;-4.463e-01;7.323e-01;-4.254e-01;1.039e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.041498000;1.049e+00;7.656e-01;-4.459e-01;7.296e-01;-4.249e-01;1.039e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.045184000;1.050e+00;7.635e-01;-4.455e-01;7.273e-01;-4.244e-01;1.040e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.048870000;1.050e+00;7.616e-01;-4.453e-01;7.253e-01;-4.241e-01;1.040e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.056243000;1.050e+00;7.584e-01;-4.449e-01;7.220e-01;-4.236e-01;1.040e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.063616000;1.051e+00;7.561e-01;-4.448e-01;7.196e-01;-4.234e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.070989000;1.051e+00;7.543e-01;-4.449e-01;7.179e-01;-4.234e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.078362000;1.051e+00;7.530e-01;-4.450e-01;7.166e-01;-4.235e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.085734000;1.051e+00;7.520e-01;-4.452e-01;7.157e-01;-4.237e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.093107000;1.051e+00;7.513e-01;-4.454e-01;7.151e-01;-4.239e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.100480000;1.051e+00;7.508e-01;-4.455e-01;7.146e-01;-4.240e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.110480000;1.051e+00;7.504e-01;-4.456e-01;7.142e-01;-4.241e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.120480000;1.051e+00;7.502e-01;-4.457e-01;7.140e-01;-4.242e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.130480000;1.051e+00;7.500e-01;-4.457e-01;7.139e-01;-4.242e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.140480000;1.051e+00;7.500e-01;-4.456e-01;7.138e-01;-4.241e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.150480000;1.051e+00;7.500e-01;-4.456e-01;7.138e-01;-4.241e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.160480000;1.051e+00;7.499e-01;-4.456e-01;7.137e-01;-4.241e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.170480000;1.051e+00;7.499e-01;-4.456e-01;7.137e-01;-4.241e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.180480000;1.051e+00;7.499e-01;-4.456e-01;7.137e-01;-4.241e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.190480000;1.051e+00;7.499e-01;-4.456e-01;7.137e-01;-4.241e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.200480000;1.051e+00;7.499e-01;-4.456e-01;7.137e-01;-4.241e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.210480000;1.051e+00;7.499e-01;-4.456e-01;7.137e-01;-4.241e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.220480000;1.051e+00;7.499e-01;-4.456e-01;7.137e-01;-4.241e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.230480000;1.051e+00;7.499e-01;-4.456e-01;7.136e-01;-4.241e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.240480000;1.051e+00;7.499e-01;-4.456e-01;7.136e-01;-4.241e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.250480000;1.051e+00;7.498e-01;-4.456e-01;7.136e-01;-4.241e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.260480000;1.051e+00;7.498e-01;-4.456e-01;7.136e-01;-4.241e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.270480000;1.051e+00;7.498e-01;-4.456e-01;7.136e-01;-4.241e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.280480000;1.051e+00;7.498e-01;-4.456e-01;7.136e-01;-4.241e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.290480000;1.051e+00;7.498e-01;-4.456e-01;7.136e-01;-4.240e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
