time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_AVRSetpointPu;Wind_Turbine_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.030126000;1.049e+00;7.680e-01;-1.917e-03;7.321e-01;-1.828e-03;1.055e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.031150000;1.049e+00;7.668e-01;-1.691e-03;7.308e-01;-1.612e-03;1.055e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.032974000;1.049e+00;7.647e-01;-1.299e-03;7.287e-01;-1.238e-03;1.055e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.032975000;1.049e+00;7.647e-01;-1.298e-03;7.287e-01;-1.237e-03;1.055e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.032976000;1.049e+00;7.647e-01;-1.298e-03;7.287e-01;-1.237e-03;1.055e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.032978000;1.049e+00;7.647e-01;-1.298e-03;7.287e-01;-1.236e-03;1.055e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.032982000;1.049e+00;7.647e-01;-1.297e-03;7.287e-01;-1.236e-03;1.055e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.032990000;1.049e+00;7.647e-01;-1.296e-03;7.287e-01;-1.235e-03;1.055e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.033006000;1.049e+00;7.647e-01;-1.292e-03;7.286e-01;-1.231e-03;1.055e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.033038000;1.049e+00;7.646e-01;-1.285e-03;7.286e-01;-1.224e-03;1.055e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.033102000;1.049e+00;7.646e-01;-1.271e-03;7.285e-01;-1.211e-03;1.055e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.033230000;1.049e+00;7.644e-01;-1.245e-03;7.284e-01;-1.186e-03;1.055e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.033486000;1.050e+00;7.642e-01;-1.191e-03;7.281e-01;-1.135e-03;1.055e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.033998000;1.050e+00;7.636e-01;-1.084e-03;7.275e-01;-1.033e-03;1.055e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.035022000;1.050e+00;7.626e-01;-8.798e-04;7.265e-01;-8.381e-04;1.056e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.037070000;1.050e+00;7.607e-01;-4.963e-04;7.244e-01;-4.726e-04;1.056e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.039118000;1.050e+00;7.589e-01;-1.528e-04;7.226e-01;-1.455e-04;1.056e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.043214000;1.051e+00;7.557e-01;4.039e-04;7.193e-01;3.845e-04;1.057e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.044818000;1.051e+00;7.546e-01;5.766e-04;7.181e-01;5.487e-04;1.057e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.044819000;1.051e+00;7.546e-01;5.763e-04;7.181e-01;5.484e-04;1.057e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.044820000;1.051e+00;7.546e-01;5.773e-04;7.181e-01;5.494e-04;1.057e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.044822000;1.051e+00;7.546e-01;5.763e-04;7.181e-01;5.485e-04;1.057e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.044826000;1.051e+00;7.546e-01;5.781e-04;7.181e-01;5.502e-04;1.057e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.044834000;1.051e+00;7.546e-01;5.776e-04;7.181e-01;5.496e-04;1.057e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.044850000;1.051e+00;7.546e-01;5.797e-04;7.181e-01;5.517e-04;1.057e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.044882000;1.051e+00;7.546e-01;5.824e-04;7.181e-01;5.542e-04;1.057e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.044946000;1.051e+00;7.545e-01;5.896e-04;7.180e-01;5.611e-04;1.057e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.045074000;1.051e+00;7.545e-01;6.025e-04;7.180e-01;5.734e-04;1.057e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.045330000;1.051e+00;7.543e-01;6.255e-04;7.178e-01;5.953e-04;1.057e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.045842000;1.051e+00;7.540e-01;6.727e-04;7.175e-01;6.402e-04;1.057e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.046866000;1.051e+00;7.533e-01;7.584e-04;7.168e-01;7.216e-04;1.057e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.048914000;1.051e+00;7.521e-01;9.007e-04;7.156e-01;8.569e-04;1.057e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.053010000;1.051e+00;7.500e-01;1.080e-03;7.134e-01;1.027e-03;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.057106000;1.051e+00;7.481e-01;1.138e-03;7.115e-01;1.083e-03;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.061202000;1.052e+00;7.466e-01;1.105e-03;7.100e-01;1.051e-03;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.065298000;1.052e+00;7.452e-01;1.006e-03;7.086e-01;9.564e-04;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.069394000;1.052e+00;7.441e-01;8.649e-04;7.076e-01;8.224e-04;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.077586000;1.052e+00;7.423e-01;5.594e-04;7.058e-01;5.319e-04;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
