time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine1_GEN_MagnitudeControlledByAVRPu;Wind_Turbine2_GEN_MagnitudeControlledByAVRPu;Wind_Turbine1_GEN_UPuInjTerminal;Wind_Turbine1_GEN_IpInjTerminal;Wind_Turbine1_GEN_IqInjTerminal;Wind_Turbine2_GEN_UPuInjTerminal;Wind_Turbine2_GEN_IpInjTerminal;Wind_Turbine2_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;Wind_Turbine1_GEN_ActivePowerSetpointPu;Wind_Turbine1_GEN_ReactivePowerSetpointPu;Wind_Turbine1_GEN_VoltageSetpointPu;Wind_Turbine1_GEN_NetworkFrequencyPu;Wind_Turbine2_GEN_ActivePowerSetpointPu;Wind_Turbine2_GEN_ReactivePowerSetpointPu;Wind_Turbine2_GEN_VoltageSetpointPu;Wind_Turbine2_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.000000000;1.044e+00;4.167e-01;-2.222e-01;3.989e-01;-2.128e-01;9.111e-01;9.111e-01;1.034e+00;2.058e-01;-9.767e-02;1.034e+00;2.058e-01;-9.767e-02;1.044e+00;7.500e-01;-4.000e-01;8.333e-01;-4.444e-01;9.111e-01;5.000e+01;8.333e-01;-4.444e-01;9.111e-01;5.000e+01;5.000e+01
0.000001000;1.044e+00;4.167e-01;-2.222e-01;3.989e-01;-2.128e-01;9.111e-01;9.111e-01;1.034e+00;2.058e-01;-9.767e-02;1.034e+00;2.058e-01;-9.767e-02;1.044e+00;7.500e-01;-4.000e-01;8.333e-01;-4.444e-01;9.111e-01;5.000e+01;8.333e-01;-4.444e-01;9.111e-01;5.000e+01;5.000e+01
19.989996000;1.044e+00;4.167e-01;-2.222e-01;3.989e-01;-2.128e-01;9.111e-01;9.111e-01;1.034e+00;2.058e-01;-9.767e-02;1.034e+00;2.058e-01;-9.767e-02;1.044e+00;7.500e-01;-4.000e-01;8.333e-01;-4.444e-01;9.111e-01;5.000e+01;8.333e-01;-4.444e-01;9.111e-01;5.000e+01;5.000e+01
19.989996000;1.044e+00;4.166e-01;-2.222e-01;3.989e-01;-2.128e-01;9.111e-01;9.111e-01;1.033e+00;2.058e-01;-9.767e-02;1.033e+00;2.058e-01;-9.767e-02;1.044e+00;7.500e-01;-4.000e-01;8.333e-01;-4.444e-01;9.111e-01;5.000e+01;8.333e-01;-4.444e-01;9.111e-01;5.000e+01;5.000e+01
19.989997000;1.044e+00;4.167e-01;-2.222e-01;3.989e-01;-2.128e-01;9.111e-01;9.111e-01;1.033e+00;2.058e-01;-9.767e-02;1.033e+00;2.058e-01;-9.767e-02;1.044e+00;7.500e-01;-4.000e-01;8.333e-01;-4.444e-01;9.111e-01;5.000e+01;8.333e-01;-4.444e-01;9.111e-01;5.000e+01;5.000e+01
19.989998000;1.044e+00;4.167e-01;-2.222e-01;3.989e-01;-2.128e-01;9.111e-01;9.111e-01;1.033e+00;2.058e-01;-9.767e-02;1.033e+00;2.058e-01;-9.767e-02;1.044e+00;7.500e-01;-4.000e-01;8.333e-01;-4.444e-01;9.111e-01;5.000e+01;8.333e-01;-4.444e-01;9.111e-01;5.000e+01;5.000e+01
19.990000000;1.044e+00;4.167e-01;-2.222e-01;3.989e-01;-2.128e-01;9.111e-01;9.111e-01;1.034e+00;2.058e-01;-9.767e-02;1.034e+00;2.058e-01;-9.767e-02;1.044e+00;7.500e-01;-4.000e-01;8.333e-01;-4.444e-01;9.111e-01;5.000e+01;8.333e-01;-4.444e-01;9.111e-01;5.000e+01;5.000e+01
19.990004000;1.044e+00;4.167e-01;-2.222e-01;3.989e-01;-2.128e-01;9.112e-01;9.112e-01;1.034e+00;2.058e-01;-9.767e-02;1.034e+00;2.058e-01;-9.767e-02;1.044e+00;7.500e-01;-4.000e-01;8.333e-01;-4.444e-01;9.111e-01;5.000e+01;8.333e-01;-4.444e-01;9.111e-01;5.000e+01;5.000e+01
19.990012000;1.045e+00;4.167e-01;-2.223e-01;3.989e-01;-2.128e-01;9.112e-01;9.112e-01;1.034e+00;2.058e-01;-9.767e-02;1.034e+00;2.058e-01;-9.767e-02;1.045e+00;7.501e-01;-4.001e-01;8.333e-01;-4.444e-01;9.111e-01;5.000e+01;8.333e-01;-4.444e-01;9.111e-01;5.000e+01;5.000e+01
19.990028000;1.045e+00;4.168e-01;-2.223e-01;3.989e-01;-2.128e-01;9.114e-01;9.114e-01;1.034e+00;2.058e-01;-9.767e-02;1.034e+00;2.058e-01;-9.767e-02;1.045e+00;7.503e-01;-4.001e-01;8.333e-01;-4.444e-01;9.111e-01;5.000e+01;8.333e-01;-4.444e-01;9.111e-01;5.000e+01;5.000e+01
19.990060000;1.045e+00;4.170e-01;-2.224e-01;3.989e-01;-2.128e-01;9.118e-01;9.118e-01;1.034e+00;2.058e-01;-9.768e-02;1.034e+00;2.058e-01;-9.768e-02;1.045e+00;7.506e-01;-4.003e-01;8.333e-01;-4.444e-01;9.111e-01;5.000e+01;8.333e-01;-4.444e-01;9.111e-01;5.000e+01;5.000e+01
19.990124000;1.046e+00;4.173e-01;-2.226e-01;3.989e-01;-2.128e-01;9.125e-01;9.125e-01;1.035e+00;2.058e-01;-9.768e-02;1.035e+00;2.058e-01;-9.768e-02;1.046e+00;7.511e-01;-4.006e-01;8.333e-01;-4.444e-01;9.111e-01;4.999e+01;8.333e-01;-4.444e-01;9.111e-01;4.999e+01;4.999e+01
19.990252000;1.048e+00;4.180e-01;-2.229e-01;3.989e-01;-2.128e-01;9.139e-01;9.139e-01;1.037e+00;2.058e-01;-9.769e-02;1.037e+00;2.058e-01;-9.769e-02;1.048e+00;7.523e-01;-4.012e-01;8.333e-01;-4.444e-01;9.111e-01;4.998e+01;8.333e-01;-4.444e-01;9.111e-01;4.998e+01;4.998e+01
19.990380000;1.049e+00;4.186e-01;-2.232e-01;3.989e-01;-2.127e-01;9.154e-01;9.154e-01;1.038e+00;2.058e-01;-9.769e-02;1.038e+00;2.058e-01;-9.769e-02;1.049e+00;7.535e-01;-4.018e-01;8.333e-01;-4.444e-01;9.111e-01;4.998e+01;8.333e-01;-4.444e-01;9.111e-01;4.998e+01;4.998e+01
19.990508000;1.051e+00;4.193e-01;-2.236e-01;3.989e-01;-2.127e-01;9.168e-01;9.168e-01;1.040e+00;2.058e-01;-9.770e-02;1.040e+00;2.058e-01;-9.770e-02;1.051e+00;7.547e-01;-4.024e-01;8.333e-01;-4.444e-01;9.111e-01;4.997e+01;8.333e-01;-4.444e-01;9.111e-01;4.997e+01;4.997e+01
