time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine1_GEN_MagnitudeControlledByAVRPu;Wind_Turbine2_GEN_MagnitudeControlledByAVRPu;Wind_Turbine1_GEN_VoltageInjTerminal;Wind_Turbine1_GEN_ActiveCurrentInjTerminal;Wind_Turbine1_GEN_ReactiveCurrentInjTerminal;Wind_Turbine2_GEN_VoltageInjTerminal;Wind_Turbine2_GEN_ActiveCurrentInjTerminal;Wind_Turbine2_GEN_ReactiveCurrentInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;Main_Xfmr_XFMR_Tap;Wind_Turbine1_GEN_ActivePowerSetpointPu;Wind_Turbine1_GEN_ReactivePowerSetpointPu;Wind_Turbine1_GEN_VoltageSetpointPu;Wind_Turbine1_GEN_NetworkFrequencyPu;Wind_Turbine2_GEN_ActivePowerSetpointPu;Wind_Turbine2_GEN_ReactivePowerSetpointPu;Wind_Turbine2_GEN_VoltageSetpointPu;Wind_Turbine2_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.000000;1.044e+00;4.167e-01;0.000e+00;3.989e-01;0.000e+00;1.044e+00;1.044e+00;1.051e+00;2.020e-01;7.893e-03;1.051e+00;2.020e-01;7.893e-03;1.044e+00;7.500e-01;0.000e+00;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;4.222e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.006427;1.044e+00;4.167e-01;0.000e+00;3.989e-01;0.000e+00;1.044e+00;1.044e+00;1.051e+00;2.020e-01;7.893e-03;1.051e+00;2.020e-01;7.893e-03;1.044e+00;7.500e-01;0.000e+00;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;4.222e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.010427;1.044e+00;4.166e-01;1.667e-06;3.989e-01;1.596e-06;1.044e+00;1.044e+00;1.051e+00;2.020e-01;7.893e-03;1.051e+00;2.019e-01;7.892e-03;1.044e+00;7.499e-01;3.000e-06;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;4.222e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.015427;1.044e+00;4.165e-01;7.778e-06;3.988e-01;7.447e-06;1.044e+00;1.044e+00;1.051e+00;2.020e-01;7.891e-03;1.051e+00;2.018e-01;7.891e-03;1.044e+00;7.497e-01;1.400e-05;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;4.222e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.020427;1.044e+00;4.163e-01;1.889e-05;3.986e-01;1.808e-05;1.044e+00;1.044e+00;1.051e+00;2.020e-01;7.890e-03;1.051e+00;2.016e-01;7.890e-03;1.044e+00;7.493e-01;3.400e-05;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;4.222e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.024427;1.044e+00;4.161e-01;3.167e-05;3.983e-01;3.032e-05;1.044e+00;1.044e+00;1.051e+00;2.020e-01;7.889e-03;1.051e+00;2.014e-01;7.889e-03;1.044e+00;7.489e-01;5.700e-05;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;4.222e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.025427;1.044e+00;4.160e-01;3.556e-05;3.983e-01;3.404e-05;1.045e+00;1.045e+00;1.051e+00;2.020e-01;7.889e-03;1.051e+00;2.013e-01;7.888e-03;1.044e+00;7.488e-01;6.400e-05;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;4.222e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.026427;1.044e+00;4.159e-01;3.944e-05;3.982e-01;3.776e-05;1.045e+00;1.045e+00;1.051e+00;2.020e-01;7.889e-03;1.051e+00;2.013e-01;7.888e-03;1.044e+00;7.487e-01;7.100e-05;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;4.222e-01;0.000e+00;1.044e+00;4.999e+01;5.000e+01
0.029427;1.044e+00;4.157e-01;5.278e-05;3.980e-01;5.053e-05;1.045e+00;1.045e+00;1.051e+00;2.020e-01;7.887e-03;1.051e+00;2.010e-01;7.887e-03;1.044e+00;7.482e-01;9.500e-05;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;4.222e-01;0.000e+00;1.044e+00;4.999e+01;5.000e+01
0.030427;1.045e+00;4.156e-01;5.722e-05;3.979e-01;5.478e-05;1.045e+00;1.045e+00;1.051e+00;2.020e-01;7.887e-03;1.051e+00;2.009e-01;7.887e-03;1.045e+00;7.481e-01;1.030e-04;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;4.222e-01;0.000e+00;1.044e+00;4.999e+01;5.000e+01
