time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_AVRSetpointPu
0.000000000;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+01;8.335e-01;1.045e+00
0.000001000;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+01;8.335e-01;1.045e+00
0.000002000;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+01;8.335e-01;1.045e+00
0.000004000;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+01;8.335e-01;1.045e+00
0.000008000;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+01;8.335e-01;1.045e+00
0.000016000;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+01;8.335e-01;1.045e+00
0.000032000;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+01;8.335e-01;1.045e+00
0.000064000;1.044e+00;8.333e-01;-6.899e-08;7.979e-01;-6.605e-08;1.045e+00;1.000e+01;8.335e-01;1.045e+00
0.000128000;1.044e+00;8.333e-01;-4.179e-07;7.979e-01;-4.001e-07;1.045e+00;1.000e+01;8.335e-01;1.045e+00
0.000256000;1.044e+00;8.333e-01;-1.710e-06;7.979e-01;-1.638e-06;1.045e+00;1.000e+01;8.335e-01;1.045e+00
0.000512000;1.044e+00;8.333e-01;-6.812e-06;7.978e-01;-6.522e-06;1.045e+00;1.000e+01;8.335e-01;1.045e+00
0.000768000;1.044e+00;8.333e-01;-1.534e-05;7.978e-01;-1.468e-05;1.045e+00;1.000e+01;8.335e-01;1.045e+00
0.001280000;1.044e+00;8.331e-01;-4.289e-05;7.977e-01;-4.106e-05;1.045e+00;1.000e+01;8.335e-01;1.045e+00
0.001792000;1.044e+00;8.329e-01;-8.482e-05;7.974e-01;-8.121e-05;1.045e+00;1.000e+01;8.335e-01;1.045e+00
0.002304000;1.044e+00;8.326e-01;-1.420e-04;7.971e-01;-1.359e-04;1.045e+00;1.000e+01;8.335e-01;1.045e+00
0.002816000;1.044e+00;8.321e-01;-2.134e-04;7.967e-01;-2.043e-04;1.045e+00;1.000e+01;8.335e-01;1.045e+00
0.003328000;1.044e+00;8.316e-01;-2.985e-04;7.962e-01;-2.858e-04;1.045e+00;1.000e+01;8.335e-01;1.045e+00
0.003840000;1.044e+00;8.310e-01;-3.966e-04;7.956e-01;-3.797e-04;1.045e+00;1.000e+01;8.335e-01;1.045e+00
0.004352000;1.045e+00;8.302e-01;-5.068e-04;7.949e-01;-4.852e-04;1.045e+00;1.000e+01;8.335e-01;1.045e+00
0.004864000;1.045e+00;8.294e-01;-6.292e-04;7.941e-01;-6.023e-04;1.045e+00;1.000e+01;8.335e-01;1.045e+00
0.005376000;1.045e+00;8.285e-01;-7.589e-04;7.932e-01;-7.265e-04;1.045e+00;1.000e+01;8.335e-01;1.045e+00
0.005888000;1.045e+00;8.275e-01;-8.982e-04;7.922e-01;-8.599e-04;1.045e+00;1.000e+01;8.335e-01;1.045e+00
0.006912000;1.045e+00;8.253e-01;-1.193e-03;7.900e-01;-1.142e-03;1.045e+00;1.000e+01;8.335e-01;1.045e+00
0.007834000;1.045e+00;8.231e-01;-1.471e-03;7.879e-01;-1.408e-03;1.045e+00;1.000e+01;8.335e-01;1.045e+00
0.008755000;1.045e+00;8.207e-01;-1.754e-03;7.855e-01;-1.679e-03;1.045e+00;1.000e+01;8.335e-01;1.045e+00
0.009677000;1.045e+00;8.182e-01;-2.034e-03;7.830e-01;-1.946e-03;1.045e+00;1.000e+01;8.335e-01;1.045e+00
0.010598000;1.045e+00;8.156e-01;-2.305e-03;7.805e-01;-2.206e-03;1.045e+00;1.000e+01;8.335e-01;1.045e+00
0.011520000;1.045e+00;8.130e-01;-2.562e-03;7.779e-01;-2.451e-03;1.045e+00;1.000e+01;8.335e-01;1.045e+00
0.012442000;1.045e+00;8.103e-01;-2.802e-03;7.752e-01;-2.681e-03;1.046e+00;1.000e+01;8.335e-01;1.045e+00
0.013363000;1.045e+00;8.077e-01;-3.019e-03;7.726e-01;-2.888e-03;1.046e+00;1.000e+01;8.335e-01;1.045e+00
0.014285000;1.046e+00;8.051e-01;-3.212e-03;7.700e-01;-3.072e-03;1.046e+00;1.000e+01;8.335e-01;1.045e+00
0.015206000;1.046e+00;8.025e-01;-3.380e-03;7.675e-01;-3.233e-03;1.046e+00;1.000e+01;8.335e-01;1.045e+00
0.016128000;1.046e+00;8.001e-01;-3.522e-03;7.650e-01;-3.368e-03;1.046e+00;1.000e+01;8.335e-01;1.045e+00
0.017050000;1.046e+00;7.977e-01;-3.638e-03;7.627e-01;-3.478e-03;1.046e+00;1.000e+01;8.335e-01;1.045e+00
0.018893000;1.046e+00;7.933e-01;-3.797e-03;7.583e-01;-3.630e-03;1.047e+00;1.000e+01;8.335e-01;1.045e+00
0.020552000;1.046e+00;7.897e-01;-3.864e-03;7.546e-01;-3.693e-03;1.047e+00;1.000e+01;8.335e-01;1.045e+00
0.022211000;1.047e+00;7.865e-01;-3.869e-03;7.513e-01;-3.696e-03;1.047e+00;1.000e+01;8.335e-01;1.045e+00
0.023869000;1.047e+00;7.836e-01;-3.820e-03;7.484e-01;-3.649e-03;1.047e+00;1.000e+01;8.335e-01;1.045e+00
0.025528000;1.047e+00;7.809e-01;-3.730e-03;7.457e-01;-3.562e-03;1.048e+00;1.000e+01;8.335e-01;1.045e+00
0.027187000;1.047e+00;7.786e-01;-3.610e-03;7.433e-01;-3.446e-03;1.048e+00;1.000e+01;8.335e-01;1.045e+00
0.028846000;1.048e+00;7.765e-01;-3.467e-03;7.412e-01;-3.309e-03;1.048e+00;1.000e+01;8.335e-01;1.045e+00
0.030505000;1.048e+00;7.746e-01;-3.309e-03;7.392e-01;-3.157e-03;1.048e+00;1.000e+01;8.335e-01;1.045e+00
0.032164000;1.048e+00;7.729e-01;-3.145e-03;7.374e-01;-3.000e-03;1.048e+00;1.000e+01;8.335e-01;1.045e+00
0.033823000;1.048e+00;7.713e-01;-2.979e-03;7.358e-01;-2.842e-03;1.049e+00;1.000e+01;8.335e-01;1.045e+00
0.035482000;1.048e+00;7.699e-01;-2.815e-03;7.343e-01;-2.685e-03;1.049e+00;1.000e+01;8.335e-01;1.045e+00
0.038799000;1.049e+00;7.673e-01;-2.506e-03;7.316e-01;-2.389e-03;1.049e+00;1.000e+01;8.335e-01;1.045e+00
0.042117000;1.049e+00;7.650e-01;-2.231e-03;7.293e-01;-2.127e-03;1.049e+00;1.000e+01;8.335e-01;1.045e+00
0.045435000;1.049e+00;7.631e-01;-1.994e-03;7.272e-01;-1.901e-03;1.050e+00;1.000e+01;8.335e-01;1.045e+00
0.048753000;1.050e+00;7.614e-01;-1.802e-03;7.254e-01;-1.717e-03;1.050e+00;1.000e+01;8.335e-01;1.045e+00
