;time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_AVRSetpointPu
0;0.000e+00;1.044e+00;8.333e-01;-3.477e-06;7.979e-01;-3.329e-06;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
1;1.000e-02;1.044e+00;8.153e-01;4.968e-04;7.806e-01;4.756e-04;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
2;2.000e-02;1.045e+00;7.965e-01;1.109e-03;7.625e-01;1.061e-03;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
3;3.000e-02;1.045e+00;7.818e-01;1.680e-03;7.484e-01;1.608e-03;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
4;4.000e-02;1.045e+00;7.714e-01;2.102e-03;7.385e-01;2.012e-03;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
5;5.000e-02;1.045e+00;7.643e-01;2.386e-03;7.316e-01;2.284e-03;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
6;6.000e-02;1.045e+00;7.595e-01;2.651e-03;7.271e-01;2.537e-03;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
7;7.000e-02;1.045e+00;7.563e-01;2.744e-03;7.240e-01;2.627e-03;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
8;8.000e-02;1.045e+00;7.542e-01;2.794e-03;7.219e-01;2.675e-03;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
9;9.000e-02;1.045e+00;7.527e-01;2.822e-03;7.206e-01;2.701e-03;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
10;1.000e-01;1.045e+00;7.518e-01;2.838e-03;7.196e-01;2.717e-03;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
11;1.100e-01;1.045e+00;7.511e-01;2.847e-03;7.190e-01;2.725e-03;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
12;1.200e-01;1.045e+00;7.507e-01;2.853e-03;7.186e-01;2.731e-03;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
13;1.300e-01;1.045e+00;7.504e-01;2.856e-03;7.184e-01;2.734e-03;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
14;1.400e-01;1.045e+00;7.502e-01;2.859e-03;7.182e-01;2.736e-03;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
15;1.500e-01;1.045e+00;7.501e-01;2.860e-03;7.181e-01;2.738e-03;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
16;1.600e-01;1.045e+00;7.500e-01;2.862e-03;7.180e-01;2.740e-03;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
17;1.700e-01;1.045e+00;7.500e-01;2.862e-03;7.179e-01;2.739e-03;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
18;1.800e-01;1.045e+00;7.499e-01;2.862e-03;7.179e-01;2.739e-03;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
19;1.900e-01;1.045e+00;7.499e-01;2.862e-03;7.179e-01;2.740e-03;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
