time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_UPuInjTerminal;Wind_Turbine_GEN_IpInjTerminal;Wind_Turbine_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;InfiniteBus_BUS_NetworkFrequencyPu;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;NetworkFrequencyPu
0.000000000;9.500e-01;4.166e-01;-4.445e-01;4.386e-01;-4.679e-01;9.495e-01;4.388e-01;-4.677e-01;9.500e-01;1.666e-02;-1.778e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
0.000001000;9.500e-01;4.166e-01;-4.445e-01;4.386e-01;-4.679e-01;9.495e-01;4.388e-01;-4.677e-01;9.500e-01;1.666e-02;-1.778e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.989998000;9.500e-01;4.166e-01;-4.445e-01;4.386e-01;-4.679e-01;9.495e-01;4.388e-01;-4.677e-01;9.500e-01;1.666e-02;-1.778e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.990002000;9.500e-01;4.166e-01;-4.445e-01;4.385e-01;-4.679e-01;9.495e-01;4.388e-01;-4.677e-01;9.500e-01;1.666e-02;-1.778e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.990010000;9.500e-01;4.167e-01;-4.445e-01;4.386e-01;-4.679e-01;9.495e-01;4.388e-01;-4.677e-01;9.500e-01;1.667e-02;-1.778e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.990026000;9.501e-01;4.167e-01;-4.446e-01;4.385e-01;-4.679e-01;9.496e-01;4.388e-01;-4.677e-01;9.501e-01;1.667e-02;-1.778e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.990058000;9.503e-01;4.168e-01;-4.446e-01;4.386e-01;-4.679e-01;9.498e-01;4.388e-01;-4.677e-01;9.503e-01;1.667e-02;-1.779e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.990122000;9.506e-01;4.169e-01;-4.448e-01;4.385e-01;-4.679e-01;9.501e-01;4.388e-01;-4.677e-01;9.506e-01;1.667e-02;-1.779e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.990250000;9.512e-01;4.171e-01;-4.451e-01;4.385e-01;-4.679e-01;9.507e-01;4.388e-01;-4.677e-01;9.512e-01;1.669e-02;-1.780e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.990378000;9.519e-01;4.174e-01;-4.454e-01;4.385e-01;-4.679e-01;9.514e-01;4.388e-01;-4.677e-01;9.519e-01;1.670e-02;-1.782e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.990634000;9.532e-01;4.179e-01;-4.460e-01;4.385e-01;-4.679e-01;9.527e-01;4.387e-01;-4.677e-01;9.532e-01;1.672e-02;-1.784e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.990864000;9.543e-01;4.184e-01;-4.466e-01;4.385e-01;-4.679e-01;9.538e-01;4.387e-01;-4.677e-01;9.543e-01;1.674e-02;-1.786e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.991095000;9.555e-01;4.189e-01;-4.471e-01;4.385e-01;-4.679e-01;9.550e-01;4.387e-01;-4.677e-01;9.555e-01;1.676e-02;-1.788e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.991325000;9.566e-01;4.195e-01;-4.476e-01;4.385e-01;-4.679e-01;9.561e-01;4.387e-01;-4.677e-01;9.566e-01;1.678e-02;-1.790e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.991453000;9.573e-01;4.197e-01;-4.479e-01;4.385e-01;-4.679e-01;9.568e-01;4.387e-01;-4.676e-01;9.573e-01;1.679e-02;-1.792e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.991454000;9.573e-01;4.197e-01;-4.479e-01;4.385e-01;-4.679e-01;9.568e-01;4.387e-01;-4.676e-01;9.573e-01;1.679e-02;-1.792e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.991455000;9.573e-01;4.197e-01;-4.479e-01;4.385e-01;-4.679e-01;9.568e-01;4.387e-01;-4.677e-01;9.573e-01;1.679e-02;-1.792e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.991457000;9.573e-01;4.197e-01;-4.479e-01;4.384e-01;-4.679e-01;9.568e-01;4.387e-01;-4.677e-01;9.573e-01;1.679e-02;-1.792e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.991461000;9.573e-01;4.197e-01;-4.479e-01;4.385e-01;-4.679e-01;9.568e-01;4.387e-01;-4.676e-01;9.573e-01;1.679e-02;-1.792e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.991469000;9.574e-01;4.197e-01;-4.479e-01;4.384e-01;-4.679e-01;9.569e-01;4.387e-01;-4.677e-01;9.574e-01;1.679e-02;-1.792e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.991485000;9.574e-01;4.198e-01;-4.480e-01;4.385e-01;-4.679e-01;9.569e-01;4.387e-01;-4.676e-01;9.574e-01;1.679e-02;-1.792e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.991517000;9.576e-01;4.199e-01;-4.480e-01;4.384e-01;-4.679e-01;9.571e-01;4.387e-01;-4.676e-01;9.576e-01;1.679e-02;-1.792e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.991581000;9.579e-01;4.200e-01;-4.482e-01;4.384e-01;-4.679e-01;9.574e-01;4.387e-01;-4.676e-01;9.579e-01;1.680e-02;-1.793e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.991709000;9.586e-01;4.203e-01;-4.484e-01;4.384e-01;-4.678e-01;9.581e-01;4.387e-01;-4.676e-01;9.586e-01;1.681e-02;-1.794e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.991965000;9.598e-01;4.208e-01;-4.490e-01;4.384e-01;-4.678e-01;9.593e-01;4.387e-01;-4.676e-01;9.598e-01;1.683e-02;-1.796e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.992221000;9.611e-01;4.214e-01;-4.496e-01;4.384e-01;-4.678e-01;9.606e-01;4.387e-01;-4.675e-01;9.611e-01;1.685e-02;-1.798e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.992477000;9.624e-01;4.219e-01;-4.502e-01;4.384e-01;-4.677e-01;9.619e-01;4.387e-01;-4.675e-01;9.624e-01;1.688e-02;-1.801e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.992733000;9.637e-01;4.225e-01;-4.507e-01;4.384e-01;-4.677e-01;9.632e-01;4.386e-01;-4.675e-01;9.637e-01;1.690e-02;-1.803e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.992989000;9.650e-01;4.230e-01;-4.512e-01;4.384e-01;-4.676e-01;9.645e-01;4.386e-01;-4.674e-01;9.650e-01;1.692e-02;-1.805e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.993245000;9.663e-01;4.236e-01;-4.518e-01;4.384e-01;-4.676e-01;9.658e-01;4.386e-01;-4.673e-01;9.663e-01;1.694e-02;-1.807e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.993757000;9.689e-01;4.247e-01;-4.529e-01;4.384e-01;-4.674e-01;9.684e-01;4.386e-01;-4.672e-01;9.689e-01;1.699e-02;-1.811e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.994269000;9.714e-01;4.258e-01;-4.540e-01;4.383e-01;-4.673e-01;9.709e-01;4.386e-01;-4.671e-01;9.714e-01;1.703e-02;-1.816e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.994781000;9.740e-01;4.269e-01;-4.551e-01;4.383e-01;-4.672e-01;9.735e-01;4.385e-01;-4.670e-01;9.740e-01;1.707e-02;-1.820e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.995293000;9.766e-01;4.279e-01;-4.561e-01;4.382e-01;-4.671e-01;9.761e-01;4.384e-01;-4.668e-01;9.766e-01;1.712e-02;-1.825e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.995805000;9.792e-01;4.290e-01;-4.572e-01;4.381e-01;-4.670e-01;9.787e-01;4.384e-01;-4.667e-01;9.792e-01;1.716e-02;-1.829e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.996317000;9.817e-01;4.300e-01;-4.583e-01;4.381e-01;-4.668e-01;9.812e-01;4.383e-01;-4.666e-01;9.817e-01;1.720e-02;-1.833e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.996829000;9.843e-01;4.311e-01;-4.594e-01;4.380e-01;-4.667e-01;9.838e-01;4.382e-01;-4.665e-01;9.843e-01;1.724e-02;-1.838e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.997341000;9.869e-01;4.321e-01;-4.605e-01;4.378e-01;-4.666e-01;9.864e-01;4.381e-01;-4.664e-01;9.869e-01;1.728e-02;-1.842e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.997853000;9.894e-01;4.331e-01;-4.616e-01;4.377e-01;-4.665e-01;9.889e-01;4.380e-01;-4.663e-01;9.894e-01;1.733e-02;-1.846e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.998365000;9.920e-01;4.341e-01;-4.627e-01;4.376e-01;-4.664e-01;9.915e-01;4.378e-01;-4.662e-01;9.920e-01;1.736e-02;-1.851e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.998877000;9.946e-01;4.351e-01;-4.638e-01;4.375e-01;-4.663e-01;9.941e-01;4.377e-01;-4.661e-01;9.946e-01;1.740e-02;-1.855e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
