time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;Wind_Turbine_GEN_UPuInjTerminal;Wind_Turbine_GEN_IpInjTerminal;Wind_Turbine_GEN_IqInjTerminal;SyncCompensator_GEN_TSO_FrequencyHz;SyncCompensator_GEN_TSO_ActivePower;SyncCompensator_GEN_TSO_ReactivePower;Main_load_LOAD_TSO_ActivePower;Main_load_LOAD_TSO_ReactivePower;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;SyncCompensator_GEN_FrequencyHz;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_VoltageSetpointPu;Wind_Turbine_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.000000000;9.916e-01;6.141e-01;-1.598e-01;6.193e-01;-1.611e-01;9.436e-01;9.896e-01;6.377e-01;-1.202e-01;5.000e+01;5.255e-02;1.692e-01;6.667e-01;3.228e-09;9.916e-01;5.527e-01;-1.438e-01;5.000e+01;6.667e-01;1.585e-02;1.044e+00;5.000e+01;5.000e+01
0.000001000;9.916e-01;6.141e-01;-1.597e-01;6.193e-01;-1.611e-01;9.437e-01;9.896e-01;6.377e-01;-1.202e-01;5.000e+01;5.254e-02;1.692e-01;6.667e-01;3.245e-09;9.916e-01;5.527e-01;-1.438e-01;5.000e+01;6.667e-01;1.585e-02;1.044e+00;5.000e+01;5.000e+01
0.000002000;9.916e-01;6.141e-01;-1.597e-01;6.194e-01;-1.611e-01;9.437e-01;9.896e-01;6.377e-01;-1.201e-01;5.000e+01;5.253e-02;1.691e-01;6.667e-01;3.263e-09;9.916e-01;5.527e-01;-1.437e-01;5.000e+01;6.667e-01;1.585e-02;1.044e+00;5.000e+01;5.000e+01
0.000004000;9.916e-01;6.142e-01;-1.597e-01;6.194e-01;-1.610e-01;9.437e-01;9.896e-01;6.378e-01;-1.201e-01;5.000e+01;5.250e-02;1.691e-01;6.667e-01;3.282e-09;9.916e-01;5.527e-01;-1.437e-01;5.000e+01;6.667e-01;1.585e-02;1.044e+00;5.000e+01;5.000e+01
0.000008000;9.916e-01;6.142e-01;-1.596e-01;6.194e-01;-1.609e-01;9.438e-01;9.897e-01;6.378e-01;-1.200e-01;5.000e+01;5.246e-02;1.690e-01;6.667e-01;3.300e-09;9.916e-01;5.528e-01;-1.436e-01;5.000e+01;6.667e-01;1.585e-02;1.044e+00;5.000e+01;5.000e+01
0.000012000;9.917e-01;6.143e-01;-1.595e-01;6.194e-01;-1.608e-01;9.438e-01;9.897e-01;6.378e-01;-1.199e-01;5.000e+01;5.242e-02;1.689e-01;6.667e-01;3.320e-09;9.917e-01;5.528e-01;-1.435e-01;5.000e+01;6.667e-01;1.585e-02;1.044e+00;5.000e+01;5.000e+01
0.000020000;9.917e-01;6.143e-01;-1.593e-01;6.195e-01;-1.606e-01;9.439e-01;9.898e-01;6.378e-01;-1.197e-01;5.000e+01;5.233e-02;1.687e-01;6.667e-01;3.340e-09;9.917e-01;5.529e-01;-1.434e-01;5.000e+01;6.667e-01;1.585e-02;1.044e+00;5.000e+01;5.000e+01
0.000036000;9.919e-01;6.145e-01;-1.590e-01;6.196e-01;-1.603e-01;9.442e-01;9.900e-01;6.379e-01;-1.193e-01;5.000e+01;5.215e-02;1.683e-01;6.667e-01;3.360e-09;9.919e-01;5.531e-01;-1.431e-01;5.000e+01;6.667e-01;1.585e-02;1.044e+00;5.000e+01;5.000e+01
0.000052000;9.920e-01;6.147e-01;-1.586e-01;6.197e-01;-1.599e-01;9.444e-01;9.901e-01;6.380e-01;-1.189e-01;5.000e+01;5.198e-02;1.679e-01;6.667e-01;3.378e-09;9.920e-01;5.532e-01;-1.427e-01;5.000e+01;6.667e-01;1.585e-02;1.044e+00;5.000e+01;5.000e+01
0.000068000;9.921e-01;6.149e-01;-1.582e-01;6.198e-01;-1.595e-01;9.446e-01;9.903e-01;6.381e-01;-1.186e-01;5.000e+01;5.180e-02;1.675e-01;6.667e-01;3.394e-09;9.921e-01;5.534e-01;-1.424e-01;5.000e+01;6.667e-01;1.585e-02;1.044e+00;5.000e+01;5.000e+01
0.000084000;9.922e-01;6.150e-01;-1.579e-01;6.199e-01;-1.591e-01;9.449e-01;9.904e-01;6.381e-01;-1.182e-01;5.000e+01;5.163e-02;1.671e-01;6.667e-01;3.407e-09;9.922e-01;5.535e-01;-1.421e-01;5.000e+01;6.667e-01;1.585e-02;1.044e+00;5.000e+01;5.000e+01
0.000100000;9.924e-01;6.152e-01;-1.575e-01;6.199e-01;-1.587e-01;9.451e-01;9.906e-01;6.382e-01;-1.178e-01;5.000e+01;5.146e-02;1.667e-01;6.667e-01;3.417e-09;9.924e-01;5.537e-01;-1.418e-01;5.000e+01;6.667e-01;1.585e-02;1.044e+00;5.000e+01;5.000e+01
0.000116000;9.925e-01;6.154e-01;-1.572e-01;6.200e-01;-1.584e-01;9.453e-01;9.908e-01;6.383e-01;-1.174e-01;5.000e+01;5.128e-02;1.662e-01;6.667e-01;3.425e-09;9.925e-01;5.538e-01;-1.414e-01;5.000e+01;6.667e-01;1.585e-02;1.044e+00;5.000e+01;5.000e+01
0.000132000;9.926e-01;6.156e-01;-1.568e-01;6.201e-01;-1.580e-01;9.456e-01;9.909e-01;6.384e-01;-1.170e-01;5.000e+01;5.111e-02;1.658e-01;6.667e-01;3.432e-09;9.926e-01;5.540e-01;-1.411e-01;5.000e+01;6.667e-01;1.585e-02;1.044e+00;5.000e+01;5.000e+01
0.000148000;9.927e-01;6.157e-01;-1.565e-01;6.202e-01;-1.576e-01;9.458e-01;9.911e-01;6.384e-01;-1.166e-01;5.000e+01;5.093e-02;1.654e-01;6.667e-01;3.443e-09;9.927e-01;5.542e-01;-1.408e-01;5.000e+01;6.667e-01;1.585e-02;1.044e+00;5.000e+01;5.000e+01
0.000164000;9.929e-01;6.159e-01;-1.561e-01;6.203e-01;-1.572e-01;9.460e-01;9.912e-01;6.385e-01;-1.163e-01;5.000e+01;5.076e-02;1.650e-01;6.667e-01;3.461e-09;9.929e-01;5.543e-01;-1.405e-01;5.000e+01;6.667e-01;1.585e-02;1.044e+00;5.000e+01;5.000e+01
0.000180000;9.930e-01;6.161e-01;-1.557e-01;6.204e-01;-1.568e-01;9.463e-01;9.914e-01;6.386e-01;-1.159e-01;5.000e+01;5.059e-02;1.646e-01;6.667e-01;3.486e-09;9.930e-01;5.545e-01;-1.402e-01;5.000e+01;6.667e-01;1.585e-02;1.044e+00;5.000e+01;5.000e+01
0.000196000;9.931e-01;6.163e-01;-1.554e-01;6.205e-01;-1.565e-01;9.465e-01;9.915e-01;6.386e-01;-1.155e-01;5.000e+01;5.042e-02;1.642e-01;6.667e-01;3.521e-09;9.931e-01;5.546e-01;-1.398e-01;5.000e+01;6.667e-01;1.585e-02;1.044e+00;5.000e+01;5.000e+01
0.000212000;9.932e-01;6.164e-01;-1.550e-01;6.206e-01;-1.561e-01;9.467e-01;9.917e-01;6.387e-01;-1.151e-01;5.000e+01;5.024e-02;1.638e-01;6.667e-01;3.566e-09;9.932e-01;5.548e-01;-1.395e-01;5.000e+01;6.667e-01;1.585e-02;1.044e+00;5.000e+01;5.000e+01
0.000228000;9.934e-01;6.166e-01;-1.547e-01;6.207e-01;-1.557e-01;9.470e-01;9.919e-01;6.388e-01;-1.147e-01;5.000e+01;5.007e-02;1.634e-01;6.667e-01;3.619e-09;9.934e-01;5.549e-01;-1.392e-01;5.000e+01;6.667e-01;1.585e-02;1.044e+00;5.000e+01;5.000e+01
0.000244000;9.935e-01;6.168e-01;-1.543e-01;6.208e-01;-1.553e-01;9.472e-01;9.920e-01;6.389e-01;-1.144e-01;5.000e+01;4.990e-02;1.630e-01;6.667e-01;3.678e-09;9.935e-01;5.551e-01;-1.389e-01;5.000e+01;6.667e-01;1.585e-02;1.044e+00;5.000e+01;5.000e+01
0.000260000;9.936e-01;6.169e-01;-1.540e-01;6.209e-01;-1.549e-01;9.474e-01;9.922e-01;6.389e-01;-1.140e-01;5.000e+01;4.973e-02;1.626e-01;6.667e-01;3.742e-09;9.936e-01;5.552e-01;-1.386e-01;5.000e+01;6.667e-01;1.585e-02;1.044e+00;5.000e+01;5.000e+01
0.000276000;9.937e-01;6.171e-01;-1.536e-01;6.210e-01;-1.546e-01;9.477e-01;9.923e-01;6.390e-01;-1.136e-01;5.000e+01;4.955e-02;1.622e-01;6.667e-01;3.810e-09;9.937e-01;5.554e-01;-1.382e-01;5.000e+01;6.667e-01;1.585e-02;1.044e+00;5.000e+01;5.000e+01
0.000292000;9.939e-01;6.173e-01;-1.532e-01;6.211e-01;-1.542e-01;9.479e-01;9.925e-01;6.391e-01;-1.132e-01;5.000e+01;4.938e-02;1.618e-01;6.667e-01;3.886e-09;9.939e-01;5.556e-01;-1.379e-01;5.000e+01;6.667e-01;1.585e-02;1.044e+00;5.000e+01;5.000e+01
0.000308000;9.940e-01;6.175e-01;-1.529e-01;6.212e-01;-1.538e-01;9.481e-01;9.927e-01;6.392e-01;-1.129e-01;5.000e+01;4.921e-02;1.614e-01;6.667e-01;3.969e-09;9.940e-01;5.557e-01;-1.376e-01;5.000e+01;6.667e-01;1.585e-02;1.044e+00;5.000e+01;5.000e+01
0.000324000;9.941e-01;6.176e-01;-1.525e-01;6.213e-01;-1.534e-01;9.483e-01;9.928e-01;6.392e-01;-1.125e-01;5.000e+01;4.904e-02;1.610e-01;6.667e-01;4.062e-09;9.941e-01;5.559e-01;-1.373e-01;5.000e+01;6.667e-01;1.585e-02;1.044e+00;5.000e+01;5.000e+01
0.000340000;9.942e-01;6.178e-01;-1.522e-01;6.214e-01;-1.531e-01;9.486e-01;9.930e-01;6.393e-01;-1.121e-01;5.000e+01;4.887e-02;1.606e-01;6.667e-01;4.167e-09;9.942e-01;5.560e-01;-1.370e-01;5.000e+01;6.667e-01;1.585e-02;1.044e+00;5.000e+01;5.000e+01
