time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu
0.000000000;1.044e+00;8.332e-01;7.575e-09;7.978e-01;2.463e-09;1.044e+00;3.333e-02;2.550e-10;1.000e+01;8.333e-01
19.999997000;1.044e+00;8.332e-01;3.721e-09;7.978e-01;-2.500e-09;1.044e+00;3.333e-02;-2.994e-09;1.000e+01;8.333e-01
19.999998000;1.044e+00;8.332e-01;2.500e-05;7.978e-01;2.394e-05;1.044e+00;3.333e-02;9.970e-07;1.000e+01;8.333e-01
20.000004000;1.044e+00;8.333e-01;7.500e-05;7.978e-01;7.181e-05;1.044e+00;3.333e-02;2.997e-06;1.000e+01;8.333e-01
20.000012000;1.045e+00;8.333e-01;1.750e-04;7.978e-01;1.675e-04;1.045e+00;3.333e-02;6.997e-06;1.000e+01;8.333e-01
20.000028000;1.045e+00;8.334e-01;3.500e-04;7.978e-01;3.351e-04;1.045e+00;3.333e-02;1.400e-05;1.000e+01;8.333e-01
20.000060000;1.045e+00;8.335e-01;6.750e-04;7.978e-01;6.461e-04;1.045e+00;3.334e-02;2.700e-05;1.000e+01;8.333e-01
20.000188000;1.045e+00;8.339e-01;2.025e-03;7.978e-01;1.937e-03;1.045e+00;3.336e-02;8.100e-05;1.000e+01;8.333e-01
20.000252000;1.046e+00;8.341e-01;2.675e-03;7.978e-01;2.559e-03;1.046e+00;3.336e-02;1.070e-04;1.000e+01;8.333e-01
20.000444000;1.046e+00;8.347e-01;4.650e-03;7.978e-01;4.444e-03;1.046e+00;3.339e-02;1.860e-04;1.000e+01;8.333e-01
20.000508000;1.047e+00;8.349e-01;5.300e-03;7.978e-01;5.064e-03;1.047e+00;3.340e-02;2.120e-04;1.000e+01;8.333e-01
20.000572000;1.047e+00;8.351e-01;5.950e-03;7.978e-01;5.684e-03;1.047e+00;3.340e-02;2.380e-04;1.000e+01;8.333e-01
20.000700000;1.047e+00;8.355e-01;7.225e-03;7.978e-01;6.899e-03;1.047e+00;3.342e-02;2.890e-04;1.000e+01;8.333e-01
20.000764000;1.048e+00;8.357e-01;7.850e-03;7.978e-01;7.494e-03;1.048e+00;3.343e-02;3.140e-04;1.000e+01;8.333e-01
20.000828000;1.048e+00;8.359e-01;8.500e-03;7.978e-01;8.112e-03;1.048e+00;3.344e-02;3.400e-04;1.000e+01;8.333e-01
20.000956000;1.048e+00;8.363e-01;9.750e-03;7.978e-01;9.301e-03;1.048e+00;3.345e-02;3.900e-04;1.000e+01;8.333e-01
20.001084000;1.049e+00;8.367e-01;1.098e-02;7.978e-01;1.046e-02;1.049e+00;3.347e-02;4.390e-04;1.000e+01;8.333e-01
20.001212000;1.049e+00;8.371e-01;1.220e-02;7.978e-01;1.163e-02;1.049e+00;3.348e-02;4.880e-04;1.000e+01;8.333e-01
20.001340000;1.050e+00;8.375e-01;1.340e-02;7.978e-01;1.277e-02;1.050e+00;3.350e-02;5.360e-04;1.000e+01;8.333e-01
20.001468000;1.050e+00;8.378e-01;1.460e-02;7.978e-01;1.390e-02;1.050e+00;3.351e-02;5.840e-04;1.000e+01;8.333e-01
20.001724000;1.051e+00;8.386e-01;1.695e-02;7.978e-01;1.613e-02;1.051e+00;3.354e-02;6.780e-04;1.000e+01;8.333e-01
20.001980000;1.052e+00;8.393e-01;1.923e-02;7.978e-01;1.827e-02;1.052e+00;3.357e-02;7.690e-04;1.000e+01;8.333e-01
20.002236000;1.053e+00;8.400e-01;2.145e-02;7.978e-01;2.037e-02;1.053e+00;3.360e-02;8.580e-04;1.000e+01;8.333e-01
20.002466000;1.054e+00;8.405e-01;2.340e-02;7.978e-01;2.221e-02;1.054e+00;3.362e-02;9.360e-04;1.000e+01;8.333e-01
20.002697000;1.054e+00;8.411e-01;2.530e-02;7.977e-01;2.400e-02;1.054e+00;3.364e-02;1.012e-03;1.000e+01;8.333e-01
20.002927000;1.055e+00;8.417e-01;2.715e-02;7.977e-01;2.573e-02;1.055e+00;3.367e-02;1.086e-03;1.000e+01;8.333e-01
20.003158000;1.056e+00;8.422e-01;2.898e-02;7.977e-01;2.744e-02;1.056e+00;3.369e-02;1.159e-03;1.000e+01;8.333e-01
20.003388000;1.056e+00;8.427e-01;3.073e-02;7.977e-01;2.908e-02;1.056e+00;3.371e-02;1.229e-03;1.000e+01;8.333e-01
20.003618000;1.057e+00;8.432e-01;3.245e-02;7.977e-01;3.070e-02;1.057e+00;3.373e-02;1.298e-03;1.000e+01;8.333e-01
20.003849000;1.058e+00;8.437e-01;3.412e-02;7.976e-01;3.226e-02;1.058e+00;3.375e-02;1.365e-03;1.000e+01;8.333e-01
20.004079000;1.058e+00;8.442e-01;3.575e-02;7.976e-01;3.378e-02;1.058e+00;3.377e-02;1.430e-03;1.000e+01;8.333e-01
20.004310000;1.059e+00;8.446e-01;3.732e-02;7.976e-01;3.525e-02;1.059e+00;3.379e-02;1.493e-03;1.000e+01;8.333e-01
20.004540000;1.060e+00;8.450e-01;3.887e-02;7.975e-01;3.669e-02;1.060e+00;3.380e-02;1.555e-03;1.000e+01;8.333e-01
20.004770000;1.060e+00;8.455e-01;4.035e-02;7.975e-01;3.806e-02;1.060e+00;3.382e-02;1.614e-03;1.000e+01;8.333e-01
20.005001000;1.061e+00;8.459e-01;4.180e-02;7.974e-01;3.941e-02;1.061e+00;3.383e-02;1.672e-03;1.000e+01;8.333e-01
20.005231000;1.061e+00;8.462e-01;4.322e-02;7.974e-01;4.073e-02;1.061e+00;3.385e-02;1.729e-03;1.000e+01;8.333e-01
20.005462000;1.062e+00;8.466e-01;4.458e-02;7.973e-01;4.198e-02;1.062e+00;3.386e-02;1.783e-03;1.000e+01;8.333e-01
20.005692000;1.062e+00;8.469e-01;4.590e-02;7.972e-01;4.321e-02;1.062e+00;3.388e-02;1.836e-03;1.000e+01;8.333e-01
20.005922000;1.063e+00;8.473e-01;4.718e-02;7.972e-01;4.439e-02;1.063e+00;3.389e-02;1.887e-03;1.000e+01;8.333e-01
20.006153000;1.063e+00;8.476e-01;4.842e-02;7.971e-01;4.554e-02;1.063e+00;3.390e-02;1.937e-03;1.000e+01;8.333e-01
20.006383000;1.064e+00;8.478e-01;4.962e-02;7.970e-01;4.665e-02;1.064e+00;3.391e-02;1.985e-03;1.000e+01;8.333e-01
20.006614000;1.064e+00;8.481e-01;5.077e-02;7.970e-01;4.771e-02;1.064e+00;3.392e-02;2.031e-03;1.000e+01;8.333e-01
20.006844000;1.065e+00;8.484e-01;5.190e-02;7.969e-01;4.875e-02;1.065e+00;3.394e-02;2.076e-03;1.000e+01;8.333e-01
20.007074000;1.065e+00;8.486e-01;5.300e-02;7.968e-01;4.976e-02;1.065e+00;3.395e-02;2.120e-03;1.000e+01;8.333e-01
20.007305000;1.065e+00;8.489e-01;5.405e-02;7.967e-01;5.073e-02;1.065e+00;3.395e-02;2.162e-03;1.000e+01;8.333e-01
20.007535000;1.066e+00;8.491e-01;5.505e-02;7.966e-01;5.165e-02;1.066e+00;3.396e-02;2.202e-03;1.000e+01;8.333e-01
20.007766000;1.066e+00;8.493e-01;5.602e-02;7.965e-01;5.254e-02;1.066e+00;3.397e-02;2.241e-03;1.000e+01;8.333e-01
20.007996000;1.067e+00;8.495e-01;5.698e-02;7.964e-01;5.342e-02;1.067e+00;3.398e-02;2.279e-03;1.000e+01;8.333e-01
20.008226000;1.067e+00;8.497e-01;5.787e-02;7.963e-01;5.424e-02;1.067e+00;3.399e-02;2.315e-03;1.000e+01;8.333e-01
20.008457000;1.067e+00;8.498e-01;5.875e-02;7.962e-01;5.505e-02;1.067e+00;3.399e-02;2.350e-03;1.000e+01;8.333e-01
20.008687000;1.068e+00;8.499e-01;5.958e-02;7.961e-01;5.580e-02;1.068e+00;3.400e-02;2.383e-03;1.000e+01;8.333e-01
20.008918000;1.068e+00;8.501e-01;6.037e-02;7.960e-01;5.653e-02;1.068e+00;3.400e-02;2.415e-03;1.000e+01;8.333e-01
