time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactivePower;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;InfiniteBus_BUS_NetworkFrequencyPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_AVRSetpointPu;Wind_Turbine_GEN_InjectedActiveCurrent;Wind_Turbine_GEN_InjectedReactiveCurrent;Wind_Turbine_GEN_InjectedCurrent;NetworkFrequencyPu
0.0;1.0444615731625961;0.8333457072984517;0.797869659231479;-4.1584417822230476e-07;-4.007638716608544e-07;1.0448635017598282;1.0000140643567053;9.999962414881326;0.8335143329712965;0.015562211050887877;0.015562262623840598;0.797718677884987;0.01489384194236186;0.7978641186422198;1.0000038661986563
1e-06;1.0444614691310756;0.8333456889205333;0.7978696260777867;-4.15858116206135e-07;-4.0076405439944823e-07;1.044863383542048;1.0000140415756;9.999962420726622;0.8335143514326985;0.015562210526626551;0.015562263396205409;0.797718690456077;0.014893842383889785;0.7978641374251783;1.0000038335336165
2e-06;1.044461357209462;0.8333456692996863;0.7978695902552592;-4.158731649423347e-07;-4.0076431842880116e-07;1.0448632561130182;1.0000140172002903;9.999962429523896;0.8335143712200004;0.015562209968002935;0.015562264221252004;0.7977187039284706;0.014893842858847834;0.7978641575730073;1.000003798489447
4e-06;1.0444612370783821;0.8333456484076635;0.7978695516202243;-4.158894120706121e-07;-4.007647436072257e-07;1.0448631188566226;1.0000139913467099;9.999962444924586;0.8335143922631949;0.015562209375573002;0.015562265095190682;0.797718718379983;0.014893843367229704;0.7978641790434035;1.0000037610695784
8e-06;1.0444611084572735;0.8333456261645011;0.7978695100718112;-4.1590694057944395e-07;-4.007654440019599e-07;1.0448629712316597;1.0000139641556138;9.999962471236124;0.8335144144107196;0.015562208747836925;0.015562266013421642;0.7977187339006363;0.014893843908512859;0.797864201690933;1.0000037213763993
1.6e-05;1.0444609711256345;0.8333456024775523;0.7978694654895276;-4.1592583643826123e-07;-4.007665699065767e-07;1.0448628128353525;1.0000139356820263;9.99996251222404;0.8335144374629211;0.015562208081011452;0.015562266971617575;0.7977187505523411;0.014893844484149052;0.7978642252776805;1.0000036796446927
3.2e-05;1.0444608249615874;0.8333455772378586;0.7978694177510646;-4.159461817713441e-07;-4.00768283638529e-07;1.0448626434147559;1.000013905837976;9.999962570929878;0.8335144612603747;0.015562207369207801;0.015562267966207612;0.7977187684145967;0.014893845098872836;0.797864249511412;1.0000036362561562
6.4e-05;1.0444606698848937;0.8333455502750077;0.7978693667721656;-4.1596805379639395e-07;-4.0077071102961084e-07;1.0448624628434942;1.0000138743844738;9.999962649819672;0.8335144857956743;0.015562206605915202;0.01556226899411696;0.797718787625394;0.014893845759820388;0.7978642740789583;1.0000035917965828
0.000128;1.0444605057752745;0.8333455213287841;0.7978693125338572;-4.159915372856233e-07;-4.007739046054558e-07;1.044862271104441;1.0000138409912485;9.999962750909813;0.8335145112360124;0.015562205785705644;0.015562270051417583;0.7977188083499579;0.014893846475060674;0.7978642986687097;1.0000035470964832
0.000256;1.0444603324634112;0.8333454900510426;0.7978692551554694;-4.160167042736438e-07;-4.007778467210914e-07;1.0448620682771377;1.0000138053462264;9.999962876051814;0.8335145378152151;0.015562204904059466;0.015562271132761726;0.7977188307667765;0.01489384725179467;0.7978643229628819;1.0000035031442627
0.000512;1.0444601497640562;0.8333454560388697;0.7978691949597921;-4.160435694378732e-07;-4.0078247911394103e-07;1.0448618545483057;1.0000137671655223;9.999963026946556;0.8335145657190801;0.01556220395709894;0.015562272232703117;0.797718855111011;0.014893848094270872;0.7978643466514734;1.0000034609579127
0.001;1.0444599575187514;0.8333454189445024;0.7978691324078753;-4.160720788109401e-07;-4.0078771128415286e-07;1.044861630225505;1.000013726092833;9.999963204972602;0.8335145950575474;0.015562202942937468;0.015562273347189275;0.7977188816881832;0.014893849003050328;0.7978643695135081;1.0000034215325517
0.001;1.0444597556338038;0.8333453785815489;0.7978690679383482;-4.1610213251308754e-07;-4.0079341710336934e-07;1.044861395703501;1.0000136816443315;9.999963411272052;0.8335146258683879;0.01556220186262977;0.015562274473712985;0.7977189107879504;0.01489384997587214;0.7978643914691482;1.0000033858449378
0.001001;1.0444595440564806;0.8333453348771027;0.7978690018657489;-4.161336040499227e-07;-4.007994633714846e-07;1.0448611514486326;1.0000136332417962;9.999963646680602;0.8335146581146472;0.015562200719535034;0.015562275610925642;0.7977189425844476;0.014893851008387245;0.7978644125341078;1.0000033548696423
0.001002;1.0444593226952945;0.8333452877705276;0.7978689343987707;-4.1616634400044726e-07;-4.0080573730829484e-07;1.0448608980392988;1.000013580270977;9.999963910847558;0.8335146916786242;0.015562199518539368;0.015562276758587998;0.7977189771627139;0.014893852093949458;0.7978644327244818;1.0000033295555726
0.001004;1.0444590914070413;0.833345237194532;0.7978688657276444;-4.16200176881268e-07;-4.0081213246694756e-07;1.0448606361679516;1.0000135221190112;9.999964201264136;0.8335147263682738;0.01556219826569977;0.015562277917370507;0.7977190146024592;0.014893853223851249;0.7978644519824625;1.0000033107528412
