time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_InjectedActiveCurrent;Wind_Turbine_GEN_InjectedReactiveCurrent;Wind_Turbine_GEN_InjectedCurrent
0.000000000;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+01;8.335e-01;1.401e-02;7.977e-01;1.489e-02;7.979e-01
0.000001000;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+01;8.335e-01;1.401e-02;7.977e-01;1.489e-02;7.979e-01
0.000002000;1.044e+00;8.333e-01;-1.750e-07;7.979e-01;-1.675e-07;1.045e+00;1.000e+01;8.335e-01;1.401e-02;7.977e-01;1.489e-02;7.979e-01
0.000004000;1.044e+00;8.333e-01;-1.282e-06;7.979e-01;-1.227e-06;1.045e+00;1.000e+01;8.335e-01;1.401e-02;7.977e-01;1.489e-02;7.979e-01
0.000008000;1.044e+00;8.333e-01;-3.150e-06;7.979e-01;-3.016e-06;1.045e+00;1.000e+01;8.335e-01;1.401e-02;7.977e-01;1.489e-02;7.979e-01
0.000016000;1.044e+00;8.333e-01;-5.472e-06;7.979e-01;-5.239e-06;1.045e+00;1.000e+01;8.335e-01;1.401e-02;7.977e-01;1.489e-02;7.979e-01
0.000032000;1.044e+00;8.333e-01;-1.098e-05;7.979e-01;-1.052e-05;1.045e+00;1.000e+01;8.335e-01;1.401e-02;7.977e-01;1.488e-02;7.979e-01
0.000064000;1.044e+00;8.333e-01;-2.179e-05;7.979e-01;-2.087e-05;1.045e+00;1.000e+01;8.335e-01;1.401e-02;7.977e-01;1.487e-02;7.979e-01
0.000128000;1.044e+00;8.333e-01;-4.452e-05;7.979e-01;-4.263e-05;1.045e+00;1.000e+01;8.335e-01;1.401e-02;7.977e-01;1.485e-02;7.979e-01
0.000256000;1.044e+00;8.333e-01;-8.751e-05;7.979e-01;-8.379e-05;1.045e+00;1.000e+01;8.335e-01;1.401e-02;7.977e-01;1.481e-02;7.979e-01
0.000512000;1.044e+00;8.333e-01;-1.752e-04;7.979e-01;-1.678e-04;1.045e+00;1.000e+01;8.335e-01;1.401e-02;7.977e-01;1.472e-02;7.979e-01
0.000768000;1.044e+00;8.332e-01;-2.581e-04;7.979e-01;-2.471e-04;1.045e+00;1.000e+01;8.335e-01;1.401e-02;7.977e-01;1.464e-02;7.979e-01
0.001000000;1.044e+00;8.332e-01;-3.319e-04;7.979e-01;-3.178e-04;1.045e+00;1.000e+01;8.335e-01;1.401e-02;7.977e-01;1.457e-02;7.979e-01
0.001001000;1.044e+00;8.332e-01;-3.319e-04;7.979e-01;-3.178e-04;1.045e+00;1.000e+01;8.335e-01;1.401e-02;7.977e-01;1.457e-02;7.979e-01
0.001002000;1.044e+00;8.332e-01;-3.319e-04;7.979e-01;-3.178e-04;1.045e+00;1.000e+01;8.335e-01;1.401e-02;7.977e-01;1.457e-02;7.979e-01
0.001004000;1.044e+00;8.332e-01;-3.337e-04;7.979e-01;-3.196e-04;1.045e+00;1.000e+01;8.335e-01;1.401e-02;7.977e-01;1.457e-02;7.979e-01
0.001008000;1.044e+00;8.332e-01;-3.346e-04;7.979e-01;-3.204e-04;1.045e+00;1.000e+01;8.335e-01;1.401e-02;7.977e-01;1.457e-02;7.979e-01
0.001016000;1.044e+00;8.332e-01;-3.369e-04;7.979e-01;-3.226e-04;1.045e+00;1.000e+01;8.335e-01;1.401e-02;7.977e-01;1.456e-02;7.979e-01
0.001032000;1.044e+00;8.332e-01;-3.416e-04;7.979e-01;-3.271e-04;1.045e+00;1.000e+01;8.335e-01;1.401e-02;7.977e-01;1.456e-02;7.979e-01
0.001064000;1.044e+00;8.332e-01;-3.509e-04;7.979e-01;-3.360e-04;1.045e+00;1.000e+01;8.335e-01;1.401e-02;7.977e-01;1.455e-02;7.979e-01
0.001128000;1.044e+00;8.332e-01;-3.717e-04;7.979e-01;-3.559e-04;1.045e+00;1.000e+01;8.335e-01;1.401e-02;7.977e-01;1.453e-02;7.979e-01
0.001256000;1.044e+00;8.332e-01;-4.107e-04;7.979e-01;-3.933e-04;1.045e+00;1.000e+01;8.335e-01;1.401e-02;7.977e-01;1.449e-02;7.979e-01
0.001512000;1.044e+00;8.332e-01;-4.870e-04;7.979e-01;-4.663e-04;1.045e+00;1.000e+01;8.335e-01;1.401e-02;7.977e-01;1.442e-02;7.979e-01
0.002024000;1.044e+00;8.331e-01;-6.316e-04;7.979e-01;-6.049e-04;1.045e+00;1.000e+01;8.335e-01;1.401e-02;7.977e-01;1.427e-02;7.979e-01
0.003048000;1.044e+00;8.330e-01;-8.879e-04;7.979e-01;-8.504e-04;1.044e+00;1.000e+01;8.335e-01;1.401e-02;7.977e-01;1.402e-02;7.979e-01
0.004072000;1.044e+00;8.330e-01;-1.100e-03;7.979e-01;-1.053e-03;1.044e+00;1.000e+01;8.335e-01;1.401e-02;7.977e-01;1.382e-02;7.979e-01
0.005096000;1.044e+00;8.329e-01;-1.265e-03;7.979e-01;-1.212e-03;1.044e+00;1.000e+01;8.335e-01;1.401e-02;7.977e-01;1.366e-02;7.979e-01
