;time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_InjectedActiveCurrent;Wind_Turbine_GEN_InjectedReactiveCurrent;Wind_Turbine_GEN_AVRSetpointPu;Wind_Turbine_GEN_NetworkFrequencyPu;Wind_Turbine_GEN_InjectedCurrent;NetworkFrequencyPu
0;0.000e+00;1.044e+00;8.333e-01;-6.552e-07;7.979e-01;-6.273e-07;1.045e+00;1.000e+01;8.083e-01;2.061e-02;1.045e+00;1.000e+00;8.085e-01;1.000e+00
1;1.000e-06;1.044e+00;8.333e-01;-6.552e-07;7.979e-01;-6.273e-07;1.045e+00;1.000e+01;8.083e-01;2.061e-02;1.045e+00;1.000e+00;8.085e-01;1.000e+00
2;2.000e-06;1.044e+00;8.333e-01;-6.552e-07;7.979e-01;-6.273e-07;1.045e+00;1.000e+01;8.083e-01;2.061e-02;1.045e+00;1.000e+00;8.085e-01;1.000e+00
3;4.000e-06;1.044e+00;8.333e-01;-6.552e-07;7.979e-01;-6.273e-07;1.045e+00;1.000e+01;8.083e-01;2.061e-02;1.045e+00;1.000e+00;8.085e-01;1.000e+00
4;8.000e-06;1.044e+00;8.333e-01;-6.552e-07;7.979e-01;-6.273e-07;1.045e+00;1.000e+01;8.083e-01;2.061e-02;1.045e+00;1.000e+00;8.085e-01;1.000e+00
5;1.600e-05;1.044e+00;8.333e-01;-6.552e-07;7.979e-01;-6.273e-07;1.045e+00;1.000e+01;8.083e-01;2.061e-02;1.045e+00;1.000e+00;8.085e-01;1.000e+00
6;3.200e-05;1.044e+00;8.333e-01;-6.552e-07;7.979e-01;-6.273e-07;1.045e+00;1.000e+01;8.083e-01;2.061e-02;1.045e+00;1.000e+00;8.085e-01;1.000e+00
7;6.400e-05;1.044e+00;8.333e-01;-6.552e-07;7.979e-01;-6.273e-07;1.045e+00;1.000e+01;8.083e-01;2.061e-02;1.045e+00;1.000e+00;8.085e-01;1.000e+00
8;1.280e-04;1.044e+00;8.333e-01;-6.552e-07;7.979e-01;-6.273e-07;1.045e+00;1.000e+01;8.083e-01;2.061e-02;1.045e+00;1.000e+00;8.085e-01;1.000e+00
9;1.920e-04;1.044e+00;8.333e-01;-6.552e-07;7.979e-01;-6.273e-07;1.045e+00;1.000e+01;8.083e-01;2.061e-02;1.045e+00;1.000e+00;8.085e-01;1.000e+00
10;2.560e-04;1.044e+00;8.333e-01;-6.552e-07;7.979e-01;-6.273e-07;1.045e+00;1.000e+01;8.083e-01;2.061e-02;1.045e+00;1.000e+00;8.085e-01;1.000e+00
11;3.200e-04;1.044e+00;8.333e-01;-6.552e-07;7.979e-01;-6.273e-07;1.045e+00;1.000e+01;8.083e-01;2.061e-02;1.045e+00;1.000e+00;8.085e-01;1.000e+00
12;3.840e-04;1.044e+00;8.333e-01;-6.552e-07;7.979e-01;-6.273e-07;1.045e+00;1.000e+01;8.083e-01;2.061e-02;1.045e+00;1.000e+00;8.085e-01;1.000e+00
13;4.480e-04;1.044e+00;8.333e-01;-6.552e-07;7.979e-01;-6.273e-07;1.045e+00;1.000e+01;8.083e-01;2.061e-02;1.045e+00;1.000e+00;8.085e-01;1.000e+00
14;5.120e-04;1.044e+00;8.333e-01;-6.552e-07;7.979e-01;-6.273e-07;1.045e+00;1.000e+01;8.083e-01;2.061e-02;1.045e+00;1.000e+00;8.085e-01;1.000e+00
15;6.400e-04;1.044e+00;8.333e-01;-6.552e-07;7.979e-01;-6.273e-07;1.045e+00;1.000e+01;8.083e-01;2.061e-02;1.045e+00;1.000e+00;8.085e-01;1.000e+00
16;7.550e-04;1.044e+00;8.333e-01;-6.552e-07;7.979e-01;-6.273e-07;1.045e+00;1.000e+01;8.083e-01;2.061e-02;1.045e+00;1.000e+00;8.085e-01;1.000e+00
17;8.700e-04;1.044e+00;8.333e-01;-6.552e-07;7.979e-01;-6.273e-07;1.045e+00;1.000e+01;8.083e-01;2.061e-02;1.045e+00;1.000e+00;8.085e-01;1.000e+00
18;9.860e-04;1.044e+00;8.333e-01;-6.552e-07;7.979e-01;-6.273e-07;1.045e+00;1.000e+01;8.083e-01;2.061e-02;1.045e+00;1.000e+00;8.085e-01;1.000e+00
19;1.000e-03;1.044e+00;8.333e-01;-6.552e-07;7.979e-01;-6.273e-07;1.045e+00;1.000e+01;8.083e-01;2.061e-02;1.045e+00;1.000e+00;8.085e-01;1.000e+00
20;1.000e-03;1.044e+00;8.333e-01;-6.552e-07;7.979e-01;-6.273e-07;1.045e+00;1.000e+01;8.083e-01;2.061e-02;1.045e+00;1.000e+00;8.085e-01;1.000e+00
21;1.001e-03;1.044e+00;8.333e-01;-6.552e-07;7.979e-01;-6.273e-07;1.045e+00;1.000e+01;8.083e-01;2.061e-02;1.045e+00;1.000e+00;8.085e-01;1.000e+00
22;1.002e-03;1.044e+00;8.333e-01;-6.552e-07;7.979e-01;-6.273e-07;1.045e+00;1.000e+01;8.083e-01;2.061e-02;1.045e+00;1.000e+00;8.085e-01;1.000e+00
23;1.004e-03;1.044e+00;8.333e-01;-6.552e-07;7.979e-01;-6.273e-07;1.045e+00;1.000e+01;8.083e-01;2.061e-02;1.045e+00;1.000e+00;8.085e-01;1.000e+00
24;1.008e-03;1.044e+00;8.333e-01;-6.552e-07;7.979e-01;-6.273e-07;1.045e+00;1.000e+01;8.083e-01;2.061e-02;1.045e+00;1.000e+00;8.085e-01;1.000e+00
25;1.016e-03;1.044e+00;8.333e-01;-6.552e-07;7.979e-01;-6.273e-07;1.045e+00;1.000e+01;8.083e-01;2.061e-02;1.045e+00;1.000e+00;8.085e-01;1.000e+00
