Time (s);P PCC (pu);P lower (pu);P upper (pu)
3.351e-01;-8.537e-02;-1.103e-01;2.268e-01
3.368e-01;-8.579e-02;-1.115e-01;2.252e-01
3.384e-01;-8.619e-02;-1.127e-01;2.237e-01
3.401e-01;-8.658e-02;-1.138e-01;2.221e-01
3.418e-01;-8.696e-02;-1.149e-01;2.206e-01
3.434e-01;-8.732e-02;-1.160e-01;2.190e-01
3.451e-01;-8.766e-02;-1.171e-01;2.175e-01
3.468e-01;-8.799e-02;-1.182e-01;2.160e-01
3.484e-01;-8.830e-02;-1.192e-01;2.145e-01
3.501e-01;-8.860e-02;-1.202e-01;2.130e-01
3.518e-01;-8.888e-02;-1.212e-01;2.116e-01
3.535e-01;-8.915e-02;-1.222e-01;2.101e-01
3.551e-01;-8.940e-02;-1.231e-01;2.087e-01
3.568e-01;-8.964e-02;-1.240e-01;2.072e-01
3.585e-01;-8.987e-02;-1.250e-01;2.058e-01
3.601e-01;-9.008e-02;-1.258e-01;2.044e-01
3.618e-01;-9.028e-02;-1.267e-01;2.030e-01
3.635e-01;-9.047e-02;-1.276e-01;2.016e-01
3.651e-01;-9.064e-02;-1.284e-01;2.002e-01
3.668e-01;-9.080e-02;-1.292e-01;1.989e-01
3.685e-01;-9.095e-02;-1.300e-01;1.975e-01
3.701e-01;-9.108e-02;-1.308e-01;1.962e-01
3.718e-01;-9.121e-02;-1.315e-01;1.948e-01
3.735e-01;-9.132e-02;-1.323e-01;1.935e-01
3.751e-01;-9.141e-02;-1.330e-01;1.922e-01
3.768e-01;-9.150e-02;-1.337e-01;1.909e-01
3.785e-01;-9.158e-02;-1.343e-01;1.896e-01
3.801e-01;-9.164e-02;-1.350e-01;1.883e-01
3.818e-01;-9.169e-02;-1.356e-01;1.870e-01
3.835e-01;-9.173e-02;-1.363e-01;1.858e-01
3.851e-01;-9.176e-02;-1.369e-01;1.845e-01
3.868e-01;-9.178e-02;-1.375e-01;1.833e-01
3.885e-01;-9.179e-02;-1.380e-01;1.821e-01
3.901e-01;-9.179e-02;-1.386e-01;1.808e-01
3.918e-01;-9.178e-02;-1.391e-01;1.796e-01
3.935e-01;-9.175e-02;-1.396e-01;1.784e-01
3.951e-01;-9.172e-02;-1.401e-01;1.772e-01
3.968e-01;-9.168e-02;-1.406e-01;1.761e-01
3.985e-01;-9.163e-02;-1.411e-01;1.749e-01
4.001e-01;-9.157e-02;-1.415e-01;1.737e-01
4.018e-01;-9.150e-02;-1.420e-01;1.726e-01
4.035e-01;-9.142e-02;-1.424e-01;1.714e-01
4.051e-01;-9.133e-02;-1.428e-01;1.703e-01
4.068e-01;-9.123e-02;-1.432e-01;1.692e-01
4.085e-01;-9.112e-02;-1.436e-01;1.680e-01
4.101e-01;-9.101e-02;-1.439e-01;1.669e-01
4.118e-01;-9.088e-02;-1.443e-01;1.658e-01
4.135e-01;-9.075e-02;-1.446e-01;1.647e-01
4.151e-01;-9.061e-02;-1.449e-01;1.637e-01
4.168e-01;-9.046e-02;-1.452e-01;1.626e-01
4.185e-01;-9.031e-02;-1.455e-01;1.615e-01
4.201e-01;-9.015e-02;-1.457e-01;1.605e-01
4.218e-01;-8.997e-02;-1.460e-01;1.594e-01
4.235e-01;-8.980e-02;-1.462e-01;1.584e-01
4.251e-01;-8.961e-02;-1.464e-01;1.573e-01
4.268e-01;-8.942e-02;-1.466e-01;1.563e-01
4.285e-01;-8.922e-02;-1.468e-01;1.553e-01
4.301e-01;-8.901e-02;-1.470e-01;1.543e-01
4.318e-01;-8.880e-02;-1.472e-01;1.533e-01
4.335e-01;-8.858e-02;-1.473e-01;1.523e-01
4.351e-01;-8.835e-02;-1.475e-01;1.513e-01
4.368e-01;-8.812e-02;-1.476e-01;1.503e-01
4.385e-01;-8.788e-02;-1.477e-01;1.494e-01
4.401e-01;-8.763e-02;-1.478e-01;1.484e-01
4.418e-01;-8.738e-02;-1.479e-01;1.475e-01
4.435e-01;-8.712e-02;-1.480e-01;1.465e-01
4.451e-01;-8.686e-02;-1.480e-01;1.456e-01
4.468e-01;-8.659e-02;-1.481e-01;1.446e-01
4.485e-01;-8.632e-02;-1.481e-01;1.437e-01
4.502e-01;-8.604e-02;-1.481e-01;1.428e-01
4.518e-01;-8.575e-02;-1.481e-01;1.419e-01
4.535e-01;-8.546e-02;-1.481e-01;1.410e-01
