time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_InjectedActiveCurrent;Wind_Turbine_GEN_InjectedReactiveCurrent
0.000000000;1.044e+00;8.333e-01;1.032e-08;7.979e-01;1.530e-08;1.045e+00;1.044e+00;7.500e-01;-6.611e-09;1.000e+01;8.335e-01;1.556e-02;7.977e-01;1.489e-02
19.999996000;1.044e+00;8.333e-01;-3.117e-08;7.979e-01;-4.140e-08;1.045e+00;1.044e+00;7.500e-01;9.539e-09;1.000e+01;8.335e-01;1.556e-02;7.977e-01;1.489e-02
19.999996000;1.044e+00;8.333e-01;-3.051e-08;7.979e-01;-4.369e-08;1.045e+00;1.044e+00;7.500e-01;7.787e-09;1.000e+01;8.335e-01;-4.438e-03;7.977e-01;1.489e-02
19.999998000;1.044e+00;8.333e-01;-8.918e-06;7.979e-01;-8.559e-06;1.045e+00;1.044e+00;7.500e-01;-7.995e-06;1.000e+01;8.335e-01;-4.438e-03;7.977e-01;1.489e-02
20.000004000;1.044e+00;8.333e-01;-3.559e-05;7.979e-01;-3.409e-05;1.045e+00;1.044e+00;7.500e-01;-3.200e-05;1.000e+01;8.335e-01;-4.438e-03;7.977e-01;1.486e-02
20.000028000;1.044e+00;8.333e-01;-1.433e-04;7.979e-01;-1.373e-04;1.045e+00;1.044e+00;7.500e-01;-1.290e-04;1.000e+01;8.335e-01;-4.438e-03;7.977e-01;1.475e-02
20.000060000;1.044e+00;8.332e-01;-2.856e-04;7.979e-01;-2.735e-04;1.045e+00;1.044e+00;7.499e-01;-2.570e-04;1.000e+01;8.335e-01;-4.438e-03;7.977e-01;1.461e-02
20.000124000;1.044e+00;8.331e-01;-5.700e-04;7.979e-01;-5.460e-04;1.045e+00;1.044e+00;7.498e-01;-5.130e-04;1.000e+01;8.335e-01;-4.438e-03;7.977e-01;1.433e-02
20.000188000;1.044e+00;8.330e-01;-8.522e-04;7.979e-01;-8.163e-04;1.044e+00;1.044e+00;7.497e-01;-7.670e-04;1.000e+01;8.335e-01;-4.438e-03;7.977e-01;1.406e-02
20.000252000;1.044e+00;8.330e-01;-1.133e-03;7.979e-01;-1.086e-03;1.044e+00;1.044e+00;7.497e-01;-1.020e-03;1.000e+01;8.335e-01;-4.438e-03;7.977e-01;1.378e-02
20.000316000;1.044e+00;8.329e-01;-1.412e-03;7.978e-01;-1.353e-03;1.044e+00;1.044e+00;7.496e-01;-1.271e-03;1.000e+01;8.335e-01;-4.438e-03;7.977e-01;1.351e-02
20.000508000;1.044e+00;8.326e-01;-2.237e-03;7.978e-01;-2.143e-03;1.044e+00;1.044e+00;7.493e-01;-2.013e-03;1.000e+01;8.335e-01;-4.438e-03;7.977e-01;1.270e-02
20.000572000;1.043e+00;8.325e-01;-2.509e-03;7.978e-01;-2.404e-03;1.044e+00;1.043e+00;7.492e-01;-2.258e-03;1.000e+01;8.335e-01;-4.438e-03;7.977e-01;1.243e-02
20.000636000;1.043e+00;8.324e-01;-2.778e-03;7.978e-01;-2.662e-03;1.044e+00;1.043e+00;7.492e-01;-2.500e-03;1.000e+01;8.335e-01;-4.438e-03;7.977e-01;1.217e-02
