time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;InfiniteBus_BUS_NetworkFrequencyPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_AVRSetpointPu;Wind_Turbine_GEN_InjectedActiveCurrent;Wind_Turbine_GEN_InjectedReactiveCurrent;NetworkFrequencyPu
0.000000000;9.922e-01;4.167e-01;-4.444e-01;4.199e-01;-4.479e-01;9.922e-01;3.750e-01;-4.000e-01;5.000e+01;1.000e+01;4.168e-01;-4.352e-01;-4.352e-01;4.247e-01;4.435e-01;5.000e+01
29.989994000;9.922e-01;4.167e-01;-4.444e-01;4.199e-01;-4.479e-01;9.922e-01;3.750e-01;-4.000e-01;5.000e+01;1.000e+01;4.168e-01;-4.352e-01;-4.352e-01;4.247e-01;4.435e-01;5.000e+01
29.990002000;9.922e-01;4.167e-01;-4.444e-01;4.199e-01;-4.479e-01;9.922e-01;3.750e-01;-4.000e-01;5.000e+01;1.000e+01;4.168e-01;-4.352e-01;-4.352e-01;4.247e-01;4.435e-01;5.000e+01
29.990010000;9.923e-01;4.167e-01;-4.445e-01;4.199e-01;-4.479e-01;9.923e-01;3.750e-01;-4.000e-01;5.000e+01;1.000e+01;4.168e-01;-4.352e-01;-4.352e-01;4.247e-01;4.435e-01;5.000e+01
29.990026000;9.924e-01;4.167e-01;-4.445e-01;4.199e-01;-4.479e-01;9.924e-01;3.750e-01;-4.001e-01;5.000e+01;1.000e+01;4.168e-01;-4.352e-01;-4.352e-01;4.247e-01;4.435e-01;5.000e+01
29.990378000;9.941e-01;4.174e-01;-4.453e-01;4.199e-01;-4.480e-01;9.941e-01;3.757e-01;-4.008e-01;5.000e+01;1.000e+01;4.168e-01;-4.352e-01;-4.352e-01;4.247e-01;4.435e-01;5.000e+01
29.990506000;9.948e-01;4.177e-01;-4.456e-01;4.199e-01;-4.480e-01;9.948e-01;3.759e-01;-4.010e-01;5.000e+01;1.000e+01;4.168e-01;-4.352e-01;-4.352e-01;4.247e-01;4.434e-01;5.000e+01
29.990762000;9.960e-01;4.182e-01;-4.462e-01;4.199e-01;-4.480e-01;9.960e-01;3.764e-01;-4.016e-01;5.000e+01;1.000e+01;4.168e-01;-4.352e-01;-4.352e-01;4.247e-01;4.434e-01;5.000e+01
29.990890000;9.967e-01;4.185e-01;-4.465e-01;4.199e-01;-4.479e-01;9.967e-01;3.766e-01;-4.018e-01;5.000e+01;1.000e+01;4.168e-01;-4.352e-01;-4.352e-01;4.246e-01;4.434e-01;5.000e+01
29.991402000;9.992e-01;4.195e-01;-4.476e-01;4.199e-01;-4.479e-01;9.992e-01;3.776e-01;-4.028e-01;5.000e+01;1.000e+01;4.168e-01;-4.352e-01;-4.352e-01;4.246e-01;4.434e-01;5.000e+01
29.991658000;1.001e+00;4.201e-01;-4.481e-01;4.198e-01;-4.479e-01;1.001e+00;3.781e-01;-4.033e-01;5.000e+01;1.000e+01;4.168e-01;-4.352e-01;-4.352e-01;4.246e-01;4.433e-01;5.000e+01
29.991914000;1.002e+00;4.206e-01;-4.486e-01;4.198e-01;-4.478e-01;1.002e+00;3.785e-01;-4.038e-01;5.000e+01;1.000e+01;4.168e-01;-4.352e-01;-4.352e-01;4.246e-01;4.433e-01;5.000e+01
29.992170000;1.003e+00;4.211e-01;-4.492e-01;4.198e-01;-4.478e-01;1.003e+00;3.790e-01;-4.043e-01;5.000e+01;1.000e+01;4.168e-01;-4.352e-01;-4.352e-01;4.246e-01;4.432e-01;5.000e+01
