time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactivePower;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_InjectedActiveCurrent;Wind_Turbine_GEN_InjectedReactiveCurrent;Wind_Turbine_GEN_NetworkFrequencyPu;Wind_Turbine_GEN_InjectedCurrent;NetworkFrequencyPu
0.0;1.0444442059189492;0.8333332127938918;0.797873058513337;0.08333438414533431;0.07978850004051244;1.0469396254596557;9.999986851892821;0.8067517229179607;0.10034224350643853;0.9999967744351098;0.8129782354676767;0.9999823708935682
1e-06;1.0444442286431004;0.8333331781820162;0.7978730850304261;0.08333438095459476;0.07978850457398251;1.0469395565144297;9.999986391930793;0.8067517099569812;0.10034223059306271;0.9999967814572376;0.8129782470201494;0.999982424262797
2e-06;1.0444442530707916;0.8333331409266227;0.7978731133706828;0.08333437752265942;0.07978850944829782;1.0469394824977474;9.999985900594728;0.806751696099367;0.10034221670099466;0.9999967889554712;0.8129782594665238;0.9999824818516557
4e-06;1.0444442790392159;0.8333331009262642;0.7978731433585603;0.08333437380469193;0.07978851468535385;1.0469394033136443;9.99998538094046;0.8067516814109784;0.10034220178463607;0.9999967968655181;0.8129782728535367;0.9999825439383919
8e-06;1.0444443061686557;0.833333058120539;0.7978731747315687;0.08333436973319627;0.0797885202967975;1.0469393190156289;9.999984837507961;0.8067516659763598;0.10034218580048414;0.9999968050441744;0.8129782871769669;0.9999826106806274
1.6e-05;1.044444333944878;0.8333330124505253;0.7978732072091045;0.0833343652296212;0.07978852626826619;1.046939229857063;9.999984274964266;0.8067516498458124;0.10034216871318263;0.9999968132252411;0.8129783023674773;0.9999826821387849
3.2e-05;1.044444361839188;0.833332963838891;0.7978732405182755;0.08333436020258972;0.07978853255700832;1.0469391361667306;9.999983696768576;0.8067516329999478;0.10034215050974624;0.9999968210656719;0.8129783183157362;0.9999827582962761
6.4e-05;1.044444389424423;0.8333329122235703;0.7978732743897493;0.08333435454935706;0.07978853910586833;1.0469390381396164;9.999983104633841;0.8067516153515099;0.10034213120222907;0.9999968282808237;0.8129783349094888;0.9999828390449866
0.000128;1.0444444163837627;0.8333328576143139;0.7978733085695611;0.08333434816564357;0.07978854586896648;1.0469389358079986;9.999982498960449;0.8067515967810892;0.10034211081203918;0.9999968346890812;0.812978352062852;0.9999829242623258
0.000256;1.0444444424378931;0.8333328001251592;0.7978733428252555;0.08333434094961124;0.07978855282905355;1.0469388292155717;9.99998187943285;0.8067515771914322;0.10034208935245699;0.9999968401251932;0.8129783697186073;0.9999830138583458
0.000384;1.0444444673123467;0.8333324517374588;0.797873100941161;0.08333545693428752;0.07978963628822863;1.0469387185241148;9.999981245201104;0.8067515565268696;0.10034306681124978;0.9999968443669511;0.812978511246014;0.9999831076569735
0.000512;1.0444457077450022;0.8333341386814591;0.7978738798962819;0.08333753196162881;0.07979154619416344;1.0469396039249805;9.999980594840562;0.8067515347343783;0.10034504313579815;0.999996847169688;0.8129787765917431;0.9999832053413873
0.00064;1.04444669793359;0.8333351262093394;0.797874180268318;0.08334106153239809;0.07979486896776221;1.0469404855008617;9.999979926871895;0.8067515117489289;0.10034901823782026;0.999996848357652;0.8129792891391618;0.999983306588328
0.000768;1.0444476857842553;0.8333352472541335;0.7978736519749077;0.08334796248491387;0.07980142090548924;1.0469423631840955;9.999979240483832;0.8067514875399503;0.1003539920118438;0.9999968478481054;0.8129799254516314;0.9999834111933866
0.000896;1.04445085650808;0.8333379089106482;0.797873887163267;0.08335682579478026;0.07980968589265293;1.0469452368261596;9.999978535415254;0.8067514621502222;0.10036296435103542;0.9999968456174431;0.8129810558636764;0.9999835190803271
0.001;1.0444540239540645;0.8333399926957581;0.7978735696616622;0.08336793645717126;0.0798201037230332;1.046949106311238;9.999977811816203;0.8067514356731129;0.10037293515837963;0.9999968416935908;0.8129823101518657;0.9999836302683262
0.001;1.044454033442234;0.8333399221140145;0.7978735998017372;0.08336792231508554;0.0798201124360219;1.0469489716273677;9.999977070778096;0.8067514081924246;0.10037290435068572;0.9999968361521037;0.8129823303250204;0.9999837448927175
0.001001;1.044454039237183;0.8333398502240347;0.7978736294993589;0.08336790721420587;0.07982012133928316;1.0469488328840373;9.999976314609052;0.8067513797563002;0.10037287185528825;0.999996829093184;0.8129823509703645;0.9999838632972763
0.001002;1.044454041418544;0.8333409011149893;0.7978747351562101;0.08336817942432737;0.07982040634505452;1.046948690333379;9.999975546666537;0.8067513504115301;0.10037283760432829;0.999996820595528;0.8129823721022905;0.9999839860605123
0.001004;1.044454040146623;0.8333408264530635;0.797874764190522;0.08336816250009983;0.07982041543689822;1.046948544399639;9.99997477119023;0.8067513202512132;0.10037280152521273;0.9999968106653117;0.8129823936147859;0.9999841138607092
0.001008;1.0444550042870386;0.8333415430523924;0.7978748117962424;0.08336802386845513;0.07982023478339437;1.0469483956951182;9.999973992878292;0.8067512894181009;0.10037376353339955;0.9999967992610207;0.812982538749269;0.9999842473243236
0.001016;1.044454996747395;0.8333411772793674;0.7978745639381858;0.08336912941784992;0.07982132008734763;1.04694824497615;9.999973216361878;0.8067512580769729;0.10037472353304536;0.999996786339639;0.8129826837915985;0.9999843870156458
0.001032;1.0444549863640074;0.83334052183037;0.7978740395612318;0.08337135832821645;0.07982348154366138;1.0469490929817316;9.999972446321136;0.8067512264052745;0.10037668141696454;0.9999967718063602;0.8129829519592974;0.9999845334941079
