time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactivePower;BusPDR_BUS_ReactiveCurrent;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_InjectedActiveCurrent;Wind_Turbine_GEN_InjectedReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;Wind_Turbine_GEN_NetworkFrequencyPu;Wind_Turbine_GEN_InjectedCurrent;NetworkFrequencyPu
0.0;1.0445998715344573;0.833385464459437;0.7978633662793324;0.08333356216787909;0.0797874888333198;10.000026123045663;0.8067822255114973;0.10033699796682814;1.0468783164687827;1.0000368737322278;0.8129478112234204;0.9998630949966872
1e-06;1.0445992616717166;0.8333855820481793;0.7978633011221693;0.08333356224604868;0.07978748876619578;10.000027596040107;0.8067818067555036;0.10033699793095806;1.0468788136079876;1.000037278494783;0.8129478694186593;0.9998628633001316
2e-06;1.0445986057698398;0.8333857049216559;0.7978632284450128;0.08333356233120406;0.07978748869496406;10.000029187712926;0.8067813558341741;0.10033699789298987;1.0468793462990524;1.0000377138927559;0.8129479335331472;0.9998626141873355
4e-06;1.0445979027470553;0.8333858295911242;0.7978631454138131;0.08333356242440539;0.0797874886204248;10.000030898862482;0.8067808709468055;0.10033699785382764;1.0468799143427723;1.0000381816657362;0.8129480055857778;0.9998623481382729
8e-06;1.0445971523382585;0.8333859523562338;0.7978630491186339;0.08333356252621386;0.07978748854333774;10.000032721444008;0.8067803496145651;0.10033699781474593;1.0468805169607645;1.000038683941045;0.8129480875370387;0.9998620676107465
1.6e-05;1.0445963550192443;0.8333860700927456;0.7978629373773056;0.08333356263661357;0.07978748846428113;10.000034640641504;0.8067797883461699;0.10033699777694224;1.0468811522886534;1.0000392234324051;0.8129481804135921;0.9998617761090016
3.2e-05;1.0445955121574908;0.8333861799563099;0.7978628089169743;0.08333356275535769;0.07978748838380632;10.000036631401402;0.8067791829323944;0.10033699774127877;1.0468818171374052;1.0000398031740088;0.812948284491531;0.9998614764349446
6.4e-05;1.0445946257572425;0.8333862788211834;0.7978626632278379;0.08333356288234538;0.07978748830244223;10.00003865239614;0.8067785288303405;0.10033699770828591;1.046882507150454;1.0000404259925884;0.8129484001843813;0.9998611704731312
0.000128;1.0445936979311523;0.8333863628491575;0.7978625006296237;0.08333356301784922;0.07978748822053507;10.000040650522331;0.8067778214734129;0.1003369976782457;1.046883216938022;1.0000410941250906;0.8129485279744462;0.9998608605075164
0.000256;1.0445927301774753;0.83338642691692;0.7978623222074144;0.08333356316243658;0.07978748813808186;10.000042578868875;0.806777056620959;0.10033699765140652;1.046883940429406;1.0000418091853742;0.8129486673429434;0.999860549801954
0.000512;1.0445917223535748;0.8333864643624473;0.7978621296007462;0.08333356331665293;0.07978748805455357;10.000044406499164;0.8067762312978505;0.10033699762827168;1.0468846715363607;1.0000425728017608;0.8129488164383587;0.9998602418524898
0.000768;1.0445897036654397;0.8333859630323418;0.7978621820283265;0.08333256023749534;0.07978660141471879;10.000046105076404;0.80677534533372;0.10033599760971426;1.046885404582829;1.0000433874736092;0.8129488493798593;0.9998599399382455
0.001;1.0445886083581428;0.8333862120788784;0.7978622443868383;0.08333143628408256;0.07978552503297488;10.000047634304668;0.8067744018788586;0.10033499759679505;1.046885134231757;1.0000442564134857;0.81294888729578;0.9998596474222623
0.001;1.044587465058805;0.8333861229119836;0.7978620253230343;0.08333143646906145;0.0797855249408898;10.000048944655385;0.8067734063380522;0.10033499759037744;1.0468858552402964;1.0000451823324445;0.812949051875836;0.9998593677866879
0.001001;1.044586272003515;0.8333859768604758;0.797861805045593;0.0833314366654483;0.07978552484487506;10.00004998519187;0.8067723651214026;0.10033499759092417;1.0468865622438008;1.000046166612484;0.8129492181781696;0.9998591041564341
0.001002;1.0445850286237195;0.8333857677591568;0.7978615883319635;0.08333143687421166;0.07978552474460278;10.0000507074386;0.806771284754596;0.10033499759866811;1.0468872495890227;1.000047209293535;0.8129493841021397;0.999858858854991
0.001004;1.0445837358917776;0.8333854898588717;0.7978613800715916;0.08333143709617781;0.07978552463971533;10.00005106719087;0.8067701714169836;0.10033499761383145;1.0468879109261204;1.0000483090707082;0.812949546954449;0.9998586335772073
0.001008;1.0445823966831291;0.8333851379651778;0.7978611850356883;0.08333143733200755;0.0797855245295908;10.000051021627563;0.8067690312621767;0.10033499763665425;1.0468885387244058;1.0000494632959005;0.8129497042016516;0.9998584302127163
0.001016;1.0445810160969218;0.8333847079399029;0.7978610078062924;0.08333143758230939;0.07978552441313329;10.000050526874103;0.8067678709125045;0.1003349976673079;1.0468891247808878;1.000050668224503;0.8129498539177372;0.9998582510453811
0.001032;1.044579601048202;0.8333841967976706;0.7978608520743352;0.0833314378476381;0.07978552428891747;10.000049548774477;0.806766697505662;0.10033499770573516;1.0468896614442587;1.000051919207595;0.8129499945247768;0.9998580980437619
0.001064;1.0445781588979695;0.8333836025556896;0.7978607201101988;0.08333143812853988;0.07978552415557655;10.000048078858699;0.8067655185489233;0.10033499775150088;1.0468901422562793;1.0000532110252027;0.8129501247138425;0.9998579728073922
0.001128;1.0445766963119834;0.8333818000307075;0.79785953699808;0.08333115018786125;0.07978524803948345;10.000046134774772;0.8067643418068169;0.1003349978038834;1.0468905621109008;1.0000545386277853;0.8129502443099885;0.999857877062188
0.001256;1.044575219137705;0.8333813250153779;0.7978597325614045;0.08333002637390775;0.07978417159142924;10.000043748223;0.8067631751591557;0.10033399786209589;1.046890917575359;1.0000558975465506;0.8129502317416522;0.9998578126051694
