time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactivePower;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_InjectedActiveCurrent;Wind_Turbine_GEN_InjectedReactiveCurrent;Wind_Turbine_GEN_AVRSetpointPu;Wind_Turbine_GEN_NetworkFrequencyPu;Wind_Turbine_GEN_InjectedCurrent;NetworkFrequencyPu
0.0;1.0445450561070597;0.8593884271425045;0.8227534234063721;0.006891158648731897;0.006596709391722423;1.045259852547306;10.000114973729017;0.8082707186885034;-0.02061000322108616;1.0449826268742974;1.0000148519057777;0.8085324612305568;1.0000021449574386
0.0;1.0445450728685437;0.8594008104716873;0.8227652902671925;0.006892958906328665;0.006598432238708772;1.0452599527570472;10.000114192519042;0.8082707217807821;-0.02061000321721464;1.0449826433369607;1.0000148435557754;0.8085324620882047;1.000002176144415
1e-06;1.0445429988960466;0.8594508366646321;0.8228148442252181;0.006900341890060204;0.006605512971257516;1.0452580603499038;10.00011335318071;0.808266725059243;-0.020609003212969518;1.0449826609851716;1.0000148343666806;0.8085284389115588;1.0000022095431278
2e-06;1.0445409566325734;0.8595146735431151;0.8228775976238483;0.006908694209468764;0.006613521495583968;1.0452561752902279;10.000112453883181;0.8082617285162268;-0.020609003208243475;1.0449826797535635;1.0000148240530582;0.8085234417180125;1.000002245187616
4e-06;1.0445361714587549;0.8596414733772081;0.8230027934708058;0.006927528153334519;0.006631582212985453;1.045252297311773;10.000111493208351;0.80825273216081;-0.020608003202905966;1.0449826995248546;1.0000148122146189;0.808514420501931;1.0000022831558777
8e-06;1.0445263728337915;0.8598937659726666;0.8232520875451887;0.006964138525939425;0.006666693793865433;1.0452434259892391;10.000110470256885;0.8082347360003157;-0.020607003196830617;1.0449827201673978;1.0000147983566354;0.8084964023938788;1.0000023235279991
1.6e-05;1.0445063120797538;0.8603954304403355;0.8237482270103643;0.007036427971126634;0.006736030989153948;1.045226560780176;10.000109384126144;0.8081987400525581;-0.020603003189915862;1.044982741607048;1.0000147819864054;0.8084603138744055;1.0000023663124673
3.2e-05;1.0444679705557078;0.8613894806776082;0.8247302399603788;0.007179925786429514;0.006873667343666689;1.0451927010576398;10.000108233236046;0.8081267443816085;-0.020597003182085145;1.04498276390079;1.0000147626978637;0.8083881863113456;1.0000024114336474
6.4e-05;1.0443922120633136;0.8633429990351376;0.826660602665994;0.007459278550137629;0.007141646755899377;1.04512484617782;10.000107015563543;0.8079817490966216;-0.020583003173281544;1.0449827872517439;1.000014740118759;0.8082428789112732;1.000002458801027
0.000128;1.0442457769519564;0.867105496319803;0.8303796742998012;0.008000277223396947;0.007660728918333322;1.0449929955678596;10.000105729016688;0.8076937543170662;-0.020555003163457163;1.0449828119623685;1.0000147138021345;0.8079542618302578;1.0000025083993649
0.000256;1.0439664535499267;0.874087916073204;0.8372903103981029;0.008997331954023205;0.008617851929084494;1.044743148787352;10.000104371238539;0.8071197601247303;-0.020492003152557173;1.0449828383254036;1.0000146832195196;0.8073788485649014;1.0000025603343146
0.000384;1.0437066136083653;0.8803928928261812;0.8435398017366892;0.009890394050494635;0.009475669584480229;1.0445093055403338;10.000102939686974;0.8065487665001777;-0.020421003140518694;1.0449828665159604;1.0000146478646477;0.8068062344629977;1.000002614785708
0.00064;1.0432392092346559;0.8912579061036954;0.854332560992488;0.011404282915067926;0.010931072167175947;1.0440864656440865;10.000101432204938;0.805419773294633;-0.020263003127279678;1.0449828965893955;1.0000146073783105;0.8056736089691553;1.0000026718812776
0.000896;1.042836425022102;0.9000540430310555;0.8630974666460037;0.012585828263625604;0.012068316480945225;1.043717628950221;10.000099847525608;0.8043047802755136;-0.020085003112784248;1.0449829285664023;1.0000145615975253;0.8045544997192323;1.0000027316090212
0.001152;1.042489126009417;0.9071127442634532;0.8701560949514963;0.013485634797668566;0.012935477907993901;1.0433967952799206;10.0000981854611;0.8032037871892127;-0.019892003096996087;1.0449829625162896;1.0000145105163785;0.8034490417497061;1.0000027938404403
0.001408;1.0421887868494437;0.9127228410331113;0.8757899159263716;0.014142459254567207;0.013569446872383381;1.043116964480467;10.000096446547188;0.8021177937736913;-0.019688003079915535;1.0449829985898929;1.0000144542654739;0.8023583422501583;1.0000028583689082
0.001664;1.041929320237472;0.9171280991021662;0.8802360351085147;0.014597242267273557;0.014009311141837505;1.0428721364970146;10.000094631609104;0.8010457997258565;-0.019477003061577805;1.0449830369970106;1.000014393083453;0.8012815060787907;1.0000029248978681
0.00192;1.041704810981932;0.920532910951735;0.8836942698918511;0.014880720507038269;0.014284461287155301;1.0426573113078281;10.000092742071137;0.7999868047177404;-0.019262003042040517;1.044983077941799;1.0000143271530633;0.8002176106067413;1.0000029930602734
0.002176;1.041508944832985;0.9231082100862666;0.8863331282780866;0.015023125954230802;0.014423877765821064;1.042467488844497;10.000090780442294;0.7989428084985065;-0.01904700302138578;1.0449831215549366;1.0000142564800751;0.7991687535530648;1.0000030624903118
0.002432;1.0413389090008085;0.9249949190664918;0.8882896586628237;0.015049079337380228;0.014451155054910084;1.0422996690149873;10.000088749964114;0.7979128109584459;-0.01883200299973579;1.0449831678900259;1.000014181027274;0.7981339355420832;1.0000031328652956
0.002688;1.0411888887867284;0.9263101265291498;0.8896808067067196;0.014978848995348367;0.014385783181344177;1.0421498517496688;10.000086653904305;0.7968958120766326;-0.018620002977266754;1.0449832169985094;1.000014100876073;0.7971122273729626;1.0000032038955435
0.0032;1.0409379018290807;0.9276969797466144;0.8912276066194225;0.014627855413933556;0.014052057410314834;1.041892036982322;10.000084495422431;0.7949028118418916;-0.01821000295421578;1.044983269005696;1.0000140161975686;0.7951102633691989;1.0000032752825696
0.003712;1.040740116477791;0.9277633276688501;0.8914606791184446;0.014062588662198684;0.013511582005841315;1.0416812245658391;10.000082277957585;0.7929618102512463;-0.017825002930864035;1.044983324086363;1.0000139271945752;0.7931610123931134;1.0000033466765368
0.004112;1.040611622955759;0.9271726557609329;0.8910030700832324;0.013522488894821133;0.012994222538658935;1.0415404142139966;10.000080005454178;0.7914798073613291;-0.017543002907480804;1.0449833823825259;1.0000138341216502;0.7916730703624988;1.0000034176782449
0.004112;1.0406115119327055;0.9271726803283388;0.8910031185062737;0.013522487084855626;0.012994220883043145;1.0415406055294696;10.000077681707484;0.7914798033038766;-0.017543002884270725;1.0449834440065582;1.0000137373046245;0.7916730503693192;1.0000034878488124
0.004113;1.0406111227411425;0.9271705677952152;0.891001341687312;0.013519884638623584;0.012991723552712433;1.0415407980841402;10.000075309081987;0.7914757982622843;-0.017543002861368295;1.044983509076245;1.0000136371374369;0.7916690292354595;1.0000035567177257
0.004114;1.040610997031133;0.9271683753443493;0.8909992527648335;0.013519256326504423;0.012991120067259013;1.0415409915150646;10.000072887781961;0.7914717924329069;-0.01754200283886212;1.0449835776669896;1.0000135340277414;0.791664983859775;1.000003623870368
0.004116;1.040610322446842;0.9271635035836411;0.890995049370359;0.013516279209111238;0.012988266301137226;1.041540185550818;10.000070416190662;0.7914647859529723;-0.017541002816823425;1.044983649779535;1.000013428326172;0.7916579372362234;1.0000036890466322
0.00412;1.0406084075248556;0.9271534072545986;0.8909868776030159;0.013510304047890923;0.01298254696660163;1.0415393799113106;10.000067891876578;0.791449778835095;-0.01753800279532703;1.0449837253949954;1.000013320359932;0.7916428464347456;1.000003752121931
0.004128;1.0406069069978952;0.9271351278879061;0.8909704775838675;0.013498759529231286;0.012971470400533551;1.0415365742467313;10.000065312925678;0.7914207709799138;-0.017532002774455123;1.0449838044919944;1.0000132104888952;0.7916136909153123;1.0000038130378501
0.004144;1.0406015790974246;0.927097459848915;0.8909387125258407;0.013474721665038403;0.012948435517670224;1.0415317682466345;10.000062679093402;0.7913627622496066;-0.017522002754290732;1.044983886982121;1.0000130990799718;0.7915554522966807;1.0000038717869728
0.004145;1.0406014201570677;0.9270952887325092;0.8909366242152903;0.013474093122945733;0.012947832392388451;1.0415319617424483;10.000059991710225;0.7913597525362815;-0.01752100273491542;1.044983972694608;1.0000129864809526;0.791552397774416;1.000003928420428
0.004145;1.0406012549547903;0.9270953478133186;0.8909366744131307;0.01347409081755484;0.012947831199237573;1.0415321546621819;10.000057252503067;0.7913597417861147;-0.017521002716410165;1.0449840614266561;1.0000128730036095;0.7915523629483697;1.0000039830244003
0.004146;1.0406008125188144;0.9270932696222415;0.8909348974908181;0.013471488089035472;0.012945334519984333;1.0415323469461548;10.000054462956827;0.7913567299633583;-0.017521002698846364;1.0449841529383375;1.0000127588583128;0.7915493271205379;1.0000040356925688
0.004147;1.0406003633180165;0.9270908830893422;0.8909328186797201;0.013469998366570214;0.012943907558713592;1.0415315385102155;10.000051624262204;0.7913527170040295;-0.017520002682269355;1.044984246930803;1.0000126440704977;0.7915452675667699;1.0000040865206834
0.004149;1.0405999067822072;0.9270862756753735;0.8909285995912185;0.013467882402191949;0.012941878910239367;1.0415317292463608;10.000048736962622;0.7913457028293477;-0.017518002666688598;1.0449843431216848;1.0000125284436787;0.7915381846524437;1.0000041356108893
0.004153;1.0405989005560585;0.927077077158774;0.8909204257594492;0.013461678704055043;0.012935928834444726;1.0415299190383407;10.000045801008742;0.7913306873822233;-0.0175160026520673;1.0449844413485672;1.0000124116102762;0.7915231016516473;1.0000041830654587
0.004161;1.0405961104461965;0.927057745947783;0.8909040272478133;0.013449502619005516;0.012924261484579407;1.041528107739148;10.000042816296066;0.7913016706392004;-0.01751000263830591;1.0449845416067594;1.0000122931716715;0.7914939315183067;1.0000042289495656
0.004177;1.040591686029681;0.927018753197891;0.890870117561259;0.013424611466457579;0.012900395179641838;1.041523295086331;10.000039782723878;0.7912426526139423;-0.01750000262525045;1.0449846440004138;1.0000121728189921;0.7914346782788968;1.0000042732912582
0.004209;1.040582077019127;0.9269395092150384;0.890801947983098;0.013376175931154205;0.012853966489223805;1.0415134805990247;10.000036700026453;0.7911266333285902;-0.01747800261273201;1.0449847486144885;1.0000120503076677;0.7913181719678076;1.0000043161427639
0.004273;1.0405641853440297;0.9267729228297077;0.8906569122558624;0.013278538347070845;0.01276035454049424;1.0414936635079948;10.000033567474821;0.7908936127666115;-0.017435002600604703;1.0449848554123597;1.0000119253952773;0.7910842296774643;1.0000043575747741
0.004401;1.0405308574749466;0.9264180717610401;0.890344132698558;0.01308019297796751;0.012570141637334671;1.0414558427786826;10.000030383341892;0.7904305908869347;-0.017352002588767523;1.0449849642109805;1.0000117978854501;0.7906194642744282;1.0000043975842896
0.004657;1.0404673309928079;0.9256260782801392;0.889637005531649;0.01267206396534468;0.01217865016748678;1.0413830172597818;10.000027145314396;0.7895135676794023;-0.01719100257716308;1.0449850747102123;1.0000116677048039;0.7896991107459795;1.0000044360271159
0.005169;1.0403560561266618;0.9237941735288179;0.8879709956410029;0.011829323154890091;0.011369896465672867;1.0412501858581573;10.000023852256366;0.7877155431844567;-0.016894002565754122;1.044985186617059;1.0000115349326373;0.787895058688065;1.0000044726239905
0.005681;1.040260219684652;0.9217107633854498;0.8860496879483705;0.01096422228682789;0.010539318578330528;1.0411323475963044;10.000020505507486;0.785965517471125;-0.016632002554500924;1.0449852997923796;1.000011399767611;0.7861398188378835;1.000004507014939
0.006193;1.0401769016390863;0.9194697958297329;0.8839659000620302;0.010096369597832095;0.00970582566338609;1.041028501595837;10.000017108191674;0.784262490619435;-0.01640400254335432;1.0449854142734745;1.0000112624559785;0.7844323417329494;1.0000045388408603
0.006705;1.0401041292368534;0.917141071242765;0.881788451647872;0.00923371907787093;0.008877111300870414;1.0409336471466921;10.000013663672593;0.7826044627174934;-0.016209002532260968;1.0449855302270257;1.000011123249348;0.782770583101483;1.000004567832184
0.007021;1.0400632237007446;0.9156827131860757;0.8804205822463423;0.008710284742269217;0.008374186104104592;1.0408797837828039;10.000010175078744;0.7816014338401853;-0.016105002521166586;1.0449856479159352;1.000010982421054;0.7817655874655897;1.0000045938027773
0.007021;1.0400629219106137;0.9156828645012292;0.8804206130808917;0.008710283476746414;0.008374187393656661;1.0408799111908158;10.000006645748268;0.7816014040073805;-0.016105002510008286;1.0449857676408076;1.0000108403131214;0.7817655240119437;1.0000046165349998
0.007021;1.040062614147012;0.9156830189631773;0.8804206432567329;0.00871028238040671;0.008374188867954139;1.040880029089937;10.00000307983405;0.7816013731489957;-0.016105002498704644;1.0449858896806994;1.0000106973511262;0.781765458590763;1.0000046357283296
0.007021;1.040062301178839;0.9156831757945982;0.8804206728175362;0.008710281457431992;0.008374190519259098;1.0408801372452623;9.999999483089713;0.7816013411092956;-0.016105002487150584;1.0449860142947573;1.0000105540071078;0.7817653911463459;1.0000046510496614
0.007022;1.040062412066907;0.9156789664439359;0.8804161397925983;0.008708228438997549;0.00837221566400886;1.0408802354799318;9.999995863143456;0.7815983076815304;-0.016104002475217885;1.0449861417967945;1.0000104107352683;0.7817623016896461;1.0000046621339467
0.007023;1.0400618233428487;0.9156744439924794;0.8804118936313353;0.008706140219897355;0.00837021256012792;1.0408803236293158;9.9999922283597;0.7815952726420072;-0.016104002462764576;1.0449862726221615;1.0000102678929466;0.7817592307911795;1.0000046685227353
0.007025;1.0400606962536665;0.9156643936841965;0.8804027852802311;0.008703340957133468;0.008367530093376199;1.0408804016050948;9.999988585931366;0.7815892358170925;-0.016103002449649743;1.0449864072463246;1.0000101256994212;0.7817531379283856;1.0000046696925975
0.007029;1.0400597272733567;0.915646406414008;0.8803859101696695;0.008696711418216624;0.008361163557879575;1.0408794695144046;9.999984940825938;0.7815761971746447;-0.01610200243574572;1.0449865460604342;1.0000099842851808;0.781740044638472;1.000004665180081
0.007037;1.0400593452582947;0.9156102369011885;0.8803510558307738;0.008683767075806662;0.008348720665908652;1.0408785276118595;9.999981295851244;0.781551156843065;-0.01610000242094146;1.0449866893999402;1.0000098437888347;0.7817149315411113;1.0000046546302783
0.007053;1.040056714113793;0.9155350069341244;0.8802805496984215;0.008656063036493843;0.008322104479827928;1.0408755761661315;9.999977651872465;0.7815011150370236;-0.01609500240513569;1.0449868376286287;1.000009704397832;0.7816647604301771;1.000004637705491
0.007085;1.0400520500665933;0.9153851137170086;0.8801399772868177;0.008604051503714103;0.00827213286126157;1.0408706154264984;9.999974008294048;0.7814010719727803;-0.016085002388230844;1.0449869911637444;1.000009566285219;0.7815644956998524;1.0000046139579983
0.007149;1.040044718409092;0.9150880700601631;0.8798601786064797;0.008497957983957208;0.00817018206530933;1.040860645665581;9.999970364194878;0.7812010278319438;-0.01606600237015032;1.0449871505034738;1.0000094295312785;0.7813640659790537;1.0000045828239548
0.007277;1.0400297156209526;0.9144914790698725;0.879298849239214;0.008288922617912746;0.007969309441456185;1.0408406672559276;9.999966719589523;0.7808029827494762;-0.016029002350871468;1.044987316234722;1.0000092941161982;0.7809653077588135;1.0000045437923017
0.007533;1.0400001408871509;0.9133008763333292;0.8781786556825741;0.007874628936049106;0.007571175906757346;1.04080068073304;9.999963076395364;0.7800149367848356;-0.015961002330432954;1.0449874889451607;1.0000091599581373;0.7801759970404185;1.0000044965543253
0.008045;1.0399481328196738;0.9109384494828286;0.8759505135344531;0.0070693430314789606;0.006797201444757373;1.0407286867225136;9.999959438602238;0.7784698898891377;-0.01584700230891301;1.0449876690777506;1.000009026962954;0.7786289094291011;1.0000044410074433
0.008557;1.0399021859389808;0.9086098520634244;0.8737495958711933;0.006291488133274359;0.006049493278288194;1.0406626857757573;9.99995581117649;0.7769668419060397;-0.015762002286406465;1.0449878568266515;1.0000088950576278;0.77712440954209;1.0000043772316376
0.009581;1.0398261250481236;0.9040907133738695;0.8694670910622809;0.004826521708535945;0.004641078110112254;1.0405496782970656;9.999952198627346;0.7740777926106628;-0.015668002263001014;1.04498805217766;1.0000087642005202;0.7742340151160951;1.000004305456387
0.010605;1.0397714253305612;0.8997768855088354;0.865363654208953;0.0034890223658189555;0.003354982654215863;1.040460664569474;9.999948604703727;0.7713407417673838;-0.015668002238752404;1.0449882550761933;1.000008634388337;0.771497495090789;1.0000042259547064
0.011629;1.0397362686562803;0.8956881628423882;0.8614601107534993;0.0022749055906358777;0.0021873807872915462;1.0403946447804044;9.99994503316622;0.768747689196347;-0.015751002213681038;1.0449884655304118;1.0000085056431356;0.7689066456911219;1.0000041389404348
0.012653;1.0397206739889553;0.8918255787136422;0.8577576790630442;0.0011848615377563069;0.0011390140315943062;1.0403506190474583;9.999941488398562;0.7662916348223784;-0.01590600218780382;1.0449886835377586;1.0000083779766988;0.7664542828549564;1.0000040445593847
0.012841;1.0397194862462797;0.8911439536194553;0.8571027494725656;0.0009980027286833856;0.0009592958653501813;1.0403445874673432;9.9999379752589;0.7658565786793955;-0.015940002161174607;1.0449889089414695;1.000008251352362;0.7660200033453021;1.000003942958849
