time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;Wind_Turbine_GEN_UPuInjTerminal;Wind_Turbine_GEN_IpInjTerminal;Wind_Turbine_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_AVRSetpointPu;Wind_Turbine_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.000000000;1.044e+00;8.333e-01;5.288e-08;7.979e-01;2.578e-08;1.051e+00;1.045e+00;8.083e-01;2.061e-02;1.044e+00;7.500e-01;-2.617e-08;1.000e+01;1.051e+00;5.000e+01;5.000e+01
20.006068000;1.044e+00;8.333e-01;-1.084e-06;7.979e-01;-1.023e-06;1.051e+00;1.045e+00;8.083e-01;2.061e-02;1.044e+00;7.500e-01;-9.714e-07;1.000e+01;1.051e+00;5.000e+01;5.000e+01
20.009068000;1.044e+00;8.333e-01;-1.082e-06;7.978e-01;-1.024e-06;1.051e+00;1.045e+00;8.082e-01;2.061e-02;1.044e+00;7.500e-01;-9.686e-07;1.000e+01;1.051e+00;5.000e+01;5.000e+01
20.010068000;1.044e+00;8.333e-01;-1.081e-06;7.978e-01;-1.024e-06;1.051e+00;1.045e+00;8.082e-01;2.061e-02;1.044e+00;7.499e-01;-9.677e-07;1.000e+01;1.051e+00;5.000e+01;5.000e+01
20.014068000;1.044e+00;8.331e-01;-1.080e-06;7.977e-01;-1.028e-06;1.051e+00;1.045e+00;8.081e-01;2.060e-02;1.044e+00;7.498e-01;-9.643e-07;1.000e+01;1.051e+00;5.000e+01;5.000e+01
20.018068000;1.044e+00;8.330e-01;2.254e-06;7.975e-01;2.159e-06;1.051e+00;1.045e+00;8.079e-01;2.060e-02;1.044e+00;7.497e-01;2.039e-06;1.000e+01;1.051e+00;5.000e+01;5.000e+01
20.019068000;1.044e+00;8.329e-01;3.365e-06;7.974e-01;3.221e-06;1.051e+00;1.045e+00;8.078e-01;2.060e-02;1.044e+00;7.496e-01;3.039e-06;1.000e+01;1.051e+00;5.000e+01;5.000e+01
20.020068000;1.044e+00;8.328e-01;4.476e-06;7.974e-01;4.284e-06;1.051e+00;1.045e+00;8.077e-01;2.059e-02;1.044e+00;7.495e-01;4.040e-06;1.000e+01;1.051e+00;5.000e+01;5.000e+01
20.021068000;1.044e+00;8.328e-01;6.699e-06;7.973e-01;6.410e-06;1.051e+00;1.045e+00;8.077e-01;2.059e-02;1.044e+00;7.495e-01;6.040e-06;1.000e+01;1.051e+00;5.000e+01;5.000e+01
20.022068000;1.045e+00;8.327e-01;7.809e-06;7.972e-01;7.472e-06;1.051e+00;1.045e+00;8.076e-01;2.059e-02;1.045e+00;7.494e-01;7.040e-06;1.000e+01;1.051e+00;5.000e+01;5.000e+01
