time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;InfiniteBus_BUS_NetworkFrequencyPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_AVRSetpointPu;NetworkFrequencyPu
0.000000000;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02;1.000e+00
0.000001000;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02;1.000e+00
0.000002000;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02;1.000e+00
0.000004000;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02;1.000e+00
0.000008000;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02;1.000e+00
0.000016000;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02;1.000e+00
0.000032000;1.044e+00;8.333e-01;-4.148e-07;7.979e-01;-3.972e-07;1.045e+00;1.000e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02;1.000e+00
0.000064000;1.044e+00;8.333e-01;-6.899e-08;7.979e-01;-6.605e-08;1.045e+00;1.000e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02;1.000e+00
0.000128000;1.044e+00;8.333e-01;-4.179e-07;7.979e-01;-4.001e-07;1.045e+00;1.000e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02;1.000e+00
0.000256000;1.044e+00;8.333e-01;-1.710e-06;7.979e-01;-1.638e-06;1.045e+00;1.000e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02;1.000e+00
0.000512000;1.044e+00;8.333e-01;-6.812e-06;7.978e-01;-6.522e-06;1.045e+00;1.000e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02;1.000e+00
0.001024000;1.044e+00;8.332e-01;-2.685e-05;7.977e-01;-2.570e-05;1.045e+00;1.000e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02;1.000e+00
0.002048000;1.044e+00;8.327e-01;-1.111e-04;7.973e-01;-1.064e-04;1.045e+00;1.000e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02;1.000e+00
0.003072000;1.044e+00;8.319e-01;-2.519e-04;7.965e-01;-2.412e-04;1.045e+00;1.000e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02;1.000e+00
0.004096000;1.044e+00;8.306e-01;-4.442e-04;7.952e-01;-4.253e-04;1.045e+00;1.000e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02;1.000e+00
