time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_AVRSetpointPu;Wind_Turbine_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.000000000;1.044e+00;8.327e-01;3.330e-03;7.976e-01;3.190e-03;1.052e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.000001000;1.044e+00;8.327e-01;3.330e-03;7.976e-01;3.190e-03;1.052e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.000002000;1.044e+00;8.327e-01;3.329e-03;7.976e-01;3.189e-03;1.052e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.000004000;1.044e+00;8.327e-01;3.329e-03;7.976e-01;3.189e-03;1.052e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.000008000;1.044e+00;8.327e-01;3.326e-03;7.976e-01;3.186e-03;1.052e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.000016000;1.044e+00;8.327e-01;3.324e-03;7.976e-01;3.184e-03;1.052e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.000032000;1.044e+00;8.327e-01;3.317e-03;7.977e-01;3.177e-03;1.052e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.000064000;1.044e+00;8.327e-01;3.302e-03;7.977e-01;3.163e-03;1.052e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.000128000;1.044e+00;8.327e-01;3.276e-03;7.977e-01;3.138e-03;1.052e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.000256000;1.044e+00;8.327e-01;3.220e-03;7.977e-01;3.085e-03;1.052e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.000512000;1.044e+00;8.327e-01;3.115e-03;7.977e-01;2.984e-03;1.052e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.001024000;1.044e+00;8.325e-01;2.911e-03;7.975e-01;2.789e-03;1.052e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.002048000;1.044e+00;8.316e-01;2.544e-03;7.967e-01;2.437e-03;1.052e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.003072000;1.044e+00;8.301e-01;2.229e-03;7.952e-01;2.135e-03;1.052e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.004096000;1.044e+00;8.280e-01;1.966e-03;7.933e-01;1.884e-03;1.051e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.005120000;1.044e+00;8.256e-01;1.753e-03;7.910e-01;1.680e-03;1.051e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.006144000;1.044e+00;8.228e-01;1.586e-03;7.883e-01;1.520e-03;1.051e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.007168000;1.044e+00;8.199e-01;1.458e-03;7.855e-01;1.397e-03;1.051e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.008192000;1.044e+00;8.168e-01;1.363e-03;7.825e-01;1.306e-03;1.051e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.009216000;1.044e+00;8.136e-01;1.301e-03;7.795e-01;1.247e-03;1.051e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.011264000;1.044e+00;8.073e-01;1.246e-03;7.735e-01;1.194e-03;1.051e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
