time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_AVRSetpointPu;Wind_Turbine_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.000000000;1.044e+00;8.333e-01;8.333e-02;7.979e-01;7.979e-02;1.078e+00;1.000e+01;1.078e+00;1.000e+00;1.000e+00
0.000001000;1.044e+00;8.333e-01;8.333e-02;7.979e-01;7.979e-02;1.078e+00;1.000e+01;1.078e+00;1.000e+00;1.000e+00
0.000002000;1.044e+00;8.333e-01;8.333e-02;7.979e-01;7.979e-02;1.078e+00;1.000e+01;1.078e+00;1.000e+00;1.000e+00
0.000004000;1.044e+00;8.333e-01;8.333e-02;7.979e-01;7.979e-02;1.078e+00;1.000e+01;1.078e+00;1.000e+00;1.000e+00
0.000008000;1.044e+00;8.333e-01;8.333e-02;7.979e-01;7.979e-02;1.078e+00;1.000e+01;1.078e+00;1.000e+00;1.000e+00
0.000016000;1.044e+00;8.333e-01;8.333e-02;7.979e-01;7.979e-02;1.078e+00;1.000e+01;1.078e+00;1.000e+00;1.000e+00
0.000032000;1.044e+00;8.333e-01;8.333e-02;7.979e-01;7.979e-02;1.078e+00;1.000e+01;1.078e+00;1.000e+00;1.000e+00
0.000064000;1.044e+00;8.333e-01;8.333e-02;7.979e-01;7.979e-02;1.078e+00;1.000e+01;1.078e+00;1.000e+00;1.000e+00
0.000128000;1.044e+00;8.333e-01;8.333e-02;7.979e-01;7.979e-02;1.078e+00;1.000e+01;1.078e+00;1.000e+00;1.000e+00
0.000256000;1.044e+00;8.333e-01;8.333e-02;7.979e-01;7.979e-02;1.078e+00;1.000e+01;1.078e+00;1.000e+00;1.000e+00
0.000512000;1.044e+00;8.333e-01;8.333e-02;7.978e-01;7.978e-02;1.078e+00;1.000e+01;1.078e+00;1.000e+00;1.000e+00
0.001024000;1.044e+00;8.332e-01;8.330e-02;7.977e-01;7.975e-02;1.078e+00;1.000e+01;1.078e+00;1.000e+00;1.000e+00
0.002048000;1.044e+00;8.326e-01;8.318e-02;7.971e-01;7.964e-02;1.078e+00;1.000e+01;1.078e+00;1.000e+00;1.000e+00
0.003072000;1.044e+00;8.315e-01;8.300e-02;7.961e-01;7.947e-02;1.078e+00;1.000e+01;1.078e+00;1.000e+00;1.000e+00
0.004096000;1.045e+00;8.301e-01;8.275e-02;7.947e-01;7.922e-02;1.078e+00;1.000e+01;1.078e+00;1.000e+00;1.000e+00
0.006144000;1.045e+00;8.259e-01;8.214e-02;7.906e-01;7.863e-02;1.078e+00;1.000e+01;1.078e+00;1.000e+00;1.000e+00
0.008192000;1.045e+00;8.205e-01;8.145e-02;7.852e-01;7.795e-02;1.078e+00;1.000e+01;1.078e+00;1.000e+00;1.000e+00
0.010240000;1.045e+00;8.143e-01;8.078e-02;7.791e-01;7.729e-02;1.078e+00;1.000e+01;1.078e+00;1.000e+00;1.000e+00
0.012288000;1.046e+00;8.078e-01;8.022e-02;7.726e-01;7.673e-02;1.078e+00;1.000e+01;1.078e+00;1.000e+00;1.000e+00
0.014336000;1.046e+00;8.013e-01;7.982e-02;7.661e-01;7.632e-02;1.078e+00;1.000e+01;1.078e+00;1.000e+00;1.000e+00
0.016384000;1.046e+00;7.952e-01;7.961e-02;7.600e-01;7.609e-02;1.079e+00;1.000e+01;1.078e+00;1.000e+00;1.000e+00
0.018432000;1.047e+00;7.896e-01;7.958e-02;7.543e-01;7.603e-02;1.079e+00;1.000e+01;1.078e+00;1.000e+00;1.000e+00
0.020480000;1.047e+00;7.846e-01;7.971e-02;7.492e-01;7.612e-02;1.079e+00;1.000e+01;1.078e+00;1.000e+00;1.000e+00
