time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;Wind_Turbine_GEN_UPuInjTerminal;Wind_Turbine_GEN_IpInjTerminal;Wind_Turbine_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu
0.000000000;1.033e+00;8.270e-01;4.637e-02;8.008e-01;4.490e-02;1.047e+00;1.052e+00;8.065e-01;1.024e-01;1.033e+00;7.443e-01;4.173e-02;1.000e+01;8.333e-01;8.333e-02
0.000028000;1.033e+00;8.270e-01;4.610e-02;8.008e-01;4.464e-02;1.047e+00;1.051e+00;8.065e-01;1.021e-01;1.033e+00;7.443e-01;4.149e-02;1.000e+01;8.333e-01;8.333e-02
0.000036000;1.033e+00;8.269e-01;4.603e-02;8.008e-01;4.457e-02;1.046e+00;1.051e+00;8.065e-01;1.021e-01;1.033e+00;7.442e-01;4.142e-02;1.000e+01;8.333e-01;8.333e-02
0.000068000;1.033e+00;8.268e-01;4.573e-02;8.008e-01;4.428e-02;1.046e+00;1.051e+00;8.065e-01;1.018e-01;1.033e+00;7.442e-01;4.115e-02;1.000e+01;8.333e-01;8.333e-02
0.000076000;1.033e+00;8.268e-01;4.565e-02;8.007e-01;4.421e-02;1.046e+00;1.051e+00;8.065e-01;1.017e-01;1.033e+00;7.441e-01;4.109e-02;1.000e+01;8.333e-01;8.333e-02
0.000092000;1.033e+00;8.268e-01;4.550e-02;8.007e-01;4.407e-02;1.046e+00;1.051e+00;8.065e-01;1.016e-01;1.033e+00;7.441e-01;4.095e-02;1.000e+01;8.333e-01;8.333e-02
0.000100000;1.032e+00;8.268e-01;4.543e-02;8.007e-01;4.400e-02;1.046e+00;1.051e+00;8.065e-01;1.015e-01;1.032e+00;7.441e-01;4.089e-02;1.000e+01;8.333e-01;8.333e-02
0.000108000;1.032e+00;8.267e-01;4.536e-02;8.007e-01;4.393e-02;1.046e+00;1.051e+00;8.065e-01;1.015e-01;1.032e+00;7.441e-01;4.082e-02;1.000e+01;8.333e-01;8.333e-02
0.000116000;1.032e+00;8.267e-01;4.528e-02;8.007e-01;4.386e-02;1.046e+00;1.051e+00;8.065e-01;1.014e-01;1.032e+00;7.440e-01;4.075e-02;1.000e+01;8.333e-01;8.333e-02
0.000140000;1.032e+00;8.266e-01;4.506e-02;8.007e-01;4.365e-02;1.046e+00;1.051e+00;8.065e-01;1.012e-01;1.032e+00;7.440e-01;4.056e-02;1.000e+01;8.333e-01;8.333e-02
