time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;InfiniteBus_BUS_NetworkFrequencyPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_AVRSetpointPu;Wind_Turbine_GEN_InjectedActiveCurrent;Wind_Turbine_GEN_InjectedReactiveCurrent;Wind_Turbine_GEN_InjectedCurrent;NetworkFrequencyPu
0.001002000;1.047e+00;3.944e-01;-6.083e-03;3.767e-01;-5.810e-03;1.047e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;-4.124e-03;3.767e-01;1.000e+00
0.001004000;1.047e+00;3.944e-01;-5.863e-03;3.767e-01;-5.599e-03;1.047e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;-3.912e-03;3.767e-01;1.000e+00
0.001008000;1.047e+00;3.944e-01;-5.421e-03;3.767e-01;-5.177e-03;1.047e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;-3.488e-03;3.767e-01;1.000e+00
0.001016000;1.047e+00;3.945e-01;-4.541e-03;3.767e-01;-4.336e-03;1.047e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;-2.642e-03;3.767e-01;1.000e+00
0.001032000;1.047e+00;3.946e-01;-2.787e-03;3.767e-01;-2.661e-03;1.048e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;-9.570e-04;3.767e-01;1.000e+00
0.001041000;1.048e+00;3.946e-01;-1.795e-03;3.767e-01;-1.714e-03;1.048e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;-4.000e-06;3.767e-01;1.000e+00
0.001041000;1.048e+00;3.946e-01;-1.786e-03;3.767e-01;-1.705e-03;1.048e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;4.000e-06;3.767e-01;1.000e+00
0.001042000;1.048e+00;3.946e-01;-1.677e-03;3.767e-01;-1.601e-03;1.048e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;1.090e-04;3.767e-01;1.000e+00
0.001043000;1.048e+00;3.946e-01;-1.568e-03;3.767e-01;-1.496e-03;1.048e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;2.130e-04;3.767e-01;1.000e+00
0.001045000;1.048e+00;3.946e-01;-1.350e-03;3.767e-01;-1.289e-03;1.048e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;4.220e-04;3.767e-01;1.000e+00
0.001049000;1.048e+00;3.947e-01;-9.154e-04;3.767e-01;-8.737e-04;1.048e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;8.400e-04;3.767e-01;1.000e+00
0.001057000;1.048e+00;3.947e-01;-4.825e-05;3.767e-01;-4.604e-05;1.048e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;1.672e-03;3.767e-01;1.000e+00
0.001068000;1.048e+00;3.948e-01;1.077e-03;3.767e-01;1.028e-03;1.048e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;2.752e-03;3.767e-01;1.000e+00
0.001069000;1.048e+00;3.948e-01;1.185e-03;3.767e-01;1.131e-03;1.048e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;2.856e-03;3.767e-01;1.000e+00
0.001070000;1.048e+00;3.948e-01;1.293e-03;3.767e-01;1.234e-03;1.048e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;2.959e-03;3.767e-01;1.000e+00
0.001071000;1.048e+00;3.948e-01;1.418e-03;3.767e-01;1.354e-03;1.048e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;3.080e-03;3.767e-01;1.000e+00
0.001072000;1.048e+00;3.948e-01;1.526e-03;3.767e-01;1.456e-03;1.048e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;3.183e-03;3.767e-01;1.000e+00
0.001073000;1.048e+00;3.948e-01;1.634e-03;3.767e-01;1.559e-03;1.048e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;3.287e-03;3.767e-01;1.000e+00
0.001075000;1.048e+00;3.948e-01;1.849e-03;3.767e-01;1.764e-03;1.048e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;3.493e-03;3.767e-01;1.000e+00
0.001079000;1.048e+00;3.948e-01;2.280e-03;3.767e-01;2.176e-03;1.048e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;3.906e-03;3.767e-01;1.000e+00
0.001087000;1.048e+00;3.949e-01;3.138e-03;3.767e-01;2.993e-03;1.048e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;4.729e-03;3.767e-01;1.000e+00
0.001103000;1.048e+00;3.949e-01;4.847e-03;3.767e-01;4.623e-03;1.049e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;6.368e-03;3.768e-01;1.000e+00
0.001135000;1.049e+00;3.951e-01;8.236e-03;3.768e-01;7.853e-03;1.049e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;9.615e-03;3.768e-01;1.000e+00
0.001146000;1.049e+00;3.952e-01;9.399e-03;3.768e-01;8.961e-03;1.049e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;1.073e-02;3.769e-01;1.000e+00
0.001147000;1.049e+00;3.952e-01;9.504e-03;3.768e-01;9.061e-03;1.049e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;1.083e-02;3.769e-01;1.000e+00
0.001148000;1.049e+00;3.952e-01;9.609e-03;3.768e-01;9.161e-03;1.049e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;1.093e-02;3.769e-01;1.000e+00
