time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_UPuInjTerminal;Wind_Turbine_GEN_IpInjTerminal;Wind_Turbine_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu
0.000000000;1.000e+00;8.332e-01;-4.445e-01;8.332e-01;-4.445e-01;9.995e-01;8.337e-01;-4.437e-01;1.000e+00;3.333e-02;-1.778e-02;8.333e-01;-4.435e-01
0.000001000;1.000e+00;8.332e-01;-4.445e-01;8.332e-01;-4.445e-01;9.995e-01;8.337e-01;-4.437e-01;1.000e+00;3.333e-02;-1.778e-02;8.333e-01;-4.435e-01
29.999994000;1.000e+00;8.332e-01;-4.445e-01;8.332e-01;-4.445e-01;9.995e-01;8.337e-01;-4.437e-01;1.000e+00;3.333e-02;-1.778e-02;8.333e-01;-4.435e-01
29.999994000;9.983e-07;4.006e-09;-1.718e-09;-6.479e-09;-2.620e-09;1.035e-03;2.415e-02;9.420e-01;9.940e-07;-4.891e-09;-5.037e-09;8.333e-01;-4.435e-01
30.000058000;9.977e-07;3.001e-09;-2.163e-09;-7.007e-09;-1.583e-09;1.035e-03;2.415e-02;9.420e-01;9.948e-07;-4.834e-09;-5.544e-09;8.333e-01;-4.435e-01
30.000122000;9.977e-07;2.794e-09;-2.188e-09;-7.041e-09;-1.481e-09;1.036e-03;2.414e-02;9.413e-01;9.950e-07;-4.795e-09;-5.545e-09;8.333e-01;-4.435e-01
30.000250000;9.977e-07;2.582e-09;-2.198e-09;-7.064e-09;-1.399e-09;1.036e-03;2.414e-02;9.413e-01;9.952e-07;-4.748e-09;-5.530e-09;8.333e-01;-4.435e-01
30.000378000;9.976e-07;2.372e-09;-2.197e-09;-7.078e-09;-1.337e-09;1.036e-03;2.412e-02;9.407e-01;9.954e-07;-4.695e-09;-5.502e-09;8.333e-01;-4.435e-01
30.000506000;9.976e-07;2.169e-09;-2.186e-09;-7.079e-09;-1.294e-09;1.037e-03;2.411e-02;9.401e-01;9.956e-07;-4.635e-09;-5.461e-09;8.333e-01;-4.435e-01
30.000764000;9.973e-07;1.150e-09;-2.042e-09;-6.719e-09;-1.254e-09;1.037e-03;2.411e-02;9.401e-01;9.990e-07;-4.210e-09;-4.277e-09;8.333e-01;-4.435e-01
30.000892000;9.973e-07;1.126e-09;-2.064e-09;-6.662e-09;-1.226e-09;1.038e-03;2.409e-02;9.395e-01;9.994e-07;-4.214e-09;-4.112e-09;8.333e-01;-4.435e-01
30.001020000;9.973e-07;1.100e-09;-2.098e-09;-6.603e-09;-1.189e-09;1.039e-03;2.407e-02;9.388e-01;9.999e-07;-4.220e-09;-3.949e-09;8.333e-01;-4.435e-01
30.001148000;9.972e-07;1.070e-09;-2.145e-09;-6.540e-09;-1.143e-09;1.038e-03;2.409e-02;9.394e-01;1.000e-06;-4.226e-09;-3.791e-09;8.333e-01;-4.435e-01
30.001276000;9.972e-07;1.037e-09;-2.206e-09;-6.474e-09;-1.089e-09;1.038e-03;2.408e-02;9.393e-01;1.001e-06;-4.227e-09;-3.639e-09;8.333e-01;-4.435e-01
30.001404000;9.972e-07;1.001e-09;-2.282e-09;-6.407e-09;-1.029e-09;1.039e-03;2.407e-02;9.386e-01;1.001e-06;-4.222e-09;-3.498e-09;8.333e-01;-4.435e-01
30.001532000;9.972e-07;9.669e-10;-2.373e-09;-6.340e-09;-9.621e-10;1.038e-03;2.408e-02;9.391e-01;1.002e-06;-4.210e-09;-3.368e-09;8.333e-01;-4.435e-01
