time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;Wind_Turbine_GEN_VoltageInjTerminal;Wind_Turbine_GEN_ActiveCurrentInjTerminal;Wind_Turbine_GEN_ReactiveCurrentInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;Main_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_VoltageSetpointPu;Wind_Turbine_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.000000;1.044e+00;5.000e-01;0.000e+00;4.787e-01;0.000e+00;1.044e+00;1.053e+00;4.890e-01;1.894e-02;1.044e+00;4.500e-01;0.000e+00;1.000e+01;5.000e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
19.999996;1.044e+00;5.000e-01;-7.113e-08;4.787e-01;3.735e-07;1.044e+00;1.053e+00;4.890e-01;1.894e-02;1.044e+00;4.500e-01;-5.378e-08;1.000e+01;5.000e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
20.000000;1.044e+00;5.000e-01;-7.122e-08;4.787e-01;3.734e-07;1.044e+00;1.053e+00;4.890e-01;1.894e-02;1.044e+00;4.500e-01;-5.365e-08;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
20.004092;1.044e+00;5.000e-01;-1.774e-07;4.787e-01;3.104e-07;1.044e+00;1.053e+00;4.890e-01;1.894e-02;1.044e+00;4.500e-01;7.469e-08;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
20.005092;1.044e+00;5.000e-01;-2.053e-07;4.787e-01;2.931e-07;1.044e+00;1.053e+00;4.891e-01;1.894e-02;1.044e+00;4.500e-01;1.031e-07;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
20.006092;1.044e+00;5.000e-01;-2.330e-07;4.788e-01;2.755e-07;1.044e+00;1.053e+00;4.891e-01;1.894e-02;1.044e+00;4.500e-01;1.301e-07;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
20.007092;1.044e+00;5.001e-01;-2.603e-07;4.788e-01;2.581e-07;1.044e+00;1.053e+00;4.891e-01;1.895e-02;1.044e+00;4.501e-01;1.553e-07;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
20.008092;1.044e+00;5.001e-01;-1.398e-06;4.788e-01;-8.227e-07;1.044e+00;1.053e+00;4.891e-01;1.895e-02;1.044e+00;4.501e-01;-8.217e-07;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
20.009092;1.044e+00;5.001e-01;-1.423e-06;4.788e-01;-8.386e-07;1.044e+00;1.053e+00;4.892e-01;1.895e-02;1.044e+00;4.501e-01;-8.012e-07;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
20.010092;1.044e+00;5.002e-01;-3.669e-06;4.789e-01;-2.981e-06;1.044e+00;1.053e+00;4.892e-01;1.895e-02;1.044e+00;4.501e-01;-2.784e-06;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
20.011092;1.044e+00;5.002e-01;-4.804e-06;4.789e-01;-4.057e-06;1.044e+00;1.053e+00;4.893e-01;1.895e-02;1.044e+00;4.502e-01;-3.769e-06;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
20.012092;1.044e+00;5.003e-01;-7.050e-06;4.790e-01;-6.196e-06;1.044e+00;1.053e+00;4.893e-01;1.895e-02;1.044e+00;4.503e-01;-5.757e-06;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
20.013092;1.044e+00;5.004e-01;-1.041e-05;4.791e-01;-9.397e-06;1.044e+00;1.053e+00;4.894e-01;1.895e-02;1.044e+00;4.503e-01;-8.747e-06;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
20.014092;1.044e+00;5.004e-01;-1.376e-05;4.792e-01;-1.260e-05;1.044e+00;1.053e+00;4.895e-01;1.895e-02;1.044e+00;4.504e-01;-1.174e-05;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
20.015092;1.044e+00;5.005e-01;-1.712e-05;4.793e-01;-1.579e-05;1.044e+00;1.052e+00;4.896e-01;1.896e-02;1.044e+00;4.505e-01;-1.474e-05;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.001e+01;5.001e+01
20.016092;1.044e+00;5.006e-01;-2.158e-05;4.794e-01;-2.004e-05;1.044e+00;1.052e+00;4.897e-01;1.896e-02;1.044e+00;4.506e-01;-1.873e-05;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.001e+01;5.001e+01
20.017092;1.044e+00;5.008e-01;-2.716e-05;4.795e-01;-2.536e-05;1.044e+00;1.052e+00;4.898e-01;1.896e-02;1.044e+00;4.507e-01;-2.373e-05;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.001e+01;5.001e+01
20.018092;1.044e+00;5.009e-01;-3.273e-05;4.796e-01;-3.068e-05;1.044e+00;1.052e+00;4.899e-01;1.896e-02;1.044e+00;4.508e-01;-2.873e-05;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.001e+01;5.001e+01
20.019092;1.044e+00;5.010e-01;-3.941e-05;4.797e-01;-3.706e-05;1.044e+00;1.052e+00;4.901e-01;1.896e-02;1.044e+00;4.509e-01;-3.474e-05;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.001e+01;5.001e+01
20.020092;1.044e+00;5.012e-01;-4.610e-05;4.799e-01;-4.343e-05;1.044e+00;1.052e+00;4.902e-01;1.896e-02;1.044e+00;4.511e-01;-4.074e-05;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.001e+01;5.001e+01
20.021092;1.044e+00;5.013e-01;-5.388e-05;4.801e-01;-5.087e-05;1.044e+00;1.052e+00;4.904e-01;1.897e-02;1.044e+00;4.512e-01;-4.775e-05;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.001e+01;5.001e+01
20.022092;1.044e+00;5.015e-01;-6.167e-05;4.802e-01;-5.830e-05;1.044e+00;1.052e+00;4.905e-01;1.897e-02;1.044e+00;4.514e-01;-5.475e-05;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.001e+01;5.001e+01
20.023092;1.044e+00;5.017e-01;-7.057e-05;4.804e-01;-6.680e-05;1.044e+00;1.052e+00;4.907e-01;1.897e-02;1.044e+00;4.515e-01;-6.276e-05;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.001e+01;5.001e+01
20.024092;1.044e+00;5.019e-01;-7.947e-05;4.806e-01;-7.530e-05;1.044e+00;1.052e+00;4.909e-01;1.897e-02;1.044e+00;4.517e-01;-7.076e-05;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.001e+01;5.001e+01
